,Unnamed: 0,year,quintil_oecd,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,1st Quintile,At least once per week,0.43832,1072,10929,0.41802,0.45627
1,1,1985,1st Quintile,At least once per month,0.26043,580,10929,0.24764,0.27497
2,2,1985,1st Quintile,Seldom,0.24338,459,10929,0.2292,0.25693
3,3,1985,1st Quintile,Never,0.05787,112,10929,0.05142,0.06577
4,4,1985,2nd Quintile,At least once per week,0.43388,999,10929,0.4185,0.45004
5,5,1985,2nd Quintile,At least once per month,0.29861,617,10929,0.28711,0.31077
6,6,1985,2nd Quintile,Seldom,0.22343,442,10929,0.21256,0.23323
7,7,1985,2nd Quintile,Never,0.04409,78,10929,0.0398,0.04851
8,8,1985,3rd Quintile,At least once per week,0.44445,1033,10929,0.42977,0.4588
9,9,1985,3rd Quintile,At least once per month,0.31585,673,10929,0.30483,0.32786
10,10,1985,3rd Quintile,Seldom,0.19144,391,10929,0.18304,0.20054
11,11,1985,3rd Quintile,Never,0.04827,95,10929,0.04305,0.05372
12,12,1985,4th Quintile,At least once per week,0.46289,1070,10929,0.44915,0.47521
13,13,1985,4th Quintile,At least once per month,0.32261,698,10929,0.31122,0.3318
14,14,1985,4th Quintile,Seldom,0.18405,378,10929,0.17653,0.19182
15,15,1985,4th Quintile,Never,0.03045,68,10929,0.02492,0.03459
16,16,1985,5th Quintile,At least once per week,0.45885,1044,10929,0.44561,0.47414
17,17,1985,5th Quintile,At least once per month,0.34715,736,10929,0.33975,0.35541
18,18,1985,5th Quintile,Seldom,0.16575,329,10929,0.15985,0.17195
19,19,1985,5th Quintile,Never,0.02825,55,10929,0.02466,0.03178
20,20,1986,1st Quintile,At least once per week,0.40309,929,10541,0.3804,0.42357
21,21,1986,1st Quintile,At least once per month,0.30717,629,10541,0.28958,0.32623
22,22,1986,1st Quintile,Seldom,0.21945,392,10541,0.20694,0.23345
23,23,1986,1st Quintile,Never,0.07028,117,10541,0.06119,0.07962
24,24,1986,2nd Quintile,At least once per week,0.35299,861,10541,0.33506,0.37043
25,25,1986,2nd Quintile,At least once per month,0.35862,709,10541,0.34426,0.37675
26,26,1986,2nd Quintile,Seldom,0.23021,413,10541,0.21835,0.24044
27,27,1986,2nd Quintile,Never,0.05819,91,10541,0.05167,0.06494
28,28,1986,3rd Quintile,At least once per week,0.41528,959,10541,0.3964,0.42968
29,29,1986,3rd Quintile,At least once per month,0.33808,685,10541,0.3236,0.35238
30,30,1986,3rd Quintile,Seldom,0.20853,383,10541,0.19821,0.21755
31,31,1986,3rd Quintile,Never,0.03811,74,10541,0.03294,0.04351
32,32,1986,4th Quintile,At least once per week,0.4415,1061,10541,0.42681,0.45843
33,33,1986,4th Quintile,At least once per month,0.32719,679,10541,0.31532,0.33841
34,34,1986,4th Quintile,Seldom,0.19319,389,10541,0.18491,0.20137
35,35,1986,4th Quintile,Never,0.03812,76,10541,0.03367,0.04361
36,36,1986,5th Quintile,At least once per week,0.42771,922,10541,0.41363,0.44033
37,37,1986,5th Quintile,At least once per month,0.35835,750,10541,0.34718,0.37073
38,38,1986,5th Quintile,Seldom,0.19682,383,10541,0.19,0.20322
39,39,1986,5th Quintile,Never,0.01712,39,10541,0.01349,0.02012
40,40,1988,1st Quintile,At least once per week,0.40485,935,9914,0.38319,0.42991
41,41,1988,1st Quintile,At least once per month,0.27634,526,9914,0.25951,0.29386
42,42,1988,1st Quintile,Seldom,0.23366,369,9914,0.21709,0.24531
43,43,1988,1st Quintile,Never,0.08514,127,9914,0.07713,0.0942
44,44,1988,2nd Quintile,At least once per week,0.40444,923,9914,0.38254,0.42709
45,45,1988,2nd Quintile,At least once per month,0.35313,665,9914,0.33841,0.36902
46,46,1988,2nd Quintile,Seldom,0.19049,318,9914,0.17892,0.20492
47,47,1988,2nd Quintile,Never,0.05194,70,9914,0.04365,0.05943
48,48,1988,3rd Quintile,At least once per week,0.43742,975,9914,0.41839,0.45747
49,49,1988,3rd Quintile,At least once per month,0.33612,638,9914,0.32177,0.35182
50,50,1988,3rd Quintile,Seldom,0.19007,318,9914,0.18166,0.20051
51,51,1988,3rd Quintile,Never,0.03639,62,9914,0.03101,0.04164
