year,age_gr,bula_h,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Schleswig-Holstein,Seldom,1.00000,51,9828,1.00000,1.00000
1985,17-29 y.,Lower Saxony,At least once per month,0.33203,92,9828,0.33124,0.33283
1985,17-29 y.,Lower Saxony,Seldom,0.52482,139,9828,0.52397,0.52567
1985,17-29 y.,Lower Saxony,Never,0.14314,43,9828,0.14255,0.14374
1985,17-29 y.,North Rhine-Westphalia,At least once per week,0.11696,106,9828,0.11662,0.11730
1985,17-29 y.,North Rhine-Westphalia,At least once per month,0.30950,263,9828,0.30901,0.30998
1985,17-29 y.,North Rhine-Westphalia,Seldom,0.48863,406,9828,0.48810,0.48915
1985,17-29 y.,North Rhine-Westphalia,Never,0.08492,81,9828,0.08462,0.08521
1985,17-29 y.,Hesse,At least once per week,0.16978,59,9828,0.16905,0.17050
1985,17-29 y.,Hesse,At least once per month,0.37470,118,9828,0.37376,0.37564
1985,17-29 y.,Hesse,Seldom,0.45552,123,9828,0.45455,0.45649
1985,17-29 y.,"Rhineland-Palatinate, Saarland",At least once per week,0.13957,33,9828,0.13886,0.14028
1985,17-29 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.29595,64,9828,0.29501,0.29688
1985,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.56448,108,9828,0.56347,0.56550
1985,17-29 y.,Baden-Wuerttemberg,At least once per week,0.11180,90,9828,0.11137,0.11223
1985,17-29 y.,Baden-Wuerttemberg,At least once per month,0.32325,187,9828,0.32261,0.32389
1985,17-29 y.,Baden-Wuerttemberg,Seldom,0.46050,263,9828,0.45981,0.46118
1985,17-29 y.,Baden-Wuerttemberg,Never,0.10445,71,9828,0.10403,0.10487
1985,17-29 y.,Bavaria,At least once per week,0.08721,57,9828,0.08685,0.08757
1985,17-29 y.,Bavaria,At least once per month,0.28878,152,9828,0.28820,0.28935
1985,17-29 y.,Bavaria,Seldom,0.50464,242,9828,0.50401,0.50528
