year,regtyp,sex,pli0095_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,At least once per week,0.09600,498,4223,0.08712,0.10489
1985,Urban regions,male,At least once per month,0.27448,1236,4223,0.26102,0.28794
1985,Urban regions,male,Seldom,0.45770,1834,4223,0.44267,0.47273
1985,Urban regions,male,Never,0.17182,655,4223,0.16044,0.18320
1985,Urban regions,female,At least once per week,0.11001,523,4364,0.10072,0.11929
1985,Urban regions,female,At least once per month,0.21457,1001,4364,0.20239,0.22675
1985,Urban regions,female,Seldom,0.43600,1929,4364,0.42129,0.45072
1985,Urban regions,female,Never,0.23942,911,4364,0.22676,0.25208
1985,Rural regions,male,At least once per week,0.09158,120,1135,0.07479,0.10836
1985,Rural regions,male,At least once per month,0.26284,323,1135,0.23722,0.28846
1985,Rural regions,male,Seldom,0.47317,527,1135,0.44411,0.50223
1985,Rural regions,male,Never,0.17241,165,1135,0.15043,0.19440
1985,Rural regions,female,At least once per week,0.08501,111,1181,0.06910,0.10092
1985,Rural regions,female,At least once per month,0.21432,272,1181,0.19091,0.23773
1985,Rural regions,female,Seldom,0.45272,545,1181,0.42432,0.48112
1985,Rural regions,female,Never,0.24795,253,1181,0.22331,0.27259
1986,Urban regions,male,At least once per week,0.07103,353,4108,0.06318,0.07889
1986,Urban regions,male,At least once per month,0.24360,1093,4108,0.23047,0.25672
1986,Urban regions,male,Seldom,0.49831,1948,4108,0.48302,0.51360
1986,Urban regions,male,Never,0.18706,714,4108,0.17513,0.19899
1986,Urban regions,female,At least once per week,0.09110,395,4185,0.08238,0.09982
1986,Urban regions,female,At least once per month,0.18149,844,4185,0.16981,0.19317
1986,Urban regions,female,Seldom,0.45702,1964,4185,0.44192,0.47211
1986,Urban regions,female,Never,0.27040,982,4185,0.25694,0.28385
1986,Rural regions,male,At least once per week,0.06190,76,1084,0.04755,0.07625
1986,Rural regions,male,At least once per month,0.23466,278,1084,0.20942,0.25990
1986,Rural regions,male,Seldom,0.51066,549,1084,0.48088,0.54043
1986,Rural regions,male,Never,0.19278,181,1084,0.16929,0.21628
1986,Rural regions,female,At least once per week,0.08193,88,1132,0.06595,0.09791
1986,Rural regions,female,At least once per month,0.16111,218,1132,0.13969,0.18254
1986,Rural regions,female,Seldom,0.49022,568,1132,0.46108,0.51935
1986,Rural regions,female,Never,0.26674,258,1132,0.24096,0.29251
1988,Urban regions,male,At least once per week,0.06554,331,3889,0.05776,0.07332
1988,Urban regions,male,At least once per month,0.24486,988,3889,0.23134,0.25837
1988,Urban regions,male,Seldom,0.48982,1838,3889,0.47410,0.50553
1988,Urban regions,male,Never,0.19978,732,3889,0.18722,0.21235
1988,Urban regions,female,At least once per week,0.08019,374,3962,0.07174,0.08865
1988,Urban regions,female,At least once per month,0.17398,753,3962,0.16217,0.18578
1988,Urban regions,female,Seldom,0.46410,1819,3962,0.44857,0.47963
1988,Urban regions,female,Never,0.28173,1016,3962,0.26772,0.29573
1988,Rural regions,male,At least once per week,0.07044,81,1007,0.05463,0.08626
1988,Rural regions,male,At least once per month,0.25985,276,1007,0.23275,0.28695
1988,Rural regions,male,Seldom,0.48717,482,1007,0.45628,0.51805
1988,Rural regions,male,Never,0.18254,168,1007,0.15867,0.20641
1988,Rural regions,female,At least once per week,0.07452,78,1042,0.05856,0.09047
1988,Rural regions,female,At least once per month,0.16738,207,1042,0.14470,0.19006
1988,Rural regions,female,Seldom,0.51409,538,1042,0.48373,0.54445
1988,Rural regions,female,Never,0.24401,219,1042,0.21792,0.27010
1992,No answer / don't know,male,Seldom,0.55920,34,34,0.38981,0.72860
1992,No answer / don't know,female,Seldom,0.47918,33,33,0.30609,0.65227
1992,Urban regions,male,At least once per week,0.08413,395,4180,0.07571,0.09254
1992,Urban regions,male,At least once per month,0.28299,1285,4180,0.26934,0.29665
1992,Urban regions,male,Seldom,0.49230,1974,4180,0.47714,0.50746
1992,Urban regions,male,Never,0.14058,526,4180,0.13004,0.15112
1992,Urban regions,female,At least once per week,0.10460,485,4398,0.09556,0.11365
1992,Urban regions,female,At least once per month,0.23548,1118,4398,0.22294,0.24803
1992,Urban regions,female,Seldom,0.46782,2067,4398,0.45307,0.48256
1992,Urban regions,female,Never,0.19210,728,4398,0.18045,0.20374
1992,Rural regions,male,At least once per week,0.07966,185,2177,0.06828,0.09103
1992,Rural regions,male,At least once per month,0.30454,685,2177,0.28520,0.32388
1992,Rural regions,male,Seldom,0.48316,1082,2177,0.46216,0.50416
1992,Rural regions,male,Never,0.13264,225,2177,0.11839,0.14689
1992,Rural regions,female,At least once per week,0.08829,202,2308,0.07671,0.09987
1992,Rural regions,female,At least once per month,0.22574,541,2308,0.20868,0.24280
1992,Rural regions,female,Seldom,0.49142,1242,2308,0.47102,0.51182
1992,Rural regions,female,Never,0.19456,323,2308,0.17840,0.21071
1994,Urban regions,male,At least once per week,0.08829,388,4071,0.07957,0.09700
1994,Urban regions,male,At least once per month,0.28789,1245,4071,0.27397,0.30180
1994,Urban regions,male,Seldom,0.50446,1998,4071,0.48910,0.51982
1994,Urban regions,male,Never,0.11937,440,4071,0.10941,0.12933
1994,Urban regions,female,At least once per week,0.09059,429,4356,0.08207,0.09912
1994,Urban regions,female,At least once per month,0.22724,1051,4356,0.21480,0.23969
1994,Urban regions,female,Seldom,0.49552,2180,4356,0.48067,0.51037
1994,Urban regions,female,Never,0.18665,696,4356,0.17507,0.19822
1994,Rural regions,male,At least once per week,0.09221,205,2109,0.07986,0.10456
1994,Rural regions,male,At least once per month,0.31684,702,2109,0.29698,0.33670
1994,Rural regions,male,Seldom,0.48937,1033,2109,0.46803,0.51071
1994,Rural regions,male,Never,0.10158,169,2109,0.08868,0.11447
1994,Rural regions,female,At least once per week,0.09380,204,2253,0.08176,0.10585
1994,Rural regions,female,At least once per month,0.21681,529,2253,0.19979,0.23383
1994,Rural regions,female,Seldom,0.48622,1180,2253,0.46558,0.50687
1994,Rural regions,female,Never,0.20316,340,2253,0.18655,0.21978
1996,Urban regions,male,At least once per week,0.11749,513,4091,0.10762,0.12735
1996,Urban regions,male,At least once per month,0.31854,1372,4091,0.30426,0.33282
1996,Urban regions,male,Seldom,0.45690,1826,4091,0.44163,0.47217
1996,Urban regions,male,Never,0.10708,380,4091,0.09760,0.11655
1996,Urban regions,female,At least once per week,0.12579,559,4416,0.11601,0.13557
1996,Urban regions,female,At least once per month,0.26721,1280,4416,0.25416,0.28027
1996,Urban regions,female,Seldom,0.44873,1993,4416,0.43406,0.46341
1996,Urban regions,female,Never,0.15826,584,4416,0.14750,0.16903
1996,Rural regions,male,At least once per week,0.10358,246,2177,0.09078,0.11639
1996,Rural regions,male,At least once per month,0.35503,818,2177,0.33493,0.37514
1996,Rural regions,male,Seldom,0.46691,995,2177,0.44595,0.48787
1996,Rural regions,male,Never,0.07447,118,2177,0.06344,0.08550
1996,Rural regions,female,At least once per week,0.12057,261,2309,0.10729,0.13386
1996,Rural regions,female,At least once per month,0.27058,686,2309,0.25245,0.28870
1996,Rural regions,female,Seldom,0.47172,1130,2309,0.45135,0.49208
1996,Rural regions,female,Never,0.13713,232,2309,0.12310,0.15116
1997,Urban regions,male,At least once per week,0.10335,469,4020,0.09394,0.11277
1997,Urban regions,male,At least once per month,0.31328,1290,4020,0.29894,0.32762
1997,Urban regions,male,Seldom,0.46906,1851,4020,0.45363,0.48449
1997,Urban regions,male,Never,0.11431,410,4020,0.10447,0.12415
1997,Urban regions,female,At least once per week,0.12358,524,4291,0.11373,0.13343
1997,Urban regions,female,At least once per month,0.23502,1101,4291,0.22233,0.24771
1997,Urban regions,female,Seldom,0.46277,2037,4291,0.44785,0.47769
1997,Urban regions,female,Never,0.17863,629,4291,0.16717,0.19009
1997,Rural regions,male,At least once per week,0.11658,264,2144,0.10299,0.13017
1997,Rural regions,male,At least once per month,0.36308,805,2144,0.34272,0.38344
1997,Rural regions,male,Seldom,0.43523,936,2144,0.41424,0.45622
1997,Rural regions,male,Never,0.08511,139,2144,0.07329,0.09692
1997,Rural regions,female,At least once per week,0.11550,248,2273,0.10236,0.12864
1997,Rural regions,female,At least once per month,0.26388,650,2273,0.24576,0.28200
1997,Rural regions,female,Seldom,0.46751,1120,2273,0.44699,0.48803
1997,Rural regions,female,Never,0.15311,255,2273,0.13830,0.16792
1999,Urban regions,male,At least once per week,0.09649,457,4278,0.08764,0.10534
1999,Urban regions,male,At least once per month,0.29963,1366,4278,0.28590,0.31336
1999,Urban regions,male,Seldom,0.49590,2047,4278,0.48091,0.51088
1999,Urban regions,male,Never,0.10798,408,4278,0.09868,0.11728
1999,Urban regions,female,At least once per week,0.11491,509,4566,0.10566,0.12416
1999,Urban regions,female,At least once per month,0.22711,1132,4566,0.21496,0.23927
1999,Urban regions,female,Seldom,0.48129,2241,4566,0.46680,0.49579
1999,Urban regions,female,Never,0.17669,684,4566,0.16562,0.18775
1999,Rural regions,male,At least once per week,0.10626,252,2307,0.09368,0.11883
1999,Rural regions,male,At least once per month,0.32357,810,2307,0.30448,0.34267
1999,Rural regions,male,Seldom,0.48219,1091,2307,0.46179,0.50258
1999,Rural regions,male,Never,0.08799,154,2307,0.07642,0.09955
1999,Rural regions,female,At least once per week,0.10211,236,2445,0.09010,0.11411
1999,Rural regions,female,At least once per month,0.24726,684,2445,0.23016,0.26437
1999,Rural regions,female,Seldom,0.49350,1255,2445,0.47368,0.51333
1999,Rural regions,female,Never,0.15712,270,2445,0.14270,0.17155
2001,Urban regions,male,At least once per week,0.12106,846,6800,0.11330,0.12881
2001,Urban regions,male,At least once per month,0.31748,2219,6800,0.30641,0.32854
2001,Urban regions,male,Seldom,0.44620,3014,6800,0.43438,0.45801
2001,Urban regions,male,Never,0.11527,721,6800,0.10768,0.12286
2001,Urban regions,female,At least once per week,0.12538,938,7429,0.11785,0.13291
2001,Urban regions,female,At least once per month,0.25985,2061,7429,0.24987,0.26982
2001,Urban regions,female,Seldom,0.43585,3316,7429,0.42457,0.44712
2001,Urban regions,female,Never,0.17893,1114,7429,0.17021,0.18764
2001,Rural regions,male,At least once per week,0.13346,485,3662,0.12244,0.14448
2001,Rural regions,male,At least once per month,0.34235,1310,3662,0.32698,0.35772
2001,Rural regions,male,Seldom,0.42756,1559,3662,0.41153,0.44358
2001,Rural regions,male,Never,0.09663,308,3662,0.08706,0.10620
2001,Rural regions,female,At least once per week,0.11417,439,3870,0.10415,0.12419
2001,Rural regions,female,At least once per month,0.27830,1120,3870,0.26417,0.29242
2001,Rural regions,female,Seldom,0.43128,1753,3870,0.41567,0.44689
2001,Rural regions,female,Never,0.17626,558,3870,0.16425,0.18826
2005,Urban regions,male,At least once per week,0.12153,766,6544,0.11361,0.12945
2005,Urban regions,male,At least once per month,0.32950,2155,6544,0.31811,0.34089
2005,Urban regions,male,Seldom,0.45598,3059,6544,0.44391,0.46805
2005,Urban regions,male,Never,0.09300,564,6544,0.08596,0.10003
2005,Urban regions,female,At least once per week,0.12082,880,7156,0.11327,0.12837
2005,Urban regions,female,At least once per month,0.28133,2081,7156,0.27091,0.29174
2005,Urban regions,female,Seldom,0.44326,3278,7156,0.43175,0.45477
2005,Urban regions,female,Never,0.15459,917,7156,0.14622,0.16297
2005,Rural regions,male,At least once per week,0.12146,373,3311,0.11033,0.13259
2005,Rural regions,male,At least once per month,0.35763,1199,3311,0.34130,0.37395
2005,Rural regions,male,Seldom,0.42981,1463,3311,0.41294,0.44667
2005,Rural regions,male,Never,0.09111,276,3311,0.08131,0.10091
2005,Rural regions,female,At least once per week,0.12199,410,3569,0.11125,0.13273
2005,Rural regions,female,At least once per month,0.28646,1041,3569,0.27163,0.30130
2005,Rural regions,female,Seldom,0.44247,1686,3569,0.42617,0.45877
2005,Rural regions,female,Never,0.14908,432,3569,0.13739,0.16077
2007,Urban regions,male,At least once per week,0.11616,793,6353,0.10828,0.12404
2007,Urban regions,male,At least once per month,0.34341,2084,6353,0.33173,0.35509
2007,Urban regions,male,Seldom,0.43311,2816,6353,0.42093,0.44530
2007,Urban regions,male,Never,0.10732,660,6353,0.09970,0.11493
2007,Urban regions,female,At least once per week,0.12088,928,7067,0.11327,0.12848
2007,Urban regions,female,At least once per month,0.27510,2031,7067,0.26469,0.28551
2007,Urban regions,female,Seldom,0.44784,3196,7067,0.43624,0.45943
2007,Urban regions,female,Never,0.15619,912,7067,0.14772,0.16465
2007,Rural regions,male,At least once per week,0.13417,444,3365,0.12265,0.14569
2007,Rural regions,male,At least once per month,0.36113,1214,3365,0.34490,0.37736
2007,Rural regions,male,Seldom,0.40353,1388,3365,0.38696,0.42011
2007,Rural regions,male,Never,0.10116,319,3365,0.09097,0.11135
2007,Rural regions,female,At least once per week,0.11701,401,3603,0.10651,0.12750
2007,Rural regions,female,At least once per month,0.30257,1119,3603,0.28757,0.31758
2007,Rural regions,female,Seldom,0.43120,1604,3603,0.41503,0.44738
2007,Rural regions,female,Never,0.14922,479,3603,0.13758,0.16085
2009,Urban regions,male,At least once per week,0.09912,559,5527,0.09124,0.10700
2009,Urban regions,male,At least once per month,0.32997,1795,5527,0.31757,0.34237
2009,Urban regions,male,Seldom,0.47158,2653,5527,0.45842,0.48474
2009,Urban regions,male,Never,0.09933,520,5527,0.09144,0.10721
2009,Urban regions,female,At least once per week,0.10857,675,6119,0.10077,0.11636
2009,Urban regions,female,At least once per month,0.27618,1730,6119,0.26498,0.28738
2009,Urban regions,female,Seldom,0.46770,2923,6119,0.45520,0.48021
2009,Urban regions,female,Never,0.14755,791,6119,0.13866,0.15644
2009,Rural regions,male,At least once per week,0.11917,347,3029,0.10763,0.13071
2009,Rural regions,male,At least once per month,0.35079,1058,3029,0.33379,0.36778
2009,Rural regions,male,Seldom,0.43142,1341,3029,0.41378,0.44906
2009,Rural regions,male,Never,0.09863,283,3029,0.08801,0.10925
2009,Rural regions,female,At least once per week,0.10670,324,3232,0.09606,0.11735
2009,Rural regions,female,At least once per month,0.29753,957,3232,0.28176,0.31329
2009,Rural regions,female,Seldom,0.45801,1540,3232,0.44083,0.47519
2009,Rural regions,female,Never,0.13776,411,3232,0.12587,0.14964
2011,Urban regions,male,At least once per week,0.11329,1000,8152,0.10641,0.12017
2011,Urban regions,male,At least once per month,0.33304,2749,8152,0.32281,0.34327
2011,Urban regions,male,Seldom,0.45707,3648,8152,0.44625,0.46788
2011,Urban regions,male,Never,0.09660,755,8152,0.09019,0.10301
2011,Urban regions,female,At least once per week,0.12455,1406,9991,0.11807,0.13102
2011,Urban regions,female,At least once per month,0.27087,3005,9991,0.26215,0.27958
2011,Urban regions,female,Seldom,0.45862,4402,9991,0.44885,0.46839
2011,Urban regions,female,Never,0.14597,1178,9991,0.13904,0.15289
2011,Rural regions,male,At least once per week,0.14168,634,4646,0.13165,0.15171
2011,Rural regions,male,At least once per month,0.32655,1623,4646,0.31306,0.34004
2011,Rural regions,male,Seldom,0.43252,1950,4646,0.41827,0.44677
2011,Rural regions,male,Never,0.09925,439,4646,0.09065,0.10785
2011,Rural regions,female,At least once per week,0.12825,732,5473,0.11939,0.13710
2011,Rural regions,female,At least once per month,0.30067,1719,5473,0.28852,0.31282
2011,Rural regions,female,Seldom,0.43378,2341,5473,0.42064,0.44691
2011,Rural regions,female,Never,0.13731,681,5473,0.12819,0.14643
2015,Urban regions,male,At least once per week,0.11023,1008,7993,0.10336,0.11710
2015,Urban regions,male,At least once per month,0.33947,2837,7993,0.32909,0.34985
2015,Urban regions,male,Seldom,0.46236,3527,7993,0.45143,0.47329
2015,Urban regions,male,Never,0.08794,621,7993,0.08173,0.09415
2015,Urban regions,female,At least once per week,0.12594,1319,9471,0.11926,0.13262
2015,Urban regions,female,At least once per month,0.28968,3025,9471,0.28054,0.29881
2015,Urban regions,female,Seldom,0.46040,4205,9471,0.45036,0.47044
2015,Urban regions,female,Never,0.12398,922,9471,0.11735,0.13062
2015,Rural regions,male,At least once per week,0.11818,582,4289,0.10852,0.12785
2015,Rural regions,male,At least once per month,0.35762,1590,4289,0.34327,0.37196
2015,Rural regions,male,Seldom,0.44288,1799,4289,0.42801,0.45774
2015,Rural regions,male,Never,0.08132,318,4289,0.07314,0.08951
2015,Rural regions,female,At least once per week,0.11019,616,4963,0.10148,0.11890
2015,Rural regions,female,At least once per month,0.29435,1575,4963,0.28167,0.30703
2015,Rural regions,female,Seldom,0.47058,2248,4963,0.45669,0.48447
2015,Rural regions,female,Never,0.12488,524,4963,0.11568,0.13408
2017,Urban regions,male,At least once per week,0.13016,1089,7869,0.12273,0.13760
2017,Urban regions,male,At least once per month,0.35553,2838,7869,0.34495,0.36610
2017,Urban regions,male,Seldom,0.42721,3346,7869,0.41628,0.43814
2017,Urban regions,male,Never,0.08711,596,7869,0.08087,0.09334
2017,Urban regions,female,At least once per week,0.13507,1338,9277,0.12811,0.14202
2017,Urban regions,female,At least once per month,0.30948,3066,9277,0.30008,0.31889
2017,Urban regions,female,Seldom,0.42384,3969,9277,0.41378,0.43390
2017,Urban regions,female,Never,0.13161,904,9277,0.12473,0.13849
2017,Rural regions,male,At least once per week,0.15991,693,4368,0.14904,0.17078
2017,Rural regions,male,At least once per month,0.36668,1656,4368,0.35239,0.38097
2017,Rural regions,male,Seldom,0.39995,1697,4368,0.38542,0.41448
2017,Rural regions,male,Never,0.07346,322,4368,0.06572,0.08120
2017,Rural regions,female,At least once per week,0.13276,719,4979,0.12334,0.14219
2017,Rural regions,female,At least once per month,0.31066,1670,4979,0.29781,0.32352
2017,Rural regions,female,Seldom,0.43727,2108,4979,0.42349,0.45105
2017,Rural regions,female,Never,0.11931,482,4979,0.11030,0.12831
