year,bula_h,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Never,1.00000,310,10618,1.00000,1.00000
1985,Hamburg,Never,1.00000,259,10618,1.00000,1.00000
1985,Lower Saxony,Seldom,0.05051,51,10618,0.05033,0.05069
1985,Lower Saxony,Never,0.94949,999,10618,0.94931,0.94967
1985,Bremen,Never,1.00000,107,10618,1.00000,1.00000
1985,North Rhine-Westphalia,At least once per month,0.02036,54,10618,0.02029,0.02044
1985,North Rhine-Westphalia,Seldom,0.05832,161,10618,0.05820,0.05845
1985,North Rhine-Westphalia,Never,0.92132,2695,10618,0.92117,0.92146
1985,Hesse,Seldom,0.05626,52,10618,0.05604,0.05647
1985,Hesse,Never,0.94374,1026,10618,0.94353,0.94396
1985,"Rhineland-Palatinate, Saarland",Seldom,0.06178,39,10618,0.06153,0.06202
1985,"Rhineland-Palatinate, Saarland",Never,0.93822,689,10618,0.93798,0.93847
1985,Baden-Wuerttemberg,Seldom,0.04040,71,10618,0.04026,0.04054
1985,Baden-Wuerttemberg,Never,0.95960,1921,10618,0.95946,0.95974
1985,Bavaria,At least once per month,0.02384,45,10618,0.02374,0.02394
1985,Bavaria,Seldom,0.05324,94,10618,0.05309,0.05338
1985,Bavaria,Never,0.92292,1709,10618,0.92275,0.92309
1985,Berlin,Never,1.00000,336,10618,1.00000,1.00000
1986,Schleswig-Holstein,Never,1.00000,290,10220,1.00000,1.00000
1986,Hamburg,Never,1.00000,234,10220,1.00000,1.00000
1986,Lower Saxony,Seldom,0.04611,49,10220,0.04593,0.04628
1986,Lower Saxony,Never,0.95389,1019,10220,0.95372,0.95407
1986,Bremen,Never,1.00000,104,10220,1.00000,1.00000
1986,North Rhine-Westphalia,At least once per month,0.01674,44,10220,0.01668,0.01681
1986,North Rhine-Westphalia,Seldom,0.06042,152,10220,0.06029,0.06055
1986,North Rhine-Westphalia,Never,0.92284,2616,10220,0.92269,0.92298
1986,Hesse,Seldom,0.05535,49,10220,0.05513,0.05557
1986,Hesse,Never,0.94465,964,10220,0.94443,0.94487
1986,"Rhineland-Palatinate, Saarland",Seldom,0.04538,32,10220,0.04516,0.04559
1986,"Rhineland-Palatinate, Saarland",Never,0.95462,693,10220,0.95441,0.95484
1986,Baden-Wuerttemberg,Seldom,0.03900,68,10220,0.03886,0.03913
1986,Baden-Wuerttemberg,Never,0.96100,1863,10220,0.96087,0.96114
1986,Bavaria,At least once per month,0.02337,34,10220,0.02327,0.02347
1986,Bavaria,Seldom,0.06017,102,10220,0.06002,0.06033
1986,Bavaria,Never,0.91646,1591,10220,0.91628,0.91664
1986,Berlin,Never,1.00000,316,10220,1.00000,1.00000
1988,Schleswig-Holstein,Never,1.00000,283,9619,1.00000,1.00000
1988,Hamburg,Never,1.00000,182,9619,1.00000,1.00000
1988,Lower Saxony,Seldom,0.04402,46,9619,0.04385,0.04419
1988,Lower Saxony,Never,0.95598,962,9619,0.95581,0.95615
1988,Bremen,Never,1.00000,91,9619,1.00000,1.00000
1988,North Rhine-Westphalia,Seldom,0.06343,148,9619,0.06330,0.06356
1988,North Rhine-Westphalia,Never,0.93657,2490,9619,0.93644,0.93670
1988,Hesse,Seldom,0.06993,52,9619,0.06969,0.07017
1988,Hesse,Never,0.93007,920,9619,0.92983,0.93031
1988,"Rhineland-Palatinate, Saarland",Seldom,0.05394,38,9619,0.05371,0.05417
1988,"Rhineland-Palatinate, Saarland",Never,0.94606,671,9619,0.94583,0.94629
1988,Baden-Wuerttemberg,Seldom,0.04980,74,9619,0.04964,0.04995
1988,Baden-Wuerttemberg,Never,0.95020,1774,9619,0.95005,0.95036
1988,Bavaria,Seldom,0.06100,99,9619,0.06084,0.06116
1988,Bavaria,Never,0.93900,1480,9619,0.93884,0.93916
1988,Berlin,Never,1.00000,309,9619,1.00000,1.00000
1990,Schleswig-Holstein,Seldom,0.15965,44,13381,0.15916,0.16014
1990,Schleswig-Holstein,Never,0.84035,231,13381,0.83986,0.84084
1990,Hamburg,Never,1.00000,143,13381,1.00000,1.00000
1990,Lower Saxony,Seldom,0.13169,118,13381,0.13141,0.13197
1990,Lower Saxony,Never,0.86831,822,13381,0.86803,0.86859
1990,Bremen,Never,1.00000,88,13381,1.00000,1.00000
1990,North Rhine-Westphalia,At least once per month,0.02376,51,13381,0.02368,0.02384
1990,North Rhine-Westphalia,Seldom,0.13567,299,13381,0.13549,0.13585
1990,North Rhine-Westphalia,Never,0.84057,2175,13381,0.84038,0.84076
1990,Hesse,Seldom,0.13131,99,13381,0.13100,0.13162
1990,Hesse,Never,0.86869,843,13381,0.86838,0.86900
1990,"Rhineland-Palatinate, Saarland",Seldom,0.09954,60,13381,0.09924,0.09985
1990,"Rhineland-Palatinate, Saarland",Never,0.90046,576,13381,0.90015,0.90076
1990,Baden-Wuerttemberg,At least once per month,0.02630,38,13381,0.02619,0.02641
1990,Baden-Wuerttemberg,Seldom,0.13554,206,13381,0.13531,0.13578
1990,Baden-Wuerttemberg,Never,0.83816,1528,13381,0.83790,0.83841
1990,Bavaria,At least once per month,0.03451,41,13381,0.03439,0.03463
1990,Bavaria,Seldom,0.15013,220,13381,0.14989,0.15036
1990,Bavaria,Never,0.81537,1305,13381,0.81511,0.81562
1990,Berlin,Seldom,0.12658,64,13381,0.12617,0.12698
1990,Berlin,Never,0.87342,515,13381,0.87302,0.87383
1990,Brandenburg,At least once per month,0.04963,32,13381,0.04933,0.04992
1990,Brandenburg,Seldom,0.10335,78,13381,0.10293,0.10377
1990,Brandenburg,Never,0.84702,584,13381,0.84653,0.84752
1990,Mecklenburg-Western Pomerania,At least once per month,0.06077,32,13381,0.06037,0.06117
1990,Mecklenburg-Western Pomerania,Seldom,0.12131,59,13381,0.12077,0.12185
1990,Mecklenburg-Western Pomerania,Never,0.81792,385,13381,0.81728,0.81856
1990,Saxony,At least once per month,0.03928,53,13381,0.03908,0.03948
1990,Saxony,Seldom,0.09965,135,13381,0.09934,0.09996
1990,Saxony,Never,0.86106,1071,13381,0.86071,0.86142
1990,Saxony-Anhalt,At least once per month,0.06125,50,13381,0.06093,0.06156
1990,Saxony-Anhalt,Seldom,0.08523,77,13381,0.08486,0.08560
1990,Saxony-Anhalt,Never,0.85353,643,13381,0.85306,0.85400
1990,Thuringa,At least once per month,0.05345,38,13381,0.05314,0.05377
1990,Thuringa,Seldom,0.07517,65,13381,0.07480,0.07553
1990,Thuringa,Never,0.87138,613,13381,0.87091,0.87184
