,Unnamed: 0,year,bula_h,sex,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Schleswig-Holstein,male,Seldom,0.36209,44,13234,0.31439,0.41285
1,1,1990,Schleswig-Holstein,male,Never,0.63791,83,13234,0.57581,0.69951
2,2,1990,Schleswig-Holstein,female,Seldom,0.47158,63,13234,0.42426,0.54143
3,3,1990,Schleswig-Holstein,female,Never,0.52842,70,13234,0.47066,0.59699
4,4,1990,Hamburg,male,Never,1.0,55,13234,0.85175,1.14042
5,5,1990,Hamburg,female,Never,1.0,54,13234,0.85572,1.14327
6,6,1990,Lower Saxony,male,At least once per week,0.06691,36,13234,0.05303,0.08305
7,7,1990,Lower Saxony,male,Seldom,0.36825,168,13234,0.33813,0.40143
8,8,1990,Lower Saxony,male,Never,0.56484,254,13234,0.53126,0.60988
9,9,1990,Lower Saxony,female,At least once per week,0.0962,49,13234,0.07641,0.11235
10,10,1990,Lower Saxony,female,At least once per month,0.10598,46,13234,0.08891,0.1251
11,11,1990,Lower Saxony,female,Seldom,0.33322,169,13234,0.30247,0.36128
12,12,1990,Lower Saxony,female,Never,0.46459,223,13234,0.43666,0.50128
13,13,1990,Bremen,male,Never,1.0,35,13234,0.85711,1.16705
14,14,1990,Bremen,female,Never,1.0,35,13234,0.86102,1.11704
15,15,1990,North Rhine-Westphalia,male,At least once per week,0.12935,186,13234,0.11749,0.14288
16,16,1990,North Rhine-Westphalia,male,At least once per month,0.07998,110,13234,0.06994,0.08884
17,17,1990,North Rhine-Westphalia,male,Seldom,0.29955,361,13234,0.28097,0.31734
18,18,1990,North Rhine-Westphalia,male,Never,0.49111,602,13234,0.46529,0.5138
19,19,1990,North Rhine-Westphalia,female,At least once per week,0.18829,231,13234,0.1728,0.202
20,20,1990,North Rhine-Westphalia,female,At least once per month,0.13532,164,13234,0.12245,0.14737
21,21,1990,North Rhine-Westphalia,female,Seldom,0.28794,376,13234,0.27021,0.30405
22,22,1990,North Rhine-Westphalia,female,Never,0.38844,514,13234,0.36631,0.40805
23,23,1990,Hesse,male,At least once per week,0.07222,48,13234,0.0547,0.09147
24,24,1990,Hesse,male,At least once per month,0.10393,57,13234,0.08325,0.12646
25,25,1990,Hesse,male,Seldom,0.40632,183,13234,0.36793,0.44164
26,26,1990,Hesse,male,Never,0.41753,197,13234,0.37831,0.45229
27,27,1990,Hesse,female,At least once per week,0.14742,71,13234,0.11663,0.17782
28,28,1990,Hesse,female,At least once per month,0.14184,75,13234,0.11813,0.16623
29,29,1990,Hesse,female,Seldom,0.37828,169,13234,0.34466,0.41811
30,30,1990,Hesse,female,Never,0.33246,174,13234,0.2941,0.37517
31,31,1990,"Rhineland-Palatinate, Saarland",male,At least once per week,0.18217,52,13234,0.1628,0.20228
32,32,1990,"Rhineland-Palatinate, Saarland",male,At least once per month,0.10411,32,13234,0.08617,0.1197
33,33,1990,"Rhineland-Palatinate, Saarland",male,Seldom,0.34329,109,13234,0.3134,0.37543
34,34,1990,"Rhineland-Palatinate, Saarland",male,Never,0.37043,128,13234,0.3257,0.40934
35,35,1990,"Rhineland-Palatinate, Saarland",female,At least once per week,0.18889,68,13234,0.1662,0.21337
36,36,1990,"Rhineland-Palatinate, Saarland",female,At least once per month,0.16263,51,13234,0.1444,0.18739
37,37,1990,"Rhineland-Palatinate, Saarland",female,Seldom,0.35713,127,13234,0.32559,0.38964
38,38,1990,"Rhineland-Palatinate, Saarland",female,Never,0.29135,103,13234,0.25691,0.32059
39,39,1990,Baden-Wuerttemberg,male,At least once per week,0.17235,157,13234,0.1505,0.19035
40,40,1990,Baden-Wuerttemberg,male,At least once per month,0.11619,121,13234,0.0988,0.13568
41,41,1990,Baden-Wuerttemberg,male,Seldom,0.34361,291,13234,0.31673,0.37207
42,42,1990,Baden-Wuerttemberg,male,Never,0.36786,322,13234,0.33151,0.39488
43,43,1990,Baden-Wuerttemberg,female,At least once per week,0.21829,187,13234,0.1958,0.24714
44,44,1990,Baden-Wuerttemberg,female,At least once per month,0.15456,141,13234,0.13796,0.17269
45,45,1990,Baden-Wuerttemberg,female,Seldom,0.32126,287,13234,0.29671,0.34968
46,46,1990,Baden-Wuerttemberg,female,Never,0.30589,266,13234,0.27438,0.33656
47,47,1990,Bavaria,male,At least once per week,0.17121,132,13234,0.15548,0.1879
48,48,1990,Bavaria,male,At least once per month,0.1576,122,13234,0.1448,0.17291
49,49,1990,Bavaria,male,Seldom,0.31324,245,13234,0.29378,0.33096
50,50,1990,Bavaria,male,Never,0.35795,284,13234,0.33221,0.38077
51,51,1990,Bavaria,female,At least once per week,0.24094,186,13234,0.22719,0.25754
52,52,1990,Bavaria,female,At least once per month,0.16807,136,13234,0.15342,0.18407
53,53,1990,Bavaria,female,Seldom,0.28227,233,13234,0.26244,0.30307
54,54,1990,Bavaria,female,Never,0.30872,252,13234,0.28046,0.33241
55,55,1990,Berlin,male,Seldom,0.1688,40,13234,0.13476,0.20244
56,56,1990,Berlin,male,Never,0.8312,224,13234,0.76227,0.89365
57,57,1990,Berlin,female,Seldom,0.21785,54,13234,0.17394,0.26191
58,58,1990,Berlin,female,Never,0.78215,244,13234,0.71595,0.86303
59,59,1990,Brandenburg,male,Seldom,0.11686,39,13234,0.10322,0.13395
60,60,1990,Brandenburg,male,Never,0.88314,297,13234,0.84004,0.92982
61,61,1990,Brandenburg,female,Seldom,0.18159,55,13234,0.1667,0.19882
62,62,1990,Brandenburg,female,Never,0.81841,283,13234,0.78173,0.85856
63,63,1990,Mecklenburg-Western Pomerania,male,Seldom,0.15945,37,13234,0.13924,0.18369
64,64,1990,Mecklenburg-Western Pomerania,male,Never,0.84055,193,13234,0.79256,0.88873
65,65,1990,Mecklenburg-Western Pomerania,female,Seldom,0.20283,42,13234,0.174,0.24093
66,66,1990,Mecklenburg-Western Pomerania,female,Never,0.79717,188,13234,0.75098,0.84826
67,67,1990,Saxony,male,Seldom,0.18311,109,13234,0.17287,0.19465
68,68,1990,Saxony,male,Never,0.81689,456,13234,0.79239,0.8446
69,69,1990,Saxony,female,At least once per month,0.08615,50,13234,0.07499,0.09928
70,70,1990,Saxony,female,Seldom,0.20575,145,13234,0.19176,0.21927
71,71,1990,Saxony,female,Never,0.70809,466,13234,0.67927,0.73435
72,72,1990,Saxony-Anhalt,male,Seldom,0.10553,41,13234,0.09268,0.11719
73,73,1990,Saxony-Anhalt,male,Never,0.89447,311,13234,0.84585,0.94941
74,74,1990,Saxony-Anhalt,female,Seldom,0.16496,64,13234,0.15043,0.1799
75,75,1990,Saxony-Anhalt,female,Never,0.83504,308,13234,0.78578,0.8757
76,76,1990,Thuringa,male,Seldom,0.19955,72,13234,0.18239,0.21608
77,77,1990,Thuringa,male,Never,0.80045,239,13234,0.75099,0.8497
78,78,1990,Thuringa,female,Seldom,0.21287,82,13234,0.19241,0.23517
79,79,1990,Thuringa,female,Never,0.78713,261,13234,0.74187,0.83492
80,80,1992,Schleswig-Holstein,male,Seldom,0.34196,36,12694,0.28596,0.40368
81,81,1992,Schleswig-Holstein,male,Never,0.65804,82,12694,0.58503,0.74197
82,82,1992,Schleswig-Holstein,female,Seldom,0.34897,44,12694,0.31311,0.39174
83,83,1992,Schleswig-Holstein,female,Never,0.65103,84,12694,0.58343,0.72598
84,84,1992,Hamburg,male,Never,1.0,41,12694,0.81871,1.16548
85,85,1992,Hamburg,female,Never,1.0,50,12694,0.84452,1.12899
86,86,1992,Lower Saxony,male,At least once per week,0.0651,32,12694,0.04726,0.08106
87,87,1992,Lower Saxony,male,Seldom,0.32345,142,12694,0.29419,0.35516
88,88,1992,Lower Saxony,male,Never,0.61145,287,12694,0.57062,0.65559
89,89,1992,Lower Saxony,female,At least once per week,0.09284,43,12694,0.07205,0.10861
90,90,1992,Lower Saxony,female,At least once per month,0.08765,39,12694,0.0721,0.10287
91,91,1992,Lower Saxony,female,Seldom,0.35302,164,12694,0.32629,0.38492
92,92,1992,Lower Saxony,female,Never,0.46649,235,12694,0.43199,0.50408
93,93,1992,Bremen,female,Never,1.0,32,12694,0.84929,1.19234
94,94,1992,North Rhine-Westphalia,male,At least once per week,0.12108,165,12694,0.10787,0.13182
95,95,1992,North Rhine-Westphalia,male,At least once per month,0.06146,87,12694,0.05126,0.0703
96,96,1992,North Rhine-Westphalia,male,Seldom,0.28111,319,12694,0.26324,0.30209
97,97,1992,North Rhine-Westphalia,male,Never,0.53634,656,12694,0.509,0.56591
98,98,1992,North Rhine-Westphalia,female,At least once per week,0.16129,191,12694,0.14461,0.17649
99,99,1992,North Rhine-Westphalia,female,At least once per month,0.10275,125,12694,0.09237,0.11552
100,100,1992,North Rhine-Westphalia,female,Seldom,0.30764,365,12694,0.28938,0.32861
101,101,1992,North Rhine-Westphalia,female,Never,0.42832,592,12694,0.40549,0.45322
102,102,1992,Hesse,male,At least once per week,0.08055,37,12694,0.05829,0.10282
103,103,1992,Hesse,male,At least once per month,0.07862,64,12694,0.06243,0.0984
104,104,1992,Hesse,male,Seldom,0.34288,147,12694,0.31384,0.37775
105,105,1992,Hesse,male,Never,0.49795,220,12694,0.45368,0.54132
106,106,1992,Hesse,female,At least once per week,0.143,70,12694,0.11718,0.17708
107,107,1992,Hesse,female,At least once per month,0.12216,73,12694,0.09903,0.14516
108,108,1992,Hesse,female,Seldom,0.32311,143,12694,0.29208,0.35449
109,109,1992,Hesse,female,Never,0.41173,196,12694,0.36826,0.45703
110,110,1992,"Rhineland-Palatinate, Saarland",male,At least once per week,0.12401,31,12694,0.11086,0.13961
111,111,1992,"Rhineland-Palatinate, Saarland",male,Seldom,0.39308,113,12694,0.34472,0.43325
112,112,1992,"Rhineland-Palatinate, Saarland",male,Never,0.48291,140,12694,0.43784,0.53073
