year,regtyp,pli0098_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,At least once per week,0.10815,1172,8877,0.10169,0.11461
1990,Urban regions,At least once per month,0.08199,900,8877,0.07628,0.08770
1990,Urban regions,Seldom,0.24135,2518,8877,0.23245,0.25025
1990,Urban regions,Never,0.39301,4287,8877,0.38285,0.40317
1990,Rural regions,At least once per week,0.10030,445,4756,0.09177,0.10884
1990,Rural regions,At least once per month,0.08854,419,4756,0.08047,0.09662
1990,Rural regions,Seldom,0.21865,1134,4756,0.20690,0.23040
1990,Rural regions,Never,0.39125,2758,4756,0.37738,0.40512
1992,Urban regions,At least once per week,0.09302,990,8586,0.08687,0.09916
1992,Urban regions,At least once per month,0.07114,818,8586,0.06570,0.07658
1992,Urban regions,Seldom,0.22934,2296,8586,0.22045,0.23824
1992,Urban regions,Never,0.42392,4482,8586,0.41347,0.43437
1992,Rural regions,At least once per week,0.09162,395,4488,0.08318,0.10006
1992,Rural regions,At least once per month,0.06825,313,4488,0.06087,0.07563
1992,Rural regions,Seldom,0.21656,1066,4488,0.20451,0.22861
1992,Rural regions,Never,0.43325,2714,4488,0.41875,0.44775
1994,Urban regions,At least once per week,0.09039,953,8428,0.08427,0.09651
1994,Urban regions,At least once per month,0.07164,833,8428,0.06613,0.07715
1994,Urban regions,Seldom,0.23674,2363,8428,0.22766,0.24581
1994,Urban regions,Never,0.41934,4279,8428,0.40880,0.42987
1994,Rural regions,At least once per week,0.09239,384,4360,0.08380,0.10099
1994,Rural regions,At least once per month,0.07723,340,4360,0.06931,0.08516
1994,Rural regions,Seldom,0.20924,1058,4360,0.19716,0.22131
1994,Rural regions,Never,0.42759,2578,4360,0.41291,0.44228
1995,Urban regions,At least once per week,0.09933,1121,8678,0.09304,0.10562
1995,Urban regions,At least once per month,0.07430,887,8678,0.06879,0.07982
1995,Urban regions,Seldom,0.22442,2309,8678,0.21564,0.23320
1995,Urban regions,Never,0.42198,4361,8678,0.41159,0.43238
1995,Rural regions,At least once per week,0.09146,397,4513,0.08305,0.09987
1995,Rural regions,At least once per month,0.08442,375,4513,0.07631,0.09254
1995,Rural regions,Seldom,0.21201,1114,4513,0.20009,0.22394
1995,Rural regions,Never,0.41547,2627,4513,0.40109,0.42985
1996,Urban regions,At least once per week,0.09038,941,8509,0.08429,0.09647
1996,Urban regions,At least once per month,0.07251,837,8509,0.06700,0.07802
1996,Urban regions,Seldom,0.24754,2436,8509,0.23837,0.25671
1996,Urban regions,Never,0.41017,4295,8509,0.39972,0.42063
1996,Rural regions,At least once per week,0.08757,380,4491,0.07930,0.09584
1996,Rural regions,At least once per month,0.07939,361,4491,0.07148,0.08730
1996,Rural regions,Seldom,0.23056,1174,4491,0.21824,0.24288
1996,Rural regions,Never,0.41289,2576,4491,0.39849,0.42729
1997,Urban regions,At least once per week,0.09144,934,8333,0.08525,0.09763
1997,Urban regions,At least once per month,0.07202,789,8333,0.06647,0.07757
1997,Urban regions,Seldom,0.24589,2462,8333,0.23664,0.25513
1997,Urban regions,Never,0.40929,4148,8333,0.39874,0.41985
1997,Rural regions,At least once per week,0.08523,360,4418,0.07700,0.09347
1997,Rural regions,At least once per month,0.07000,337,4418,0.06248,0.07753
1997,Rural regions,Seldom,0.23521,1175,4418,0.22270,0.24771
1997,Rural regions,Never,0.42031,2546,4418,0.40576,0.43487
1998,Urban regions,At least once per week,0.09082,1017,9224,0.08496,0.09669
1998,Urban regions,At least once per month,0.08073,903,9224,0.07517,0.08629
1998,Urban regions,Seldom,0.24514,2752,9224,0.23636,0.25392
1998,Urban regions,Never,0.40735,4552,9224,0.39732,0.41738
1998,Rural regions,At least once per week,0.08521,426,4920,0.07741,0.09301
1998,Rural regions,At least once per month,0.08000,425,4920,0.07242,0.08758
1998,Rural regions,Seldom,0.24385,1377,4920,0.23185,0.25585
1998,Rural regions,Never,0.39973,2692,4920,0.38604,0.41342
1999,Urban regions,At least once per week,0.08405,853,8845,0.07827,0.08983
1999,Urban regions,At least once per month,0.07241,834,8845,0.06701,0.07781
1999,Urban regions,Seldom,0.26538,2796,8845,0.25618,0.27458
1999,Urban regions,Never,0.40479,4362,8845,0.39456,0.41502
1999,Rural regions,At least once per week,0.08216,389,4760,0.07436,0.08996
1999,Rural regions,At least once per month,0.06884,355,4760,0.06165,0.07603
1999,Rural regions,Seldom,0.24718,1339,4760,0.23492,0.25943
1999,Rural regions,Never,0.41629,2677,4760,0.40229,0.43030
2001,Urban regions,At least once per week,0.08185,1367,14213,0.07734,0.08635
2001,Urban regions,At least once per month,0.07679,1380,14213,0.07241,0.08117
2001,Urban regions,Seldom,0.24928,4368,14213,0.24217,0.25640
2001,Urban regions,Never,0.41115,7098,14213,0.40306,0.41924
2001,Rural regions,At least once per week,0.08082,661,7538,0.07467,0.08697
2001,Rural regions,At least once per month,0.08166,726,7538,0.07548,0.08785
2001,Rural regions,Seldom,0.23608,2074,7538,0.22649,0.24566
2001,Rural regions,Never,0.42528,4077,7538,0.41411,0.43644
2003,Urban regions,At least once per week,0.08571,1428,14661,0.08118,0.09025
2003,Urban regions,At least once per month,0.07815,1452,14661,0.07380,0.08249
2003,Urban regions,Seldom,0.25456,4634,14661,0.24751,0.26162
2003,Urban regions,Never,0.40634,7147,14661,0.39839,0.41429
2003,Rural regions,At least once per week,0.07413,607,7363,0.06815,0.08012
2003,Rural regions,At least once per month,0.07593,643,7363,0.06988,0.08198
2003,Rural regions,Seldom,0.23976,2045,7363,0.23001,0.24952
2003,Rural regions,Never,0.44021,4068,7363,0.42887,0.45155
2005,Urban regions,At least once per week,0.07806,1229,13701,0.07356,0.08255
2005,Urban regions,At least once per month,0.07250,1286,13701,0.06816,0.07684
2005,Urban regions,Seldom,0.25777,4365,13701,0.25044,0.26509
2005,Urban regions,Never,0.42584,6821,13701,0.41756,0.43412
2005,Rural regions,At least once per week,0.06944,532,6883,0.06343,0.07544
2005,Rural regions,At least once per month,0.07373,612,6883,0.06756,0.07991
2005,Rural regions,Seldom,0.24989,1934,6883,0.23966,0.26012
2005,Rural regions,Never,0.44510,3805,6883,0.43336,0.45684
2007,Urban regions,At least once per week,0.07303,1213,13426,0.06863,0.07743
2007,Urban regions,At least once per month,0.06878,1184,13426,0.06450,0.07306
2007,Urban regions,Seldom,0.24437,4159,13426,0.23710,0.25164
2007,Urban regions,Never,0.44001,6870,13426,0.43161,0.44841
2007,Rural regions,At least once per week,0.06740,551,6978,0.06151,0.07328
2007,Rural regions,At least once per month,0.07636,647,6978,0.07013,0.08259
2007,Rural regions,Seldom,0.22199,1841,6978,0.21224,0.23174
2007,Rural regions,Never,0.46713,3939,6978,0.45542,0.47884
2008,Urban regions,At least once per week,0.06962,1088,12651,0.06518,0.07405
2008,Urban regions,At least once per month,0.06950,1107,12651,0.06507,0.07393
