year,sex,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,male,At least once per week,0.10784,705,13720,0.10773,0.10795
1990,male,At least once per month,0.08285,548,13720,0.08275,0.08294
1990,male,Seldom,0.28782,1764,13720,0.28766,0.28798
1990,male,Never,0.52150,3680,13720,0.52132,0.52167
1990,female,At least once per week,0.14837,912,13720,0.14825,0.14850
1990,female,At least once per month,0.12083,772,13720,0.12072,0.12094
1990,female,Seldom,0.28488,1898,13720,0.28472,0.28503
1990,female,Never,0.44592,3441,13720,0.44575,0.44609
1992,male,At least once per week,0.09742,612,13191,0.09731,0.09752
1992,male,At least once per month,0.06873,483,13191,0.06864,0.06882
1992,male,Seldom,0.26816,1587,13191,0.26800,0.26831
1992,male,Never,0.56569,3727,13191,0.56552,0.56587
1992,female,At least once per week,0.12740,774,13191,0.12729,0.12751
1992,female,At least once per month,0.10141,649,13191,0.10130,0.10151
1992,female,Seldom,0.28213,1786,13191,0.28198,0.28228
1992,female,Never,0.48906,3573,13191,0.48889,0.48923
1994,male,At least once per week,0.09037,585,12788,0.09027,0.09047
1994,male,At least once per month,0.07937,505,12788,0.07928,0.07946
1994,male,Seldom,0.27790,1609,12788,0.27775,0.27806
1994,male,Never,0.55236,3475,12788,0.55219,0.55253
1994,female,At least once per week,0.13160,752,12788,0.13148,0.13171
1994,female,At least once per month,0.10004,668,12788,0.09994,0.10014
1994,female,Seldom,0.28221,1812,12788,0.28206,0.28236
1994,female,Never,0.48615,3382,12788,0.48598,0.48632
1995,male,At least once per week,0.09570,650,13191,0.09560,0.09580
1995,male,At least once per month,0.08412,556,13191,0.08403,0.08422
1995,male,Seldom,0.26618,1598,13191,0.26603,0.26634
1995,male,Never,0.55399,3567,13191,0.55382,0.55417
1995,female,At least once per week,0.14031,868,13191,0.14019,0.14042
1995,female,At least once per month,0.10539,706,13191,0.10529,0.10549
1995,female,Seldom,0.27471,1825,13191,0.27456,0.27486
1995,female,Never,0.47959,3421,13191,0.47942,0.47976
1996,male,At least once per week,0.09096,582,13000,0.09086,0.09106
1996,male,At least once per month,0.08303,523,13000,0.08294,0.08313
1996,male,Seldom,0.28857,1686,13000,0.28842,0.28873
1996,male,Never,0.53743,3480,13000,0.53726,0.53760
1996,female,At least once per week,0.12677,739,13000,0.12666,0.12688
1996,female,At least once per month,0.09907,675,13000,0.09897,0.09917
1996,female,Seldom,0.30361,1924,13000,0.30345,0.30376
1996,female,Never,0.47056,3391,13000,0.47039,0.47073
1997,male,At least once per week,0.09121,568,12752,0.09111,0.09131
1997,male,At least once per month,0.07496,477,12752,0.07487,0.07505
1997,male,Seldom,0.29130,1696,12752,0.29114,0.29146
1997,male,Never,0.54253,3434,12752,0.54235,0.54270
1997,female,At least once per week,0.12715,727,12752,0.12704,0.12726
1997,female,At least once per month,0.09908,649,12752,0.09898,0.09918
1997,female,Seldom,0.30252,1941,12752,0.30237,0.30267
1997,female,Never,0.47125,3260,12752,0.47108,0.47141
1998,male,At least once per week,0.09391,632,14144,0.09381,0.09402
1998,male,At least once per month,0.08532,556,14144,0.08523,0.08542
1998,male,Seldom,0.29144,1939,14144,0.29129,0.29160
1998,male,Never,0.52932,3724,14144,0.52915,0.52949
1998,female,At least once per week,0.12259,811,14144,0.12248,0.12270
1998,female,At least once per month,0.11040,772,14144,0.11029,0.11050
1998,female,Seldom,0.30557,2190,14144,0.30542,0.30573
1998,female,Never,0.46144,3520,14144,0.46127,0.46161
1999,male,At least once per week,0.08774,549,13605,0.08764,0.08784
1999,male,At least once per month,0.07251,494,13605,0.07242,0.07260
1999,male,Seldom,0.30943,1948,13605,0.30927,0.30959
1999,male,Never,0.53031,3587,13605,0.53014,0.53049
1999,female,At least once per week,0.11430,693,13605,0.11419,0.11441
1999,female,At least once per month,0.09994,695,13605,0.09984,0.10004
1999,female,Seldom,0.32140,2187,13605,0.32124,0.32156
1999,female,Never,0.46436,3452,13605,0.46420,0.46453
2001,male,At least once per week,0.08297,852,21751,0.08288,0.08307
2001,male,At least once per month,0.08239,877,21751,0.08229,0.08248
2001,male,Seldom,0.29458,3048,21751,0.29442,0.29474
2001,male,Never,0.54006,5671,21751,0.53989,0.54023
2001,female,At least once per week,0.11482,1176,21751,0.11471,0.11493
2001,female,At least once per month,0.10780,1229,21751,0.10770,0.10791
2001,female,Seldom,0.30263,3394,21751,0.30248,0.30279
2001,female,Never,0.47474,5504,21751,0.47457,0.47491
2003,male,At least once per week,0.08217,856,22024,0.08208,0.08227
2003,male,At least once per month,0.08044,874,22024,0.08035,0.08054
2003,male,Seldom,0.29548,3130,22024,0.29532,0.29564
2003,male,Never,0.54191,5748,22024,0.54174,0.54208
2003,female,At least once per week,0.11552,1179,22024,0.11541,0.11563
2003,female,At least once per month,0.10629,1221,22024,0.10619,0.10639
2003,female,Seldom,0.30895,3549,22024,0.30880,0.30910
2003,female,Never,0.46924,5467,22024,0.46908,0.46941
2005,male,At least once per week,0.07429,739,20584,0.07420,0.07438
2005,male,At least once per month,0.06944,750,20584,0.06936,0.06953
2005,male,Seldom,0.30389,2966,20584,0.30374,0.30405
2005,male,Never,0.55237,5389,20584,0.55220,0.55254
2005,female,At least once per week,0.10522,1022,20584,0.10511,0.10532
2005,female,At least once per month,0.10409,1148,20584,0.10399,0.10419
2005,female,Seldom,0.30720,3333,20584,0.30705,0.30736
2005,female,Never,0.48349,5237,20584,0.48333,0.48366
2007,male,At least once per week,0.07249,754,20404,0.07241,0.07258
2007,male,At least once per month,0.07119,741,20404,0.07110,0.07128
2007,male,Seldom,0.27604,2754,20404,0.27588,0.27619
2007,male,Never,0.58028,5478,20404,0.58011,0.58045
2007,female,At least once per week,0.09880,1010,20404,0.09870,0.09890
2007,female,At least once per month,0.09991,1090,20404,0.09981,0.10001
2007,female,Seldom,0.29626,3246,20404,0.29611,0.29641
