year,pli0165,sampreg,sex,proportion,n,lower_confidence,upper_confidence
2013,Daily,West,female,0.4596209912536443,44486,0.45498979105397924,0.46425219145330937
2013,Daily,West,male,0.3510204081632653,44486,0.3465850765494736,0.35545573977705697
2013,Daily,East,female,0.10903790087463557,44486,0.10614147279846134,0.11193432895080979
2013,Daily,East,male,0.0803206997084548,44486,0.07779503125354345,0.08284636816336616
2013,At least once per week,West,female,0.4393420150788211,44486,0.434729957003691,0.4439540731539512
2013,At least once per week,West,male,0.35400959561343387,44486,0.34956568880354344,0.3584535024233243
2013,At least once per week,East,female,0.11891706648389308,44486,0.11590908692407467,0.12192504604371149
2013,At least once per week,East,male,0.08773132282385196,44486,0.08510236806025943,0.09036027758744448
2013,At least once per month,West,female,0.4066390041493776,44486,0.4020743444428566,0.41120366385589857
2013,At least once per month,West,male,0.38865836791147995,44486,0.3841286580019428,0.3931880778210171
2013,At least once per month,East,male,0.10650069156293222,44486,0.10363408746822017,0.10936729565764428
2013,At least once per month,East,female,0.09820193637621023,44486,0.09543652931441891,0.10096734343800155
2013,Seldom,West,male,0.40050251256281405,44486,0.39594906123506335,0.40505596389056475
2013,Seldom,West,female,0.38391959798994973,44486,0.3794001725017707,0.38843902347812875
2013,Seldom,East,male,0.1120603015075377,44486,0.10912898966563975,0.11499161334943564
2013,Seldom,East,female,0.1035175879396985,44486,0.1006867021303548,0.10634847374904219
2013,Never,West,female,0.4118012905232061,44486,0.4072277737318285,0.41637480731458365
2013,Never,West,male,0.34012283293166445,44486,0.3357203889648154,0.34452527689851353
2013,Never,East,female,0.1329394387001477,44486,0.12978446292275195,0.13609441447754347
2013,Never,East,male,0.11513643784498173,44486,0.11217031630414985,0.11810255938581361
2017,Daily,West,male,0.531897265948633,45410,0.5273077721406801,0.5364867597565858
2017,Daily,West,female,0.3227009113504557,45410,0.31840088950458295,0.32700093319632845
2017,Daily,East,male,0.08947804473902236,45410,0.0868527155071491,0.09210337397089563
2017,Daily,East,female,0.05592377796188898,45410,0.05381037602318522,0.05803717990059274
2017,At least once per week,West,male,0.48753894080996885,45410,0.4829415077966878,0.4921363738232499
2017,At least once per week,West,female,0.35358255451713394,45410,0.34918529326097586,0.357979815773292
2017,At least once per week,East,male,0.08566978193146417,45410,0.08309556176822813,0.08824400209470021
2017,At least once per week,East,female,0.07320872274143302,45410,0.07081291091621095,0.07560453456665508
2017,At least once per month,West,male,0.44554455445544555,45410,0.4409730492669378,0.4501160596439533
2017,At least once per month,West,female,0.38613861386138615,45410,0.38166058287016885,0.39061664485260345
2017,At least once per month,East,male,0.10891089108910891,45410,0.10604554857297077,0.11177623360524705
2017,At least once per month,East,female,0.0594059405940594,45410,0.05723175619831543,0.06158012498980338
2017,Seldom,West,male,0.49356223175965663,45410,0.4889637515346968,0.4981607119846165
2017,Seldom,West,female,0.4206008583690987,45410,0.4160603516626862,0.42514136507551126
2017,Seldom,East,female,0.04291845493562232,45410,0.04105432220929446,0.044782587661950174
2017,Seldom,East,male,0.04291845493562232,45410,0.04105432220929446,0.044782587661950174
2017,Never,West,female,0.5383275261324042,45410,0.5337421960482411,0.5429128562165673
2017,Never,West,male,0.3048780487804878,45410,0.30064382409074064,0.30911227347023496
2017,Never,East,female,0.09233449477351917,45410,0.0896717764649268,0.09499721308211154
2017,Never,East,male,0.06445993031358885,45410,0.06220124133399983,0.06671861929317786
2018,Daily,West,male,0.5461501673840268,43121,0.5414509689463115,0.550849365821742
2018,Daily,West,female,0.31850789096126253,43121,0.3141104281701836,0.3229053537523415
2018,Daily,East,male,0.08608321377331421,43121,0.0834357853775219,0.08873064216910652
2018,Daily,East,female,0.04925872788139646,43121,0.047216122701044076,0.05130133306174884
2018,At least once per week,West,male,0.50390625,43121,0.49918704971097677,0.5086254502890232
