year,plj0024_h,age_gr,proportion,n,lower_confidence,upper_confidence
2002,Since birth,46-65 y.,0.35024336394199407,28961,0.344749098795235,0.3557376290887531
2002,Since birth,30-45 y.,0.3220432535501029,28961,0.31666170341264693,0.32742480368755883
2002,Since birth,66 and older,0.16839781223342867,28961,0.164087831501302,0.17270779296555536
2002,Since birth,18-29 y.,0.15931557027447438,28961,0.15510059619954225,0.1635305443494065
2002,Later,30-45 y.,0.38773148148148145,28961,0.3821198933036815,0.3933430696592814
2002,Later,46-65 y.,0.29282407407407407,28961,0.28758304682392205,0.2980651013242261
2002,Later,18-29 y.,0.2013888888888889,28961,0.1967700297097526,0.2060077480680252
2002,Later,66 and older,0.11805555555555555,28961,0.11433923537562739,0.12177187573548372
2003,Since birth,46-65 y.,0.34977625143095015,27727,0.3441627840491396,0.3553897188127607
2003,Since birth,30-45 y.,0.3106983036736393,27727,0.3052510356459786,0.31614557170130003
2003,Since birth,66 and older,0.17686543865126444,27727,0.1723742475331848,0.18135662976934408
2003,Since birth,18-29 y.,0.16266000624414612,27727,0.15831594499573545,0.16700406749255678
2003,Later,30-45 y.,0.36475869809203143,27727,0.3590926948042021,0.3704247013798608
2003,Later,46-65 y.,0.3108866442199775,27727,0.30543846988263096,0.3163348185573241
2003,Later,18-29 y.,0.20426487093153758,27727,0.19951932984657092,0.20901041201650425
2003,Later,66 and older,0.12008978675645342,27727,0.11626350588788939,0.12391606762501745
2004,Since birth,46-65 y.,0.3488867582827314,26790,0.34317933317232074,0.3545941833931421
2004,Since birth,30-45 y.,0.29876424842867794,26790,0.2932831695416465,0.30424532731570936
2004,Since birth,66 and older,0.18728028124001278,26790,0.18260846083169824,0.19195210164832732
2004,Since birth,18-29 y.,0.16506871204857781,26790,0.16062314193749463,0.169514282159661
2004,Later,30-45 y.,0.35414301929625425,26790,0.3484160185942658,0.3598700199982427
2004,Later,46-65 y.,0.3132803632236095,26790,0.3077261054120071,0.31883462103521193
2004,Later,18-29 y.,0.21906923950056753,26790,0.21411625829799863,0.22402222070313643
2004,Later,66 and older,0.11350737797956867,26790,0.10970881507219636,0.11730594088694098
2005,Since birth,46-65 y.,0.34724151341741205,25520,0.3414002361688972,0.3530827906659269
2005,Since birth,30-45 y.,0.2884049113839658,25520,0.282846719531571,0.2939631032363606
2005,Since birth,66 and older,0.1958997722095672,25520,0.19103023381538384,0.20076931060375056
2005,Since birth,18-29 y.,0.16845380298905493,25520,0.1638618298689639,0.17304577610914598
2005,Later,30-45 y.,0.3694874851013111,25520,0.3635655661609896,0.37540940404163253
2005,Later,46-65 y.,0.3110846245530393,25520,0.30540476040399345,0.3167644887020852
2005,Later,18-29 y.,0.2026221692491061,25520,0.19769053005947326,0.2075538084387389
2005,Later,66 and older,0.11680572109654351,25520,0.11286499801773717,0.12074644417534985
2006,Since birth,46-65 y.,0.34892398916321626,27321,0.3432721598552709,0.35457581847116165
2006,Since birth,30-45 y.,0.27567346521494657,27321,0.270374727092762,0.28097220333713113
2006,Since birth,66 and older,0.21228850380820938,27321,0.20743947677062144,0.21713753084579732
2006,Since birth,18-29 y.,0.16311404181362776,27321,0.15873290726597505,0.16749517636128047
2006,Later,30-45 y.,0.3528114663726571,27321,0.3471452320764802,0.358477700668834
2006,Later,46-65 y.,0.3065049614112459,27321,0.30103797229453333,0.31197195052795845
2006,Later,18-29 y.,0.2105843439911797,27321,0.2057495977611479,0.2154190902212115
2006,Later,66 and older,0.13009922822491732,27321,0.12611008165150964,0.134088374798325
2007,Since birth,46-65 y.,0.34675968823240855,25385,0.34090480446065036,0.35261457200416674
2007,Since birth,30-45 y.,0.26778219872458714,25385,0.2623349340116508,0.27322946343752347
2007,Since birth,66 and older,0.22243418542541016,25385,0.21731811123488926,0.22755025961593106
2007,Since birth,18-29 y.,0.16302392761759416,25385,0.1584798087354041,0.1675680464997842
2007,Later,30-45 y.,0.34553775743707094,25385,0.3396877348793581,0.35138777999478377
2007,Later,46-65 y.,0.3157894736842105,25385,0.31007124936946345,0.32150769799895756
2007,Later,18-29 y.,0.2151029748283753,25385,0.21004825559709625,0.22015769405965432
2007,Later,66 and older,0.12356979405034325,25385,0.11952140429287106,0.12761818380781545
2008,Since birth,46-65 y.,0.34934472605507766,23673,0.3432713245170744,0.3554181275930809
2008,Since birth,30-45 y.,0.25685583973211706,23673,0.2512902565370227,0.26242142292721143
2008,Since birth,66 and older,0.23208821661566884,23673,0.2267103300951321,0.23746610313620556
2008,Since birth,18-29 y.,0.16171121759713641,23673,0.15702096402158125,0.16640147117269158
2008,Later,30-45 y.,0.34104046242774566,23673,0.3350015080222859,0.3470794168332054
2008,Later,46-65 y.,0.315606936416185,23673,0.3096864758646783,0.32152739696769167
2008,Later,18-29 y.,0.1976878612716763,23673,0.19261455471817981,0.2027611678251728
2008,Later,66 and older,0.14566473988439307,23673,0.14117086676222163,0.15015861300656452
2009,Since birth,46-65 y.,0.3536054004295796,21983,0.3472853448774545,0.3599254559817047
2009,Since birth,30-45 y.,0.24805154955507824,21983,0.24234231878265924,0.2537607803274972
2009,Since birth,66 and older,0.24142374961644678,21983,0.23576654082499812,0.24708095840789543
2009,Since birth,18-29 y.,0.15691930039889537,21983,0.1521110691498221,0.16172753164796866
2009,Later,30-45 y.,0.37177747625508817,21983,0.3653888000064438,0.37816615250373253
2009,Later,46-65 y.,0.32157394843962006,21983,0.31539941312719494,0.3277484837520452
2009,Later,18-29 y.,0.17639077340569878,21983,0.171352158985736,0.18142938782566156
2009,Later,66 and older,0.13025780189959293,21983,0.12580831702459844,0.13470728677458743
2010,Since birth,30-45 y.,0.35758328951770946,35837,0.3526209409119046,0.3625456381235143
2010,Since birth,46-65 y.,0.301324028488122,35837,0.2965734660092509,0.30607459096699313
2010,Since birth,66 and older,0.18154007934611155,35837,0.17754913917657675,0.18553101951564635
2010,Since birth,18-29 y.,0.15955260264805698,35837,0.15576122135635326,0.1633439839397607
2010,Later,30-45 y.,0.5187861271676301,35837,0.51361299594917,0.5239592583860901
2010,Later,46-65 y.,0.22254335260115607,35837,0.21823674153709838,0.22684996366521376
2010,Later,18-29 y.,0.18641618497109827,35837,0.18238406722298625,0.1904483027192103
2010,Later,66 and older,0.07225433526011561,35837,0.06957370651859629,0.07493496400163493
2012,Since birth,46-65 y.,0.3477728830151738,40229,0.34311880417326124,0.35242696185708633
2012,Since birth,30-45 y.,0.308818730624898,40229,0.30430397497893175,0.31333348627086427
2012,Since birth,66 and older,0.19958394517865882,40229,0.1956781708204247,0.20348971953689293
2012,Since birth,18-29 y.,0.14382444118126939,40229,0.1403953090996708,0.14725357326286798
2012,Later,30-45 y.,0.4620915032679739,40229,0.45721953280713323,0.4669634737288145
2012,Later,46-65 y.,0.2928104575163399,40229,0.2883636568778241,0.29725725815485565
2012,Later,18-29 y.,0.1437908496732026,40229,0.1403620508061014,0.1472196485403038
2012,Later,66 and older,0.10130718954248366,40229,0.09835861426305047,0.10425576482191685
2013,Since birth,46-65 y.,0.35389528531809394,44486,0.34945170293696337,0.3583388676992245
2013,Since birth,30-45 y.,0.29788217497268676,44486,0.29363234407069894,0.3021320058746746
2013,Since birth,66 and older,0.19753760820236996,44486,0.1938377793736112,0.2012374370311287
2013,Since birth,18-29 y.,0.1506849315068493,44486,0.14736052809154407,0.15400933492215454
2013,Later,30-45 y.,0.44390749050742145,44486,0.43929044503454556,0.44852453598029735
2013,Later,46-65 y.,0.2823610631687953,44486,0.2781779482674493,0.28654417807014126
2013,Later,18-29 y.,0.2185018985157059,44486,0.21466185661096898,0.2223419404204428
2013,Later,66 and older,0.055229547808077324,44486,0.05310682499451802,0.05735227062163663
2014,Since birth,46-65 y.,0.3619620546043498,38694,0.35717366990955796,0.3667504392991417
2014,Since birth,30-45 y.,0.27584451642757984,38694,0.2713912123843667,0.280297820470793
2014,Since birth,66 and older,0.21300323924109207,38694,0.20892367445761786,0.21708280402456628
2014,Since birth,18-29 y.,0.14919018972697826,38694,0.1456402528129629,0.15274012664099362
2014,Later,30-45 y.,0.43673296656792215,38694,0.4317910044453884,0.4416749286904559
2014,Later,46-65 y.,0.28946254760897167,38694,0.2849437391298971,0.2939813560880462
2014,Later,18-29 y.,0.20440118493440543,38694,0.2003830637928366,0.20841930607597425
2014,Later,66 and older,0.06940330088870081,38694,0.06687105966413937,0.07193554211326225
2015,Since birth,46-65 y.,0.36739659367396593,38036,0.3625516137953489,0.37224157355258297
2015,Since birth,30-45 y.,0.2592700729927007,38036,0.25486589570772494,0.2636742502776765
2015,Since birth,66 and older,0.22180048661800486,38036,0.21762520881402964,0.22597576442198009
2015,Since birth,18-29 y.,0.15153284671532846,38036,0.14792930494884843,0.1551363884818085
2015,Later,30-45 y.,0.4381078691423519,38036,0.4331216007194152,0.4430941375652886
2015,Later,46-65 y.,0.3006189213085765,38036,0.2960108016553535,0.3052270409617995
2015,Later,18-29 y.,0.1896551724137931,38036,0.18571535650089863,0.19359498832668756
2015,Later,66 and older,0.07161803713527852,38036,0.06902664458430359,0.07420942968625345
2016,Since birth,46-65 y.,0.37293366813140827,41132,0.3682602063447144,0.37760712991810214
2016,Since birth,30-45 y.,0.2461812094580456,41132,0.24201801125173347,0.2503444076643578
2016,Since birth,66 and older,0.22891818372044362,41132,0.22485789857394745,0.2329784688669398
2016,Since birth,18-29 y.,0.15196693869010253,41132,0.1484975967423217,0.15543628063788334
2016,Later,30-45 y.,0.4287826515524889,41132,0.4239998159317114,0.43356548717326643
2016,Later,46-65 y.,0.3139477575160177,41132,0.3094626439456488,0.3184328710863866
2016,Later,18-29 y.,0.17299162148841793,41132,0.16933623209588897,0.1766470108809469
2016,Later,66 and older,0.0842779694430754,41132,0.08159321221194327,0.08696272667420754
2017,Since birth,46-65 y.,0.3901376465681049,45410,0.38565117248822955,0.39462412064798025
2017,Since birth,30-45 y.,0.23358205496593595,45410,0.22969041289020467,0.23747369704166724
2017,Since birth,66 and older,0.21295824257311025,45410,0.20919270977262147,0.21672377537359902
2017,Since birth,18-29 y.,0.16332205589284887,45410,0.15992203254152304,0.1667220792441747
2017,Later,30-45 y.,0.4246314788397527,45410,0.42008516447853395,0.4291777932009715
2017,Later,46-65 y.,0.3357108892058963,45410,0.33136737144905376,0.34005440696273886
2017,Later,18-29 y.,0.14978601997146934,45410,0.14650370629873566,0.15306833364420303
2017,Later,66 and older,0.0898716119828816,45410,0.08724108405780989,0.0925021399079533
2018,Since birth,46-65 y.,0.38699497967965574,43121,0.38239774853064346,0.391592210828668
2018,Since birth,30-45 y.,0.22404972507769544,43121,0.2201142169578241,0.22798523319756678
2018,Since birth,66 and older,0.21969878077934496,43121,0.21579076214745185,0.22360679941123807
2018,Since birth,18-29 y.,0.16925651446330384,43121,0.16571721077908586,0.17279581814752182
2018,Later,30-45 y.,0.413946587537092,43121,0.4092976639020511,0.41859551117213295
2018,Later,46-65 y.,0.3506429277942631,43121,0.3461390563184836,0.3551467992700426
2018,Later,18-29 y.,0.13155291790306628,43121,0.12836260278207343,0.13474323302405913
2018,Later,66 and older,0.10385756676557864,43121,0.10097805238205017,0.10673708114910711
2020,Since birth,46-65 y.,0.41075721153846156,42741,0.40609305123517997,0.41542137184174316
2020,Since birth,66 and older,0.22370793269230768,42741,0.21975711492467226,0.2276587504599431
2020,Since birth,30-45 y.,0.2084835737179487,42741,0.2046323422689657,0.2123348051669317
2020,Since birth,18-29 y.,0.15705128205128205,42741,0.15360179076604444,0.16050077333651966
2020,Later,30-45 y.,0.39467592592592593,42741,0.39004201135227107,0.3993098404995808
2020,Later,46-65 y.,0.37094907407407407,42741,0.36636940833861326,0.3755287398095349
2020,Later,66 and older,0.1232638888888889,42741,0.12014725268090812,0.12638052509686967
2020,Later,18-29 y.,0.1111111111111111,42741,0.10813166032733494,0.11409056189488727
2021,Since birth,46-65 y.,0.40998091468155795,27598,0.40417818798427024,0.41578364137884566
2021,Since birth,66 and older,0.23135647133667916,27598,0.22638115636640996,0.23633178630694837
2021,Since birth,30-45 y.,0.20682830282038595,27598,0.2020496458679365,0.2116069597728354
2021,Since birth,18-29 y.,0.15183431116137697,27598,0.14760039184289178,0.15606823047986215
2021,Later,46-65 y.,0.41440677966101697,27598,0.40859473808750246,0.42021882123453147
2021,Later,30-45 y.,0.3652542372881356,27598,0.359573367919271,0.3709351066570002
2021,Later,66 and older,0.12457627118644068,27598,0.12068004566276652,0.12847249671011485
2021,Later,18-29 y.,0.09576271186440678,27598,0.09229089594386257,0.099234527784951
