,Unnamed: 0,year,age_gr,pgisced97,plj0047,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,17-29 y.,Primary Level,Very concerned,1.0,33,1870,0.78271,1.25491
1,1,1992,17-29 y.,Lower Secondary Level,Very concerned,0.49015,167,1870,0.44036,0.53323
2,2,1992,17-29 y.,Lower Secondary Level,Somewhat concerned,0.36669,136,1870,0.32136,0.41346
3,3,1992,17-29 y.,Lower Secondary Level,Not concerned at all,0.14316,54,1870,0.11418,0.18387
4,4,1992,17-29 y.,Upper Secondary Level,Very concerned,0.44997,110,1870,0.39271,0.51752
5,5,1992,17-29 y.,Upper Secondary Level,Somewhat concerned,0.40025,113,1870,0.36098,0.44515
6,6,1992,17-29 y.,Upper Secondary Level,Not concerned at all,0.14977,46,1870,0.11999,0.1841
7,7,1992,30-45 y.,Primary Level,Very concerned,0.5178,67,1870,0.42811,0.6067
8,8,1992,30-45 y.,Primary Level,Somewhat concerned,0.28699,54,1870,0.25254,0.32525
9,9,1992,30-45 y.,Primary Level,Not concerned at all,0.19521,41,1870,0.1577,0.23981
10,10,1992,30-45 y.,Lower Secondary Level,Very concerned,0.37137,74,1870,0.32117,0.41465
11,11,1992,30-45 y.,Lower Secondary Level,Somewhat concerned,0.46783,100,1870,0.40761,0.5407
12,12,1992,30-45 y.,Lower Secondary Level,Not concerned at all,0.1608,37,1870,0.13234,0.18791
13,13,1992,30-45 y.,Upper Secondary Level,Very concerned,0.51317,73,1870,0.41798,0.63409
14,14,1992,30-45 y.,Upper Secondary Level,Somewhat concerned,0.48683,97,1870,0.42486,0.55862
15,15,1992,46-65 y.,Primary Level,Very concerned,0.34314,88,1870,0.2996,0.39395
16,16,1992,46-65 y.,Primary Level,Somewhat concerned,0.45786,119,1870,0.40884,0.50802
17,17,1992,46-65 y.,Primary Level,Not concerned at all,0.199,51,1870,0.16753,0.23209
18,18,1992,46-65 y.,Lower Secondary Level,Very concerned,0.37934,82,1870,0.32421,0.42901
19,19,1992,46-65 y.,Lower Secondary Level,Somewhat concerned,0.42201,112,1870,0.36644,0.47548
20,20,1992,46-65 y.,Lower Secondary Level,Not concerned at all,0.19864,47,1870,0.16347,0.24154
21,21,1992,46-65 y.,Upper Secondary Level,Very concerned,0.35566,54,1870,0.29506,0.42376
22,22,1992,46-65 y.,Upper Secondary Level,Somewhat concerned,0.32179,65,1870,0.27827,0.37204
23,23,1992,46-65 y.,Upper Secondary Level,Not concerned at all,0.32256,50,1870,0.25343,0.40881
24,24,1993,17-29 y.,Primary Level,Very concerned,0.46815,38,1806,0.35577,0.55937
25,25,1993,17-29 y.,Primary Level,Somewhat concerned,0.53185,32,1806,0.39988,0.69781
26,26,1993,17-29 y.,Lower Secondary Level,Very concerned,0.56025,176,1806,0.51405,0.61186
27,27,1993,17-29 y.,Lower Secondary Level,Somewhat concerned,0.33325,127,1806,0.29744,0.37287
28,28,1993,17-29 y.,Lower Secondary Level,Not concerned at all,0.10649,42,1806,0.07859,0.14287
29,29,1993,17-29 y.,Upper Secondary Level,Very concerned,0.585,136,1806,0.53151,0.64572
30,30,1993,17-29 y.,Upper Secondary Level,Somewhat concerned,0.415,115,1806,0.37244,0.45907
31,31,1993,30-45 y.,Primary Level,Very concerned,0.63375,70,1806,0.52042,0.77331
32,32,1993,30-45 y.,Primary Level,Somewhat concerned,0.36625,58,1806,0.31509,0.42606
33,33,1993,30-45 y.,Lower Secondary Level,Very concerned,0.56504,103,1806,0.50654,0.63183
34,34,1993,30-45 y.,Lower Secondary Level,Somewhat concerned,0.43496,80,1806,0.36421,0.52685
35,35,1993,30-45 y.,Upper Secondary Level,Very concerned,0.48353,76,1806,0.39675,0.59327
36,36,1993,30-45 y.,Upper Secondary Level,Somewhat concerned,0.51647,89,1806,0.46211,0.58174
37,37,1993,46-65 y.,Primary Level,Very concerned,0.50774,125,1806,0.46034,0.56084
38,38,1993,46-65 y.,Primary Level,Somewhat concerned,0.37264,101,1806,0.32069,0.42978
39,39,1993,46-65 y.,Primary Level,Not concerned at all,0.11962,35,1806,0.1059,0.1405
40,40,1993,46-65 y.,Lower Secondary Level,Very concerned,0.46459,101,1806,0.4023,0.53605
41,41,1993,46-65 y.,Lower Secondary Level,Somewhat concerned,0.39251,103,1806,0.34428,0.43762
42,42,1993,46-65 y.,Lower Secondary Level,Not concerned at all,0.14291,33,1806,0.10417,0.19006
43,43,1993,46-65 y.,Upper Secondary Level,Very concerned,0.37511,66,1806,0.32361,0.43283
44,44,1993,46-65 y.,Upper Secondary Level,Somewhat concerned,0.42529,69,1806,0.34247,0.5196
45,45,1993,46-65 y.,Upper Secondary Level,Not concerned at all,0.1996,31,1806,0.14364,0.2744
46,46,1994,17-29 y.,Lower Secondary Level,Very concerned,0.50379,140,1639,0.45308,0.55724
47,47,1994,17-29 y.,Lower Secondary Level,Somewhat concerned,0.37907,110,1639,0.32872,0.44227
48,48,1994,17-29 y.,Lower Secondary Level,Not concerned at all,0.11714,35,1639,0.0931,0.15449
49,49,1994,17-29 y.,Upper Secondary Level,Very concerned,0.53331,128,1639,0.47037,0.59611
50,50,1994,17-29 y.,Upper Secondary Level,Somewhat concerned,0.46669,119,1639,0.40381,0.51772
51,51,1994,30-45 y.,Primary Level,Very concerned,0.59091,66,1639,0.49974,0.69561
52,52,1994,30-45 y.,Primary Level,Somewhat concerned,0.40909,51,1639,0.30557,0.58887
53,53,1994,30-45 y.,Lower Secondary Level,Very concerned,0.58175,96,1639,0.50636,0.64507
54,54,1994,30-45 y.,Lower Secondary Level,Somewhat concerned,0.41825,75,1639,0.35799,0.47897
55,55,1994,30-45 y.,Upper Secondary Level,Very concerned,0.53419,75,1639,0.41764,0.72028
56,56,1994,30-45 y.,Upper Secondary Level,Somewhat concerned,0.46581,91,1639,0.40151,0.52392
57,57,1994,46-65 y.,Primary Level,Very concerned,0.41973,108,1639,0.37755,0.46129
58,58,1994,46-65 y.,Primary Level,Somewhat concerned,0.48283,115,1639,0.43227,0.5359
59,59,1994,46-65 y.,Primary Level,Not concerned at all,0.09743,33,1639,0.07822,0.11888
60,60,1994,46-65 y.,Lower Secondary Level,Very concerned,0.5391,107,1639,0.47858,0.6185
61,61,1994,46-65 y.,Lower Secondary Level,Somewhat concerned,0.32605,90,1639,0.28577,0.36027
62,62,1994,46-65 y.,Lower Secondary Level,Not concerned at all,0.13485,38,1639,0.10685,0.16601
63,63,1994,46-65 y.,Upper Secondary Level,Very concerned,0.37302,58,1639,0.32396,0.4186
64,64,1994,46-65 y.,Upper Secondary Level,Somewhat concerned,0.43084,72,1639,0.35713,0.51064
65,65,1994,46-65 y.,Upper Secondary Level,Not concerned at all,0.19613,32,1639,0.14663,0.24859
66,66,1995,17-29 y.,Lower Secondary Level,Very concerned,0.49211,102,1481,0.42288,0.56113
67,67,1995,17-29 y.,Lower Secondary Level,Somewhat concerned,0.38451,105,1481,0.33732,0.42582
68,68,1995,17-29 y.,Lower Secondary Level,Not concerned at all,0.12338,31,1481,0.08895,0.16939
69,69,1995,17-29 y.,Upper Secondary Level,Very concerned,0.50099,108,1481,0.44892,0.56818
70,70,1995,17-29 y.,Upper Secondary Level,Somewhat concerned,0.49901,111,1481,0.42365,0.56032
71,71,1995,30-45 y.,Primary Level,Very concerned,0.5579,49,1481,0.48315,0.63985
72,72,1995,30-45 y.,Primary Level,Somewhat concerned,0.4421,47,1481,0.33102,0.57961
73,73,1995,30-45 y.,Lower Secondary Level,Very concerned,0.54531,72,1481,0.4602,0.62123
74,74,1995,30-45 y.,Lower Secondary Level,Somewhat concerned,0.45469,74,1481,0.39296,0.52326
75,75,1995,30-45 y.,Upper Secondary Level,Very concerned,0.38092,56,1481,0.31436,0.44997
76,76,1995,30-45 y.,Upper Secondary Level,Somewhat concerned,0.61908,99,1481,0.50169,0.7796
77,77,1995,46-65 y.,Primary Level,Very concerned,0.41013,95,1481,0.36704,0.46362
78,78,1995,46-65 y.,Primary Level,Somewhat concerned,0.44091,110,1481,0.40046,0.48211
79,79,1995,46-65 y.,Primary Level,Not concerned at all,0.14897,38,1481,0.1116,0.18919
80,80,1995,46-65 y.,Lower Secondary Level,Very concerned,0.47076,96,1481,0.41354,0.53806
81,81,1995,46-65 y.,Lower Secondary Level,Somewhat concerned,0.41151,100,1481,0.36342,0.46659
82,82,1995,46-65 y.,Lower Secondary Level,Not concerned at all,0.11774,31,1481,0.09203,0.15218
83,83,1995,46-65 y.,Upper Secondary Level,Very concerned,0.34709,51,1481,0.29567,0.4089
84,84,1995,46-65 y.,Upper Secondary Level,Somewhat concerned,0.43976,75,1481,0.37645,0.50306
85,85,1995,46-65 y.,Upper Secondary Level,Not concerned at all,0.21315,31,1481,0.15926,0.27061
86,86,1996,17-29 y.,Pre-primary Level,Very concerned,0.29759,84,12379,0.25896,0.3416
87,87,1996,17-29 y.,Pre-primary Level,Somewhat concerned,0.54047,153,12379,0.47921,0.59311
88,88,1996,17-29 y.,Pre-primary Level,Not concerned at all,0.16194,49,12379,0.12697,0.19367
89,89,1996,17-29 y.,Primary Level,Somewhat concerned,1.0,32,12379,0.72776,1.33241
90,90,1996,17-29 y.,Lower Secondary Level,Very concerned,0.32436,242,12379,0.29598,0.358
91,91,1996,17-29 y.,Lower Secondary Level,Somewhat concerned,0.51978,368,12379,0.47851,0.55828
92,92,1996,17-29 y.,Lower Secondary Level,Not concerned at all,0.15586,99,12379,0.1321,0.18027
93,93,1996,17-29 y.,Upper Secondary Level,Very concerned,0.30436,438,12379,0.28411,0.33333
94,94,1996,17-29 y.,Upper Secondary Level,Somewhat concerned,0.51639,784,12379,0.48564,0.54795
95,95,1996,17-29 y.,Upper Secondary Level,Not concerned at all,0.17925,255,12379,0.16351,0.19451
96,96,1996,17-29 y.,Post-secondary Non-tertiary Level,Very concerned,0.26264,46,12379,0.20802,0.34586
97,97,1996,17-29 y.,Post-secondary Non-tertiary Level,Somewhat concerned,0.73736,102,12379,0.61274,0.87204
98,98,1996,17-29 y.,First Stage of Tertiary Education,Very concerned,0.4301,41,12379,0.31588,0.57755
99,99,1996,17-29 y.,First Stage of Tertiary Education,Somewhat concerned,0.5699,53,12379,0.43254,0.708
100,100,1996,17-29 y.,Second Stage of Tertiary Education,Very concerned,0.25785,34,12379,0.17981,0.35406
101,101,1996,17-29 y.,Second Stage of Tertiary Education,Somewhat concerned,0.74215,105,12379,0.63138,0.87918
102,102,1996,30-45 y.,Primary Level,Very concerned,0.62994,58,12379,0.43679,0.79932
103,103,1996,30-45 y.,Primary Level,Somewhat concerned,0.37006,53,12379,0.29108,0.48363
104,104,1996,30-45 y.,Lower Secondary Level,Very concerned,0.38585,163,12379,0.33724,0.43939
105,105,1996,30-45 y.,Lower Secondary Level,Somewhat concerned,0.46931,216,12379,0.42729,0.51597
106,106,1996,30-45 y.,Lower Secondary Level,Not concerned at all,0.14484,63,12379,0.12644,0.16626
107,107,1996,30-45 y.,Upper Secondary Level,Very concerned,0.27379,665,12379,0.25537,0.28821
108,108,1996,30-45 y.,Upper Secondary Level,Somewhat concerned,0.56013,1299,12379,0.53633,0.5798
109,109,1996,30-45 y.,Upper Secondary Level,Not concerned at all,0.16608,408,12379,0.15279,0.1809
110,110,1996,30-45 y.,Post-secondary Non-tertiary Level,Very concerned,0.27751,56,12379,0.23681,0.32547
111,111,1996,30-45 y.,Post-secondary Non-tertiary Level,Somewhat concerned,0.61997,131,12379,0.53531,0.69571
112,112,1996,30-45 y.,Post-secondary Non-tertiary Level,Not concerned at all,0.10253,34,12379,0.07772,0.13051
113,113,1996,30-45 y.,First Stage of Tertiary Education,Very concerned,0.26053,93,12379,0.21496,0.31201
114,114,1996,30-45 y.,First Stage of Tertiary Education,Somewhat concerned,0.55451,180,12379,0.50367,0.62963
115,115,1996,30-45 y.,First Stage of Tertiary Education,Not concerned at all,0.18495,54,12379,0.15029,0.23125
116,116,1996,30-45 y.,Second Stage of Tertiary Education,Very concerned,0.20505,173,12379,0.18595,0.23074
117,117,1996,30-45 y.,Second Stage of Tertiary Education,Somewhat concerned,0.61887,528,12379,0.5781,0.66296
118,118,1996,30-45 y.,Second Stage of Tertiary Education,Not concerned at all,0.17608,142,12379,0.15021,0.20464
119,119,1996,46-65 y.,Primary Level,Very concerned,0.33549,85,12379,0.29554,0.38235
120,120,1996,46-65 y.,Primary Level,Somewhat concerned,0.52152,128,12379,0.4544,0.60019
121,121,1996,46-65 y.,Primary Level,Not concerned at all,0.14299,31,12379,0.10442,0.18505
122,122,1996,46-65 y.,Lower Secondary Level,Very concerned,0.35961,263,12379,0.32794,0.39267
123,123,1996,46-65 y.,Lower Secondary Level,Somewhat concerned,0.47208,358,12379,0.43289,0.51366
124,124,1996,46-65 y.,Lower Secondary Level,Not concerned at all,0.16831,124,12379,0.15073,0.18689
125,125,1996,46-65 y.,Upper Secondary Level,Very concerned,0.31719,603,12379,0.30068,0.33345
126,126,1996,46-65 y.,Upper Secondary Level,Somewhat concerned,0.52277,1005,12379,0.4992,0.54735
127,127,1996,46-65 y.,Upper Secondary Level,Not concerned at all,0.16004,314,12379,0.14965,0.17045
128,128,1996,46-65 y.,Post-secondary Non-tertiary Level,Somewhat concerned,1.0,34,12379,0.78572,1.2202
