year,quintil_oecd,regtyp,plj0047,proportion,n,lower_confidence,upper_confidence
1992,1. Quintil,Staedtischer Raum,Grosse Sorgen,0.147926267281106,17350,0.14264342591623116,0.15320910864598083
1992,1. Quintil,Staedtischer Raum,Einige Sorgen,0.14746543778801843,17350,0.1421894054192341,0.15274147015680276
1992,2. Quintil,Staedtischer Raum,Grosse Sorgen,0.11474654377880185,17350,0.11000401522985162,0.11948907232775208
1992,2. Quintil,Staedtischer Raum,Einige Sorgen,0.11382488479262673,17350,0.10909898273632558,0.11855078684892788
1992,3. Quintil,Staedtischer Raum,Einige Sorgen,0.0912442396313364,17350,0.08695941898105126,0.09552906028162154
1992,3. Quintil,Staedtischer Raum,Grosse Sorgen,0.0576036866359447,17350,0.054136731189419224,0.06107064208247018
1992,2. Quintil,Staedtischer Raum,Keine Sorgen,0.05576036866359447,17350,0.05234600117605616,0.05917473615113278
1992,1. Quintil,Staedtischer Raum,Keine Sorgen,0.05069124423963134,17350,0.047427045816056376,0.0539554426632063
1992,4. Quintil,Staedtischer Raum,Einige Sorgen,0.03317972350230415,17350,0.030514610745445394,0.03584483625916291
1992,3. Quintil,Staedtischer Raum,Keine Sorgen,0.027649769585253458,17350,0.02520991776672747,0.030089621403779444
1992,2. Quintil,Laendlicher Raum,Einige Sorgen,0.01889400921658986,17350,0.01686807025302317,0.02091994818015655
1992,4. Quintil,Staedtischer Raum,Grosse Sorgen,0.017972350230414748,17350,0.015995514298932395,0.0199491861618971
1992,1. Quintil,Laendlicher Raum,Grosse Sorgen,0.017972350230414748,17350,0.015995514298932395,0.0199491861618971
1992,1. Quintil,Laendlicher Raum,Einige Sorgen,0.015207373271889401,17350,0.01338639053370412,0.017028356010074682
1992,4. Quintil,Staedtischer Raum,Keine Sorgen,0.015207373271889401,17350,0.01338639053370412,0.017028356010074682
1992,3. Quintil,Laendlicher Raum,Keine Sorgen,0.012903225806451613,17350,0.011223898511433064,0.014582553101470162
1992,2. Quintil,Laendlicher Raum,Grosse Sorgen,0.012903225806451613,17350,0.011223898511433064,0.014582553101470162
1992,1. Quintil,Laendlicher Raum,Keine Sorgen,0.010599078341013824,17350,0.009075283362155505,0.012122873319872144
1992,3. Quintil,Laendlicher Raum,Einige Sorgen,0.008755760368663594,17350,0.0073695038428247895,0.0101420168945024
1992,3. Quintil,Laendlicher Raum,Grosse Sorgen,0.007373271889400922,17350,0.006100268855322304,0.008646274923479538
1992,2. Quintil,Laendlicher Raum,Keine Sorgen,0.005990783410138249,17350,0.0048425151864576145,0.007139051633818884
1992,5. Quintil,Staedtischer Raum,Grosse Sorgen,0.004147465437788019,17350,0.00319116305894028,0.005103767816635758
1992,5. Quintil,Staedtischer Raum,Einige Sorgen,0.003686635944700461,17350,0.0027848168300017148,0.004588455059399207
1992,4. Quintil,Laendlicher Raum,Keine Sorgen,0.0027649769585253456,17350,0.001983617540292433,0.003546336376758258
1992,4. Quintil,Laendlicher Raum,Einige Sorgen,0.0018433179723502304,17350,0.0012050459330673305,0.0024815900116331303
1992,5. Quintil,Staedtischer Raum,Keine Sorgen,0.0018433179723502304,17350,0.0012050459330673305,0.0024815900116331303
1992,5. Quintil,Laendlicher Raum,Keine Sorgen,0.0009216589861751152,17350,0.00047012417838809633,0.001373193793962134
1992,4. Quintil,Laendlicher Raum,Grosse Sorgen,0.0009216589861751152,17350,0.00047012417838809633,0.001373193793962134
1993,1. Quintil,Staedtischer Raum,Grosse Sorgen,0.1792452830188679,16993,0.17347826107180017,0.18501230496593565
1993,2. Quintil,Staedtischer Raum,Grosse Sorgen,0.12452830188679245,16993,0.11956379484441498,0.12949280892916992
1993,1. Quintil,Staedtischer Raum,Einige Sorgen,0.11933962264150944,16993,0.11446526264079881,0.12421398264222006
1993,2. Quintil,Staedtischer Raum,Einige Sorgen,0.11132075471698114,16993,0.10659162058072653,0.11604988885323574
1993,3. Quintil,Staedtischer Raum,Einige Sorgen,0.08537735849056603,16993,0.08117577136458756,0.0895789456165445
1993,3. Quintil,Staedtischer Raum,Grosse Sorgen,0.06792452830188679,16993,0.06414132310230675,0.07170773350146684
1993,4. Quintil,Staedtischer Raum,Einige Sorgen,0.03632075471698113,16993,0.03350778713206404,0.039133722301898224
1993,1. Quintil,Laendlicher Raum,Grosse Sorgen,0.03349056603773585,16993,0.030785453512445368,0.03619567856302633
1993,4. Quintil,Staedtischer Raum,Grosse Sorgen,0.03160377358490566,16993,0.02897340228210621,0.03423414488770511
