year,sampreg,plj0047,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,West,Very concerned,0.02540,858,2237,0.01888,0.03193
1992,West,Somewhat concerned,0.02420,964,2237,0.01783,0.03057
1992,West,Not concerned at all,0.01097,415,2237,0.00665,0.01529
1993,West,Very concerned,0.03231,1028,2184,0.02489,0.03973
1993,West,Somewhat concerned,0.02578,903,2184,0.01913,0.03243
1993,West,Not concerned at all,0.00712,253,2184,0.00360,0.01065
1994,West,Very concerned,0.03329,959,2103,0.02562,0.04096
1994,West,Somewhat concerned,0.02880,901,2103,0.02165,0.03595
1994,West,Not concerned at all,0.00702,243,2103,0.00345,0.01059
1995,West,Very concerned,0.02238,789,1948,0.01581,0.02895
1995,West,Somewhat concerned,0.02159,897,1948,0.01514,0.02805
1995,West,Not concerned at all,0.00646,262,1948,0.00290,0.01002
1996,West,Very concerned,0.24451,2871,9231,0.23574,0.25328
1996,West,Somewhat concerned,0.42638,4906,9231,0.41629,0.43647
1996,West,Not concerned at all,0.13246,1454,9231,0.12554,0.13937
1996,East,Very concerned,0.22194,973,3635,0.20843,0.23545
1996,East,Somewhat concerned,0.42732,1935,3635,0.41124,0.44340
1996,East,Not concerned at all,0.16907,727,3635,0.15689,0.18126
1997,West,Very concerned,0.25335,2881,9098,0.24441,0.26228
1997,West,Somewhat concerned,0.41019,4675,9098,0.40008,0.42030
1997,West,Not concerned at all,0.14490,1542,9098,0.13766,0.15213
1997,East,Very concerned,0.22767,991,3601,0.21397,0.24136
1997,East,Somewhat concerned,0.43209,1870,3601,0.41591,0.44827
1997,East,Not concerned at all,0.16553,740,3601,0.15339,0.17767
1998,West,Very concerned,0.25255,3201,10183,0.24412,0.26099
1998,West,Somewhat concerned,0.40790,5205,10183,0.39835,0.41744
1998,West,Not concerned at all,0.14328,1777,10183,0.13648,0.15009
1998,East,Very concerned,0.23582,1044,3810,0.22234,0.24930
1998,East,Somewhat concerned,0.40790,1916,3810,0.39229,0.42351
1998,East,Not concerned at all,0.17870,850,3810,0.16653,0.19086
1999,West,Very concerned,0.24533,2970,9836,0.23683,0.25384
1999,West,Somewhat concerned,0.44114,5337,9836,0.43132,0.45095
1999,West,Not concerned at all,0.13116,1529,9836,0.12449,0.13784
1999,East,Very concerned,0.25141,1088,3774,0.23756,0.26525
1999,East,Somewhat concerned,0.47333,2173,3774,0.45740,0.48927
1999,East,Not concerned at all,0.11949,513,3774,0.10914,0.12984
2000,West,Very concerned,0.25759,5655,18049,0.25121,0.26397
2000,West,Somewhat concerned,0.40321,9115,18049,0.39605,0.41037
2000,West,Not concerned at all,0.15144,3279,18049,0.14621,0.15667
2000,East,Very concerned,0.26785,1842,5791,0.25645,0.27926
2000,East,Somewhat concerned,0.44049,3079,5791,0.42770,0.45327
2000,East,Not concerned at all,0.13123,870,5791,0.12253,0.13992
2001,West,Very concerned,0.27870,5671,16286,0.27181,0.28559
2001,West,Somewhat concerned,0.39503,7942,16286,0.38753,0.40254
2001,West,Not concerned at all,0.13635,2673,16286,0.13108,0.14162
2001,East,Very concerned,0.33316,2138,5388,0.32057,0.34575
2001,East,Somewhat concerned,0.39623,2551,5388,0.38317,0.40929
2001,East,Not concerned at all,0.12006,699,5388,0.11138,0.12874
2002,West,Very concerned,0.22252,4753,17457,0.21635,0.22869
2002,West,Somewhat concerned,0.44188,9525,17457,0.43451,0.44924
2002,West,Not concerned at all,0.15106,3179,17457,0.14575,0.15637
2002,East,Very concerned,0.26153,1653,5391,0.24980,0.27326
2002,East,Somewhat concerned,0.46225,2976,5391,0.44894,0.47556
2002,East,Not concerned at all,0.13332,762,5391,0.12424,0.14239
2003,West,Very concerned,0.18539,3668,16647,0.17949,0.19130
2003,West,Somewhat concerned,0.44264,9157,16647,0.43510,0.45019
2003,West,Not concerned at all,0.18643,3822,16647,0.18051,0.19234
2003,East,Very concerned,0.21020,1292,5310,0.19924,0.22116
2003,East,Somewhat concerned,0.49564,3116,5310,0.48219,0.50908
2003,East,Not concerned at all,0.15549,902,5310,0.14574,0.16524
2004,West,Very concerned,0.19251,3753,16210,0.18644,0.19857
2004,West,Somewhat concerned,0.43630,8752,16210,0.42867,0.44394
2004,West,Not concerned at all,0.18885,3705,16210,0.18282,0.19487
2004,East,Very concerned,0.20846,1237,5190,0.19740,0.21951
2004,East,Somewhat concerned,0.47934,2970,5190,0.46575,0.49293
2004,East,Not concerned at all,0.17654,983,5190,0.16617,0.18691
2005,West,Very concerned,0.25047,4545,15529,0.24365,0.25728
2005,West,Somewhat concerned,0.41493,7975,15529,0.40718,0.42268
2005,West,Not concerned at all,0.16007,3009,15529,0.15431,0.16584
2005,East,Very concerned,0.27967,1625,5008,0.26724,0.29210
2005,East,Somewhat concerned,0.45786,2685,5008,0.44405,0.47166
2005,East,Not concerned at all,0.12979,698,5008,0.12048,0.13910
2006,West,Very concerned,0.23392,4605,16519,0.22747,0.24038
2006,West,Somewhat concerned,0.42280,8779,16519,0.41527,0.43033
2006,West,Not concerned at all,0.15823,3135,16519,0.15266,0.16379
2006,East,Very concerned,0.24477,1442,5237,0.23312,0.25641
2006,East,Somewhat concerned,0.45685,2895,5237,0.44335,0.47034
2006,East,Not concerned at all,0.15552,900,5237,0.14570,0.16533
2007,West,Very concerned,0.22227,4120,15335,0.21569,0.22885
2007,West,Somewhat concerned,0.43008,8216,15335,0.42225,0.43792
2007,West,Not concerned at all,0.16257,2999,15335,0.15673,0.16841
2007,East,Very concerned,0.24817,1395,4976,0.23616,0.26017
2007,East,Somewhat concerned,0.44598,2657,4976,0.43217,0.45979
2007,East,Not concerned at all,0.17344,924,4976,0.16292,0.18397
2008,West,Very concerned,0.19908,3404,14446,0.19257,0.20559
2008,West,Somewhat concerned,0.44773,7929,14446,0.43962,0.45584
2008,West,Not concerned at all,0.17812,3113,14446,0.17188,0.18436
2008,East,Very concerned,0.20343,1078,4741,0.19197,0.21489
2008,East,Somewhat concerned,0.48120,2701,4741,0.46698,0.49542
2008,East,Not concerned at all,0.18494,962,4741,0.17389,0.19600
2009,West,Very concerned,0.16659,2562,13360,0.16027,0.17291
2009,West,Somewhat concerned,0.46949,7547,13360,0.46102,0.47795
2009,West,Not concerned at all,0.19292,3251,13360,0.18623,0.19962
2009,East,Very concerned,0.18550,927,4523,0.17417,0.19683
2009,East,Somewhat concerned,0.49803,2710,4523,0.48346,0.51261
2009,East,Not concerned at all,0.18204,886,4523,0.17079,0.19329
2010,West,Very concerned,0.17007,4008,18353,0.16464,0.17551
2010,West,Somewhat concerned,0.46209,10220,18353,0.45487,0.46930
2010,West,Not concerned at all,0.19774,4125,18353,0.19198,0.20350
2010,East,Very concerned,0.18878,1118,5434,0.17837,0.19918
2010,East,Somewhat concerned,0.50175,3171,5434,0.48845,0.51504
2010,East,Not concerned at all,0.18168,1145,5434,0.17142,0.19193
2011,West,Very concerned,0.14181,2922,15614,0.13634,0.14728
2011,West,Somewhat concerned,0.40552,8563,15614,0.39782,0.41322
2011,West,Not concerned at all,0.19984,4129,15614,0.19356,0.20611
2011,East,Very concerned,0.16350,915,4824,0.15307,0.17394
2011,East,Somewhat concerned,0.42260,2738,4824,0.40866,0.43655
2011,East,Not concerned at all,0.19873,1171,4824,0.18747,0.21000
2012,West,Very concerned,0.16233,3260,15524,0.15652,0.16813
2012,West,Somewhat concerned,0.41930,8731,15524,0.41154,0.42707
2012,West,Not concerned at all,0.17639,3533,15524,0.17039,0.18239
2012,East,Very concerned,0.16130,911,4822,0.15092,0.17168
2012,East,Somewhat concerned,0.43930,2750,4822,0.42529,0.45331
2012,East,Not concerned at all,0.19342,1161,4822,0.18227,0.20457
2013,West,Very concerned,0.14391,3378,18856,0.13890,0.14892
2013,West,Somewhat concerned,0.41395,9546,18856,0.40692,0.42098
2013,West,Not concerned at all,0.21339,5932,18856,0.20754,0.21924
2013,East,Very concerned,0.14521,841,4807,0.13525,0.15517
2013,East,Somewhat concerned,0.45207,2722,4807,0.43800,0.46614
2013,East,Not concerned at all,0.20467,1244,4807,0.19326,0.21608
2014,West,Very concerned,0.17463,4668,21349,0.16954,0.17972
2014,West,Somewhat concerned,0.46011,11694,21349,0.45342,0.46680
2014,West,Not concerned at all,0.19874,4987,21349,0.19339,0.20409
2014,East,Very concerned,0.19242,1207,5550,0.18204,0.20279
2014,East,Somewhat concerned,0.46958,3107,5550,0.45645,0.48271
2014,East,Not concerned at all,0.19126,1236,5550,0.18092,0.20161
2015,West,Very concerned,0.27898,6851,21197,0.27294,0.28501
2015,West,Somewhat concerned,0.42161,10598,21197,0.41497,0.42826
2015,West,Not concerned at all,0.13340,3748,21197,0.12882,0.13797
2015,East,Very concerned,0.29308,1785,5366,0.28090,0.30526
2015,East,Somewhat concerned,0.42154,2687,5366,0.40833,0.43476
2015,East,Not concerned at all,0.13329,894,5366,0.12420,0.14239
2016,West,Very concerned,0.39285,9223,21542,0.38633,0.39937
2016,West,Somewhat concerned,0.34758,8449,21542,0.34122,0.35394
2016,West,Not concerned at all,0.09375,3870,21542,0.08986,0.09764
2016,East,Very concerned,0.38271,2324,5492,0.36986,0.39557
2016,East,Somewhat concerned,0.35642,2233,5492,0.34376,0.36909
2016,East,Not concerned at all,0.10822,935,5492,0.10001,0.11644
2017,West,Very concerned,0.34617,8770,24156,0.34017,0.35217
2017,West,Somewhat concerned,0.38756,10447,24156,0.38142,0.39371
2017,West,Not concerned at all,0.09714,4939,24156,0.09340,0.10087
2017,East,Very concerned,0.35004,2303,6129,0.33810,0.36199
2017,East,Somewhat concerned,0.37320,2726,6129,0.36109,0.38531
2017,East,Not concerned at all,0.11864,1100,6129,0.11055,0.12674
2018,West,Very concerned,0.28007,6959,23067,0.27428,0.28587
2018,West,Somewhat concerned,0.44186,11296,23067,0.43545,0.44826
