year,pgisced97,sampreg,plj0587,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,Pre-primary Level,West,Often,0.10491547800606632,33,24791,0.10414501516209371,0.10568594085003893
2013,Pre-primary Level,West,Sometimes,0.24825193195655954,108,24791,0.24716580054783965,0.24933806336527942
2013,Pre-primary Level,West,Seldom,0.40058749546572603,166,24791,0.39935549325385283,0.4018194976775992
2013,Pre-primary Level,West,Never,0.24624509457164817,81,24791,0.24516191923295721,0.24732826991033913
2013,Primary Level,West,Often,0.15976169484681874,45,24791,0.1588278395505509,0.16069555014308656
2013,Primary Level,West,Sometimes,0.37391537691615034,100,24791,0.37268214373901687,0.3751486100932838
2013,Primary Level,West,Seldom,0.3002918314949444,67,24791,0.29912348341351114,0.3014601795763776
2013,Primary Level,West,Never,0.16603109674208644,42,24791,0.16508265280360007,0.1669795406805728
2013,Lower Secondary Level,West,Very often,0.029086292611843985,68,24791,0.028949046733343076,0.029223538490344893
2013,Lower Secondary Level,West,Often,0.10727031982583411,237,24791,0.10701758529369247,0.10752305435797575
2013,Lower Secondary Level,West,Sometimes,0.341512178479075,694,24791,0.3411248835755298,0.3418994733826202
2013,Lower Secondary Level,West,Seldom,0.3219948635516899,788,24791,0.3216132658285904,0.32237646127478936
2013,Lower Secondary Level,West,Never,0.20013634553155701,450,24791,0.1998095803493671,0.20046311071374692
2013,Lower Secondary Level,East,Often,0.1047771810666993,49,24791,0.10407052260833743,0.10548383952506116
2013,Lower Secondary Level,East,Sometimes,0.4467653064387853,119,24791,0.4456181964576365,0.4479124164199341
2013,Lower Secondary Level,East,Seldom,0.3125352892272254,104,24791,0.3114657779443291,0.3136048005101217
2013,Lower Secondary Level,East,Never,0.13592222326729003,52,24791,0.13513148585446472,0.13671296068011535
2013,Upper Secondary Level,West,Very often,0.019436186991790456,165,24791,0.019381875164722437,0.019490498818858476
2013,Upper Secondary Level,West,Often,0.07635771377898214,722,24791,0.0762532347061989,0.07646219285176538
2013,Upper Secondary Level,West,Sometimes,0.34001319834854193,3161,24791,0.33982683244439366,0.3401995642526902
2013,Upper Secondary Level,West,Seldom,0.3773833747978282,3477,24791,0.37719267392268535,0.377574075672971
2013,Upper Secondary Level,West,Never,0.1868095260828573,1821,24791,0.18665618921137297,0.18696286295434164
2013,Upper Secondary Level,East,Very often,0.018941521103440773,68,24791,0.01883726924705256,0.019045772959828986
2013,Upper Secondary Level,East,Often,0.11259807854364705,322,24791,0.11235633516069742,0.11283982192659668
2013,Upper Secondary Level,East,Sometimes,0.3771667287398715,1121,24791,0.3767960637969922,0.3775373936827508
2013,Upper Secondary Level,East,Seldom,0.36537249350476975,1098,24791,0.36500423202528764,0.36574075498425185
2013,Upper Secondary Level,East,Never,0.12592117810827086,432,24791,0.12566745874591992,0.1261748974706218
2013,Post-secondary Non-tertiary Level,West,Very often,0.03288175938163136,35,24791,0.032691482802762226,0.0330720359605005
2013,Post-secondary Non-tertiary Level,West,Often,0.07372357856906829,117,24791,0.07344474726361892,0.07400240987451766
2013,Post-secondary Non-tertiary Level,West,Sometimes,0.3505900369925565,485,24791,0.3500809086407694,0.35109916534434354
2013,Post-secondary Non-tertiary Level,West,Seldom,0.41061078275446705,625,24791,0.4100858734251689,0.4111356920837652
2013,Post-secondary Non-tertiary Level,West,Never,0.13219384230227682,233,24791,0.13183244492192425,0.1325552396826294
2013,Post-secondary Non-tertiary Level,East,Sometimes,0.48081095157323483,115,24791,0.47934888433239686,0.4822730188140728
2013,Post-secondary Non-tertiary Level,East,Seldom,0.35611034004047754,97,24791,0.3547090906819636,0.35751158939899147
2013,Post-secondary Non-tertiary Level,East,Never,0.16307870838628752,41,24791,0.16199762710135962,0.16415978967121542
2013,First Stage of Tertiary Education,West,Often,0.06450188618915818,78,24791,0.06423094262964639,0.06477282974866998
2013,First Stage of Tertiary Education,West,Sometimes,0.38814293784057763,433,24791,0.38760542109389634,0.3886804545872589
2013,First Stage of Tertiary Education,West,Seldom,0.3788619037426101,492,24791,0.37832683975905085,0.3793969677261693
2013,First Stage of Tertiary Education,West,Never,0.16849327222765415,228,24791,0.1680804193342094,0.1689061251210989
2013,First Stage of Tertiary Education,East,Often,0.08432737476003183,37,24791,0.0837776115037247,0.08487713801633895
2013,First Stage of Tertiary Education,East,Sometimes,0.4030548338195614,163,24791,0.4020843895686124,0.4040252780705104
2013,First Stage of Tertiary Education,East,Seldom,0.3869089368369793,159,24791,0.3859453559476912,0.3878725177262674
2013,First Stage of Tertiary Education,East,Never,0.12570885458342757,65,24791,0.12505296266574858,0.12636474650110655
2013,Second Stage of Tertiary Education,West,Very often,0.013838478628630803,49,24791,0.013765350810656335,0.013911606446605272
2013,Second Stage of Tertiary Education,West,Often,0.07449260955172728,288,24791,0.0743282439422618,0.07465697516119275
2013,Second Stage of Tertiary Education,West,Sometimes,0.3345330104728321,1396,24791,0.3342376535445352,0.33482836740112903
2013,Second Stage of Tertiary Education,West,Seldom,0.41621710463140493,1832,24791,0.4159085372182153,0.41652567204459456
2013,Second Stage of Tertiary Education,West,Never,0.16091879671540493,805,24791,0.16068877449089794,0.16114881893991193
2013,Second Stage of Tertiary Education,East,Often,0.09147394939131753,110,24791,0.09112211562857271,0.09182578315406235
2013,Second Stage of Tertiary Education,East,Sometimes,0.3902094335372475,534,24791,0.3896141013844807,0.3908047656900143
2013,Second Stage of Tertiary Education,East,Seldom,0.4000649298414224,589,24791,0.3994670175632455,0.4006628421195993
2013,Second Stage of Tertiary Education,East,Never,0.11825168723001256,195,24791,0.11785759661072791,0.11864577784929721
2019,Primary Level,West,Sometimes,1.0,41,41,1.0,1.0
2021,Pre-primary Level,West,Sometimes,0.5289762745815161,57,18243,0.5272861438371521,0.53066640532588
2021,Pre-primary Level,West,Seldom,0.47102372541848403,57,18243,0.46933359467412006,0.472713856162848
2021,Primary Level,West,Very often,0.10965810395289627,170,18243,0.10903572134550643,0.1102804865602861
2021,Primary Level,West,Often,0.18486831679683471,143,18243,0.1840950955005963,0.18564153809307313
2021,Primary Level,West,Sometimes,0.4133716156415822,288,18243,0.41239074770325845,0.41435248357990595
2021,Primary Level,West,Seldom,0.18032793335849448,99,18243,0.17956214237824028,0.18109372433874868
2021,Primary Level,West,Never,0.11177403025019235,101,18243,0.11114641879004927,0.11240164171033543
2021,Primary Level,East,Sometimes,1.0,42,18243,1.0,1.0
2021,Lower Secondary Level,West,Very often,0.06174623842755973,149,18243,0.06154554552339019,0.06194693133172927
2021,Lower Secondary Level,West,Often,0.1942836315514375,281,18243,0.19395373649520364,0.19461352660767134
2021,Lower Secondary Level,West,Sometimes,0.34592910802355376,538,18243,0.3455324898846811,0.3463257261624264
2021,Lower Secondary Level,West,Seldom,0.2798593918990898,341,18243,0.27948507002954376,0.2802337137686359
