year,migback,sampreg,plj0588,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,West,Seldom,0.45481721367627825,44486,0.45018984708546705,0.45944458026708945
2013,No migration background,West,Never,0.3020489506134396,44486,0.2977822168893826,0.3063156843374966
2013,No migration background,West,Sometimes,0.18739490564862676,44486,0.18376861130029712,0.1910211999969564
2013,No migration background,West,Often,0.04633493180544311,44486,0.04438150746785951,0.04828835614302671
2013,No migration background,West,Very often,0.009403998256212244,44486,0.008507088087333598,0.01030090842509089
2013,No migration background,East,Seldom,0.44793569601753747,44486,0.4433145779738631,0.45255681406121184
2013,No migration background,East,Never,0.26671538180489585,44486,0.26260573298861745,0.27082503062117425
2013,No migration background,East,Sometimes,0.2133723054439167,44486,0.2095651725775914,0.21717943831024197
2013,No migration background,East,Often,0.061381074168797956,44486,0.05915055331375423,0.06361159502384169
2013,No migration background,East,Very often,0.010595542564852027,44486,0.00964407733061647,0.011547007799087584
2013,Direct migration background,West,Seldom,0.36342502905850443,44486,0.3589553474388046,0.3678947106782043
2013,Direct migration background,West,Never,0.3122820612165827,44486,0.3079755747410812,0.31658854769208417
2013,Direct migration background,West,Sometimes,0.23944207671445175,44486,0.23547645964372857,0.24340769378517493
2013,Direct migration background,West,Often,0.06625339015885316,44486,0.06394205479282129,0.06856472552488503
2013,Direct migration background,West,Very often,0.018597442851607904,44486,0.01734200678331898,0.01985287891989683
2013,Direct migration background,East,Seldom,0.35374149659863946,44486,0.3492983511296559,0.358184642067623
2013,Direct migration background,East,Sometimes,0.3469387755102041,44486,0.34251546158681706,0.3513620894335911
2013,Direct migration background,East,Never,0.1836734693877551,44486,0.18007515120847017,0.18727178756704005
2013,Direct migration background,East,Often,0.10884353741496598,44486,0.10594937634780753,0.11173769848212443
2013,Direct migration background,East,Very often,0.006802721088435374,44486,0.006038879174116394,0.007566563002754354
2013,Indirect migration background,West,Seldom,0.44370860927152317,44486,0.43909177282564305,0.4483254457174033
2013,Indirect migration background,West,Never,0.31125827814569534,44486,0.3069556576276482,0.3155608986637425
2013,Indirect migration background,West,Sometimes,0.1967833491012299,44486,0.19308885550690638,0.20047784269555344
2013,Indirect migration background,West,Often,0.04257332071901608,44486,0.04069717780060094,0.04444946363743122
2013,Indirect migration background,West,Very often,0.005676442762535478,44486,0.004978296546467558,0.006374588978603398
2013,Indirect migration background,East,Seldom,0.40298507462686567,44486,0.3984269996192882,0.40754314963444316
2013,Indirect migration background,East,Sometimes,0.29850746268656714,44486,0.294255068490764,0.3027598568823703
2013,Indirect migration background,East,Never,0.208955223880597,44486,0.2051771404637742,0.21273330729741982
2013,Indirect migration background,East,Often,0.07462686567164178,44486,0.07218483880967025,0.07706889253361332
2013,Indirect migration background,East,Very often,0.014925373134328358,44486,0.013798586835152869,0.016052159433503847
2016,Direct migration background,West,Never,0.3558748943364328,41132,0.351247889571401,0.36050189910146463
2016,Direct migration background,West,Sometimes,0.24471682163989855,41132,0.2405619943489786,0.2488716489308185
2016,Direct migration background,West,Seldom,0.22442941673710903,41132,0.22039745211933462,0.22846138135488345
2016,Direct migration background,West,Often,0.11665257819103973,41132,0.11355031170198775,0.11975484468009172
2016,Direct migration background,West,Very often,0.058326289095519866,41132,0.056061391587443235,0.0605911866035965
2016,Direct migration background,East,Sometimes,0.3247863247863248,41132,0.32026062605791644,0.32931202351473315
2016,Direct migration background,East,Never,0.31196581196581197,41132,0.30748842461020853,0.3164431993214154
2016,Direct migration background,East,Seldom,0.1623931623931624,41132,0.15882889617536444,0.16595742861096036
2016,Direct migration background,East,Often,0.14102564102564102,41132,0.13766203362746704,0.144389248423815
2016,Direct migration background,East,Very often,0.05982905982905983,41132,0.05753700153628678,0.06212111812183288
2017,No migration background,West,Seldom,0.45476365091006066,45410,0.4501836496956883,0.459343652124433
2017,No migration background,West,Never,0.3051536769117941,45410,0.3009183785923742,0.30938897523121406
2017,No migration background,West,Sometimes,0.18414560970731383,45410,0.1805805456932626,0.18771067372136507
2017,No migration background,West,Often,0.047136475765051006,45410,0.045187195769185076,0.049085755760916935
2017,No migration background,West,Very often,0.008800586705780385,45410,0.007941540247587073,0.009659633163973697
2017,No migration background,East,Seldom,0.44400939702427566,45410,0.43943946093015374,0.4485793331183976
2017,No migration background,East,Never,0.30618637431480034,45410,0.3019470693201958,0.31042567930940484
2017,No migration background,East,Sometimes,0.18539545810493344,45410,0.18182105705328083,0.18896985915658604
2017,No migration background,East,Often,0.0548159749412686,45410,0.052722382805892226,0.056909567076644976
2017,No migration background,East,Very often,0.009592795614722005,45410,0.008696275967561867,0.010489315261882143
2017,Direct migration background,West,Never,0.3167733243516335,45410,0.31249437615428927,0.3210522725489778
2017,Direct migration background,West,Seldom,0.3100370495116201,45410,0.3057830248491249,0.3142910741741153
2017,Direct migration background,West,Sometimes,0.26237790501852476,45410,0.2583315786509163,0.2664242313861332
