year,pgisced97,regtyp,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Pre-primary Level,Urban regions,Sometimes,0.06472,53,290,0.03635,0.09309
2013,Pre-primary Level,Urban regions,Seldom,0.22740,150,290,0.17907,0.27573
2013,Pre-primary Level,Urban regions,Never,0.14231,87,290,0.10203,0.18259
2013,Pre-primary Level,Rural regions,Seldom,0.20263,75,108,0.12647,0.27880
2013,Pre-primary Level,Rural regions,Never,0.07154,33,108,0.02271,0.12038
2013,Primary Level,Urban regions,Sometimes,0.23053,63,173,0.16759,0.29348
2013,Primary Level,Urban regions,Seldom,0.15556,64,173,0.10139,0.20972
2013,Primary Level,Urban regions,Never,0.17029,46,173,0.11411,0.22646
2013,Primary Level,Rural regions,Sometimes,0.16363,33,67,0.07438,0.25288
2013,Primary Level,Rural regions,Seldom,0.32840,34,67,0.21509,0.44170
2013,Lower Secondary Level,Urban regions,Often,0.07030,124,1620,0.05785,0.08276
2013,Lower Secondary Level,Urban regions,Sometimes,0.17669,376,1620,0.15811,0.19527
2013,Lower Secondary Level,Urban regions,Seldom,0.27581,590,1620,0.25404,0.29758
2013,Lower Secondary Level,Urban regions,Never,0.25084,530,1620,0.22972,0.27196
2013,Lower Secondary Level,Rural regions,Often,0.05644,57,892,0.04129,0.07159
2013,Lower Secondary Level,Rural regions,Sometimes,0.20325,208,892,0.17683,0.22967
2013,Lower Secondary Level,Rural regions,Seldom,0.32522,343,892,0.29446,0.35598
2013,Lower Secondary Level,Rural regions,Never,0.25975,284,892,0.23096,0.28854
2013,Upper Secondary Level,Urban regions,Very often,0.01081,93,7247,0.00843,0.01319
2013,Upper Secondary Level,Urban regions,Often,0.04714,376,7247,0.04226,0.05202
2013,Upper Secondary Level,Urban regions,Sometimes,0.19652,1467,7247,0.18737,0.20567
2013,Upper Secondary Level,Urban regions,Seldom,0.38259,3098,7247,0.37139,0.39378
2013,Upper Secondary Level,Urban regions,Never,0.27350,2213,7247,0.26324,0.28377
2013,Upper Secondary Level,Rural regions,Very often,0.00889,51,5103,0.00632,0.01147
2013,Upper Secondary Level,Rural regions,Often,0.05716,286,5103,0.05079,0.06353
2013,Upper Secondary Level,Rural regions,Sometimes,0.19450,1065,5103,0.18364,0.20536
