year,pgisced97,quintil_oecd,plj0589,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,Pre-primary Level,1st Quintile,Seldom,0.35104,37,24157,0.34740,0.35467
2013,Pre-primary Level,1st Quintile,Never,0.64896,56,24157,0.64533,0.65260
2013,Pre-primary Level,2nd Quintile,Never,1.00000,70,24157,1.00000,1.00000
2013,Pre-primary Level,3rd Quintile,Seldom,0.38987,31,24157,0.38731,0.39243
2013,Pre-primary Level,3rd Quintile,Never,0.61013,54,24157,0.60757,0.61269
2013,Pre-primary Level,4th Quintile,Never,1.00000,56,24157,1.00000,1.00000
2013,Pre-primary Level,5th Quintile,Never,1.00000,32,24157,1.00000,1.00000
2013,Primary Level,1st Quintile,Sometimes,0.30809,52,24157,0.30657,0.30960
2013,Primary Level,1st Quintile,Seldom,0.30313,57,24157,0.30162,0.30464
2013,Primary Level,1st Quintile,Never,0.38878,63,24157,0.38718,0.39039
2013,Lower Secondary Level,1st Quintile,Very often,0.03366,44,24157,0.03343,0.03390
2013,Lower Secondary Level,1st Quintile,Often,0.10374,87,24157,0.10334,0.10414
2013,Lower Secondary Level,1st Quintile,Sometimes,0.18866,187,24157,0.18815,0.18917
2013,Lower Secondary Level,1st Quintile,Seldom,0.26482,297,24157,0.26425,0.26540
2013,Lower Secondary Level,1st Quintile,Never,0.40912,427,24157,0.40847,0.40976
2013,Lower Secondary Level,2nd Quintile,Sometimes,0.14470,87,24157,0.14418,0.14522
2013,Lower Secondary Level,2nd Quintile,Seldom,0.22687,163,24157,0.22625,0.22749
2013,Lower Secondary Level,2nd Quintile,Never,0.62843,391,24157,0.62771,0.62914
2013,Lower Secondary Level,3rd Quintile,Sometimes,0.11916,50,24157,0.11856,0.11976
2013,Lower Secondary Level,3rd Quintile,Seldom,0.35090,123,24157,0.35001,0.35178
2013,Lower Secondary Level,3rd Quintile,Never,0.52995,246,24157,0.52902,0.53088
2013,Lower Secondary Level,4th Quintile,Sometimes,0.09365,32,24157,0.09301,0.09429
2013,Lower Secondary Level,4th Quintile,Seldom,0.32869,76,24157,0.32766,0.32973
2013,Lower Secondary Level,4th Quintile,Never,0.57766,156,24157,0.57657,0.57874
2013,Lower Secondary Level,5th Quintile,Seldom,0.32444,35,24157,0.32286,0.32602
2013,Lower Secondary Level,5th Quintile,Never,0.67556,86,24157,0.67398,0.67714
2013,Upper Secondary Level,1st Quintile,Very often,0.02839,76,24157,0.02826,0.02853
2013,Upper Secondary Level,1st Quintile,Often,0.08291,208,24157,0.08268,0.08313
2013,Upper Secondary Level,1st Quintile,Sometimes,0.16732,438,24157,0.16701,0.16762
2013,Upper Secondary Level,1st Quintile,Seldom,0.25919,746,24157,0.25883,0.25955
2013,Upper Secondary Level,1st Quintile,Never,0.46219,1254,24157,0.46178,0.46260
2013,Upper Secondary Level,2nd Quintile,Often,0.04036,107,24157,0.04021,0.04051
2013,Upper Secondary Level,2nd Quintile,Sometimes,0.10572,319,24157,0.10549,0.10595
2013,Upper Secondary Level,2nd Quintile,Seldom,0.29845,844,24157,0.29810,0.29879
2013,Upper Secondary Level,2nd Quintile,Never,0.55547,1647,24157,0.55510,0.55585
2013,Upper Secondary Level,3rd Quintile,Often,0.03790,87,24157,0.03776,0.03804
2013,Upper Secondary Level,3rd Quintile,Sometimes,0.10014,258,24157,0.09992,0.10036
2013,Upper Secondary Level,3rd Quintile,Seldom,0.28015,724,24157,0.27982,0.28048
2013,Upper Secondary Level,3rd Quintile,Never,0.58181,1582,24157,0.58145,0.58217
2013,Upper Secondary Level,4th Quintile,Often,0.02855,51,24157,0.02843,0.02868
2013,Upper Secondary Level,4th Quintile,Sometimes,0.08214,179,24157,0.08194,0.08235
2013,Upper Secondary Level,4th Quintile,Seldom,0.28711,632,24157,0.28676,0.28745
2013,Upper Secondary Level,4th Quintile,Never,0.60220,1421,24157,0.60183,0.60257
2013,Upper Secondary Level,5th Quintile,Sometimes,0.06144,99,24157,0.06122,0.06165
2013,Upper Secondary Level,5th Quintile,Seldom,0.30125,448,24157,0.30083,0.30166
2013,Upper Secondary Level,5th Quintile,Never,0.63732,1159,24157,0.63688,0.63775
2013,Post-secondary Non-tertiary Level,1st Quintile,Sometimes,0.21591,54,24157,0.21472,0.21710
2013,Post-secondary Non-tertiary Level,1st Quintile,Seldom,0.31616,82,24157,0.31481,0.31750
2013,Post-secondary Non-tertiary Level,1st Quintile,Never,0.46793,130,24157,0.46649,0.46938
2013,Post-secondary Non-tertiary Level,2nd Quintile,Sometimes,0.07058,36,24157,0.06989,0.07127
2013,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.35692,104,24157,0.35562,0.35821
2013,Post-secondary Non-tertiary Level,2nd Quintile,Never,0.57250,199,24157,0.57117,0.57384
2013,Post-secondary Non-tertiary Level,3rd Quintile,Sometimes,0.09583,33,24157,0.09519,0.09648
2013,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.31182,102,24157,0.31080,0.31283
2013,Post-secondary Non-tertiary Level,3rd Quintile,Never,0.59235,215,24157,0.59127,0.59343
2013,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.28760,110,24157,0.28662,0.28858
2013,Post-secondary Non-tertiary Level,4th Quintile,Never,0.71240,230,24157,0.71142,0.71338
2013,Post-secondary Non-tertiary Level,5th Quintile,Sometimes,0.06993,31,24157,0.06943,0.07043
2013,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.23697,89,24157,0.23613,0.23781
2013,Post-secondary Non-tertiary Level,5th Quintile,Never,0.69310,253,24157,0.69219,0.69401
2013,First Stage of Tertiary Education,1st Quintile,Seldom,0.33508,45,24157,0.33347,0.33670
2013,First Stage of Tertiary Education,1st Quintile,Never,0.66492,78,24157,0.66330,0.66653
2013,First Stage of Tertiary Education,2nd Quintile,Sometimes,0.18686,37,24157,0.18590,0.18783
2013,First Stage of Tertiary Education,2nd Quintile,Seldom,0.32740,93,24157,0.32624,0.32856
2013,First Stage of Tertiary Education,2nd Quintile,Never,0.48573,148,24157,0.48450,0.48697
2013,First Stage of Tertiary Education,3rd Quintile,Seldom,0.39686,120,24157,0.39571,0.39802
2013,First Stage of Tertiary Education,3rd Quintile,Never,0.60314,225,24157,0.60198,0.60429
2013,First Stage of Tertiary Education,4th Quintile,Seldom,0.37421,130,24157,0.37327,0.37514
2013,First Stage of Tertiary Education,4th Quintile,Never,0.62579,258,24157,0.62486,0.62673
2013,First Stage of Tertiary Education,5th Quintile,Sometimes,0.06830,33,24157,0.06784,0.06876
2013,First Stage of Tertiary Education,5th Quintile,Seldom,0.33116,115,24157,0.33030,0.33202
2013,First Stage of Tertiary Education,5th Quintile,Never,0.60054,262,24157,0.59964,0.60143
2013,Second Stage of Tertiary Education,1st Quintile,Sometimes,0.13917,59,24157,0.13839,0.13995
2013,Second Stage of Tertiary Education,1st Quintile,Seldom,0.29170,115,24157,0.29068,0.29273
2013,Second Stage of Tertiary Education,1st Quintile,Never,0.56913,187,24157,0.56801,0.57024
2013,Second Stage of Tertiary Education,2nd Quintile,Sometimes,0.13398,71,24157,0.13333,0.13463
2013,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.31649,181,24157,0.31560,0.31738
2013,Second Stage of Tertiary Education,2nd Quintile,Never,0.54953,323,24157,0.54858,0.55048
2013,Second Stage of Tertiary Education,3rd Quintile,Sometimes,0.08257,64,24157,0.08214,0.08299
2013,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.31035,232,24157,0.30963,0.31106
2013,Second Stage of Tertiary Education,3rd Quintile,Never,0.60709,532,24157,0.60633,0.60784
2013,Second Stage of Tertiary Education,4th Quintile,Sometimes,0.05852,70,24157,0.05824,0.05879
2013,Second Stage of Tertiary Education,4th Quintile,Seldom,0.28834,344,24157,0.28781,0.28887
2013,Second Stage of Tertiary Education,4th Quintile,Never,0.65314,900,24157,0.65259,0.65370
2013,Second Stage of Tertiary Education,5th Quintile,Sometimes,0.07097,147,24157,0.07076,0.07118
2013,Second Stage of Tertiary Education,5th Quintile,Seldom,0.26271,637,24157,0.26235,0.26307
2013,Second Stage of Tertiary Education,5th Quintile,Never,0.66632,1809,24157,0.66593,0.66670
2021,Primary Level,1st Quintile,Very often,0.09683,58,17405,0.09613,0.09752
2021,Primary Level,1st Quintile,Often,0.18447,80,17405,0.18356,0.18538
2021,Primary Level,1st Quintile,Sometimes,0.20030,146,17405,0.19936,0.20123
2021,Primary Level,1st Quintile,Seldom,0.18606,104,17405,0.18515,0.18698
2021,Primary Level,1st Quintile,Never,0.33235,295,17405,0.33125,0.33345
2021,Primary Level,2nd Quintile,Never,1.00000,34,17405,1.00000,1.00000
2021,Lower Secondary Level,1st Quintile,Very often,0.03165,51,17405,0.03141,0.03188
2021,Lower Secondary Level,1st Quintile,Often,0.11295,101,17405,0.11252,0.11338
2021,Lower Secondary Level,1st Quintile,Sometimes,0.19131,150,17405,0.19078,0.19184
2021,Lower Secondary Level,1st Quintile,Seldom,0.31443,208,17405,0.31380,0.31506
2021,Lower Secondary Level,1st Quintile,Never,0.34966,315,17405,0.34902,0.35030
2021,Lower Secondary Level,2nd Quintile,Often,0.11153,40,17405,0.11107,0.11199
2021,Lower Secondary Level,2nd Quintile,Sometimes,0.12488,68,17405,0.12439,0.12536
2021,Lower Secondary Level,2nd Quintile,Seldom,0.30266,108,17405,0.30199,0.30333
2021,Lower Secondary Level,2nd Quintile,Never,0.46094,169,17405,0.46021,0.46167
2021,Lower Secondary Level,3rd Quintile,Seldom,0.44521,68,17405,0.44416,0.44627
2021,Lower Secondary Level,3rd Quintile,Never,0.55479,100,17405,0.55373,0.55584
2021,Lower Secondary Level,4th Quintile,Seldom,0.40063,44,17405,0.39945,0.40180
2021,Lower Secondary Level,4th Quintile,Never,0.59937,84,17405,0.59820,0.60055
2021,Lower Secondary Level,5th Quintile,Never,1.00000,53,17405,1.00000,1.00000
2021,Upper Secondary Level,1st Quintile,Very often,0.03703,69,17405,0.03688,0.03718
2021,Upper Secondary Level,1st Quintile,Often,0.08047,163,17405,0.08025,0.08068
2021,Upper Secondary Level,1st Quintile,Sometimes,0.16210,292,17405,0.16181,0.16240
2021,Upper Secondary Level,1st Quintile,Seldom,0.30130,462,17405,0.30094,0.30167
2021,Upper Secondary Level,1st Quintile,Never,0.41910,752,17405,0.41871,0.41949
2021,Upper Secondary Level,2nd Quintile,Very often,0.02258,33,17405,0.02247,0.02269
2021,Upper Secondary Level,2nd Quintile,Often,0.07452,123,17405,0.07432,0.07471
2021,Upper Secondary Level,2nd Quintile,Sometimes,0.11519,184,17405,0.11495,0.11542
2021,Upper Secondary Level,2nd Quintile,Seldom,0.34565,574,17405,0.34530,0.34600
2021,Upper Secondary Level,2nd Quintile,Never,0.44206,810,17405,0.44169,0.44242
2021,Upper Secondary Level,3rd Quintile,Often,0.05022,75,17405,0.05005,0.05038
2021,Upper Secondary Level,3rd Quintile,Sometimes,0.10151,159,17405,0.10128,0.10174
2021,Upper Secondary Level,3rd Quintile,Seldom,0.33724,447,17405,0.33688,0.33760
2021,Upper Secondary Level,3rd Quintile,Never,0.51103,676,17405,0.51066,0.51141
2021,Upper Secondary Level,4th Quintile,Often,0.04801,55,17405,0.04784,0.04817
2021,Upper Secondary Level,4th Quintile,Sometimes,0.08350,112,17405,0.08329,0.08372
2021,Upper Secondary Level,4th Quintile,Seldom,0.31618,395,17405,0.31582,0.31654
2021,Upper Secondary Level,4th Quintile,Never,0.55231,727,17405,0.55192,0.55270
2021,Upper Secondary Level,5th Quintile,Often,0.03294,35,17405,0.03277,0.03310
2021,Upper Secondary Level,5th Quintile,Sometimes,0.09664,105,17405,0.09637,0.09692
2021,Upper Secondary Level,5th Quintile,Seldom,0.32275,327,17405,0.32231,0.32318
2021,Upper Secondary Level,5th Quintile,Never,0.54768,656,17405,0.54721,0.54814
2021,Post-secondary Non-tertiary Level,1st Quintile,Often,0.12512,34,17405,0.12446,0.12577
2021,Post-secondary Non-tertiary Level,1st Quintile,Sometimes,0.14211,54,17405,0.14142,0.14280
2021,Post-secondary Non-tertiary Level,1st Quintile,Seldom,0.32643,73,17405,0.32550,0.32736
2021,Post-secondary Non-tertiary Level,1st Quintile,Never,0.40634,127,17405,0.40537,0.40732
2021,Post-secondary Non-tertiary Level,2nd Quintile,Sometimes,0.14089,45,17405,0.14021,0.14156
2021,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.28310,96,17405,0.28223,0.28397
2021,Post-secondary Non-tertiary Level,2nd Quintile,Never,0.57601,184,17405,0.57505,0.57697
2021,Post-secondary Non-tertiary Level,3rd Quintile,Sometimes,0.20508,46,17405,0.20439,0.20578
2021,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.35993,92,17405,0.35910,0.36076
2021,Post-secondary Non-tertiary Level,3rd Quintile,Never,0.43498,170,17405,0.43413,0.43584
2021,Post-secondary Non-tertiary Level,4th Quintile,Sometimes,0.15725,33,17405,0.15662,0.15788
2021,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.25619,84,17405,0.25543,0.25695
2021,Post-secondary Non-tertiary Level,4th Quintile,Never,0.58656,160,17405,0.58571,0.58742
2021,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.30479,72,17405,0.30390,0.30568
2021,Post-secondary Non-tertiary Level,5th Quintile,Never,0.69521,203,17405,0.69432,0.69610
2021,First Stage of Tertiary Education,1st Quintile,Never,1.00000,39,17405,1.00000,1.00000
2021,First Stage of Tertiary Education,2nd Quintile,Seldom,0.45869,55,17405,0.45736,0.46002
2021,First Stage of Tertiary Education,2nd Quintile,Never,0.54131,97,17405,0.53998,0.54264
2021,First Stage of Tertiary Education,3rd Quintile,Seldom,0.31404,60,17405,0.31295,0.31513
2021,First Stage of Tertiary Education,3rd Quintile,Never,0.68596,100,17405,0.68487,0.68705
2021,First Stage of Tertiary Education,4th Quintile,Seldom,0.43693,76,17405,0.43594,0.43792
2021,First Stage of Tertiary Education,4th Quintile,Never,0.56307,129,17405,0.56208,0.56406
2021,First Stage of Tertiary Education,5th Quintile,Seldom,0.41075,89,17405,0.40982,0.41168
2021,First Stage of Tertiary Education,5th Quintile,Never,0.58925,202,17405,0.58832,0.59018
2021,Second Stage of Tertiary Education,1st Quintile,Very often,0.02336,34,17405,0.02313,0.02358
2021,Second Stage of Tertiary Education,1st Quintile,Often,0.10594,84,17405,0.10548,0.10641
2021,Second Stage of Tertiary Education,1st Quintile,Sometimes,0.13070,124,17405,0.13020,0.13121
2021,Second Stage of Tertiary Education,1st Quintile,Seldom,0.34073,205,17405,0.34003,0.34144
2021,Second Stage of Tertiary Education,1st Quintile,Never,0.39926,286,17405,0.39853,0.40000
2021,Second Stage of Tertiary Education,2nd Quintile,Often,0.05146,40,17405,0.05115,0.05177
2021,Second Stage of Tertiary Education,2nd Quintile,Sometimes,0.15014,94,17405,0.14964,0.15064
2021,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.36039,208,17405,0.35971,0.36106
2021,Second Stage of Tertiary Education,2nd Quintile,Never,0.43801,305,17405,0.43732,0.43871
2021,Second Stage of Tertiary Education,3rd Quintile,Often,0.05793,46,17405,0.05766,0.05821
2021,Second Stage of Tertiary Education,3rd Quintile,Sometimes,0.09396,76,17405,0.09362,0.09431
2021,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.30683,231,17405,0.30629,0.30738
2021,Second Stage of Tertiary Education,3rd Quintile,Never,0.54127,428,17405,0.54069,0.54186
2021,Second Stage of Tertiary Education,4th Quintile,Often,0.03116,43,17405,0.03099,0.03133
2021,Second Stage of Tertiary Education,4th Quintile,Sometimes,0.11672,109,17405,0.11641,0.11703
2021,Second Stage of Tertiary Education,4th Quintile,Seldom,0.28154,315,17405,0.28110,0.28197
2021,Second Stage of Tertiary Education,4th Quintile,Never,0.57058,686,17405,0.57010,0.57106
2021,Second Stage of Tertiary Education,5th Quintile,Often,0.02092,56,17405,0.02082,0.02103
2021,Second Stage of Tertiary Education,5th Quintile,Sometimes,0.09588,152,17405,0.09566,0.09610
2021,Second Stage of Tertiary Education,5th Quintile,Seldom,0.24894,575,17405,0.24862,0.24926
2021,Second Stage of Tertiary Education,5th Quintile,Never,0.63425,1481,17405,0.63390,0.63461
