year,sampreg,plj0589,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2013,West,Very often,0.01009,204,25431,0.01006,0.01012
2013,West,Often,0.03802,668,25431,0.03796,0.03807
2013,West,Sometimes,0.09546,1854,25431,0.09538,0.09554
2013,West,Seldom,0.27550,5244,25431,0.27538,0.27563
2013,West,Never,0.58093,11765,25431,0.58079,0.58107
2013,East,Very often,0.01469,82,25431,0.01462,0.01476
2013,East,Often,0.04871,249,25431,0.04858,0.04883
2013,East,Sometimes,0.13133,700,25431,0.13114,0.13153
2013,East,Seldom,0.30650,1693,25431,0.30624,0.30677
2013,East,Never,0.49877,2972,25431,0.49848,0.49905
2019,West,Sometimes,0.20490,49,210,0.20081,0.20900
2019,West,Seldom,0.23149,46,210,0.22721,0.23577
2019,West,Never,0.56361,115,210,0.55858,0.56864
2020,West,Often,0.10653,84,889,0.10502,0.10805
2020,West,Sometimes,0.24554,217,889,0.24343,0.24765
2020,West,Seldom,0.24505,236,889,0.24294,0.24716
2020,West,Never,0.40288,303,889,0.40047,0.40529
2020,East,Never,1.00000,49,889,1.00000,1.00000
2021,West,Very often,0.01606,394,19499,0.01603,0.01609
2021,West,Often,0.05588,1014,19499,0.05582,0.05594
2021,West,Sometimes,0.12267,2037,19499,0.12259,0.12276
2021,West,Seldom,0.30411,4231,19499,0.30400,0.30423
2021,West,Never,0.50128,7925,19499,0.50115,0.50141
2021,East,Very often,0.02467,92,19499,0.02458,0.02476
2021,East,Often,0.06024,239,19499,0.06010,0.06038
2021,East,Sometimes,0.11171,422,19499,0.11153,0.11189
2021,East,Seldom,0.32440,1135,19499,0.32413,0.32467
2021,East,Never,0.47898,2010,19499,0.47870,0.47927
