year,bula_h,sex,region_origin,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,Germany,0.01932633500524835,166,11247,0.019287007008756653,0.019365663001740047
1984,Schleswig-Holstein,female,Germany,0.02165460334639967,180,11247,0.02161302319811647,0.021696183494682872
1984,Hamburg,male,Germany,0.01204883623933588,104,11247,0.01201766851430548,0.012080003964366278
1984,Hamburg,female,Germany,0.014368586955105265,117,11247,0.014334590853949865,0.014402583056260665
1984,Lower Saxony,male,Germany,0.05314601290133251,491,11247,0.053081930073969996,0.05321009572869502
1984,Lower Saxony,male,Southern Europe,0.0006584864104283367,51,11247,0.0006511582463104911,0.0006658145745461824
1984,Lower Saxony,male,Western Asia,0.0008233847572609376,35,11247,0.0008151909195793077,0.0008315785949425675
1984,Lower Saxony,female,Germany,0.062016019769931936,544,11247,0.06194712052386738,0.06208491901599649
1984,Lower Saxony,female,Southern Europe,0.0004258149906869434,35,11247,0.0004199213615575872,0.00043170861981629957
1984,Bremen,male,Germany,0.005015438307530927,45,11247,0.004995258016190829,0.005035618598871024
1984,Bremen,female,Germany,0.00649859999233401,53,11247,0.006475645961595371,0.0065215540230726485
1984,North Rhine-Westphalia,male,Germany,0.12024955469751047,1107,11247,0.12015663959713944,0.1203424697978815
1984,North Rhine-Westphalia,male,Southern Europe,0.004177751221756184,245,11247,0.004159325393693198,0.00419617704981917
1984,North Rhine-Westphalia,male,Western Asia,0.00432657492990535,173,11247,0.004307825183985048,0.004345324675825653
1984,North Rhine-Westphalia,female,Germany,0.13594678117304285,1199,11247,0.13584887286961173,0.13604468947647397
1984,North Rhine-Westphalia,female,Southern Europe,0.002624550677124823,185,11247,0.0026099349093968963,0.0026391664448527498
1984,North Rhine-Westphalia,female,Western Asia,0.004230796042395915,176,11247,0.00421225410098665,0.00424933798380518
1984,Hesse,male,Germany,0.04136319759312843,380,11247,0.041306312442097926,0.04142008274415894
1984,Hesse,male,Southern Europe,0.0019602035133379917,126,11247,0.0019475681037236438,0.0019728389229523393
1984,Hesse,male,Western Asia,0.001692474638569147,79,11247,0.001680732206091394,0.0017042170710469
1984,Hesse,female,Germany,0.04264989520114137,397,11247,0.04259217083229475,0.04270761956998798
1984,Hesse,female,Southern Europe,0.0014350138189794023,106,11247,0.0014241999520044537,0.0014458276859543508
1984,Hesse,female,Western Asia,0.0012938467541772304,74,11247,0.0012835778264457995,0.0013041156819086613
1984,"Rhineland-Palatinate, Saarland",male,Germany,0.03556332499021631,333,11247,0.03551041924305025,0.035616230737382376
1984,"Rhineland-Palatinate, Saarland",male,Southern Europe,0.0012776253258105622,53,11247,0.001267420890893301,0.0012878297607278235
1984,"Rhineland-Palatinate, Saarland",female,Germany,0.040614130689312807,368,11247,0.04055774095426153,0.04067052042436408
1984,"Rhineland-Palatinate, Saarland",female,Southern Europe,0.0007767502484609232,42,11247,0.0007687916465834112,0.0007847088503384351
1984,Baden-Wuerttemberg,male,Germany,0.06234637069555597,643,11247,0.06227730035099713,0.062415441040114816
1984,Baden-Wuerttemberg,male,Southern Europe,0.003116859057577583,255,11247,0.003100935301290242,0.003132782813864924
1984,Baden-Wuerttemberg,male,Western Asia,0.0022522032443708577,118,11247,0.0022386613633765423,0.002265745125365173
1984,Baden-Wuerttemberg,female,Germany,0.0741611232751879,733,11247,0.07408626830003959,0.0742359782503362
1984,Baden-Wuerttemberg,female,Southern Europe,0.0021805513974734194,203,11247,0.002167226190589283,0.0021938766043575557
