"religion","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"katholisch","1990","16-34 Jahre alt","1576","0.348716186777494","0.33592580537996","0.361506568175027"
"katholisch","1990","35-65 Jahre alt","2101","0.338857854914703","0.327824830377897","0.349890879451509"
"katholisch","1990","66 und älter","474","0.351003308948024","0.326801399100124","0.375205218795924"
"evangelisch","1990","16-34 Jahre alt","1554","0.378887065709271","0.365867320790084","0.391906810628458"
"evangelisch","1990","35-65 Jahre alt","2278","0.398440793235967","0.387028853458957","0.409852733012976"
"evangelisch","1990","66 und älter","752","0.514982433270137","0.489640033705987","0.540324832834287"
"islamische Religionsgemeinschaft","1990","16-34 Jahre alt","453","0.0304331268552602","0.0258228769067022","0.0350433768038181"
"islamische Religionsgemeinschaft","1990","35-65 Jahre alt","389","0.0222653329235759","0.0188260849679067","0.0257045808792452"
"islamische Religionsgemeinschaft","1990","66 und älter","","","",""
"konfessionslos","1990","16-34 Jahre alt","1506","0.220508946450234","0.209381872513704","0.231636020386764"
"konfessionslos","1990","35-65 Jahre alt","1869","0.210661421385155","0.201156193052801","0.220166649717508"
"konfessionslos","1990","66 und älter","248","0.124653958486153","0.107903923613371","0.141403993358935"
"andere","1990","16-34 Jahre alt","244","0.0214546742077415","0.0175658909830768","0.0253434574324061"
"andere","1990","35-65 Jahre alt","433","0.0297745975405995","0.0258127509524731","0.0337364441287259"
"andere","1990","66 und älter","","","",""
"katholisch","1991","16-34 Jahre alt","63","0.0440001473167911","0.0337667200797064","0.0542335745538757"
"katholisch","1991","35-65 Jahre alt","117","0.0536016351560754","0.0442535713229294","0.0629496989892215"
"katholisch","1991","66 und älter","32","0.0783233164459105","0.0522526073194245","0.104394025572396"
"evangelisch","1991","16-34 Jahre alt","291","0.184015829061525","0.164681300529799","0.203350357593251"
"evangelisch","1991","35-65 Jahre alt","635","0.287324165052684","0.268542774111485","0.306105555993883"
"evangelisch","1991","66 und älter","199","0.49097616877996","0.442467732658294","0.539484604901627"
"islamische Religionsgemeinschaft","1991","16-34 Jahre alt","","","",""
"islamische Religionsgemeinschaft","1991","35-65 Jahre alt","","","",""
"islamische Religionsgemeinschaft","1991","66 und älter","","","",""
"konfessionslos","1991","16-34 Jahre alt","1180","0.767258018946512","0.746173038171559","0.788342999721465"
"konfessionslos","1991","35-65 Jahre alt","1462","0.653271865794648","0.633518678651346","0.673025052937949"
"konfessionslos","1991","66 und älter","173","0.415981101894097","0.368154639292693","0.463807564495502"
