year,train,pgisced97,quintil_oecd,proportion,n,lower_confidence,upper_confidence
1984,Yes,general elementary,1st Quintile,0.2617220801364024,16099,0.25493181483604593,0.2685123454367589
1984,Yes,middle vocational,1st Quintile,0.25404944586530265,16099,0.2473247791084117,0.2607741126221936
1984,Yes,middle vocational,2nd Quintile,0.0937766410912191,16099,0.08927343748032923,0.09827984470210896
1984,Yes,general elementary,2nd Quintile,0.06905370843989769,16099,0.06513707941802706,0.07297033746176833
1984,Yes,in school,1st Quintile,0.04774083546462063,16099,0.0444471721004875,0.05103449882875376
1984,Yes,higher education,1st Quintile,0.03751065643648764,16099,0.034575495503959885,0.0404458173690154
1984,Yes,middle vocational,3rd Quintile,0.03580562659846547,16099,0.03293541075952447,0.038675842437406474
1984,Yes,vocational + Abi,1st Quintile,0.03324808184143223,16099,0.030478606900675463,0.03601755678218899
1984,Yes,general elementary,3rd Quintile,0.02216538789428815,16099,0.01989119660373682,0.024439579184839477
1984,Yes,higher education,2nd Quintile,0.0196078431372549,16099,0.017466079961744194,0.02174960631276561
1984,Yes,in school,2nd Quintile,0.017902813299232736,16099,0.015854508908461226,0.019951117690004246
1984,Yes,inadequately,1st Quintile,0.017050298380221655,16099,0.01505049056838395,0.01905010619205936
1984,Yes,higher vocational,1st Quintile,0.013640238704177323,16099,0.01184845624852742,0.015432021159827227
1984,Yes,middle vocational,4th Quintile,0.010230179028132993,16099,0.008675769885728737,0.01178458817053725
1984,Yes,vocational + Abi,2nd Quintile,0.00937766410912191,16099,0.007888789870180829,0.010866538348062992
1984,Yes,higher vocational,3rd Quintile,0.0076726342710997444,16099,0.006324738366011494,0.009020530176187995
1984,Yes,general elementary,4th Quintile,0.0076726342710997444,16099,0.006324738366011494,0.009020530176187995
1984,Yes,higher education,3rd Quintile,0.0076726342710997444,16099,0.006324738366011494,0.009020530176187995
1984,Yes,higher vocational,2nd Quintile,0.005967604433077579,16099,0.004777851170881243,0.0071573576952739144
1984,Yes,in school,3rd Quintile,0.005115089514066497,16099,0.004013119791126435,0.006217059237006558
1984,Yes,higher education,4th Quintile,0.004262574595055414,16099,0.003256187561533104,0.005268961628577724
1984,Yes,higher education,5th Quintile,0.0034100596760443308,16099,0.0025095344971611767,0.004310584854927485
1984,Yes,inadequately,2nd Quintile,0.0034100596760443308,16099,0.0025095344971611767,0.004310584854927485
1984,Yes,middle vocational,5th Quintile,0.0034100596760443308,16099,0.0025095344971611767,0.004310584854927485
1984,Yes,vocational + Abi,4th Quintile,0.0017050298380221654,16099,0.0010677178989292762,0.0023423417771150546
1984,Yes,in school,4th Quintile,0.0017050298380221654,16099,0.0010677178989292762,0.0023423417771150546
1984,Yes,vocational + Abi,3rd Quintile,0.0017050298380221654,16099,0.0010677178989292762,0.0023423417771150546
1984,Yes,general elementary,5th Quintile,0.0008525149190110827,16099,0.0004016749462297902,0.0013033548917923752
1984,Yes,in school,5th Quintile,0.0008525149190110827,16099,0.0004016749462297902,0.0013033548917923752
1984,Yes,higher vocational,4th Quintile,0.0008525149190110827,16099,0.0004016749462297902,0.0013033548917923752
1984,Yes,vocational + Abi,5th Quintile,0.0008525149190110827,16099,0.0004016749462297902,0.0013033548917923752
1984,No,middle vocational,1st Quintile,0.28540530374271206,16099,0.2784291260337259,0.29238148145169823
1984,No,general elementary,1st Quintile,0.20236975738198232,16099,0.1961634935644595,0.20857602119950513
1984,No,middle vocational,2nd Quintile,0.13221741583599775,16099,0.12698494979463862,0.13744988187735688
1984,No,inadequately,1st Quintile,0.06977618958059056,16099,0.06584065283527298,0.07371172632590815
1984,No,general elementary,2nd Quintile,0.05021628738010156,16099,0.04684270530404576,0.05358986945615736
1984,No,middle vocational,3rd Quintile,0.05002821139740455,16099,0.04666061944177442,0.053395803353034677
1984,No,higher vocational,1st Quintile,0.02567237163814181,16099,0.023229266677322367,0.028115476598961252
1984,No,higher vocational,2nd Quintile,0.019559902200488997,16099,0.017420706618599277,0.021699097782378718
1984,No,higher education,1st Quintile,0.01861952228700395,16099,0.01653138236962408,0.020707662204383824
1984,No,middle vocational,4th Quintile,0.0176791423735189,16099,0.015643441792608688,0.019714842954429115
1984,No,higher education,2nd Quintile,0.0176791423735189,16099,0.015643441792608688,0.019714842954429115
1984,No,inadequately,2nd Quintile,0.01626857250329133,16099,0.014314369763634295,0.018222775242948366
1984,No,higher education,3rd Quintile,0.015328192589806281,16099,0.01343040393002179,0.017225981249590773
1984,No,vocational + Abi,1st Quintile,0.01354147075418469,16099,0.011756097784473335,0.015326843723896045
1984,No,general elementary,3rd Quintile,0.013071280797442167,16099,0.011316759732454109,0.014825801862430226
1984,No,higher education,4th Quintile,0.010438217039684032,16099,0.008868247451536863,0.0120081866278312
1984,No,higher vocational,3rd Quintile,0.00921572315215347,16099,0.007739639793573921,0.01069180651073302
1984,No,vocational + Abi,2nd Quintile,0.005360165506864773,16099,0.004232244603913171,0.006488086409816376
1984,No,middle vocational,5th Quintile,0.005078051532819259,16099,0.003980058260859443,0.006176044804779075
1984,No,higher education,5th Quintile,0.0040436336279857064,16099,0.003063325334100704,0.005023941921870709
1984,No,general elementary,4th Quintile,0.0033853676885461726,16099,0.0024880976354593547,0.004282637741632991
1984,No,vocational + Abi,3rd Quintile,0.0030092157231521536,16099,0.002163101775277902,0.0038553296710264052
1984,No,higher vocational,4th Quintile,0.002727101749106639,16099,0.001921511315058795,0.0035326921831544834
1984,No,inadequately,3rd Quintile,0.002727101749106639,16099,0.001921511315058795,0.0035326921831544834
1984,No,general elementary,5th Quintile,0.0019747978183186007,16099,0.0012890116924368458,0.0026605839442003557
1984,No,higher vocational,5th Quintile,0.001786721835621591,16099,0.0011343476542149712,0.002439096017028211
1984,No,vocational + Abi,4th Quintile,0.0014105698702275718,16099,0.0008308109958460156,0.0019903287446091282
1984,No,vocational + Abi,5th Quintile,0.0005642279480910288,16099,0.00019740088965350888,0.0009310550065285487
1984,No,inadequately,5th Quintile,0.000470189956742524,16099,0.00013530844549016505,0.000805071467994883
1984,No,inadequately,4th Quintile,0.0003761519653940192,16099,7.661074620833461e-05,0.0006756931845797037
1985,Yes,general elementary,1st Quintile,0.2536764705882353,14443,0.24658018596771353,0.26077275520875703
1985,Yes,middle vocational,1st Quintile,0.2426470588235294,14443,0.2356556606030375,0.24963845704402132
1985,Yes,middle vocational,2nd Quintile,0.08915441176470588,14443,0.08450689286299999,0.09380193066641178
1985,Yes,general elementary,2nd Quintile,0.07352941176470588,14443,0.06927270503608614,0.07778611849332563
1985,Yes,in school,1st Quintile,0.051470588235294115,14443,0.047867023464451465,0.055074153006136765
1985,Yes,middle vocational,3rd Quintile,0.04503676470588235,14443,0.041654525774745176,0.04841900363701953
1985,Yes,higher education,1st Quintile,0.029411764705882353,14443,0.02665623296109978,0.03216729645066492
1985,Yes,vocational + Abi,1st Quintile,0.029411764705882353,14443,0.02665623296109978,0.03216729645066492
1985,Yes,general elementary,3rd Quintile,0.02297794117647059,14443,0.02053431309673136,0.02542156925620982
1985,Yes,in school,2nd Quintile,0.02022058823529412,14443,0.01792502947985844,0.022516146990729798
1985,Yes,higher education,2nd Quintile,0.01838235294117647,14443,0.0161915712915302,0.02057313459082274
1985,Yes,inadequately,1st Quintile,0.017463235294117647,14443,0.015326926031784848,0.019599544556450445
1985,Yes,vocational + Abi,2nd Quintile,0.014705882352941176,14443,0.012742721639676838,0.016669043066205515
1985,Yes,higher vocational,1st Quintile,0.013786764705882353,14443,0.011885056147930784,0.01568847326383392
1985,Yes,higher vocational,2nd Quintile,0.012867647058823529,14443,0.011029566130514652,0.014705727987132405
1985,Yes,middle vocational,4th Quintile,0.012867647058823529,14443,0.011029566130514652,0.014705727987132405
1985,Yes,general elementary,4th Quintile,0.008272058823529412,14443,0.006794888930687246,0.009749228716371577
1985,Yes,in school,3rd Quintile,0.008272058823529412,14443,0.006794888930687246,0.009749228716371577
1985,Yes,higher education,3rd Quintile,0.007352941176470588,14443,0.005959606833961458,0.008746275518979718
1985,Yes,higher vocational,3rd Quintile,0.0055147058823529415,14443,0.0043069261820590145,0.0067224855826468685
1985,Yes,middle vocational,5th Quintile,0.004595588235294118,14443,0.003492531880807723,0.005698644589780513
1985,Yes,vocational + Abi,3rd Quintile,0.004595588235294118,14443,0.003492531880807723,0.005698644589780513
1985,Yes,higher vocational,4th Quintile,0.003676470588235294,14443,0.0026894116010169797,0.004663529575453608
1985,Yes,general elementary,5th Quintile,0.0027573529411764708,14443,0.0019021405852852704,0.003612565297067671
1985,Yes,vocational + Abi,4th Quintile,0.001838235294117647,14443,0.0011396356165952377,0.0025368349716400566
1985,Yes,higher education,4th Quintile,0.001838235294117647,14443,0.0011396356165952377,0.0025368349716400566
1985,Yes,in school,4th Quintile,0.001838235294117647,14443,0.0011396356165952377,0.0025368349716400566
1985,Yes,higher education,5th Quintile,0.0009191176470588235,14443,0.0004249056970366137,0.0014133295970810333
1985,Yes,inadequately,2nd Quintile,0.0009191176470588235,14443,0.0004249056970366137,0.0014133295970810333
1985,No,middle vocational,1st Quintile,0.27517552132453105,14443,0.26789187766276645,0.28245916498629564
1985,No,general elementary,1st Quintile,0.1928114848580111,14443,0.18637748121689438,0.19924548849912785
1985,No,middle vocational,2nd Quintile,0.13863564916692864,14443,0.1329998141285274,0.14427148420532987
1985,No,inadequately,1st Quintile,0.06423556533584826,14443,0.06023705329086749,0.06823407738082904
1985,No,middle vocational,3rd Quintile,0.05983443361626323,14443,0.05596626739191413,0.06370259984061233
1985,No,general elementary,2nd Quintile,0.049879492821963745,14443,0.0463290892147581,0.05342989642916939
1985,No,higher vocational,1st Quintile,0.023472702504453526,14443,0.021003531849389093,0.02594187315951796
1985,No,higher education,2nd Quintile,0.02137692549512732,14443,0.01901803536462574,0.0237358156256289
1985,No,higher vocational,2nd Quintile,0.0211673477941947,14443,0.018819798001328953,0.023514897587060445
1985,No,higher education,3rd Quintile,0.017709315728806456,14443,0.015558276806810552,0.01986035465080236
1985,No,higher education,1st Quintile,0.017604526878340146,14443,0.015459747027701972,0.01974930672897832
