year,age_gr,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,unter 18 J.,-6,,,,,,,,,,,,
1984,18-29 J.,1. Quintil,10.927754744244817,10.884402819395415,10.971106669094219,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5,1869.0
1984,18-29 J.,2. Quintil,11.141804938590175,11.082497021569283,11.201112855611067,10.5,10.5,11.5,9.0,13.0,10.5,10.0,10.5,794.0
1984,18-29 J.,3. Quintil,11.568155612478023,11.452452250221613,11.683858974734433,10.5,11.5,12.0,8.25,14.25,11.5,11.5,12.5,284.0
1984,18-29 J.,4. Quintil,12.138057922321618,11.887893300600181,12.388222544043055,10.5,11.5,13.0,8.5,16.75,11.5,11.0,12.5,72.0
1984,18-29 J.,5. Quintil,,,,,,,,,,,,
1984,30-45 J.,1. Quintil,10.622045841725209,10.583207286025633,10.660884397424784,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,2288.0
1984,30-45 J.,2. Quintil,11.59941021241079,11.523401970326903,11.675418454494677,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.5,942.0
1984,30-45 J.,3. Quintil,12.345333674328238,12.210474469478026,12.48019287917845,10.5,11.5,13.0,7.0,16.75,11.5,11.5,12.0,398.0
1984,30-45 J.,4. Quintil,13.242169394203385,13.032379512854073,13.451959275552698,11.0,12.0,16.0,7.0,18.0,12.0,12.0,12.5,173.0
1984,30-45 J.,5. Quintil,13.847638134758192,13.470389767446875,14.22488650206951,11.0,12.0,18.0,7.0,18.0,12.0,9.0,12.5,64.0
1984,46-65 J.,1. Quintil,10.105647959662058,10.072899488363339,10.138396430960777,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5,1917.0
1984,46-65 J.,2. Quintil,10.794965105792969,10.73108021803085,10.858849993555086,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,925.0
1984,46-65 J.,3. Quintil,11.48142397231276,11.372887720728041,11.589960223897478,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5,424.0
1984,46-65 J.,4. Quintil,12.508999247734073,12.319734121974083,12.698264373494062,10.5,11.5,14.829097318877574,7.0,18.0,11.5,11.5,11.5,194.0
1984,46-65 J.,5. Quintil,12.247952928457332,11.899566875249157,12.596338981665507,10.5,11.0,13.793009568988477,7.0,18.0,11.0,10.0,11.5,69.0
1984,66 und älter,1. Quintil,10.065767358827243,10.019446397557124,10.112088320097362,9.0,10.0,10.5,7.0,12.75,10.0,9.5,11.0,889.0
1984,66 und älter,2. Quintil,10.901070202933013,10.785925648835374,11.016214757030653,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5,241.0
1984,66 und älter,3. Quintil,11.995306101718826,11.712215824038472,12.278396379399181,10.5,11.5,12.0,9.0,14.25,11.5,11.5,12.5,73.0
1984,66 und älter,4. Quintil,13.187769477170031,12.753159230269652,13.62237972407041,10.5,12.0,15.0,9.0,18.0,12.0,9.5,12.5,46.0
1984,66 und älter,5. Quintil,,,,,,,,,,,,
1985,unter 18 J.,-6,,,,,,,,,,,,
1985,18-29 J.,1. Quintil,10.874348376932259,10.827644691287338,10.92105206257718,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5,1581.0
1985,18-29 J.,2. Quintil,11.310585619010906,11.241443414364511,11.379727823657301,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5,741.0
1985,18-29 J.,3. Quintil,11.475953754624609,11.37330064322652,11.578606866022698,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.5,305.0
1985,18-29 J.,4. Quintil,12.305611887624181,12.031790397827892,12.57943337742047,10.5,11.5,14.0,9.0,18.0,11.5,11.0,12.0,73.0
1985,18-29 J.,5. Quintil,,,,,,,,,,,,
1985,30-45 J.,1. Quintil,10.607068503861445,10.565585491785592,10.648551515937298,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,1900.0
1985,30-45 J.,2. Quintil,11.722556807259865,11.641327221171501,11.80378639334823,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.5,875.0
1985,30-45 J.,3. Quintil,12.481084914221189,12.346018946760315,12.616150881682062,10.5,11.5,14.0,7.0,18.0,11.5,11.5,11.5,417.0
1985,30-45 J.,4. Quintil,13.098885843599849,12.886245266370544,13.311526420829153,10.5,11.893058946204945,16.0,7.0,18.0,12.0,12.0,12.5,175.0
1985,30-45 J.,5. Quintil,13.119213459422824,12.76790109847494,13.470525820370707,11.0,12.0,15.0,9.0,18.0,12.0,11.0,12.5,66.0
1985,46-65 J.,1. Quintil,10.08125149746213,10.04712175373351,10.11538124119075,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5,1670.0
1985,46-65 J.,2. Quintil,10.749760229811006,10.687659122078562,10.81186133754345,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,913.0
1985,46-65 J.,3. Quintil,11.586493291442391,11.472244516986203,11.700742065898579,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5,446.0
1985,46-65 J.,4. Quintil,12.347239940675228,12.157211673541399,12.537268207809058,10.5,11.5,14.5,7.0,18.0,11.5,11.5,12.0,184.0
1985,46-65 J.,5. Quintil,12.700506355009278,12.35024972960504,13.050762980413516,10.5,11.5,15.0,9.0,18.0,11.5,11.0,11.5125,63.0
1985,66 und älter,1. Quintil,10.097141636594166,10.045787991635217,10.148495281553116,9.0,10.5,10.5,7.0,12.75,10.5,10.5,11.0,733.0
1985,66 und älter,2. Quintil,10.840483132571817,10.721792320494702,10.959173944648933,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5,222.0
1985,66 und älter,3. Quintil,12.049298206329128,11.780422740590417,12.31817367206784,10.5,11.5,12.0,9.0,14.25,11.5,11.0,12.0,89.0
1985,66 und älter,4. Quintil,12.56507433162479,12.179199716178225,12.950948947071357,10.5,11.5,14.891366491073452,9.0,18.0,11.5,9.0,12.0125,42.0
1985,66 und älter,5. Quintil,,,,,,,,,,,,
1986,unter 18 J.,-6,,,,,,,,,,,,
1986,18-29 J.,1. Quintil,10.849802817573702,10.801174585372376,10.898431049775027,9.0,10.5,12.0,7.0,16.5,10.5,10.5,10.5,1411.0
1986,18-29 J.,2. Quintil,11.148942092046319,11.087477666055866,11.210406518036772,10.0,10.5,12.0,7.0,15.0,10.5,10.0,10.5,759.0
1986,18-29 J.,3. Quintil,11.373207659258817,11.275369538041524,11.47104578047611,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.5,346.0
1986,18-29 J.,4. Quintil,12.008875273669405,11.793902960933185,12.223847586405626,10.5,11.5,13.0,7.0,16.75,11.5,11.0,11.5,91.0
1986,18-29 J.,5. Quintil,,,,,,,,,,,,
1986,30-45 J.,1. Quintil,10.780562156370971,10.732702050842269,10.828422261899673,10.0,10.5,11.0,8.5,12.5,10.5,10.5,10.5,1698.0
1986,30-45 J.,2. Quintil,11.5691784869413,11.490331863879842,11.64802511000276,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5,843.0
1986,30-45 J.,3. Quintil,12.516015403440525,12.38335420826916,12.648676598611889,10.5,11.5,14.0,7.0,18.0,11.5,11.5,11.5,447.0
1986,30-45 J.,4. Quintil,13.15928134632681,12.957589770158826,13.360972922494796,11.0,12.0,15.0,8.5,18.0,12.0,12.0,12.5,189.0
1986,30-45 J.,5. Quintil,14.480945048938652,14.053959853906273,14.907930243971032,11.5,13.328755843680298,18.0,10.0,18.0,13.0,8.0,14.0,54.0
1986,46-65 J.,1. Quintil,10.064466028995765,10.029968023615487,10.098964034376044,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5,1516.0
