"year","bula_h","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","Baden-Wuerttemberg","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Baden-Wuerttemberg","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Bayern","Laendlicher Raum","10.61","10.25","908","9","9","11","12","18","10.48","10.74","7","18","10.5","10.5"
"1985","Bayern","Staedtischer Raum","11.28","10.25","952","9","10","12","15","18","11.13","11.43","7","18","10.5","10.5"
"1985","Berlin","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Berlin","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Brandenburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Brandenburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Bremen","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Bremen","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Hamburg","Laendlicher Raum","12.87","10.75","6","9","10.5","15","18","18","9.35","16.39","9","18","",""
"1985","Hamburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Hessen","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Hessen","Staedtischer Raum","11.21","10.25","955","9","10","11.5","15","18","11.05","11.37","7","18","10.5","10.5"
"1985","Mecklenburg-Vorpommern","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Mecklenburg-Vorpommern","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Niedersachsen","Laendlicher Raum","10.7","10.25","575","9","9","11","12","18","10.53","10.87","7","18","10.5","10.5"
"1985","Niedersachsen","Staedtischer Raum","11.13","10.25","492","9","10","11.5","14.5","18","10.92","11.34","7","18","10.5","10.5"
"1985","Nordrhein-Westfalen","Laendlicher Raum","10.7","10.25","73","9","10","11.5","12","18","10.31","11.09","7","18","10.5","10.5"
"1985","Nordrhein-Westfalen","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Rheinland-Pfalz,Saarland","Staedtischer Raum","10.5","10.25","619","9","9","11","12","18","10.34","10.66","7","18","10.5","10.5"
"1985","Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Saarland","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Sachsen","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Sachsen","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Sachsen-Anhalt","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Sachsen-Anhalt","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Schleswig-Holstein","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Schleswig-Holstein","Staedtischer Raum","","","","","","","","","","","","","",""
"1985","Thueringen","Laendlicher Raum","","","","","","","","","","","","","",""
"1985","Thueringen","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Baden-Wuerttemberg","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Baden-Wuerttemberg","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Bayern","Laendlicher Raum","10.66","10.25","837","9","9","11","12","18","10.52","10.8","7","18","10.5","10.5"
"1986","Bayern","Staedtischer Raum","11.32","10.25","897","9","10.5","12","15","18","11.17","11.47","7","18","10.5","10.5"
"1986","Berlin","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Berlin","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Brandenburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Brandenburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Bremen","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Bremen","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Hamburg","Laendlicher Raum","12.58","10.75","6","9","10.5","15","18","18","9.06","16.1","9","18","",""
"1986","Hamburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Hessen","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Hessen","Staedtischer Raum","11.33","10.25","873","9","10","11.5","15","18","11.16","11.5","7","18","10.5","10.5"
"1986","Mecklenburg-Vorpommern","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Mecklenburg-Vorpommern","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Niedersachsen","Laendlicher Raum","10.74","10.25","563","9","9","11.5","13","18","10.57","10.91","7","18","10.5","10.5"
"1986","Niedersachsen","Staedtischer Raum","11.16","10.25","510","9","10","11.5","14.5","18","10.95","11.37","7","18","10.5","10.5"
"1986","Nordrhein-Westfalen","Laendlicher Raum","10.77","10.25","69","9","10.5","11.5","13","18","10.35","11.19","7","18","10.5","10.5"
"1986","Nordrhein-Westfalen","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Rheinland-Pfalz,Saarland","Staedtischer Raum","10.49","10.25","610","9","9","11","12","18","10.33","10.65","7","18","10.5","10.5"
"1986","Saarland","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Saarland","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Sachsen","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Sachsen","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Sachsen-Anhalt","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Sachsen-Anhalt","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Schleswig-Holstein","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Schleswig-Holstein","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Thueringen","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Thueringen","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Baden-Wuerttemberg","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Baden-Wuerttemberg","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Bayern","Laendlicher Raum","10.71","10.25","808","9","9","11","12","18","10.57","10.85","7","18","10.5","10.5"
"1987","Bayern","Staedtischer Raum","11.36","10.25","867","9","10.5","12","15","18","11.2","11.52","7","18","10.5","10.5"
"1987","Berlin","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Berlin","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Brandenburg","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Brandenburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Bremen","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Bremen","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Hamburg","Laendlicher Raum","12.45","10","4","9","9","14","18","18","6.22","18.68","9","18","",""
"1987","Hamburg","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Hessen","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Hessen","Staedtischer Raum","11.37","10.25","881","9","10","12","15","18","11.2","11.54","7","18","10.5","10.5"
"1987","Mecklenburg-Vorpommern","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Mecklenburg-Vorpommern","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Niedersachsen","Laendlicher Raum","10.77","10.25","561","9","9","11.5","13","18","10.6","10.94","7","18","10.5","10.5"
"1987","Niedersachsen","Staedtischer Raum","11.2","10.25","508","9","10","11.5","14.5","18","10.99","11.41","7","18","10.5","10.5"
