year,quintil_oecd,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,1st Quintile,Urban regions,4558,10.463391429239445,10.437801510422638,10.488981348056253,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1985,1st Quintile,Rural regions,1376,10.241607139760514,10.203536300934346,10.279677978586683,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5
1985,2nd Quintile,Urban regions,2231,11.221038403165677,11.176632700811838,11.265444105519515,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1985,2nd Quintile,Rural regions,526,11.000113229320693,10.916630401605799,11.083596057035587,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1985,3rd Quintile,Urban regions,996,11.851508918072918,11.775101412948143,11.927916423197694,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.0
1985,3rd Quintile,Rural regions,257,11.75532314858298,11.599090226155932,11.911556071010027,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.5
1985,4th Quintile,Urban regions,358,12.851719440881162,12.708332785183282,12.995106096579041,10.5,11.5,15.0,9.0,18.0,11.5,11.0,11.5
1985,4th Quintile,Rural regions,73,12.382062718852758,12.066082832157273,12.698042605548244,10.5,11.416981194013283,14.461275643109781,7.0,18.0,11.5,11.0,12.5
1985,5th Quintile,Urban regions,121,12.918918276946235,12.672483246882898,13.165353307009571,11.0,11.765909790377187,15.0,9.0,18.0,12.0,12.0,12.5
1985,5th Quintile,Rural regions,33,11.861377361150907,11.404783664474287,12.317971057827528,10.5,11.0,11.682070626259462,9.0,13.455176565648653,11.0,10.5,11.5
1986,1st Quintile,Urban regions,4106,10.489721863396388,10.46263972534612,10.516804001446657,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1986,1st Quintile,Rural regions,1229,10.251389569421836,10.210815964741581,10.29196317410209,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5
1986,2nd Quintile,Urban regions,2194,11.128962414259593,11.086430217860626,11.171494610658561,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1986,2nd Quintile,Rural regions,565,10.949970131862113,10.870191600371301,11.029748663352924,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1986,3rd Quintile,Urban regions,1089,11.85069768337292,11.777809756909427,11.923585609836412,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.0
1986,3rd Quintile,Rural regions,245,11.347681587472417,11.206612636928751,11.488750538016083,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1986,4th Quintile,Urban regions,415,12.849647774661388,12.716043730644659,12.983251818678118,10.5,11.5,15.0,7.0,18.0,11.5,11.0,11.5
1986,4th Quintile,Rural regions,99,12.77693898339695,12.495369542710803,13.058508424083096,10.5,11.5,15.0,9.0,18.0,11.5,10.0,11.5
1986,5th Quintile,Urban regions,107,13.460783861344416,13.171365081620777,13.750202641068054,11.0,12.0,18.0,9.0,18.0,12.0,9.5,12.5
1986,5th Quintile,Rural regions,37,13.021869967902004,12.525032890659384,13.518707045144625,10.5,11.5,16.40878340911613,9.0,18.0,11.5,9.0,12.5
1987,1st Quintile,Urban regions,3625,10.478708292364828,10.450450518100988,10.506966066628669,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1987,1st Quintile,Rural regions,1122,10.308598354528016,10.265613795491994,10.351582913564037,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5
1987,2nd Quintile,Urban regions,2254,11.078378946388984,11.035647797285005,11.121110095492963,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1987,2nd Quintile,Rural regions,599,10.958672495215296,10.881663068540941,11.035681921889651,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1987,3rd Quintile,Urban regions,1312,11.637190874862151,11.57282623024661,11.701555519477692,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.0
1987,3rd Quintile,Rural regions,269,11.317348343416368,11.193107771390554,11.441588915442182,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1987,4th Quintile,Urban regions,445,12.912692689693735,12.783050083148488,13.042335296238981,10.5,11.5,15.0,7.0,18.0,11.5,11.0,11.5
1987,4th Quintile,Rural regions,105,12.419562523259899,12.142284047747943,12.696840998771854,10.5,11.5,15.0,8.5,18.0,11.5,11.5,12.5
1987,5th Quintile,Urban regions,178,13.32404053194734,13.10725367922248,13.5408273846722,10.5,12.0,16.0,9.0,18.0,12.0,11.0,12.5
1987,5th Quintile,Rural regions,39,12.912784360680753,12.417604474451615,13.407964246909891,10.5,11.5,16.168091939805272,7.0,18.0,11.5,8.5,12.5
1988,1st Quintile,Urban regions,3273,10.457621076133046,10.427923864090527,10.487318288175565,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1988,1st Quintile,Rural regions,919,10.248553758715504,10.20280168116259,10.294305836268418,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5
1988,2nd Quintile,Urban regions,2219,11.079797006021556,11.037060756341713,11.122533255701399,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1988,2nd Quintile,Rural regions,651,10.73516074585515,10.673483528578629,10.796837963131672,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1988,3rd Quintile,Urban regions,1262,11.723528110228292,11.657312480736957,11.789743739719627,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.0
1988,3rd Quintile,Rural regions,295,11.324845378513173,11.210167902085594,11.439522854940751,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1988,4th Quintile,Urban regions,547,12.643043519381914,12.526964399209719,12.759122639554109,10.5,11.5,15.0,7.0,18.0,11.5,11.5,11.5
1988,4th Quintile,Rural regions,100,12.77039292365375,12.481222728130438,13.059563119177062,10.5,11.5,15.0,7.0,18.0,11.5,11.0,12.0
1988,5th Quintile,Urban regions,188,13.275722801322887,13.076577586180454,13.47486801646532,11.0,12.0,15.0,7.0,18.0,12.0,11.0,12.5
1988,5th Quintile,Rural regions,39,12.819740696366322,12.32835214677449,13.311129245958154,10.5,11.5,16.184133528817572,9.0,18.0,11.5,8.5,12.5
1989,1st Quintile,Urban regions,2911,10.427234158869593,10.395384753396344,10.459083564342842,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1989,1st Quintile,Rural regions,767,10.266848233194189,10.215071198573316,10.318625267815062,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5
1989,2nd Quintile,Urban regions,2211,11.012062751493067,10.970674092941335,11.053451410044799,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1989,2nd Quintile,Rural regions,596,10.770516134313532,10.702132415827176,10.838899852799887,10.0,10.5,11.0,8.5,12.5,10.5,10.5,10.5
1989,3rd Quintile,Urban regions,1352,11.52181599915364,11.461877745578525,11.581754252728755,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1989,3rd Quintile,Rural regions,342,11.12200275420271,11.01404468096318,11.22996082744224,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
