year,quintil_oecd,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,male,1056,10.63540111279737,10.576807539577818,10.693994686016921,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1984,1st Quintile,female,1349,10.016710915971485,9.96993925981741,10.06348257212556,9.0,9.0,10.5,7.0,12.75,9.0,9.0,9.0
1984,2nd Quintile,male,1089,10.563830675069502,10.520993934370349,10.606667415768655,10.5,10.5,11.0,9.75,11.75,10.5,10.5,10.5
1984,2nd Quintile,female,1230,10.022930397189722,9.982065481244266,10.063795313135177,9.0,10.0,10.5,7.0,12.75,10.0,10.0,11.0
1984,3rd Quintile,male,1173,10.98416167015202,10.931353946420725,11.036969393883314,10.5,10.5,11.0,9.75,11.75,10.5,10.5,10.5
1984,3rd Quintile,female,1144,10.340941271030509,10.29461908982883,10.387263452232188,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1984,4th Quintile,male,1243,11.451038442132775,11.389606932155306,11.512469952110244,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1984,4th Quintile,female,1193,10.75525776409475,10.702173193086002,10.808342335103498,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1984,5th Quintile,male,1241,12.376106404947482,12.302268042469654,12.44994476742531,10.5,11.5,14.0,7.0,18.0,11.5,11.5,12.0
1984,5th Quintile,female,1132,11.487107903264633,11.42029800327928,11.553917803249986,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1985,1st Quintile,male,959,10.562813532579607,10.508464783743227,10.617162281415988,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1985,1st Quintile,female,1205,9.977378919844385,9.930656651056449,10.024101188632322,9.0,9.0,10.5,7.0,12.75,9.0,8.0,9.0
1985,2nd Quintile,male,999,10.651892475864774,10.601946535144402,10.701838416585145,10.028316493828763,10.5,11.0,8.570791234571907,12.457525259256855,10.5,10.5,10.5
1985,2nd Quintile,female,1096,10.14969977590137,10.103600587429131,10.195798964373608,9.0,10.0,10.5,7.0,12.75,10.0,9.5,10.0
1985,3rd Quintile,male,1062,11.016397641635615,10.957756783012597,11.075038500258634,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1985,3rd Quintile,female,1072,10.299256666970027,10.252908764483049,10.345604569457006,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1985,4th Quintile,male,1127,11.443231929049714,11.37912761087284,11.507336247226588,10.5,10.5,12.0,8.25,14.25,10.5,10.5,10.5
1985,4th Quintile,female,1045,10.864754755102071,10.80595955047152,10.923549959732622,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1985,5th Quintile,male,1089,12.497581700678321,12.417639709349432,12.57752369200721,10.5,11.5,14.0,7.0,18.0,11.5,11.5,12.0
1985,5th Quintile,female,1029,11.58024063573581,11.50784697297125,11.652634298500372,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.5
1986,1st Quintile,male,865,10.586833476682061,10.528550236973503,10.64511671639062,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1986,1st Quintile,female,1118,10.076750702645153,10.026991302967186,10.12651010232312,9.0,9.0,10.5,7.0,12.75,9.0,8.0,9.0
1986,2nd Quintile,male,983,10.649166731790405,10.597903043485903,10.700430420094907,10.0,10.5,11.0,8.5,12.5,10.5,10.5,10.5
1986,2nd Quintile,female,1026,10.050958608157206,10.006920786627907,10.094996429686505,9.0,10.0,10.5,7.0,12.75,10.0,9.5,10.024999999999999
1986,3rd Quintile,male,1016,11.025595613878115,10.968268027678876,11.082923200077355,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1986,3rd Quintile,female,1021,10.456390565618687,10.406399747808612,10.506381383428762,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1986,4th Quintile,male,1120,11.452183208859356,11.388237020735602,11.51612939698311,10.5,10.5,12.0,8.25,14.25,10.5,10.5,10.5
1986,4th Quintile,female,1039,10.865800540521166,10.808507379072218,10.923093701970114,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1986,5th Quintile,male,1063,12.570868198922431,12.488519849391782,12.65321654845308,10.5,11.5,14.5,7.0,18.0,11.5,11.5,11.5
1986,5th Quintile,female,993,11.655885666927164,11.580194245902689,11.731577087951639,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.0
1987,1st Quintile,male,858,10.568829537059255,10.51275482841848,10.62490424570003,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1987,1st Quintile,female,1079,10.018303581623035,9.967809495195873,10.068797668050198,9.0,9.0,10.5,7.0,12.75,9.0,8.0,9.0
1987,2nd Quintile,male,946,10.691100502808208,10.639789079352797,10.74241192626362,10.5,10.5,11.0,9.75,11.75,10.5,10.5,10.5
1987,2nd Quintile,female,1033,10.195657322596867,10.150873136567814,10.24044150862592,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5
1987,3rd Quintile,male,1010,11.058855737563531,11.001648525698961,11.116062949428102,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1987,3rd Quintile,female,1024,10.550316664146036,10.499664915792192,10.600968412499881,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1987,4th Quintile,male,1103,11.525281242435174,11.458986094288848,11.5915763905815,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1987,4th Quintile,female,1013,10.909674021709685,10.846793263754368,10.972554779665003,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1987,5th Quintile,male,1073,12.50933296369128,12.427458696079691,12.59120723130287,10.5,11.5,14.5,7.0,18.0,11.5,11.5,11.5
1987,5th Quintile,female,959,11.70478034550168,11.626620538772684,11.782940152230676,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.0
1988,1st Quintile,male,826,10.578264773871195,10.516588838017556,10.639940709724835,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5
1988,1st Quintile,female,1039,10.014911033718205,9.964120728722003,10.065701338714407,9.0,9.0,10.5,7.0,12.75,9.0,8.0,9.0
1988,2nd Quintile,male,898,10.721994298839883,10.67365645396105,10.770332143718717,10.5,10.5,11.0,9.75,11.75,10.5,10.5,10.5
1988,2nd Quintile,female,1017,10.298206501435587,10.250863315371824,10.34554968749935,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1988,3rd Quintile,male,966,11.010862945550402,10.952204020581664,11.06952187051914,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1988,3rd Quintile,female,966,10.454571969546105,10.403644877609418,10.505499061482793,9.0,10.5,11.226652085611601,7.0,14.566630214029002,10.5,10.5,10.5
1988,4th Quintile,male,1060,11.547044511948075,11.479290681723924,11.614798342172225,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1988,4th Quintile,female,957,10.967574230272612,10.904751614173149,11.030396846372076,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1988,5th Quintile,male,999,12.585952669444088,12.50184924427291,12.670056094615267,10.5,11.5,14.5,7.0,18.0,11.5,11.5,11.5
1988,5th Quintile,female,891,11.778877792416152,11.696900208268206,11.860855376564098,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.0
1989,1st Quintile,male,803,10.641473652235101,10.581676159613425,10.701271144856777,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1989,1st Quintile,female,1011,10.052041680358876,9.99825890576812,10.105824454949632,9.0,9.0,10.5,7.0,12.75,9.0,8.0,9.0
1989,2nd Quintile,male,882,10.694176704792982,10.640978143217312,10.747375266368651,10.5,10.5,11.0,9.75,11.75,10.5,10.5,10.5
1989,2nd Quintile,female,1004,10.254575843097946,10.207576580551189,10.301575105644703,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5
1989,3rd Quintile,male,923,11.097103453643607,11.035730913856872,11.158475993430342,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1989,3rd Quintile,female,904,10.60067399750868,10.541097792042727,10.660250202974634,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1989,4th Quintile,male,1034,11.468184665392515,11.403380818487186,11.532988512297845,10.5,10.5,11.5,9.0,13.0,10.5,10.0,10.5
1989,4th Quintile,female,937,10.862232399323894,10.80195009352159,10.922514705126197,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1989,5th Quintile,male,939,12.797335650450071,12.706528549851027,12.888142751049115,10.5,11.5,15.0,7.0,18.0,11.5,11.0,11.5
1989,5th Quintile,female,864,11.898959191671228,11.815144188118317,11.982774195224138,10.5,11.5,12.0,8.25,14.25,11.5,11.5,12.0
1990,1st Quintile,male,794,10.50288320386433,10.441207953414898,10.564558454313763,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5
1990,1st Quintile,female,992,9.89974781558498,9.849612156308865,9.949883474861096,9.0,9.0,10.5,7.0,12.75,9.0,8.0,9.0
1990,2nd Quintile,male,849,10.800858301100316,10.743302966932557,10.858413635268075,10.5,10.5,11.0,9.75,11.75,10.5,10.5,10.5
1990,2nd Quintile,female,952,10.415462079491713,10.361020424562057,10.469903734421369,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5
1990,3rd Quintile,male,915,11.091364836309369,11.027456668407652,11.155273004211086,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5
1990,3rd Quintile,female,932,10.632752659207696,10.575221837706684,10.69028348070871,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5
1990,4th Quintile,male,975,11.547368172069168,11.479103984837204,11.615632359301133,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5
1990,4th Quintile,female,907,10.987915075512648,10.921094681556987,11.054735469468309,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5
1990,5th Quintile,male,936,12.830194593208281,12.740999320425692,12.91938986599087,10.5,11.5,15.0,7.0,18.0,11.5,11.5,11.5
