year,migback,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,West,,,,,,,,,,,,
1984,Direct migration background,West,,,,,,,,,,,,
1984,Indirect migration background,West,,,,,,,,,,,,
1985,No migration background,West,,,,,,,,,,,,
1985,Direct migration background,West,,,,,,,,,,,,
1985,Indirect migration background,West,,,,,,,,,,,,
1986,No migration background,West,,,,,,,,,,,,
1986,Direct migration background,West,,,,,,,,,,,,
1986,Indirect migration background,West,,,,,,,,,,,,
1987,No migration background,West,,,,,,,,,,,,
1987,Direct migration background,West,,,,,,,,,,,,
1987,Indirect migration background,West,,,,,,,,,,,,
1988,No migration background,West,6930,3.309952113547429,3.249916590684259,3.3699876364105985,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1988,Direct migration background,West,2623,3.2022507571624703,3.082965982148534,3.321535532176407,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1988,Indirect migration background,West,169,4.73239404447756,4.033065440292311,5.4317226486628085,0.0,1.0,3.0,0.0,7.5,1.0,0.0,2.0
1989,No migration background,West,6690,3.3673505187014787,3.2987363542084718,3.4359646831944857,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1989,Direct migration background,West,2544,2.986391015095486,2.8859638330566746,3.0868181971342974,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1989,Indirect migration background,West,211,3.0203081877778453,2.6083070557214842,3.4323093198342063,0.0,1.0,3.008657705208473,0.0,7.521644263021182,1.0,0.0,1.0
1990,No migration background,West,,,,,,,,,,,,
1990,No migration background,East,,,,,,,,,,,,
1990,Direct migration background,West,,,,,,,,,,,,
1990,Direct migration background,East,,,,,,,,,,,,
1990,Indirect migration background,West,,,,,,,,,,,,
1990,Indirect migration background,East,,,,,,,,,,,,
1991,No migration background,West,6517,3.3511618653110578,3.282990351031242,3.4193333795908734,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1991,No migration background,East,3922,2.0939372977344224,2.0373732684471455,2.1505013270216993,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1991,Direct migration background,West,2432,3.0869851544167153,2.983609001823983,3.1903613070094474,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1991,Direct migration background,East,140,2.198209580365388,1.9674444685939387,2.4289746921368374,0.0,1.8041073094233804,3.0,0.0,7.5,2.0,2.0,3.0
1991,Indirect migration background,West,283,3.4089636095234988,2.9958936028554097,3.8220336161915878,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1991,Indirect migration background,East,,,,,,,,,,,,
1992,No migration background,West,6414,3.3169730946522025,3.250021940156891,3.383924249147514,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1992,No migration background,East,3723,2.2983791952903445,2.2477729878492982,2.348985402731391,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1992,Direct migration background,West,2325,3.01735103258993,2.904111304174232,3.130590761005628,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1992,Direct migration background,East,141,2.524254716233483,2.33576404701723,2.7127453854497365,0.8543024249717144,2.0,3.0,0.0,6.218546362542428,2.0,1.0,2.0
1992,Indirect migration background,West,327,2.7344029417062203,2.446260323232565,3.022545560179876,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1992,Indirect migration background,East,,,,,,,,,,,,
1993,No migration background,West,,,,,,,,,,,,
1993,No migration background,East,,,,,,,,,,,,
1993,Direct migration background,West,,,,,,,,,,,,
1993,Direct migration background,East,,,,,,,,,,,,
1993,Indirect migration background,West,,,,,,,,,,,,
1993,Indirect migration background,East,,,,,,,,,,,,
1994,No migration background,West,,,,,,,,,,,,
1994,No migration background,East,,,,,,,,,,,,
1994,Direct migration background,West,,,,,,,,,,,,
1994,Direct migration background,East,,,,,,,,,,,,
1994,Indirect migration background,West,,,,,,,,,,,,
1994,Indirect migration background,East,,,,,,,,,,,,
1995,No migration background,West,6337,3.434735236281524,3.3660880595266116,3.5033824130364364,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1995,No migration background,East,3435,2.826901442978372,2.759123331549625,2.8946795544071193,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1995,Direct migration background,West,2592,2.9859673001953233,2.891526453695934,3.0804081466947126,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1995,Direct migration background,East,139,2.8980959854234793,2.645669086253635,3.1505228845933235,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1995,Indirect migration background,West,442,2.5518902034210758,2.258102100716559,2.8456783061255924,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1995,Indirect migration background,East,,,,,,,,,,,,
1996,No migration background,West,6223,3.2718963804688346,3.2097905215566422,3.334002239381027,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1996,No migration background,East,3422,2.760119264435287,2.69138799328714,2.828850535583434,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1996,Direct migration background,West,2412,3.1579326500881146,3.052037739232582,3.263827560943647,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1996,Direct migration background,East,140,3.1933768105631244,2.891828780070238,3.4949248410560108,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1996,Indirect migration background,West,467,2.3828378295031145,2.1853381682029496,2.5803374908032795,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1996,Indirect migration background,East,,,,,,,,,,,,
1997,No migration background,West,6211,3.1339977555238905,3.076505213600505,3.191490297447276,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1997,No migration background,East,3391,2.776475993367549,2.712277881803316,2.8406741049317823,0.0,2.0,3.0,0.0,7.5,2.0,2.0,2.0
1997,Direct migration background,West,2304,2.833958349493769,2.7445475543696847,2.9233691446178534,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1997,Direct migration background,East,130,3.1176681446853975,2.8432475766827525,3.3920887126880426,1.0,2.0,3.0,0.0,6.0,2.0,1.0,2.0
1997,Indirect migration background,West,478,1.9657771716853836,1.8344849841059794,2.097069359264788,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1997,Indirect migration background,East,,,,,,,,,,,,
