year,pgisced97,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,male,,,,,,,,,,,,
1984,Pre-primary Level,female,,,,,,,,,,,,
1984,Primary Level,male,,,,,,,,,,,,
1984,Primary Level,female,,,,,,,,,,,,
1984,Lower Secondary Level,male,,,,,,,,,,,,
1984,Lower Secondary Level,female,,,,,,,,,,,,
1984,Upper Secondary Level,male,,,,,,,,,,,,
1984,Upper Secondary Level,female,,,,,,,,,,,,
1984,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1984,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1984,First Stage of Tertiary Education,male,,,,,,,,,,,,
1984,First Stage of Tertiary Education,female,,,,,,,,,,,,
1984,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1984,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1985,Pre-primary Level,male,,,,,,,,,,,,
1985,Pre-primary Level,female,,,,,,,,,,,,
1985,Primary Level,male,,,,,,,,,,,,
1985,Primary Level,female,,,,,,,,,,,,
1985,Lower Secondary Level,male,,,,,,,,,,,,
1985,Lower Secondary Level,female,,,,,,,,,,,,
1985,Upper Secondary Level,male,,,,,,,,,,,,
1985,Upper Secondary Level,female,,,,,,,,,,,,
1985,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1985,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1985,First Stage of Tertiary Education,male,,,,,,,,,,,,
1985,First Stage of Tertiary Education,female,,,,,,,,,,,,
1985,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1985,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1986,Pre-primary Level,male,,,,,,,,,,,,
1986,Pre-primary Level,female,,,,,,,,,,,,
1986,Primary Level,male,,,,,,,,,,,,
1986,Primary Level,female,,,,,,,,,,,,
1986,Lower Secondary Level,male,,,,,,,,,,,,
1986,Lower Secondary Level,female,,,,,,,,,,,,
1986,Upper Secondary Level,male,,,,,,,,,,,,
1986,Upper Secondary Level,female,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1986,First Stage of Tertiary Education,male,,,,,,,,,,,,
1986,First Stage of Tertiary Education,female,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1987,Pre-primary Level,male,,,,,,,,,,,,
1987,Pre-primary Level,female,,,,,,,,,,,,
1987,Primary Level,male,,,,,,,,,,,,
1987,Primary Level,female,,,,,,,,,,,,
1987,Lower Secondary Level,male,,,,,,,,,,,,
1987,Lower Secondary Level,female,,,,,,,,,,,,
1987,Upper Secondary Level,male,,,,,,,,,,,,
1987,Upper Secondary Level,female,,,,,,,,,,,,
1987,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1987,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1987,First Stage of Tertiary Education,male,,,,,,,,,,,,
1987,First Stage of Tertiary Education,female,,,,,,,,,,,,
1987,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1987,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1988,Pre-primary Level,male,44,1.2805986060853667,0.9348488180786649,1.6263483940920684,0.0,0.0,2.0,0.0,5.0,0.0,-1.0,0.0
1988,Pre-primary Level,female,38,2.420369966974023,1.843928385156059,2.996811548791987,1.0,1.0,3.0,0.0,6.0,1.0,-1.0,1.0
1988,Primary Level,male,269,2.8803127878992316,2.5447392261401895,3.2158863496582737,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1988,Primary Level,female,411,3.9411758191677624,3.61450683851829,4.267844799817235,0.0,2.0,4.0,0.0,10.0,2.0,1.0,3.0
1988,Lower Secondary Level,male,912,2.569504645710416,2.426715475798369,2.712293815622463,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1988,Lower Secondary Level,female,1688,3.876083742937339,3.73688011358848,4.015287372286198,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1988,Upper Secondary Level,male,2575,3.0013472811906183,2.9000656617368983,3.1026289006443384,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1988,Upper Secondary Level,female,2140,3.7287623599822575,3.6194924672446116,3.8380322527199033,1.0,2.0,5.0,0.0,11.0,2.0,2.0,2.0
1988,Post-secondary Non-tertiary Level,male,152,3.5193274067867253,3.0528134906205993,3.9858413229528513,0.0,1.235578042723302,4.0,0.0,10.0,1.0,0.0,1.0
1988,Post-secondary Non-tertiary Level,female,114,3.1470003521890972,2.8229230693082106,3.471077635069984,0.0,2.0,5.0,0.0,12.5,2.0,1.0,3.0
1988,First Stage of Tertiary Education,male,310,3.5034539743348403,3.148970392561773,3.8579375561079075,0.0,1.0,4.0,0.0,10.0,1.0,0.0,1.0
1988,First Stage of Tertiary Education,female,227,3.0866540633521633,2.7885219302989888,3.384786196405338,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1988,Second Stage of Tertiary Education,male,471,2.038264814178209,1.880535883390133,2.195993744966285,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1988,Second Stage of Tertiary Education,female,228,3.2904358629747015,2.944875168299835,3.635996557649568,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1989,Pre-primary Level,male,45,1.472063863447299,1.1582861980012298,1.785841528893368,0.0,0.009041747651596061,2.0,0.0,5.0,0.0,-1.0,0.0
1989,Pre-primary Level,female,43,2.5370958857167123,1.9118810749527326,3.162310696480692,0.0,1.0,2.999646127394141,0.0,7.4991153184853525,1.0,0.0,2.0
1989,Primary Level,male,251,2.9389764296701752,2.5678486066482797,3.3101042526920708,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1989,Primary Level,female,386,4.278876203789456,3.944382471301025,4.613369936277887,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1989,Lower Secondary Level,male,871,3.0204186381261118,2.8067391010902734,3.23409817516195,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1989,Lower Secondary Level,female,1609,3.7809467373484265,3.654776726877046,3.907116747819807,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1989,Upper Secondary Level,male,2510,2.805169067961878,2.7039106052475783,2.906427530676178,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1989,Upper Secondary Level,female,2094,3.9700221089958814,3.826306123932236,4.113738094059527,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1989,Post-secondary Non-tertiary Level,male,156,2.5603072961468007,2.1958442534782368,2.9247703388153647,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1989,Post-secondary Non-tertiary Level,female,131,2.903649740357485,2.6235570620346755,3.183742418680294,0.7527340290184249,2.0,4.454444724456043,0.0,10.00701076761247,2.0,1.0,3.0
1989,First Stage of Tertiary Education,male,293,2.954146919933189,2.675310000122121,3.2329838397442567,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1989,First Stage of Tertiary Education,female,219,3.594303138783292,3.24551942219985,3.943086855366734,1.0,2.0,4.0,0.0,8.5,2.0,1.0,3.0
1989,Second Stage of Tertiary Education,male,470,2.220189652175783,2.0600198316917213,2.380359472659845,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1989,Second Stage of Tertiary Education,female,226,3.3313428278522332,3.0255370592531476,3.637148596451319,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1990,Pre-primary Level,male,,,,,,,,,,,,
1990,Pre-primary Level,female,,,,,,,,,,,,
1990,Primary Level,male,,,,,,,,,,,,
1990,Primary Level,female,,,,,,,,,,,,
1990,Lower Secondary Level,male,,,,,,,,,,,,
1990,Lower Secondary Level,female,,,,,,,,,,,,
1990,Upper Secondary Level,male,,,,,,,,,,,,
1990,Upper Secondary Level,female,,,,,,,,,,,,
1990,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1990,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1990,First Stage of Tertiary Education,male,,,,,,,,,,,,
1990,First Stage of Tertiary Education,female,,,,,,,,,,,,
1990,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1990,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1991,Pre-primary Level,male,60,2.44814104808437,2.0147323995226856,2.8815496966460543,0.0,1.5632523326155847,3.5918817984970013,0.0,8.979704496242503,2.0,2.0,4.0
1991,Pre-primary Level,female,36,2.4218208625486173,1.9191985627066912,2.9244431623905434,0.0,1.3910098537020723,3.6794064242311775,0.0,9.198516060577944,1.0,-1.0,2.0
1991,Primary Level,male,244,3.0961386783108393,2.762247439295791,3.4300299173258875,0.0,2.0,4.0,0.0,10.0,2.0,1.0,3.0
1991,Primary Level,female,368,4.202402432803753,3.86875913198351,4.536045733623996,0.0,2.0,5.0,0.0,12.5,2.0,1.0,2.0
1991,Lower Secondary Level,male,923,3.0354146433460087,2.8806954675548315,3.190133819137186,0.0,1.0,4.0,0.0,10.0,1.0,0.0,1.0
1991,Lower Secondary Level,female,1822,3.7389235778946,3.6284409691568458,3.849406186632354,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1991,Upper Secondary Level,male,3560,2.597919248482657,2.517268681478091,2.6785698154872235,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1991,Upper Secondary Level,female,3306,3.5609311570614133,3.454866097790345,3.6669962163324814,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1991,Post-secondary Non-tertiary Level,male,214,2.3334112386007964,2.1259725515414183,2.5408499256601744,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1991,Post-secondary Non-tertiary Level,female,164,3.2319844362635983,2.9495819412731,3.5143869312540965,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1991,First Stage of Tertiary Education,male,490,2.8427515803131427,2.5623166997646614,3.123186460861624,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1991,First Stage of Tertiary Education,female,262,3.394341354210831,3.019206782325332,3.76947592609633,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1991,Second Stage of Tertiary Education,male,918,1.8334968747172675,1.746152479085169,1.920841270349366,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1991,Second Stage of Tertiary Education,female,752,2.8810993667692193,2.6976249333177376,3.064573800220701,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1992,Pre-primary Level,male,53,2.7179137848918256,2.0941929287759518,3.3416346410076994,0.0,1.0,2.8439886304556676,0.0,7.109971576139169,1.0,0.0,2.0
1992,Pre-primary Level,female,42,2.3371483218742424,1.9969523115772707,2.677344332171214,0.0,2.0,4.0,0.0,8.0,2.0,1.0,3.0
1992,Primary Level,male,233,2.603096100944083,2.3138341026422933,2.892358099245873,0.0,1.0,3.0,0.0,7.5,1.0,0.0,2.0
1992,Primary Level,female,359,3.7826015518341767,3.4273182001219045,4.137884903546449,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1992,Lower Secondary Level,male,891,2.8984547892180985,2.735086396069016,3.061823182367181,0.0,1.0,3.0,0.0,7.5,1.0,0.9749999999999943,1.0
1992,Lower Secondary Level,female,1746,3.671295962934289,3.5401308235940334,3.8024611022745445,1.0,2.0,4.0,0.0,8.5,2.0,1.9749999999999943,2.0
1992,Upper Secondary Level,male,3393,2.7357391320364415,2.6494459690587804,2.8220322950141026,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1992,Upper Secondary Level,female,3249,3.500980849677267,3.412957868633079,3.589003830721455,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1992,Post-secondary Non-tertiary Level,male,217,2.1344970044762652,1.9313050703216967,2.3376889386308335,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1992,Post-secondary Non-tertiary Level,female,165,4.266443754687491,3.4520814905348374,5.0808060188401445,1.0,3.0,4.0,0.0,8.5,3.0,3.0,4.0
1992,First Stage of Tertiary Education,male,490,2.965570938605374,2.7518366440719055,3.1793052331388423,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1992,First Stage of Tertiary Education,female,268,3.3162686323952513,3.017032227873541,3.6155050369169617,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1992,Second Stage of Tertiary Education,male,906,2.284900929644229,2.162742258601137,2.407059600687321,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1992,Second Stage of Tertiary Education,female,733,2.489085204531857,2.378694267642723,2.599476141420991,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1993,Pre-primary Level,male,,,,,,,,,,,,
1993,Pre-primary Level,female,,,,,,,,,,,,
1993,Primary Level,male,,,,,,,,,,,,
1993,Primary Level,female,,,,,,,,,,,,
1993,Lower Secondary Level,male,,,,,,,,,,,,
1993,Lower Secondary Level,female,,,,,,,,,,,,
1993,Upper Secondary Level,male,,,,,,,,,,,,
1993,Upper Secondary Level,female,,,,,,,,,,,,
1993,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1993,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1993,First Stage of Tertiary Education,male,,,,,,,,,,,,
1993,First Stage of Tertiary Education,female,,,,,,,,,,,,
1993,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1993,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1994,Pre-primary Level,male,,,,,,,,,,,,
1994,Pre-primary Level,female,,,,,,,,,,,,
1994,Primary Level,male,,,,,,,,,,,,
1994,Primary Level,female,,,,,,,,,,,,
1994,Lower Secondary Level,male,,,,,,,,,,,,
1994,Lower Secondary Level,female,,,,,,,,,,,,
1994,Upper Secondary Level,male,,,,,,,,,,,,
1994,Upper Secondary Level,female,,,,,,,,,,,,
1994,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1994,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1994,First Stage of Tertiary Education,male,,,,,,,,,,,,
1994,First Stage of Tertiary Education,female,,,,,,,,,,,,
1994,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1994,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1995,Pre-primary Level,male,68,1.3788915958981338,1.1834330483895246,1.574350143406743,0.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0
1995,Pre-primary Level,female,74,1.377338081283258,1.1730517536644895,1.5816244089020266,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
1995,Primary Level,male,206,2.9782474470429947,2.676842449488426,3.279652444597563,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1995,Primary Level,female,320,3.586057205572031,3.3519192857380102,3.8201951254060513,0.0,2.0,5.0,0.0,12.5,2.0,1.0,2.0
1995,Lower Secondary Level,male,832,3.0956432211947367,2.887035150282886,3.304251292106587,0.0,1.0,3.0,0.0,7.5,1.0,0.9749999999999943,1.0
1995,Lower Secondary Level,female,1578,4.32857903298327,4.1754687640943065,4.481689301872233,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1995,Upper Secondary Level,male,3362,2.893136800117093,2.8011667820509816,2.985106818183205,0.0,1.0,3.0,0.0,7.5,1.0,0.9749999999999943,1.0
1995,Upper Secondary Level,female,3303,3.680956704594865,3.5887366170123425,3.773176792177387,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1995,Post-secondary Non-tertiary Level,male,247,2.1572860990538634,1.9678101927637641,2.3467620053439626,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1995,Post-secondary Non-tertiary Level,female,220,3.471707842660889,3.181661065143121,3.7617546201786567,1.0,2.0,5.0,0.0,11.0,2.0,1.0,3.0
1995,First Stage of Tertiary Education,male,469,2.3422479359233916,2.203281452275342,2.481214419571441,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1995,First Stage of Tertiary Education,female,280,3.8971212280811227,3.5558348965115902,4.238407559650655,1.0,2.0,4.0,0.0,8.5,2.0,1.0,2.0
1995,Second Stage of Tertiary Education,male,949,2.1921458128830285,2.0861244893771382,2.2981671363889187,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1995,Second Stage of Tertiary Education,female,794,2.91675792326585,2.7785916112400626,3.0549242352916375,1.0,2.0,3.0,0.0,6.0,2.0,2.0,2.0
1996,Pre-primary Level,male,70,1.2864504656956142,1.0811707790417981,1.4917301523494302,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
1996,Pre-primary Level,female,81,1.6863575910549955,1.416928353295436,1.955786828814555,0.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0
1996,Primary Level,male,197,3.1959647154049224,2.8590351459599215,3.5328942848499234,0.0,1.0,4.0,0.0,10.0,1.0,0.0,1.0
1996,Primary Level,female,286,3.2322561782954904,2.9919598970443175,3.4725524595466633,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1996,Lower Secondary Level,male,775,3.2985159285298047,3.090756910191864,3.5062749468677454,0.0,1.0,4.0,0.0,10.0,1.0,0.0,1.0
1996,Lower Secondary Level,female,1506,4.267836034682212,4.116450543870468,4.419221525493955,1.0,3.0,5.0,0.0,11.0,3.0,3.0,3.0
1996,Upper Secondary Level,male,3291,2.676290669051171,2.6027375626170155,2.749843775485327,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1996,Upper Secondary Level,female,3240,3.571530283299703,3.4809418250660715,3.6621187415333343,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1996,Post-secondary Non-tertiary Level,male,237,2.2522075677003723,1.8650649897087954,2.6393501456919495,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0
1996,Post-secondary Non-tertiary Level,female,232,2.831079550580394,2.6121018577477777,3.0500572434130104,1.0,1.0852036970772527,4.0,0.0,8.5,1.0,0.0,1.0
1996,First Stage of Tertiary Education,male,469,2.8018142072369296,2.615173074259974,2.988455340213885,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1996,First Stage of Tertiary Education,female,284,3.9504713037017827,3.5978045311563878,4.303138076247178,0.0,2.0,5.0,0.0,12.5,2.0,1.0,2.0
1996,Second Stage of Tertiary Education,male,961,2.14919747985637,2.0559359611621586,2.242458998550582,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1996,Second Stage of Tertiary Education,female,795,2.842044434504535,2.72016875610842,2.96392011290065,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1997,Pre-primary Level,male,64,1.9173468239928624,1.5700824120137002,2.2646112359720245,0.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0
1997,Pre-primary Level,female,87,2.457335813897649,2.128285607380458,2.78638602041484,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1997,Primary Level,male,189,3.049997252199951,2.6145312305143897,3.4854632738855122,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1997,Primary Level,female,267,3.7826466549361575,3.488586779465422,4.076706530406893,0.0,3.0,6.0,0.0,15.0,3.0,3.0,4.0
1997,Lower Secondary Level,male,781,2.813994186548105,2.6338869168516816,2.9941014562445285,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1997,Lower Secondary Level,female,1458,3.891391962951435,3.7662533568959415,4.016530569006929,1.0,3.0,5.0,0.0,11.0,3.0,3.0,4.0
1997,Upper Secondary Level,male,3228,2.694437647788888,2.6184936656930553,2.770381629884721,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1997,Upper Secondary Level,female,3232,3.4071602091270035,3.327433568718211,3.486886849535796,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1997,Post-secondary Non-tertiary Level,male,231,1.765924803271736,1.5782084671356642,1.953641139407808,0.0,1.0,2.0524168519937005,0.0,5.131042129984252,1.0,1.0,2.0
1997,Post-secondary Non-tertiary Level,female,219,2.6007198538774,2.391440990283323,2.809998717471477,0.6868862123295901,2.0,3.0,0.0,6.469670681505614,2.0,2.0,3.0
1997,First Stage of Tertiary Education,male,473,2.506358221322501,2.317240237098471,2.6954762055465307,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1997,First Stage of Tertiary Education,female,281,3.19706092441623,2.966280541310014,3.4278413075224456,1.0,2.0,4.0,0.0,8.5,2.0,2.0,3.0
1997,Second Stage of Tertiary Education,male,963,2.0882994754257354,1.9917804124172669,2.184818538434204,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
1997,Second Stage of Tertiary Education,female,794,3.065089189265659,2.9277815329985257,3.2023968455327925,1.0,2.0,4.0,0.0,8.5,2.0,2.0,2.0
1998,Pre-primary Level,male,84,1.6221255456774863,1.408054679305668,1.8361964120493046,0.0,1.0,2.0,0.0,5.0,1.0,0.0,2.0
1998,Pre-primary Level,female,100,2.1816403337684447,1.7764155382561266,2.5868651292807625,0.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0
1998,Primary Level,male,179,2.540889865889585,2.26459332481515,2.81718640696402,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1998,Primary Level,female,257,3.591291848085271,3.3373759603128805,3.8452077358576613,0.0,2.328986235305998,5.0,0.0,12.5,2.0,1.0,2.0
1998,Lower Secondary Level,male,873,2.481194750089707,2.342812637752371,2.6195768624270435,0.0,1.0,3.0,0.0,7.5,1.0,1.0,1.0
