year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,,,,,,,,,,,,
1984,2nd Quintile,,,,,,,,,,,,
1984,3rd Quintile,,,,,,,,,,,,
1984,4th Quintile,,,,,,,,,,,,
1984,5th Quintile,,,,,,,,,,,,
1985,1st Quintile,,,,,,,,,,,,
1985,2nd Quintile,,,,,,,,,,,,
1985,3rd Quintile,,,,,,,,,,,,
1985,4th Quintile,,,,,,,,,,,,
1985,5th Quintile,,,,,,,,,,,,
1986,1st Quintile,,,,,,,,,,,,
1986,2nd Quintile,,,,,,,,,,,,
1986,3rd Quintile,,,,,,,,,,,,
1986,4th Quintile,,,,,,,,,,,,
1986,5th Quintile,,,,,,,,,,,,
1987,1st Quintile,,,,,,,,,,,,
1987,2nd Quintile,,,,,,,,,,,,
1987,3rd Quintile,,,,,,,,,,,,
1987,4th Quintile,,,,,,,,,,,,
1987,5th Quintile,,,,,,,,,,,,
1988,1st Quintile,1960,3.64017526295735,3.3825848292468907,3.897765696667809,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1988,2nd Quintile,1978,3.621342076811726,3.375108280966129,3.8675758726573233,0.0,2.0,5.0,0.0,12.5,2.0,2.0,2.0
1988,3rd Quintile,1995,3.172190974089501,2.9340482850338443,3.410333663145158,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1988,4th Quintile,2073,3.217142114569864,2.9935720722853434,3.440712156854385,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1988,5th Quintile,1927,2.80340672841165,2.5830334083961897,3.0237800484271102,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1989,1st Quintile,1909,3.926458987168419,3.626605590145608,4.226312384191229,0.0,2.0,5.0,0.0,12.5,2.0,2.0,2.0
1989,2nd Quintile,1952,3.3646841361096986,3.072667599483582,3.6567006727358153,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1989,3rd Quintile,1888,3.39208948567142,3.1139411729782975,3.6702377983645422,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1989,4th Quintile,2031,3.1017351466109995,2.8813331186224165,3.3221371745995825,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1989,5th Quintile,1846,2.800598412175867,2.596776873980487,3.0044199503712474,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1990,1st Quintile,,,,,,,,,,,,
1990,2nd Quintile,,,,,,,,,,,,
1990,3rd Quintile,,,,,,,,,,,,
1990,4th Quintile,,,,,,,,,,,,
1990,5th Quintile,,,,,,,,,,,,
1991,1st Quintile,1827,4.383329810425423,3.983739793521728,4.782919827329117,1.0,2.0,5.0,0.0,11.0,2.0,1.0,2.0
1991,2nd Quintile,1878,3.1776338662024557,2.949208516554944,3.406059215849967,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1991,3rd Quintile,1895,3.1527896010630796,2.9349027577562548,3.3706764443699044,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1991,4th Quintile,1928,3.200923913477823,2.979305711681556,3.4225421152740902,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1991,5th Quintile,1821,2.784342879806703,2.5764490853626025,2.9922366742508038,0.0,1.0,3.0,0.0,7.5,1.0,0.0,1.0
1992,1st Quintile,2752,3.372914988170467,3.174539148420658,3.5712908279202757,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1992,2nd Quintile,2815,3.132037080386835,2.935975333477882,3.3280988272957877,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1992,3rd Quintile,2637,2.9191408076463663,2.7259214459223626,3.11236016937037,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1992,4th Quintile,2602,3.271306945183864,3.0319112843932112,3.510702605974517,0.0,2.0,4.0,0.0,10.0,2.0,2.0,3.0
1992,5th Quintile,2347,2.6548538591580484,2.48790519673489,2.8218025215812066,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1993,1st Quintile,,,,,,,,,,,,
1993,2nd Quintile,,,,,,,,,,,,
1993,3rd Quintile,,,,,,,,,,,,
1993,4th Quintile,,,,,,,,,,,,
1993,5th Quintile,,,,,,,,,,,,
1994,1st Quintile,,,,,,,,,,,,
1994,2nd Quintile,,,,,,,,,,,,
1994,3rd Quintile,,,,,,,,,,,,
1994,4th Quintile,,,,,,,,,,,,
1994,5th Quintile,,,,,,,,,,,,
1995,1st Quintile,2518,3.4851210992842816,3.245563638927148,3.7246785596414154,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1995,2nd Quintile,2838,3.5337923080360087,3.309726777320397,3.7578578387516206,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1995,3rd Quintile,2698,3.086046625122707,2.9056589260062253,3.2664343242391887,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1995,4th Quintile,2660,3.163999933565911,2.9741372669008954,3.353862600230926,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1995,5th Quintile,2459,2.9085697446492937,2.7154653779162867,3.1016741113823008,0.0,2.0,3.0,0.0,7.5,2.0,2.0,3.0
1996,1st Quintile,2502,3.2176222657873494,3.022374209686709,3.41287032188799,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
1996,2nd Quintile,2710,3.392861658459796,3.191241174766494,3.594482142153098,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
