year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,male,,,,,,,,,,,,
1985,Urban regions,female,,,,,,,,,,,,
1985,Rural regions,male,,,,,,,,,,,,
1985,Rural regions,female,,,,,,,,,,,,
1986,Urban regions,male,,,,,,,,,,,,
1986,Urban regions,female,,,,,,,,,,,,
1986,Rural regions,male,,,,,,,,,,,,
1986,Rural regions,female,,,,,,,,,,,,
1987,Urban regions,male,,,,,,,,,,,,
1987,Urban regions,female,,,,,,,,,,,,
1987,Rural regions,male,,,,,,,,,,,,
1987,Rural regions,female,,,,,,,,,,,,
1988,Urban regions,male,3905,2.82826,2.66245,2.99408,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1988,Urban regions,female,3958,3.78603,3.60789,3.96417,0.00000,2.00000,5.00000,0.00000,12.50000,2.00000,2.00000,2.00000
1988,Rural regions,male,1015,2.86100,2.55663,3.16537,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1988,Rural regions,female,1057,3.32491,3.03298,3.61683,0.00000,2.00000,4.00000,0.00000,10.00000,2.00000,2.00000,2.00000
1989,Urban regions,male,3774,2.72377,2.55680,2.89074,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1989,Urban regions,female,3884,3.82693,3.63562,4.01824,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1989,Rural regions,male,975,2.78250,2.43968,3.12532,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,2.00000
1989,Rural regions,female,994,3.73808,3.32449,4.15168,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1990,Urban regions,male,,,,,,,,,,,,
1990,Urban regions,female,,,,,,,,,,,,
1990,Rural regions,male,,,,,,,,,,,,
1990,Rural regions,female,,,,,,,,,,,,
1991,Urban regions,male,4270,2.60455,2.45707,2.75203,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1991,Urban regions,female,4448,3.75599,3.56857,3.94341,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1991,Rural regions,male,2286,2.47749,2.26943,2.68554,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1991,Rural regions,female,2420,3.04138,2.86646,3.21630,0.00000,2.00000,3.00000,0.00000,7.50000,2.00000,2.00000,2.00000
1992,Urban regions,male,4150,2.75981,2.60521,2.91442,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1992,Urban regions,female,4381,3.56443,3.40244,3.72643,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1992,Rural regions,male,2180,2.46142,2.26591,2.65693,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1992,Rural regions,female,2328,3.17074,2.94437,3.39710,0.00000,2.00000,4.00000,0.00000,10.00000,2.00000,2.00000,2.00000
1993,Urban regions,male,,,,,,,,,,,,
1993,Urban regions,female,,,,,,,,,,,,
1993,Rural regions,male,,,,,,,,,,,,
1993,Rural regions,female,,,,,,,,,,,,
1994,Urban regions,male,,,,,,,,,,,,
1994,Urban regions,female,,,,,,,,,,,,
1994,Rural regions,male,,,,,,,,,,,,
1994,Rural regions,female,,,,,,,,,,,,
1995,Urban regions,male,4159,2.77304,2.61407,2.93201,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1995,Urban regions,female,4489,3.83821,3.66460,4.01183,1.00000,2.00000,5.00000,0.00000,11.00000,2.00000,2.00000,2.00000
1995,Rural regions,male,2196,2.45967,2.26420,2.65513,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1995,Rural regions,female,2333,3.50833,3.31170,3.70497,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1996,Urban regions,male,4060,2.64521,2.50524,2.78517,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1996,Urban regions,female,4381,3.66544,3.49810,3.83278,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1996,Rural regions,male,2161,2.58704,2.40084,2.77324,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1996,Rural regions,female,2293,3.47399,3.27868,3.66930,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1997,Urban regions,male,4034,2.55902,2.42367,2.69437,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1997,Urban regions,female,4294,3.52617,3.37937,3.67298,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1997,Rural regions,male,2153,2.45984,2.27681,2.64288,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1997,Rural regions,female,2290,3.18065,3.01523,3.34606,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1998,Urban regions,male,4427,2.35085,2.22976,2.47193,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1998,Urban regions,female,4756,3.31975,3.18066,3.45885,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1998,Rural regions,male,2413,2.34812,2.19675,2.49948,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1998,Rural regions,female,2530,3.01657,2.86145,3.17170,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1999,Urban regions,male,4259,2.46382,2.32388,2.60377,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1999,Urban regions,female,4567,3.34404,3.20634,3.48175,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
1999,Rural regions,male,2321,2.42226,2.24588,2.59864,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
1999,Rural regions,female,2464,2.96985,2.81747,3.12223,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
2000,Urban regions,male,7481,2.35585,2.25599,2.45570,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2000,Urban regions,female,8157,3.17359,3.06475,3.28244,0.00000,2.00000,4.00000,0.00000,10.00000,2.00000,2.00000,2.00000
2000,Rural regions,male,4054,2.22846,2.09896,2.35795,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2000,Rural regions,female,4320,2.91540,2.79248,3.03832,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
2001,Urban regions,male,6792,2.45794,2.34956,2.56631,0.00000,1.00000,3.00000,0.00000,7.50000,1.00000,1.00000,1.00000
2001,Urban regions,female,7450,3.27888,3.16474,3.39302,1.00000,2.00000,4.00000,0.00000,8.50000,2.00000,2.00000,2.00000
