"year","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1998","Ost","390.71","356.67","4864","385.11","396.31"
"1998","West","469.57","441","13571","465.43","473.71"
"1999","Ost","","","","",""
"1999","West","","","","",""
"2000","Ost","389.97","346.5","7271","385.1","394.84"
"2000","West","473.4","441","24061","470.16","476.64"
"2001","Ost","384.24","332.83","6660","379.42","389.06"
"2001","West","477.64","441","21708","474.19","481.09"
"2002","Ost","","","","",""
"2002","West","","","","",""
"2003","Ost","434.21","395","6457","427.89","440.53"
"2003","West","503.45","433.17","21764","499.11","507.79"
"2004","Ost","","","","",""
"2004","West","","","","",""
"2005","Ost","420.94","395","6077","414.8","427.08"
"2005","West","500.94","431.67","20230","496.75","505.13"
"2006","Ost","","","","",""
"2006","West","","","","",""
"2007","Ost","408.2","385","6001","402.13","414.27"
"2007","West","508.84","431.67","19980","504.38","513.3"
"2008","Ost","","","","",""
"2008","West","","","","",""
"2009","Ost","","","","",""
"2009","West","","","","",""
"2010","Ost","","","","",""
"2010","West","","","","",""
"2011","Ost","398.12","348.33","6011","392.1","404.14"
"2011","West","508.75","431.67","20418","504.18","513.32"
"2012","Ost","","","","",""
"2012","West","","","","",""
"2013","Ost","413.12","385","5970","405.73","420.51"
"2013","West","501.38","431.67","25864","497.17","505.59"
"2014","Ost","","","","",""
"2014","West","","","","",""
"2015","Ost","","","","",""
"2015","West","","","","",""
"2016","Ost","417.65","395","7086","411.36","423.94"
"2016","West","509.27","431.67","29271","505.65","512.89"
"2017","Ost","","","","",""
"2017","West","","","","",""
"2018","Ost","434.23","395","8871","426.99","441.47"
"2018","West","516.46","431.67","37446","512.47","520.45"
"2019","Ost","","","","",""
"2019","West","","","","",""
"2020","Ost","485.3","426.67","8600","476.94","493.66"
"2020","West","537.89","432.67","39453","533.84","541.94"
