year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,,,,,,,,,,,,
1985,Rural regions,,,,,,,,,,,,
1986,Urban regions,,,,,,,,,,,,
1986,Rural regions,,,,,,,,,,,,
1987,Urban regions,,,,,,,,,,,,
1987,Rural regions,,,,,,,,,,,,
1988,Urban regions,,,,,,,,,,,,
1988,Rural regions,,,,,,,,,,,,
1989,Urban regions,,,,,,,,,,,,
1989,Rural regions,,,,,,,,,,,,
1990,Urban regions,,,,,,,,,,,,
1990,Rural regions,,,,,,,,,,,,
1991,Urban regions,,,,,,,,,,,,
1991,Rural regions,,,,,,,,,,,,
1992,Urban regions,,,,,,,,,,,,
1992,Rural regions,,,,,,,,,,,,
1993,Urban regions,,,,,,,,,,,,
1993,Rural regions,,,,,,,,,,,,
1994,Urban regions,,,,,,,,,,,,
1994,Rural regions,,,,,,,,,,,,
1995,Urban regions,,,,,,,,,,,,
1995,Rural regions,,,,,,,,,,,,
1996,Urban regions,,,,,,,,,,,,
1996,Rural regions,,,,,,,,,,,,
1997,Urban regions,,,,,,,,,,,,
1997,Rural regions,,,,,,,,,,,,
1998,Urban regions,,,,,,,,,,,,
1998,Rural regions,,,,,,,,,,,,
1999,Urban regions,,,,,,,,,,,,
1999,Rural regions,,,,,,,,,,,,
2000,Urban regions,,,,,,,,,,,,
2000,Rural regions,,,,,,,,,,,,
2001,Urban regions,,,,,,,,,,,,
2001,Rural regions,,,,,,,,,,,,
2002,Urban regions,,,,,,,,,,,,
2002,Rural regions,,,,,,,,,,,,
2003,Urban regions,,,,,,,,,,,,
2003,Rural regions,,,,,,,,,,,,
2004,Urban regions,,,,,,,,,,,,
2004,Rural regions,,,,,,,,,,,,
2005,Urban regions,,,,,,,,,,,,
2005,Rural regions,,,,,,,,,,,,
2006,Urban regions,,,,,,,,,,,,
2006,Rural regions,,,,,,,,,,,,
2007,Urban regions,,,,,,,,,,,,
2007,Rural regions,,,,,,,,,,,,
2008,Urban regions,,,,,,,,,,,,
2008,Rural regions,,,,,,,,,,,,
2009,Urban regions,,,,,,,,,,,,
2009,Rural regions,,,,,,,,,,,,
2010,Urban regions,5041,52.203460779754714,51.820623977420595,52.58629758208883,31.0,46.0,65.0,8.0,116.0,46.0,45.0,47.0
2010,Rural regions,2037,51.36854062641363,50.73584093957471,52.00124031325256,32.0,46.0,60.0,1.0,102.0,46.0,42.0,48.0
2011,Urban regions,5893,55.129573963079245,54.734793462783514,55.524354463374976,35.0,50.0,70.0,4.0,122.5,50.0,50.0,51.025
2011,Rural regions,2539,52.92915623352043,52.37297447747604,53.48533798956482,33.0,49.0,65.0,1.0,113.0,49.0,48.0,53.0
2012,Urban regions,5704,55.61620945802078,55.225562651009156,56.00685626503241,35.0,50.0,70.0,4.0,122.5,50.0,50.0,50.025
2012,Rural regions,2563,54.89630872740199,54.32026674876212,55.47235070604185,35.0,50.0,70.0,5.0,122.5,50.0,50.0,54.0
2013,Urban regions,6932,57.868988366366565,57.50788954775096,58.23008718498217,36.0,50.0,70.0,6.0,121.0,50.0,50.0,50.0
2013,Rural regions,2799,56.95429021521681,56.39471814548761,57.51386228494601,35.0,50.0,70.0,0.0,122.5,50.0,50.0,50.0
2014,Urban regions,5812,60.2339328134395,59.833626118957206,60.6342395079218,40.0,51.0,75.0,0.0,127.5,51.0,48.974999999999994,52.0
2014,Rural regions,2511,59.63079039932945,59.02056546697375,60.24101533168515,40.0,51.0,72.0,5.0,120.0,51.0,47.0,52.0
2015,Urban regions,6244,57.23583764627371,56.840865852563454,57.63080943998396,35.0,50.0,70.0,0.0,122.5,50.0,50.0,50.0
2015,Rural regions,2631,56.96108377296267,56.38156724881021,57.54060029711513,35.0,50.0,70.0,3.0,122.5,50.0,48.0,50.0
2016,Urban regions,5407,60.18575842458642,59.75843742545784,60.61307942371499,38.0,50.0,75.0,5.0,130.5,50.0,47.0,50.0
2016,Rural regions,2311,59.67382111144057,58.966331506037136,60.381310716844,38.0,51.0,70.0,3.0,118.0,51.0,47.0,52.0
2017,Urban regions,5756,60.01951891139582,59.61780342665668,60.42123439613496,40.0,50.0,73.0,5.0,122.5,50.0,47.0,50.0
2017,Rural regions,2516,59.21371973930968,58.52766991095667,59.899769567662695,36.0,50.0,72.0,8.0,126.0,50.0,48.0,50.0
2018,Urban regions,5913,59.76449602876339,59.37521787250342,60.15377418502336,40.0,50.0,73.0,5.0,122.5,50.0,48.0,50.0
2018,Rural regions,2485,58.68371736438629,58.071822394951546,59.29561233382103,38.00988904696271,50.0,72.0,10.0,122.98516642955593,50.0,47.0,50.0
2019,Urban regions,5406,59.82179600069213,59.410548515219,60.233043486165265,40.0,50.0,72.0,1.0,120.0,50.0,47.0,50.0
2019,Rural regions,2263,59.681699759857864,59.05558080842772,60.30781871128801,39.0,50.0,73.0,6.0,124.0,50.0,48.0,50.0
2020,Urban regions,8617,61.94302836128767,61.58732776439506,62.298728958180284,40.0,52.03554955686038,75.0,5.0,127.5,52.0,49.0,54.0
2020,Rural regions,3072,62.39235223882005,61.76715103816875,63.01755343947136,40.0,51.0,77.0,10.0,132.5,51.0,47.0,52.0
2021,Urban regions,5293,64.16180183405389,63.69950723237833,64.62409643572946,40.0,56.0,80.0,5.0,140.0,56.0,52.0,57.0
2021,Rural regions,1916,60.515937837204284,59.80540248760405,61.22647318680452,40.0,50.0,75.0,10.0,127.5,50.0,45.974999999999994,50.0
