year,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Owner,,,,,,,,,,,,
1984,Tenant,,,,,,,,,,,,
1985,Owner,,,,,,,,,,,,
1985,Tenant,,,,,,,,,,,,
1986,Owner,,,,,,,,,,,,
1986,Tenant,,,,,,,,,,,,
1987,Owner,,,,,,,,,,,,
1987,Tenant,,,,,,,,,,,,
1988,Owner,,,,,,,,,,,,
1988,Tenant,,,,,,,,,,,,
1989,Owner,,,,,,,,,,,,
1989,Tenant,,,,,,,,,,,,
1990,Owner,,,,,,,,,,,,
1990,Tenant,,,,,,,,,,,,
1991,Owner,,,,,,,,,,,,
1991,Tenant,,,,,,,,,,,,
1992,Owner,,,,,,,,,,,,
1992,Tenant,,,,,,,,,,,,
1993,Owner,,,,,,,,,,,,
1993,Tenant,,,,,,,,,,,,
1994,Owner,,,,,,,,,,,,
1994,Tenant,,,,,,,,,,,,
1995,Owner,,,,,,,,,,,,
1995,Tenant,,,,,,,,,,,,
1996,Owner,,,,,,,,,,,,
1996,Tenant,,,,,,,,,,,,
1997,Owner,,,,,,,,,,,,
1997,Tenant,,,,,,,,,,,,
1998,Owner,,,,,,,,,,,,
1998,Tenant,,,,,,,,,,,,
1999,Owner,,,,,,,,,,,,
1999,Tenant,,,,,,,,,,,,
2000,Owner,,,,,,,,,,,,
2000,Tenant,,,,,,,,,,,,
2001,Owner,,,,,,,,,,,,
2001,Tenant,,,,,,,,,,,,
2002,Owner,,,,,,,,,,,,
2002,Tenant,,,,,,,,,,,,
2003,Owner,,,,,,,,,,,,
2003,Tenant,,,,,,,,,,,,
2004,Owner,,,,,,,,,,,,
2004,Tenant,,,,,,,,,,,,
2005,Owner,,,,,,,,,,,,
2005,Tenant,,,,,,,,,,,,
2006,Owner,,,,,,,,,,,,
2006,Tenant,,,,,,,,,,,,
2007,Owner,,,,,,,,,,,,
2007,Tenant,,,,,,,,,,,,
2008,Owner,,,,,,,,,,,,
2008,Tenant,,,,,,,,,,,,
2009,Owner,,,,,,,,,,,,
2009,Tenant,,,,,,,,,,,,
2010,Owner,,,,,,,,,,,,
2010,Tenant,7078,51.98858,51.31301,52.66414,31.00000,46.00000,64.00000,1.00000,113.50000,46.00000,45.00000,47.00000
2011,Owner,,,,,,,,,,,,
2011,Tenant,8432,54.54283,53.87479,55.21087,35.00000,50.00000,69.00000,1.00000,120.00000,50.00000,48.00000,50.00000
2012,Owner,,,,,,,,,,,,
2012,Tenant,8267,55.42098,54.75348,56.08849,35.00000,50.00000,70.00000,4.00000,122.50000,50.00000,49.00000,50.00000
2013,Owner,,,,,,,,,,,,
2013,Tenant,9731,57.61630,56.99003,58.24257,36.00000,50.00000,70.00000,0.00000,121.00000,50.00000,50.00000,50.00000
2014,Owner,,,,,,,,,,,,
2014,Tenant,8323,60.06143,59.37077,60.75209,40.00000,51.00000,75.00000,0.00000,127.50000,51.00000,50.00000,54.00000
2015,Owner,,,,,,,,,,,,
2015,Tenant,8875,57.15698,56.48256,57.83141,35.00000,50.00000,70.00000,0.00000,122.50000,50.00000,50.00000,50.00000
2016,Owner,,,,,,,,,,,,
2016,Tenant,7718,60.04262,59.28708,60.79816,38.00000,50.00000,74.00000,3.00000,128.00000,50.00000,50.00000,52.00000
2017,Owner,,,,,,,,,,,,
2017,Tenant,8272,59.79798,59.08084,60.51512,38.77483,50.00000,73.00000,5.00000,124.33776,50.00000,50.00000,51.02500
2018,Owner,,,,,,,,,,,,
2018,Tenant,8398,59.46743,58.78980,60.14506,40.00000,50.00000,73.00000,5.00000,122.50000,50.00000,50.00000,51.02500
2019,Owner,,,,,,,,,,,,
2019,Tenant,7966,59.72010,59.02400,60.41619,40.00000,50.00000,72.00000,1.00000,120.00000,50.00000,50.00000,52.00000
2020,Owner,,,,,,,,,,,,
2020,Tenant,11689,62.06717,61.42825,62.70609,40.00000,52.00000,75.00000,5.00000,127.50000,52.00000,50.00000,55.00000
2021,Owner,,,,,,,,,,,,
2021,Tenant,7210,63.11196,62.31047,63.91345,40.00000,55.00000,80.00000,5.00000,140.00000,55.00000,53.00000,57.00000
