year,hhtyp,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Single-person household,No,0.99479,2761,2761,0.99210,0.99748
2009,Couple without children,Yes,0.02357,80,3468,0.01852,0.02862
2009,Couple without children,No,0.97643,3388,3468,0.97138,0.98148
2009,Single parent,No,0.99259,612,612,0.98579,0.99939
2009,Couple with children,Yes,0.03107,109,2930,0.02479,0.03736
2009,Couple with children,No,0.96893,2821,2930,0.96264,0.97521
2009,Other Combinations,No,0.93599,65,65,0.87601,0.99596
2010,Single-person household,No,0.99180,2643,2643,0.98836,0.99524
2010,Couple without children,Yes,0.02049,75,3337,0.01569,0.02530
2010,Couple without children,No,0.97951,3262,3337,0.97470,0.98431
2010,Single parent,No,0.99219,1819,1819,0.98814,0.99624
2010,Couple with children,Yes,0.04003,267,5685,0.03493,0.04512
2010,Couple with children,No,0.95997,5418,5685,0.95488,0.96507
2010,Other Combinations,No,0.98753,64,64,0.96013,1.01493
2011,Single-person household,No,0.98982,3488,3488,0.98649,0.99315
2011,Couple without children,Yes,0.02770,122,4351,0.02282,0.03257
2011,Couple without children,No,0.97230,4229,4351,0.96743,0.97718
2011,Single parent,Yes,0.01042,33,2303,0.00628,0.01457
2011,Single parent,No,0.98958,2270,2303,0.98543,0.99372
2011,Couple with children,Yes,0.04937,348,6157,0.04396,0.05478
2011,Couple with children,No,0.95063,5809,6157,0.94522,0.95604
2011,Multi-generational household,No,0.99838,118,118,0.99111,1.00566
2011,Other Combinations,No,0.96307,95,95,0.92495,1.00120
2012,Single-person household,Yes,0.01197,39,3672,0.00846,0.01549
2012,Single-person household,No,0.98803,3633,3672,0.98451,0.99154
2012,Couple without children,Yes,0.03221,132,4436,0.02701,0.03740
2012,Couple without children,No,0.96779,4304,4436,0.96260,0.97299
2012,Single parent,Yes,0.00840,33,2179,0.00457,0.01224
2012,Single parent,No,0.99160,2146,2179,0.98776,0.99543
2012,Couple with children,Yes,0.05029,330,5771,0.04465,0.05593
2012,Couple with children,No,0.94971,5441,5771,0.94407,0.95535
2012,Multi-generational household,No,0.99792,117,117,0.98961,1.00622
