year,quintil_oecd_hh,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Yes,0.47506,530,1179,0.44654,0.50357
1984,1st Quintile,West,No,0.52494,649,1179,0.49643,0.55346
1984,2nd Quintile,West,Yes,0.61441,669,1176,0.58657,0.64224
1984,2nd Quintile,West,No,0.38559,507,1176,0.35776,0.41343
1984,3rd Quintile,West,Yes,0.67951,730,1153,0.65256,0.70646
1984,3rd Quintile,West,No,0.32049,423,1153,0.29354,0.34744
1984,4th Quintile,West,Yes,0.73798,793,1171,0.71278,0.76318
1984,4th Quintile,West,No,0.26202,378,1171,0.23682,0.28722
1984,5th Quintile,West,Yes,0.80500,817,1057,0.78111,0.82890
1984,5th Quintile,West,No,0.19500,240,1057,0.17110,0.21889
1985,1st Quintile,West,Yes,0.47365,474,1059,0.44356,0.50373
1985,1st Quintile,West,No,0.52635,585,1059,0.49627,0.55644
1985,2nd Quintile,West,Yes,0.60606,609,1042,0.57638,0.63575
1985,2nd Quintile,West,No,0.39394,433,1042,0.36425,0.42362
1985,3rd Quintile,West,Yes,0.69664,692,1063,0.66899,0.72429
1985,3rd Quintile,West,No,0.30336,371,1063,0.27571,0.33101
1985,4th Quintile,West,Yes,0.75058,722,1032,0.72417,0.77699
1985,4th Quintile,West,No,0.24942,310,1032,0.22301,0.27583
1985,5th Quintile,West,Yes,0.79710,749,962,0.77168,0.82253
1985,5th Quintile,West,No,0.20290,213,962,0.17747,0.22832
1986,1st Quintile,West,Yes,0.49104,454,966,0.45949,0.52258
1986,1st Quintile,West,No,0.50896,512,966,0.47742,0.54051
1986,2nd Quintile,West,Yes,0.64814,617,1007,0.61863,0.67765
1986,2nd Quintile,West,No,0.35186,390,1007,0.32235,0.38137
1986,3rd Quintile,West,Yes,0.68011,650,1012,0.65136,0.70886
1986,3rd Quintile,West,No,0.31989,362,1012,0.29114,0.34864
1986,4th Quintile,West,Yes,0.72496,677,999,0.69726,0.75267
1986,4th Quintile,West,No,0.27504,322,999,0.24733,0.30274
1986,5th Quintile,West,Yes,0.82938,755,935,0.80526,0.85351
1986,5th Quintile,West,No,0.17062,180,935,0.14649,0.19474
1987,1st Quintile,West,Yes,0.50549,454,923,0.47322,0.53776
1987,1st Quintile,West,No,0.49451,469,923,0.46224,0.52678
1987,2nd Quintile,West,Yes,0.62568,587,988,0.59549,0.65587
1987,2nd Quintile,West,No,0.37432,401,988,0.34413,0.40451
1987,3rd Quintile,West,Yes,0.67520,643,1005,0.64624,0.70417
1987,3rd Quintile,West,No,0.32480,362,1005,0.29583,0.35376
1987,4th Quintile,West,Yes,0.77336,721,1006,0.74748,0.79924
1987,4th Quintile,West,No,0.22664,285,1006,0.20076,0.25252
1987,5th Quintile,West,Yes,0.80361,739,938,0.77817,0.82905
1987,5th Quintile,West,No,0.19639,199,938,0.17095,0.22183
1988,1st Quintile,West,Yes,0.53623,465,904,0.50370,0.56876
1988,1st Quintile,West,No,0.46377,439,904,0.43124,0.49630
1988,2nd Quintile,West,Yes,0.65710,575,947,0.62686,0.68735
1988,2nd Quintile,West,No,0.34290,372,947,0.31265,0.37314
1988,3rd Quintile,West,Yes,0.70504,641,962,0.67620,0.73387
1988,3rd Quintile,West,No,0.29496,321,962,0.26613,0.32380
1988,4th Quintile,West,Yes,0.72836,667,965,0.70028,0.75644
1988,4th Quintile,West,No,0.27164,298,965,0.24356,0.29972
1988,5th Quintile,West,Yes,0.80849,700,880,0.78247,0.83450
1988,5th Quintile,West,No,0.19151,180,880,0.16550,0.21753
1989,1st Quintile,West,Yes,0.53213,443,881,0.49916,0.56509
1989,1st Quintile,West,No,0.46787,438,881,0.43491,0.50084
1989,2nd Quintile,West,Yes,0.66644,587,953,0.63649,0.69639
1989,2nd Quintile,West,No,0.33356,366,953,0.30361,0.36351
1989,3rd Quintile,West,Yes,0.70487,627,934,0.67560,0.73414
1989,3rd Quintile,West,No,0.29513,307,934,0.26586,0.32440
1989,4th Quintile,West,Yes,0.73159,646,932,0.70313,0.76006
1989,4th Quintile,West,No,0.26841,286,932,0.23994,0.29687
1989,5th Quintile,West,Yes,0.80888,673,837,0.78223,0.83553
1989,5th Quintile,West,No,0.19112,164,837,0.16447,0.21777
1990,2nd Quintile,West,Yes,0.55739,579,1123,0.52833,0.58646
1990,2nd Quintile,West,No,0.44261,544,1123,0.41354,0.47167
1990,3rd Quintile,West,Yes,0.70165,744,1142,0.67510,0.72820
1990,3rd Quintile,West,No,0.29835,398,1142,0.27180,0.32490
1990,4th Quintile,West,Yes,0.71858,769,1122,0.69226,0.74491
1990,4th Quintile,West,No,0.28142,353,1122,0.25509,0.30774
1990,5th Quintile,West,Yes,0.80514,833,1047,0.78114,0.82915
1990,5th Quintile,West,No,0.19486,214,1047,0.17085,0.21886
1991,1st Quintile,West,Yes,0.58101,36,36,0.41755,0.74447
1991,1st Quintile,East,Yes,0.39781,837,1939,0.37602,0.41960
1991,1st Quintile,East,No,0.60219,1102,1939,0.58040,0.62398
1991,2nd Quintile,West,Yes,0.55280,594,1137,0.52389,0.58172
1991,2nd Quintile,West,No,0.44720,543,1137,0.41828,0.47611
1991,3rd Quintile,West,Yes,0.69336,766,1171,0.66694,0.71978
1991,3rd Quintile,West,No,0.30664,405,1171,0.28022,0.33306
1991,4th Quintile,West,Yes,0.75551,837,1180,0.73097,0.78004
1991,4th Quintile,West,No,0.24449,343,1180,0.21996,0.26903
1991,5th Quintile,West,Yes,0.82011,860,1067,0.79705,0.84317
1991,5th Quintile,West,No,0.17989,207,1067,0.15683,0.20295
1992,1st Quintile,West,Yes,0.50761,282,577,0.46678,0.54844
1992,1st Quintile,West,No,0.49239,295,577,0.45156,0.53322
1992,1st Quintile,East,Yes,0.37847,297,771,0.34421,0.41272
1992,1st Quintile,East,No,0.62153,474,771,0.58728,0.65579
1992,2nd Quintile,West,Yes,0.65820,527,860,0.62648,0.68991
1992,2nd Quintile,West,No,0.34180,333,860,0.31009,0.37352
1992,2nd Quintile,East,Yes,0.41892,261,589,0.37904,0.45880
1992,2nd Quintile,East,No,0.58108,328,589,0.54120,0.62096
1992,3rd Quintile,West,Yes,0.73373,662,990,0.70618,0.76128
1992,3rd Quintile,West,No,0.26627,328,990,0.23872,0.29382
1992,3rd Quintile,East,Yes,0.53959,169,311,0.48410,0.59507
1992,3rd Quintile,East,No,0.46041,142,311,0.40493,0.51590
1992,4th Quintile,West,Yes,0.73512,796,1129,0.70937,0.76088
1992,4th Quintile,West,No,0.26488,333,1129,0.23912,0.29063
1992,4th Quintile,East,Yes,0.57585,72,124,0.48850,0.66319
1992,4th Quintile,East,No,0.42415,52,124,0.33681,0.51150
1992,5th Quintile,West,Yes,0.83671,841,1024,0.81406,0.85936
1992,5th Quintile,West,No,0.16329,183,1024,0.14064,0.18594
1992,5th Quintile,East,Yes,0.62035,36,36,0.45957,0.78113
1993,1st Quintile,West,Yes,0.54545,360,689,0.50825,0.58266
1993,1st Quintile,West,No,0.45455,329,689,0.41734,0.49175
1993,1st Quintile,East,Yes,0.36149,204,567,0.32191,0.40107
1993,1st Quintile,East,No,0.63851,363,567,0.59893,0.67809
1993,2nd Quintile,West,Yes,0.63382,513,847,0.60136,0.66628
1993,2nd Quintile,West,No,0.36618,334,847,0.33372,0.39864
1993,2nd Quintile,East,Yes,0.42305,261,596,0.38335,0.46275
1993,2nd Quintile,East,No,0.57695,335,596,0.53725,0.61665
1993,3rd Quintile,West,Yes,0.73894,645,966,0.71122,0.76665
1993,3rd Quintile,West,No,0.26106,321,966,0.23335,0.28878
1993,3rd Quintile,East,Yes,0.50925,188,363,0.45775,0.56075
1993,3rd Quintile,East,No,0.49075,175,363,0.43925,0.54225
1993,4th Quintile,West,Yes,0.75697,758,1061,0.73115,0.78279
1993,4th Quintile,West,No,0.24303,303,1061,0.21721,0.26885
1993,4th Quintile,East,Yes,0.58383,116,194,0.51428,0.65337
1993,4th Quintile,East,No,0.41617,78,194,0.34663,0.48572
1993,5th Quintile,West,Yes,0.83705,832,1010,0.81426,0.85983
1993,5th Quintile,West,No,0.16295,178,1010,0.14017,0.18574
1993,5th Quintile,East,Yes,0.55146,40,40,0.39536,0.70755
1994,1st Quintile,West,Yes,0.54464,409,789,0.50987,0.57941
1994,1st Quintile,West,No,0.45536,380,789,0.42059,0.49013
1994,1st Quintile,East,Yes,0.38653,187,484,0.34311,0.42996
1994,1st Quintile,East,No,0.61347,297,484,0.57004,0.65689
1994,2nd Quintile,West,Yes,0.67986,524,818,0.64787,0.71185
1994,2nd Quintile,West,No,0.32014,294,818,0.28815,0.35213
1994,2nd Quintile,East,Yes,0.43324,247,551,0.39182,0.47465
1994,2nd Quintile,East,No,0.56676,304,551,0.52535,0.60818
1994,3rd Quintile,West,Yes,0.73143,641,925,0.70286,0.76001
1994,3rd Quintile,West,No,0.26857,284,925,0.23999,0.29714
1994,3rd Quintile,East,Yes,0.44536,187,392,0.39609,0.49462
1994,3rd Quintile,East,No,0.55464,205,392,0.50538,0.60391
1994,4th Quintile,West,Yes,0.75790,706,979,0.73105,0.78474
1994,4th Quintile,West,No,0.24210,273,979,0.21526,0.26895
1994,4th Quintile,East,Yes,0.50657,117,222,0.44065,0.57248
1994,4th Quintile,East,No,0.49343,105,222,0.42752,0.55935
1994,5th Quintile,West,Yes,0.84481,830,991,0.82225,0.86736
1994,5th Quintile,West,No,0.15519,161,991,0.13264,0.17775
1994,5th Quintile,East,Yes,0.63995,73,112,0.55066,0.72925
1994,5th Quintile,East,No,0.36005,39,112,0.27075,0.44934
1995,1st Quintile,West,Yes,0.55864,495,922,0.52657,0.59071
1995,1st Quintile,West,No,0.44136,427,922,0.40929,0.47343
1995,1st Quintile,East,Yes,0.39387,161,418,0.34698,0.44077
1995,1st Quintile,East,No,0.60613,257,418,0.55923,0.65302
1995,2nd Quintile,West,Yes,0.70325,592,903,0.67343,0.73306
1995,2nd Quintile,West,No,0.29675,311,903,0.26694,0.32657
1995,2nd Quintile,East,Yes,0.42055,221,512,0.37775,0.46335
1995,2nd Quintile,East,No,0.57945,291,512,0.53665,0.62225
1995,3rd Quintile,West,Yes,0.72752,669,960,0.69934,0.75570
1995,3rd Quintile,West,No,0.27248,291,960,0.24430,0.30066
1995,3rd Quintile,East,Yes,0.48846,206,401,0.43947,0.53744
1995,3rd Quintile,East,No,0.51154,195,401,0.46256,0.56053
1995,4th Quintile,West,Yes,0.79903,734,959,0.77366,0.82441
1995,4th Quintile,West,No,0.20097,225,959,0.17559,0.22634
1995,4th Quintile,East,Yes,0.56241,152,266,0.50268,0.62214
1995,4th Quintile,East,No,0.43759,114,266,0.37786,0.49732
