year,hhtyp,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Single-person household,Urban regions,,,,,,,,,,,,
1985,Single-person household,Rural regions,,,,,,,,,,,,
1985,Couple without children,Urban regions,,,,,,,,,,,,
1985,Couple without children,Rural regions,,,,,,,,,,,,
1985,Single parent,Urban regions,,,,,,,,,,,,
1985,Single parent,Rural regions,,,,,,,,,,,,
1985,Couple with children,Urban regions,,,,,,,,,,,,
1985,Couple with children,Rural regions,,,,,,,,,,,,
1985,Multi-generational household,Urban regions,,,,,,,,,,,,
1985,Multi-generational household,Rural regions,,,,,,,,,,,,
1985,Other Combinations,Urban regions,,,,,,,,,,,,
1985,Other Combinations,Rural regions,,,,,,,,,,,,
1986,Single-person household,Urban regions,735,56.28265220261115,53.5032985216989,58.55801171511554,35.0,51.0,71.0,0.0,125.0,51.0,51.0,51.0
1986,Single-person household,Rural regions,114,49.8087016500918,44.25342949879067,55.18050789822096,35.0,51.0,59.812478143210456,0.0,97.03119535802614,51.0,51.0,58.0
1986,Couple without children,Urban regions,623,69.35185867084134,66.23102658135204,72.30276935436387,51.0,61.0,81.0,6.0,126.0,61.0,56.0,61.0
1986,Couple without children,Rural regions,122,72.42495421587468,64.03605254578946,81.89511080145648,51.0,61.0,86.0,0.0,138.5,61.0,50.87499999999997,71.0
1986,Single parent,Urban regions,161,74.56567350981959,68.95988515474019,80.9386932449857,51.0,71.0,86.92006380606901,15.0,140.80015951517254,71.0,66.0,79.0
1986,Single parent,Rural regions,32,63.57933844115052,42.81130929847606,77.50868112612278,39.90236843405205,51.0,76.0,0.0,130.14644734892192,51.0,39.0,61.0
1986,Couple with children,Urban regions,1086,84.78929232352908,81.2866376585343,88.1430669454337,56.0,76.0,102.0,0.0,171.0,76.0,76.0,76.0
1986,Couple with children,Rural regions,188,83.19512596670698,75.92189301746645,90.28741136130652,51.0,76.0,102.0,0.0,178.5,76.0,76.0,79.025
