year,bula_h,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Schleswig-Holstein,188,1220.45896,1134.25803,1306.65989,818.00000,1074.00000,1534.00000,0.00000,2608.00000,1074.00000,1022.97500,1227.00000
1984,Hamburg,162,1161.31712,1073.37302,1249.26121,742.47628,1023.00000,1432.00000,319.00000,2466.28559,1023.00000,971.00000,1150.00000
1984,Lower Saxony,544,1333.86187,1196.43813,1471.28561,767.00000,1125.00000,1636.00000,123.00000,2939.50000,1125.00000,1023.00000,1227.00000
1984,Bremen,68,908.82971,776.73375,1040.92567,562.27936,818.00000,1023.00000,179.00000,1714.08096,818.00000,665.00000,921.27500
1984,North Rhine-Westphalia,1503,1247.76837,1206.92468,1288.61205,767.00000,1058.99788,1534.00000,87.00000,2684.50000,1059.00000,1023.00000,1125.00000
1984,Hesse,565,1338.72541,1248.89637,1428.55446,767.00000,1125.00000,1763.13896,122.00000,3257.34741,1125.00000,1023.00000,1227.00000
1984,"Rhineland-Palatinate, Saarland",378,1180.96499,1107.77408,1254.15590,665.00000,1023.00000,1534.00000,205.00000,2837.50000,1023.00000,971.00000,1125.00000
1984,Baden-Wuerttemberg,997,1385.98286,1266.94478,1505.02093,818.00000,1150.00000,1611.00000,26.00000,2800.50000,1150.00000,1077.90000,1227.00000
1984,Bavaria,916,1308.32603,1255.67338,1360.97869,815.38932,1176.00000,1636.00000,8.00000,2866.91602,1176.00000,1099.00000,1278.00000
1984,Berlin,211,1344.26021,1242.67805,1445.84238,818.00000,1125.00000,1790.00000,307.00000,3248.00000,1125.00000,1023.00000,1329.00000
1985,Schleswig-Holstein,170,1274.38977,1114.80800,1433.97154,716.00000,1023.00000,1483.00000,0.00000,2633.50000,1023.00000,1023.00000,1227.00000
1985,Hamburg,152,1150.09548,1057.86831,1242.32264,716.00000,1023.00000,1534.00000,0.00000,2761.00000,1023.00000,920.00000,1176.00000
1985,Lower Saxony,504,1274.11554,1206.34521,1341.88586,741.00000,1125.00000,1600.81521,230.00000,2890.53801,1125.00000,1023.00000,1227.00000
1985,Bremen,59,892.51525,774.89758,1010.13291,574.30641,843.51948,1023.00000,102.00000,1696.04039,857.00000,716.00000,920.00000
1985,North Rhine-Westphalia,1344,1270.58194,1226.10265,1315.06124,760.48877,1099.00000,1636.00000,0.00000,2949.26685,1099.00000,1023.00000,1128.17500
1985,Hesse,514,1305.32935,1239.03859,1371.62011,767.00000,1125.00000,1636.00000,153.00000,2939.50000,1125.00000,1074.00000,1278.00000
1985,"Rhineland-Palatinate, Saarland",332,1214.54658,1140.04489,1289.04828,741.00000,1071.50300,1534.00000,102.00000,2723.50000,1074.00000,996.62500,1125.00000
