year,quintil_oecd_hh,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,,West,2430,193.11975203691904,191.42977133530775,194.80973273853033,133.0,178.0,238.36979528149382,17.0,396.42448820373454,178.0,175.975,180.0
1984,,West,896,233.34516346805373,230.09936267371413,236.59096426239333,163.0,219.0,281.0,10.0,458.0,219.0,208.0,231.0
1984,,West,291,270.43472495591413,263.7395279860134,277.12992192581487,198.27751981346051,245.83603804313685,332.0,10.0,532.5837202798092,246.0,234.89999999999998,262.0
1984,,West,91,313.5444642572828,300.95439722771823,326.1345312868474,228.96328193238213,297.42197453257006,357.0,102.0,549.0550771014268,296.0,260.0,327.0
1984,,West,32,338.6454967254272,316.1267759731319,361.16421747772256,255.0,332.0,414.78494660266637,102.0,654.462366506666,332.0,307.0,394.0
1985,,West,2084,195.3465197064033,193.51316782227372,197.1798715905329,137.0,178.0,240.0,1.0,394.5,178.0,170.89999999999998,178.0
1985,,West,788,243.16237137775107,239.51210891616293,246.8126338393392,174.11351563661873,222.0,296.0,15.0,478.82972654507194,222.0,209.0,230.0
1985,,West,321,265.80042220327465,259.49239751195097,272.10844689459833,189.0,245.0,323.8280336927786,10.0,526.0700842319466,245.0,235.0,260.0
1985,,West,83,330.2946833816817,316.5232405940303,344.0661261693331,251.62698396062683,306.0,386.49741458753545,76.0,588.8030605278984,306.0,275.0,336.15
1985,,West,,,,,,,,,,,,
1986,,West,1845,201.44538252947814,199.48619837806595,203.40456668089033,142.40448422642686,186.0,250.63874382802186,15.0,412.99013323041436,186.0,178.0,194.0
1986,,West,834,231.50422029557325,228.07187434873245,234.93656624241405,153.0,212.0,282.390650943831,10.0,476.47662735957755,212.0,200.0,220.0
1986,,West,305,283.8778032953502,277.37680916941474,290.37879742128564,204.0,255.0,344.86507739446614,35.0,556.1626934861654,255.0,229.0,265.0
1986,,West,95,341.66867840955456,327.5783099534771,355.759046865632,251.64482308440853,306.6260770871766,409.0,81.0,645.0327653733872,306.0,255.0,331.125
1986,,West,,,,,,,,,,,,
1987,,West,1669,205.72024831645518,203.5437390654132,207.89675756749716,144.0,194.0,255.0,25.0,421.5,194.0,189.0,199.025
1987,,West,849,235.34046766356786,232.12562536801087,238.55530995912486,168.0,229.76960867792724,286.0,25.0,463.0,230.0,225.0,246.0
1987,,West,378,271.0379545829056,265.5232200262335,276.55268913957775,196.0,248.96163587777392,322.0,10.0,511.0,249.0,243.0,263.0
1987,,West,105,327.3533663871617,314.7686465886414,339.93808618568204,237.2078933896844,331.4215656271604,409.0,51.0,666.6881599154734,331.0,305.975,376.125
1987,,West,41,398.1241216836002,364.6635098407013,431.5847335264991,250.15169672019377,362.6330981462423,492.56052846309586,92.0,856.173776077449,363.0,292.0,450.0
1988,,West,1510,212.85785748369318,210.6408821531007,215.07483281428566,153.0,203.003307845996,255.0,5.0,408.0,203.0,202.0,215.0
1988,,West,829,239.4679065263413,236.02923778164674,242.90657527103585,166.0,230.0,296.0,10.0,491.0,230.0,223.0,242.1
1988,,West,386,288.9368536715364,282.7622676544291,295.11143968864377,204.0,271.92468497564386,332.0,12.0,524.0,271.0,261.0,287.0
1988,,West,133,316.18147407965404,305.00649553210957,327.3564526271985,230.0,295.8057095580603,409.0,40.0,677.5,296.0,260.0,337.0
1988,,West,34,406.2636069256671,378.09938540917017,434.427828442164,286.1128704141867,357.0,512.3532199286371,163.0,715.0,357.0,203.0,427.0
1989,,West,1356,219.56255830065683,217.17358810447178,221.9515284968419,153.0,204.0,275.0,0.0,458.0,204.0,199.975,211.025
1989,,West,850,245.2281307081413,241.74217336691282,248.71408804936976,175.24254674486255,225.1267286994873,306.0,10.0,502.1361798827062,227.0,216.92499999999998,240.0
1989,,West,428,278.7788743093858,273.8716565066194,283.6860921121522,204.0,270.0,332.0,30.0,524.0,270.0,259.0,285.0
1989,,West,152,336.0072669977815,324.72456063635474,347.2899733592083,230.0,322.0,419.8547687072525,35.0,704.6369217681313,322.0,292.0,361.0
1989,,West,47,415.28001296007443,389.39275105496756,441.1672748651813,281.0,372.32008917985667,512.2435358985165,97.0,859.1088397462912,373.0,272.0,414.0
1990,,West,1224,223.33673970606407,220.9033138124845,225.77016559964363,160.56339749609393,212.0,272.54436892100153,15.0,440.51582605836296,212.0,202.0,220.0
1990,,West,841,249.90396615506242,246.5270560371369,253.28087627298794,178.0,236.19507998794688,306.0,15.0,498.0,238.0,231.0,246.0
1990,,West,455,282.3888109233614,276.90065102922586,287.87697081749695,204.0,258.2985529055891,347.0,15.0,561.5,258.0,242.92499999999995,269.0
1990,,West,184,346.88428906409285,335.7295931980746,358.0389849301111,254.5313060223684,311.0,453.13802408859937,0.0,751.0481011879458,311.0,290.0,331.0
1990,,West,49,435.2589182197963,408.2555809858795,462.2622554537132,293.83481514827525,413.1474420806621,527.1257150565273,102.0,877.0620649189053,409.0,307.0,471.375
1991,,West,1044,222.64122001249737,219.821770169975,225.46066985501975,157.0,205.0,271.79522868385146,5.0,443.9880717096287,205.0,191.0,209.05
1991,,West,812,246.5231840813308,243.07654486000513,249.9698233026565,178.0,230.0,306.0,41.0,498.0,230.0,222.0,239.0
