"year","regtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Ländlicher Raum","Westdeutschland","196.55","187","487","92","137","240","311","481","188.46","204.64","1","511","178","204"
"1985","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Städtischer Raum","Westdeutschland","224.49","203.5","2816","107","153","276","357","562","220.42","228.56","10","1278","204","209"
"1986","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Ländlicher Raum","Westdeutschland","191.84","177.5","450","92","138","242","306","460","183.55","200.13","15","715","178","194"
"1986","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Städtischer Raum","Westdeutschland","231.21","208.5","2648","118","153","283","373","587","226.97","235.45","10","1533","204","215"
"1987","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Ländlicher Raum","Westdeutschland","203.95","193.5","452","102","146","255","306","511","194.99","212.91","25","818","179","204"
"1987","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Städtischer Raum","Westdeutschland","235.21","216.5","2590","122","158","286","368","613","230.82","239.6","10","1533","214","227"
"1988","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Ländlicher Raum","Westdeutschland","216.74","202.5","429","112","153","255","332","562","206.96","226.52","5","779","185","209"
"1988","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Städtischer Raum","Westdeutschland","243.06","229.5","2463","127","164","301","383","613","238.57","247.55","0","1533","224","230"
"1989","Ländlicher Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Ländlicher Raum","Westdeutschland","223.93","202.5","417","127","159","270","357","511","214.48","233.38","25","818","204","219"
"1989","Städtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Städtischer Raum","Westdeutschland","252.07","230.5","2416","127","173","306","403","639","247.31","256.83","0","1789","230","240"
"1990","Ländlicher Raum","Ostdeutschland","21.45","20.5","782","10","15","27","33","51","20.76","22.14","0","76","22","24"
"1990","Ländlicher Raum","Westdeutschland","224.38","209.5","421","115","153","281","342","511","214.85","233.91","15","818","204","230"
"1990","Städtischer Raum","Ostdeutschland","26.03","24.5","651","13","17","32","42","64","25.04","27.02","0","76","25","28"
"1990","Städtischer Raum","Westdeutschland","261.42","240.5","2332","132","183","317","409","664","256.21","266.63","0","1789","240","255"
"1991","Ländlicher Raum","Ostdeutschland","25.36","22.5","734","13","17","30","39","76","24.36","26.36","3","133","25","26"
"1991","Ländlicher Raum","Westdeutschland","229.3","204.5","415","122","158","281","340","613","217.71","240.89","13","1533","204","228"
"1991","Städtischer Raum","Ostdeutschland","29.5","26.5","568","14","19","36","47","74","28.26","30.74","2","162","29","31"
"1991","Städtischer Raum","Westdeutschland","263.81","240.5","2350","138","184","317","414","665","258.6","269.02","0","1455","242","255"
"1992","Ländlicher Raum","Ostdeutschland","100.39","96.5","697","59","75","118","144","223","97.51","103.27","5","333","101","106"
"1992","Ländlicher Raum","Westdeutschland","248.11","223.5","433","122","163","306","409","654","235.18","261.04","0","1615","215","242"
"1992","Städtischer Raum","Ostdeutschland","119.07","110.5","582","66","87","141","186","306","114.84","123.3","18","405","114","124"
"1992","Städtischer Raum","Westdeutschland","281.27","254.5","2332","148","191","338","449","721","275.66","286.88","0","1533","255","265"
"1993","Ländlicher Raum","Ostdeutschland","162.26","157.5","710","92","121","191","239","370","157.78","166.74","2","446","162","169"
"1993","Ländlicher Raum","Westdeutschland","273.26","251.5","450","143","189","324","432","705","259.77","286.75","16","1597","235","265"
"1993","Städtischer Raum","Ostdeutschland","187.11","177.5","569","103","141","222","275","414","181.3","192.92","36","565","186","196"
"1993","Städtischer Raum","Westdeutschland","305.27","275.5","2326","160","205","370","480","792","299.06","311.48","0","1789","281","294"
"1994","Ländlicher Raum","Ostdeutschland","187.71","180.5","686","108","144","220","268","411","182.65","192.77","5","574","184","193"
"1994","Ländlicher Raum","Westdeutschland","303.78","279.5","438","153","206","362","485","813","288.66","318.9","16","1763","275","306"
"1994","Städtischer Raum","Ostdeutschland","203.26","187.5","558","116","147","241","306","479","195.99","210.53","44","1002","196","214"
"1994","Städtischer Raum","Westdeutschland","337.06","305.5","2297","174","230","404","526","868","330.15","343.97","3","1968","307","324"
"1995","Ländlicher Raum","Ostdeutschland","208.95","192.5","691","113","149","243","312","703","201.44","216.46","21","1007","197","210"
"1995","Ländlicher Raum","Westdeutschland","320.5","300","489","158","224","390","519","832","305.57","335.43","36","2121","296","319"
"1995","Städtischer Raum","Ostdeutschland","225.8","203.5","511","120","163","260","322","639","215.71","235.89","12","1381","212","225"
"1995","Städtischer Raum","Westdeutschland","352.27","316.5","2436","186","245","422","561","932","345.59","358.95","10","2149","327","341"
"1996","Ländlicher Raum","Ostdeutschland","244.57","226.5","667","130","173","281","363","711","235.31","253.83","37","1283","229","245"
"1996","Ländlicher Raum","Westdeutschland","343.25","308","476","165","236","410","578","832","327.41","359.09","41","2155","309","343"
"1996","Städtischer Raum","Ostdeutschland","266.61","248.5","524","138","194","308","388","768","256.32","276.9","0","1490","252","265"
"1996","Städtischer Raum","Westdeutschland","367.35","331.5","2367","201","255","444","580","971","360.57","374.13","21","1942","337","355"
"1997","Ländlicher Raum","Ostdeutschland","262.91","251.5","647","136","184","311","408","632","253.52","272.3","17","970","255","267"
