year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,3740,214.21568976421233,212.6359870286395,215.79539249978515,146.0,196.0,261.0,10.0,433.5,196.0,188.0,198.0
1985,West,3303,219.65480144457385,217.91408107197154,221.39552181717616,152.0,204.0,268.0,1.0,442.0,204.0,204.0,209.025
1986,West,3098,224.58441670799522,222.76619483706284,226.4026385789276,153.0,204.0,279.9781585293117,10.0,470.4453963232793,204.0,201.0,204.0
1987,West,3042,229.99035559985788,228.10173497465257,231.87897622506318,153.0,213.0,281.0,10.0,473.0,213.0,209.0,222.0
1988,West,2892,238.78342291102862,236.82466964432908,240.74217617772817,163.0,222.0,296.0,0.0,495.5,222.0,214.0,230.0
1989,West,2833,247.50282014404797,245.48300657773044,249.5226337103655,170.73026077872794,230.0,306.0,0.0,508.9046088319081,230.0,230.0,236.05
1990,West,2753,255.2959909498939,253.1643680938145,257.4276138059733,178.0,237.0,306.0,0.0,498.0,237.0,230.95,244.0
1990,East,1476,23.750634620930594,23.47427137654054,24.02699786532065,16.0,23.0,30.0,0.0,51.0,23.0,22.0,25.0
1991,West,2766,258.1065663965448,255.88868354009617,260.3244492529934,178.0,234.77173773554676,307.0,0.0,500.5,235.0,229.0,240.0
1991,East,1343,27.273673771995504,26.915107961979825,27.632239582011184,18.0,25.0,33.0,2.0,55.5,25.0,24.0,26.0
1992,West,2772,275.80501655327555,273.4016872496188,278.2083458569323,189.0,250.0,332.0,0.0,546.5,250.0,245.0,257.025
1992,East,1328,109.35191725757215,108.1503010819285,110.5535334332158,80.0,102.0,129.0,6.5,202.5,102.0,99.0,104.0
1993,West,2776,299.4485792771873,296.8175565464855,302.07960200788915,204.0,270.0,359.03765774149923,0.0,591.5941443537481,270.0,264.0,280.0
1993,East,1279,173.46676009695472,171.63210791632991,175.30141227757952,129.0,165.0,204.0,16.5,316.5,165.0,161.0,169.0
1994,West,2735,331.15517714529085,328.16362336668,334.1467309239017,229.0,304.0,397.9969259711754,3.0,651.4923149279385,304.0,302.0,314.0
1994,East,1244,194.68023773579017,192.4992672075969,196.86120826398346,146.0,183.0,230.0,20.0,356.0,183.0,178.0,187.0
1995,West,2925,346.7491211429856,343.8164713572707,349.6817709287005,240.0,312.0,412.0,10.0,670.0,312.0,303.0,318.0
1995,East,1202,216.1838088810551,213.10926810481592,219.2583496572943,154.0,198.95570020652008,251.0,12.0,396.5,199.0,194.0,205.0
1996,West,2843,363.23016537998313,360.1884592375813,366.27187152238497,255.0,331.0,438.23788469665436,21.0,713.0947117416358,331.0,326.0,341.0
1996,East,1191,254.46927396498234,250.97822255853634,257.9603253714283,180.06986844058332,236.0,298.0,3.1746711014583013,474.89519733912505,236.0,227.0,242.025
1997,West,2738,381.4751162807243,378.26224620588806,384.68798635556055,266.0,352.0,459.0,25.0,748.5,352.0,347.0,362.025
1997,East,1162,270.9173408218263,267.3564896168115,274.47819202684116,189.0,256.0,316.5609951220773,17.0,507.9024878051933,256.0,250.0,264.0
1998,West,3088,394.78792309735036,391.7741881975442,397.8016579971565,280.0,365.0,473.0,8.0,762.5,365.0,357.0,373.0
1998,East,1208,299.43479208865057,295.917251940086,302.95233223721516,218.78404687427036,278.83647532839734,358.109324995841,17.0,567.097242178197,279.0,273.0,286.025
1999,West,2902,404.04485386175133,400.8644432207903,407.2252645027124,285.0,372.0,486.0,16.0,787.5,372.0,362.0,382.025
1999,East,1174,314.2302176258525,310.5630625376383,317.8973727140667,230.0,290.3635091388446,373.0,21.0,587.5,290.0,284.0,299.0
2000,West,4959,410.8378493568973,408.33344478527766,413.342253928517,290.0,378.0,496.0,10.0,805.0,378.0,373.0,384.0
2000,East,1810,314.8283410066515,311.9323418578649,317.7243401554381,233.0,295.90188050548875,374.0,21.5,585.5,296.0,290.0,302.0
2001,West,4441,419.79155712505013,417.09351397257393,422.48960027752634,297.0,383.0,501.0,14.0,807.0,383.0,374.0,386.0
2001,East,1643,327.6559812502021,324.4397565158519,330.8722059845523,240.0,304.0,390.0,15.0,615.0,304.0,298.95,311.025
2002,West,4385,424.5507891183138,421.8197583003179,427.28181993630966,303.52655188781586,390.0,509.28042520869013,25.0,817.9112351900015,390.0,380.0,397.0
2002,East,1621,331.2640756458379,328.00949642957227,334.5186548621036,246.0,310.0,391.0,28.5,608.5,310.0,300.0,318.0
2003,West,4196,434.47010858705397,431.64986118426015,437.2903559898478,310.0,400.0,522.0,15.0,840.0,400.0,396.0,409.025
2003,East,1594,337.7090428824462,334.34140535876463,341.0766804061278,250.0,315.0,395.0,32.5,612.5,315.0,309.9,324.0
2004,West,4074,446.3534254320756,443.4147702735449,449.2920805906063,318.0,408.0,534.5467514832203,16.0,859.3668787080508,408.0,399.0,415.025
2004,East,1546,337.03714098669866,333.54996828277694,340.5243136906204,250.0,315.0,400.0,30.0,625.0,315.0,307.975,320.0
2005,West,3969,450.96430262748555,447.8281466454758,454.1004586094953,320.0,410.0,540.0,50.0,870.0,410.0,401.975,417.025
2005,East,1482,346.76112256922875,343.20779983345295,350.31444530500454,257.09322444510474,322.0,406.0,56.0,629.3601633323428,322.0,314.0,330.025
2006,West,4284,451.54724211159345,448.51214571184306,454.58233851134383,320.0,412.6303947983339,540.0,30.0,870.0,412.0,404.0,419.0
2006,East,1601,345.02088704274155,341.7513886105373,348.2903854749458,258.7107607393667,322.0,407.0,80.0,629.43385889095,322.0,314.0,330.025
2007,West,3952,457.38601460143883,454.02198152220745,460.7500476806702,324.4506913328644,417.0,541.9009419880791,37.0,868.0763179709013,417.0,412.0,426.025
2007,East,1503,350.79518625889773,347.37913921823343,354.211233299562,260.0,328.0,417.0,48.0,652.5,328.0,320.975,336.0
2008,West,3655,464.43560952794485,460.9027515522311,467.9684675036586,330.0,425.0,547.4995096572987,30.0,873.7487741432469,425.0,416.95,431.025
2008,East,1443,355.45827414927084,351.93376345342136,358.9827848451203,265.0,330.0,417.0,37.0,645.0,330.0,320.0,339.025
2009,West,3416,473.0559870023281,469.3957738255418,476.71620017911437,335.0,430.0,557.1534553348584,11.0,890.3836383371461,430.0,420.0,439.0
2009,East,1368,356.2973093547789,352.8093886505244,359.78523005903344,265.0,335.0,419.0,60.0,650.0,335.0,325.975,345.0
2010,West,5275,478.87592290284834,476.0799602102899,481.67188559540676,342.0,436.0,570.0,20.0,912.0,436.0,427.0,442.025
2010,East,1803,362.170078208166,359.1895260310202,365.1506303853118,275.0,338.0,424.93671839942255,50.09492240086618,649.8417959985563,338.0,326.975,345.025
2011,West,6238,480.52700228103276,477.9603128382891,483.09369172377643,350.0,440.0,570.0,20.0,900.0,440.0,430.0,448.0
2011,East,2194,364.0515731516798,361.16288290309404,366.94026340026556,270.0,340.0,430.0,30.0,670.0,340.0,330.0,347.05
2012,West,6062,489.2703222572611,486.5924721068178,491.9481724077044,348.0,450.0,585.666877317595,30.0,942.1671932939875,450.0,440.0,456.025
2012,East,2205,369.47485367095527,366.3636246551165,372.58608268679404,275.0,342.0,430.0,42.5,662.5,342.0,334.0,349.0
2013,West,7515,498.4059468761658,495.87448562718686,500.9374081251447,350.0,460.0,590.0,14.0,950.0,460.0,450.0,467.025
2013,East,2216,372.4834631978498,369.4876970529429,375.4792293427567,276.0,348.21030240300325,438.0,75.0,681.0,348.0,341.975,356.0
2014,West,6376,464.61970988831615,461.57656015201013,467.6628596246222,308.0292581630154,419.458479451261,571.0,0.0,965.4561127554769,419.0,409.0,428.0
2014,East,2041,344.9774738125114,341.63187629965336,348.3230713253694,245.0,320.0,420.0,0.0,682.5,320.0,309.0,331.025
2015,West,6654,505.2226671296505,502.046029039333,508.399305219968,335.0,452.0,607.0,0.0,1015.0,452.0,440.0,459.0
2015,East,1971,364.469813337775,361.0840721077857,367.85555456776433,262.0,334.0,443.0,0.0,714.5,334.0,322.0,344.025
2016,West,5784,532.9844053626365,529.658336369911,536.310474355362,370.0,490.0,630.0,6.0,1020.0,490.0,480.0,504.025
2016,East,1826,390.56086586158324,387.1852515660784,393.93648015708806,291.0,360.9942801398787,460.0,37.5,713.5,361.0,344.0,372.0
2017,West,6132,540.7161174579301,537.5253003591781,543.906934556682,375.0,500.0,650.0,10.0,1062.5,500.0,500.0,515.0
2017,East,1980,397.2753251501002,393.8891808035807,400.66146949661965,300.0,372.0,467.0,49.5,717.5,372.0,362.0,384.0
2018,West,6197,554.7304487599886,551.5900398826739,557.8708576373033,387.02855391948935,500.0,665.0,5.0,1081.957169120766,500.0,489.95,501.1
2018,East,2064,413.16350156118875,409.42735740469317,416.89964571768434,300.0,378.0,485.0,22.5,762.5,378.0,366.0,392.0
2019,West,5835,567.2413498669094,563.8601725555673,570.6225271782516,394.0,512.0,674.7577707976176,38.0,1095.894426994044,512.0,499.0,522.05
2019,East,1931,426.2510631015976,422.0566013547922,430.445524848403,305.0,380.0,500.0,40.0,792.5,380.0,364.0,388.025
2020,West,9447,587.3521315569902,584.5238627405264,590.1804003734541,400.0,533.369215643795,700.0,10.0,1150.0,534.0,523.0,548.0
2020,East,2359,440.1690823791216,436.17042750822554,444.1677372500177,310.0,390.00142370570273,512.6417556346437,40.0,816.6043890866092,390.0,377.95,405.0
2021,West,5597,611.5759608984079,607.7427029229566,615.4092188738591,416.0,548.0,730.0,0.0,1201.0,548.0,541.0,564.0
2021,East,1556,444.5200006977646,439.12650842003285,449.91349297549635,305.0,395.0,504.0,25.0,802.5,395.0,383.0,412.0
