year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,5863,84.61717290439913,83.68246668468059,85.55187912411766,60.0,79.0,100.0,6.0,160.0,79.0,78.0,81.0
1985,West,5272,83.97564095881118,82.97297618698587,84.97830573063649,60.0,77.0,100.0,9.0,160.0,77.0,74.0,79.0
1986,West,5039,84.30905985355378,83.27578938165728,85.34233032545028,60.0,78.0,100.0,8.0,160.0,78.0,76.0,80.0
1987,West,4975,84.44617386004245,83.43294618414151,85.45940153594339,60.0,78.0,100.0,11.0,160.0,78.0,76.0,80.0
1988,West,4770,85.42182509836948,84.37013957639647,86.4735106203425,60.0,79.0,100.0,10.0,160.0,79.0,78.0,81.0
1989,West,4651,85.94138983093225,84.86811626927187,87.01466339259264,60.0,80.0,103.0,10.0,167.5,80.0,80.0,82.0
1990,West,4592,86.01039414865839,84.93558289998084,87.08520539733594,60.0,80.0,103.0,10.0,167.5,80.0,80.0,83.0
1990,East,2158,65.01754810801275,63.78920721284375,66.24588900318174,47.0,60.0,78.0,10.0,124.5,60.0,60.0,62.0
1991,West,4642,86.97037995487368,85.88070580636885,88.0600541033785,60.0,80.0,105.0,9.0,172.5,80.0,80.0,81.0
1991,East,1987,65.83710681540809,64.5356527050055,67.13856092581068,48.0,60.0,80.0,10.0,128.0,60.0,60.0,60.0
1992,West,4657,87.58046869241242,86.47374029192356,88.68719709290129,60.0,80.0,107.31331838717836,9.0,178.2832959679459,80.0,80.0,81.0
1992,East,1946,66.53283668609939,65.19791588140498,67.86775749079379,48.0,60.0,80.0,11.0,128.0,60.0,60.0,60.0
1993,West,4685,88.49517771658239,87.38193979941543,89.60841563374935,60.0,80.0,110.0,9.0,185.0,80.0,80.0,80.0
1993,East,1885,68.17715741609877,66.79635794038694,69.55795689181059,50.0,60.0,80.0,11.0,125.0,60.0,58.0,60.0
1994,West,4636,89.2596786776405,88.14124124092565,90.37811611435534,61.0,80.0,110.0,9.0,183.5,80.0,77.975,80.0
1994,East,1860,67.6014989921256,66.22552263041374,68.97747535383746,49.0,60.0,80.0,10.0,126.5,60.0,60.0,60.0
1995,West,4871,89.5067639107533,88.39777975481567,90.61574806669094,61.0,80.0,110.0,10.0,183.5,80.0,77.0,80.0
1995,East,1826,68.6531304397359,67.2011341044712,70.10512677500061,49.0,60.0,80.0,10.0,126.5,60.0,57.974999999999994,60.0
