year,bula_h,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Schleswig-Holstein,Owner,99,2.59044,2.31787,2.86302,1.91569,2.00000,4.00000,1,7,2,2.00000,3.00000
1984,Schleswig-Holstein,Tenant,98,1.93758,1.69975,2.17542,1.00000,1.00000,3.00000,1,6.00000,1,1.00000,2.00000
1984,Hamburg,Owner,,,,,,,,,,,,
1984,Hamburg,Tenant,144,1.79675,1.62779,1.96571,1.00000,1.50000,2.00000,1,3.50000,1,1.00000,2.00000
1984,Lower Saxony,Owner,255,2.86467,2.70198,3.02736,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1984,Lower Saxony,Tenant,333,2.10122,1.97314,2.22929,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1984,Bremen,Owner,,,,,,,,,,,,
1984,Bremen,Tenant,58,1.60517,1.37265,1.83769,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
1984,North Rhine-Westphalia,Owner,441,2.79375,2.66864,2.91886,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1984,North Rhine-Westphalia,Tenant,1151,2.12602,2.05292,2.19913,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1984,Hesse,Owner,169,2.65967,2.46046,2.85887,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1984,Hesse,Tenant,417,2.14091,2.01923,2.26258,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1984,"Rhineland-Palatinate, Saarland",Owner,199,2.68277,2.48490,2.88065,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1984,"Rhineland-Palatinate, Saarland",Tenant,198,2.14915,1.97945,2.31885,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1984,Baden-Wuerttemberg,Owner,384,2.80286,2.66073,2.94499,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1984,Baden-Wuerttemberg,Tenant,671,2.18581,2.08401,2.28761,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1984,Bavaria,Owner,402,2.83254,2.69101,2.97407,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1984,Bavaria,Tenant,583,2.15972,2.06339,2.25604,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1984,Berlin,Owner,,,,,,,,,,,,
1984,Berlin,Tenant,205,1.94719,1.78345,2.11093,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1985,Schleswig-Holstein,Owner,88,2.62506,2.34020,2.90991,2.00000,2.00000,4.00000,1,6,2,2.00000,3.00000
1985,Schleswig-Holstein,Tenant,92,1.88646,1.66754,2.10538,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1985,Hamburg,Owner,,,,,,,,,,,,
1985,Hamburg,Tenant,140,1.71509,1.55175,1.87844,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
1985,Lower Saxony,Owner,233,2.87955,2.70904,3.05006,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1985,Lower Saxony,Tenant,287,1.95312,1.82289,2.08335,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1985,Bremen,Owner,,,,,,,,,,,,
1985,Bremen,Tenant,49,1.58162,1.33373,1.82951,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
1985,North Rhine-Westphalia,Owner,413,2.78825,2.66272,2.91378,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1985,North Rhine-Westphalia,Tenant,1015,2.08109,2.00548,2.15670,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1985,Hesse,Owner,164,2.53896,2.33636,2.74155,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,2.00000
1985,Hesse,Tenant,368,2.10878,1.98490,2.23265,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1985,"Rhineland-Palatinate, Saarland",Owner,182,2.65536,2.46351,2.84721,2.00000,2.00000,3.31019,1,5.27547,2,2.00000,3.00000
1985,"Rhineland-Palatinate, Saarland",Tenant,171,2.01799,1.82983,2.20615,1.00000,2.00000,2.65571,1,5.13927,2,1.00000,2.00000
1985,Baden-Wuerttemberg,Owner,352,2.77792,2.63105,2.92480,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1985,Baden-Wuerttemberg,Tenant,590,2.14338,2.03797,2.24879,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1985,Bavaria,Owner,379,2.86111,2.72046,3.00176,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1985,Bavaria,Tenant,510,2.05439,1.95526,2.15353,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1985,Berlin,Owner,,,,,,,,,,,,
1985,Berlin,Tenant,185,1.81823,1.65616,1.98029,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,2.00000
1986,Schleswig-Holstein,Owner,82,2.60328,2.29774,2.90883,1.00000,2.00000,4.00000,1,6,2,2.00000,3.00000
1986,Schleswig-Holstein,Tenant,79,1.99799,1.76266,2.23333,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1986,Hamburg,Owner,,,,,,,,,,,,
1986,Hamburg,Tenant,124,1.63090,1.45894,1.80287,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,1.00000
