"year","hhtyp","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1995","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1352.42","1089.67","1172","1308.07","1396.77"
"1995","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1393.08","1258","2482","1367.69","1418.47"
"1995","1-Pers.- Haushalt","Laendlicher Raum","1003.24","915","403","956.26","1050.22"
"1995","1-Pers.- Haushalt","Staedtischer Raum","1245.81","1074.5","1001","1193.15","1298.47"
"1995","Alleinerziehende","Laendlicher Raum","886.68","890.5","314","845.52","927.84"
"1995","Alleinerziehende","Staedtischer Raum","1002.44","823.52","628","927.16","1077.72"
"1995","Paar mit Kind(ern)","Laendlicher Raum","995.36","920.37","3886","983.12","1007.6"
"1995","Paar mit Kind(ern)","Staedtischer Raum","1114.72","1022.39","6637","1103.27","1126.17"
"1995","Sonstige","Laendlicher Raum","982.02","910.87","429","944.67","1019.37"
"1995","Sonstige","Staedtischer Raum","1088.28","1021.76","760","1052.96","1123.6"
"1996","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1232.09","1082.33","1220","1195.94","1268.24"
"1996","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1422.83","1292","2462","1393.87","1451.79"
"1996","1-Pers.- Haushalt","Laendlicher Raum","1039.15","943.5","424","990.33","1087.97"
"1996","1-Pers.- Haushalt","Staedtischer Raum","1254.22","1118","1009","1208.01","1300.43"
"1996","Alleinerziehende","Laendlicher Raum","941.49","852.11","313","899.99","982.99"
"1996","Alleinerziehende","Staedtischer Raum","995.71","852.15","646","957.07","1034.35"
"1996","Paar mit Kind(ern)","Laendlicher Raum","1072.59","992.06","3699","1056.03","1089.15"
"1996","Paar mit Kind(ern)","Staedtischer Raum","1160.83","1047.57","6458","1149.3","1172.36"
"1996","Sonstige","Laendlicher Raum","984.28","984.13","418","948.41","1020.15"
"1996","Sonstige","Staedtischer Raum","1102.98","1008.42","690","1063.15","1142.81"
"1997","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1249.77","1124","1252","1224","1275.54"
"1997","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1444.07","1317.33","2506","1416.24","1471.9"
"1997","1-Pers.- Haushalt","Laendlicher Raum","1028.58","915","414","975.4","1081.76"
"1997","1-Pers.- Haushalt","Staedtischer Raum","1264.44","1120","987","1218.42","1310.46"
"1997","Alleinerziehende","Laendlicher Raum","975.86","895.96","337","924.59","1027.13"
"1997","Alleinerziehende","Staedtischer Raum","986.72","867.19","630","951.36","1022.08"
"1997","Paar mit Kind(ern)","Laendlicher Raum","1070.08","977.94","3578","1053.7","1086.46"
"1997","Paar mit Kind(ern)","Staedtischer Raum","1165.04","1071.37","6228","1153.27","1176.81"
"1997","Sonstige","Laendlicher Raum","966.52","894.87","392","931.75","1001.29"
"1997","Sonstige","Staedtischer Raum","1134.78","1053.89","682","1101.37","1168.19"
"1998","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1249.39","1153.67","1474","1223.89","1274.89"
"1998","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1453.31","1360","2884","1430.15","1476.47"
"1998","1-Pers.- Haushalt","Laendlicher Raum","1064.09","960.5","490","1016.61","1111.57"
"1998","1-Pers.- Haushalt","Staedtischer Raum","1261.35","1122","1216","1223.43","1299.27"
"1998","Alleinerziehende","Laendlicher Raum","966.53","916.15","361","920.46","1012.6"
"1998","Alleinerziehende","Staedtischer Raum","973.39","890.5","744","942.25","1004.53"
"1998","Paar mit Kind(ern)","Laendlicher Raum","1064.94","979.93","3937","1052.04","1077.84"
"1998","Paar mit Kind(ern)","Staedtischer Raum","1164.67","1066.98","6645","1152.83","1176.51"
"1998","Sonstige","Laendlicher Raum","998.58","973.78","357","956.04","1041.12"
"1998","Sonstige","Staedtischer Raum","1145.68","1051.18","648","1111.09","1180.27"
"1999","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1281.63","1186","1482","1257.64","1305.62"
"1999","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1506.71","1360","2830","1482.52","1530.9"
"1999","1-Pers.- Haushalt","Laendlicher Raum","1146.84","1021.5","482","1077.94","1215.74"
"1999","1-Pers.- Haushalt","Staedtischer Raum","1296.98","1171","1156","1258.34","1335.62"
"1999","Alleinerziehende","Laendlicher Raum","970.33","852.04","411","929.6","1011.06"
"1999","Alleinerziehende","Staedtischer Raum","976.27","923.69","704","945.37","1007.17"
"1999","Paar mit Kind(ern)","Laendlicher Raum","1109.91","1022.39","3750","1095.54","1124.28"
"1999","Paar mit Kind(ern)","Staedtischer Raum","1228.26","1111.23","6507","1215.41","1241.11"
"1999","Sonstige","Laendlicher Raum","1071.5","1120.13","246","1022.51","1120.49"
"1999","Sonstige","Staedtischer Raum","1235.87","1123.38","420","1192.2","1279.54"
"2000","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1332.13","1189.67","2662","1309.27","1354.99"
"2000","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1570.63","1403.33","5274","1548.31","1592.95"
"2000","1-Pers.- Haushalt","Laendlicher Raum","1160.21","1022.5","987","1122.35","1198.07"
"2000","1-Pers.- Haushalt","Staedtischer Raum","1393.82","1224","2273","1360.86","1426.78"
"2000","Alleinerziehende","Laendlicher Raum","933.38","830.96","649","901.01","965.75"
"2000","Alleinerziehende","Staedtischer Raum","1027.4","937.28","1262","999.1","1055.7"
"2000","Paar mit Kind(ern)","Laendlicher Raum","1128.03","1022.5","6390","1116.92","1139.14"
"2000","Paar mit Kind(ern)","Staedtischer Raum","1239.38","1133.15","11112","1229.09","1249.67"
"2000","Sonstige","Laendlicher Raum","1003.88","1022.45","461","967.56","1040.2"
"2000","Sonstige","Staedtischer Raum","1216.92","1138.21","737","1180.63","1253.21"
"2001","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1377.68","1250","2436","1354.96","1400.4"
"2001","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1591.92","1411.33","4742","1569.06","1614.78"
"2001","1-Pers.- Haushalt","Laendlicher Raum","1190.98","1038","870","1146.26","1235.7"
"2001","1-Pers.- Haushalt","Staedtischer Raum","1392.29","1274.5","2056","1362.62","1421.96"
"2001","Alleinerziehende","Laendlicher Raum","982.07","942.32","613","949.15","1014.99"
"2001","Alleinerziehende","Staedtischer Raum","1016.8","941.39","1148","987.94","1045.66"
"2001","Paar mit Kind(ern)","Laendlicher Raum","1151.75","1064.3","5700","1138.38","1165.12"
"2001","Paar mit Kind(ern)","Staedtischer Raum","1279.86","1150.46","10098","1268.62","1291.1"
"2001","Sonstige","Laendlicher Raum","1022.83","1022.58","357","979.52","1066.14"
"2001","Sonstige","Staedtischer Raum","1210.84","1060.13","708","1171.04","1250.64"
"2002","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1391.06","1265","2536","1355.59","1426.53"
"2002","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1669.55","1463","5268","1620.01","1719.09"
"2002","1-Pers.- Haushalt","Laendlicher Raum","1207.86","1048.5","864","1152.81","1262.91"
"2002","1-Pers.- Haushalt","Staedtischer Raum","1471.15","1295","2074","1380.72","1561.58"
"2002","Alleinerziehende","Laendlicher Raum","1014.4","870.83","644","965.78","1063.02"
"2002","Alleinerziehende","Staedtischer Raum","1023.49","966.46","1126","984.2","1062.78"
"2002","Paar mit Kind(ern)","Laendlicher Raum","1168.84","1086.09","5726","1151.46","1186.22"
"2002","Paar mit Kind(ern)","Staedtischer Raum","1308.07","1159.4","10860","1287.82","1328.32"
"2002","Sonstige","Laendlicher Raum","1071.01","1013.7","353","1008.74","1133.28"
"2002","Sonstige","Staedtischer Raum","1202.33","991.61","665","1137.44","1267.22"
"2003","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1449.97","1332","2532","1418.06","1481.88"
"2003","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1680.52","1461.67","5104","1641.74","1719.3"
