"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","Laendlicher Raum","Ostdeutschland","","","","",""
"1985","Laendlicher Raum","Westdeutschland","4.32","3.5","237","3.97","4.67"
"1985","Staedtischer Raum","Ostdeutschland","","","","",""
"1985","Staedtischer Raum","Westdeutschland","3.43","2.5","874","3.32","3.54"
"1986","Laendlicher Raum","Ostdeutschland","","","","",""
"1986","Laendlicher Raum","Westdeutschland","4.15","3.5","241","3.9","4.4"
"1986","Staedtischer Raum","Ostdeutschland","","","","",""
"1986","Staedtischer Raum","Westdeutschland","3.3","2.5","1033","3.21","3.39"
"1987","Laendlicher Raum","Ostdeutschland","","","","",""
"1987","Laendlicher Raum","Westdeutschland","3.54","2.5","221","3.39","3.69"
"1987","Staedtischer Raum","Ostdeutschland","","","","",""
"1987","Staedtischer Raum","Westdeutschland","3.38","2.5","947","3.29","3.47"
"1988","Laendlicher Raum","Ostdeutschland","","","","",""
"1988","Laendlicher Raum","Westdeutschland","3.75","2.5","205","3.5","4"
"1988","Staedtischer Raum","Ostdeutschland","","","","",""
"1988","Staedtischer Raum","Westdeutschland","3.38","2.5","910","3.27","3.49"
"1989","Laendlicher Raum","Ostdeutschland","","","","",""
"1989","Laendlicher Raum","Westdeutschland","3.67","2.5","206","3.43","3.91"
"1989","Staedtischer Raum","Ostdeutschland","","","","",""
"1989","Staedtischer Raum","Westdeutschland","3.37","2.5","867","3.27","3.47"
"1990","Laendlicher Raum","Ostdeutschland","3.44","2.5","3893","3.4","3.48"
"1990","Laendlicher Raum","Westdeutschland","4.22","2.5","226","3.35","5.09"
"1990","Staedtischer Raum","Ostdeutschland","3.04","2.5","1965","2.99","3.09"
"1990","Staedtischer Raum","Westdeutschland","3.24","2.5","735","3.15","3.33"
"1991","Laendlicher Raum","Ostdeutschland","3.57","2.5","260","3.34","3.8"
"1991","Laendlicher Raum","Westdeutschland","3.99","3.5","255","3.76","4.22"
"1991","Staedtischer Raum","Ostdeutschland","3.09","2.5","109","2.9","3.28"
"1991","Staedtischer Raum","Westdeutschland","3.66","2.5","937","3.56","3.76"
"1992","Laendlicher Raum","Ostdeutschland","3.45","2.5","307","3.28","3.62"
"1992","Laendlicher Raum","Westdeutschland","4.14","3.5","285","3.94","4.34"
"1992","Staedtischer Raum","Ostdeutschland","2.82","2.5","128","2.56","3.08"
"1992","Staedtischer Raum","Westdeutschland","3.58","2.5","887","3.47","3.69"
"1993","Laendlicher Raum","Ostdeutschland","3.74","3.5","288","3.56","3.92"
"1993","Laendlicher Raum","Westdeutschland","4.23","3.5","315","4.02","4.44"
"1993","Staedtischer Raum","Ostdeutschland","2.85","2.5","125","2.61","3.09"
"1993","Staedtischer Raum","Westdeutschland","3.68","2.5","1014","3.58","3.78"
"1994","Laendlicher Raum","Ostdeutschland","3.5","2.5","299","3.3","3.7"
"1994","Laendlicher Raum","Westdeutschland","4.06","3.5","358","3.87","4.25"
"1994","Staedtischer Raum","Ostdeutschland","3.14","2.5","185","2.94","3.34"
"1994","Staedtischer Raum","Westdeutschland","3.57","2.5","1059","3.47","3.67"
"1995","Laendlicher Raum","Ostdeutschland","3.55","2.5","356","3.39","3.71"
"1995","Laendlicher Raum","Westdeutschland","4.22","3.5","490","4.06","4.38"
"1995","Staedtischer Raum","Ostdeutschland","3.23","2.5","170","3.01","3.45"
"1995","Staedtischer Raum","Westdeutschland","3.61","2.5","1629","3.53","3.69"
"1996","Laendlicher Raum","Ostdeutschland","3.39","2.5","394","3.23","3.55"
"1996","Laendlicher Raum","Westdeutschland","4.19","3.5","338","4","4.38"
"1996","Staedtischer Raum","Ostdeutschland","3.37","2.5","206","3.18","3.56"
"1996","Staedtischer Raum","Westdeutschland","3.66","2.5","1285","3.58","3.74"
"1997","Laendlicher Raum","Ostdeutschland","3.31","2.5","418","3.18","3.44"
"1997","Laendlicher Raum","Westdeutschland","4.21","3.5","331","4","4.42"
"1997","Staedtischer Raum","Ostdeutschland","3.08","2.5","207","2.9","3.26"
"1997","Staedtischer Raum","Westdeutschland","3.62","2.5","1084","3.53","3.71"
"1998","Laendlicher Raum","Ostdeutschland","3.7","2.5","3292","3.65","3.75"
"1998","Laendlicher Raum","Westdeutschland","4.55","3.5","3168","4.49","4.61"
"1998","Staedtischer Raum","Ostdeutschland","3.31","2.5","1571","3.25","3.37"
"1998","Staedtischer Raum","Westdeutschland","3.88","3.5","10374","3.85","3.91"
"1999","Laendlicher Raum","Ostdeutschland","3.48","2.5","371","3.32","3.64"
"1999","Laendlicher Raum","Westdeutschland","4.6","3.5","369","4.37","4.83"
"1999","Staedtischer Raum","Ostdeutschland","4.42","2.5","184","4.14","4.7"
"1999","Staedtischer Raum","Westdeutschland","3.75","2.5","1214","3.65","3.85"
"2000","Laendlicher Raum","Ostdeutschland","3.82","3.5","2262","3.76","3.88"
"2000","Laendlicher Raum","Westdeutschland","4.63","3.5","3395","4.57","4.69"
"2000","Staedtischer Raum","Ostdeutschland","3.31","2.5","1034","3.23","3.39"
"2000","Staedtischer Raum","Westdeutschland","4.05","3.5","9601","4.01","4.09"
"2001","Laendlicher Raum","Ostdeutschland","3.59","2.5","414","3.45","3.73"
"2001","Laendlicher Raum","Westdeutschland","4.78","3.5","586","4.62","4.94"
"2001","Staedtischer Raum","Ostdeutschland","3.27","2.5","286","3.13","3.41"
"2001","Staedtischer Raum","Westdeutschland","4.01","3.5","1792","3.93","4.09"
"2002","Laendlicher Raum","Ostdeutschland","3.71","2.5","4472","3.67","3.75"
"2002","Laendlicher Raum","Westdeutschland","4.72","3.5","5535","4.67","4.77"
"2002","Staedtischer Raum","Ostdeutschland","3.33","2.5","2164","3.27","3.39"
"2002","Staedtischer Raum","Westdeutschland","3.99","3.5","17636","3.96","4.02"
