year,regtyp,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No answer / don't know,Owner,,,,,,,,,,,,
1984,No answer / don't know,Tenant,,,,,,,,,,,,
1985,Urban regions,Owner,,,,,,,,,,,,
1985,Urban regions,Tenant,,,,,,,,,,,,
1985,Rural regions,Owner,,,,,,,,,,,,
1985,Rural regions,Tenant,,,,,,,,,,,,
1986,Urban regions,No answer / don't know,,,,,,,,,,,,
1986,Urban regions,Owner,,,,,,,,,,,,
1986,Urban regions,Tenant,,,,,,,,,,,,
1986,Rural regions,No answer / don't know,,,,,,,,,,,,
1986,Rural regions,Owner,,,,,,,,,,,,
1986,Rural regions,Tenant,,,,,,,,,,,,
1987,Urban regions,No answer / don't know,,,,,,,,,,,,
1987,Urban regions,Owner,,,,,,,,,,,,
1987,Urban regions,Tenant,,,,,,,,,,,,
1987,Rural regions,Owner,,,,,,,,,,,,
1987,Rural regions,Tenant,,,,,,,,,,,,
1988,Urban regions,No answer / don't know,,,,,,,,,,,,
1988,Urban regions,Owner,,,,,,,,,,,,
1988,Urban regions,Tenant,,,,,,,,,,,,
1988,Rural regions,Owner,,,,,,,,,,,,
1988,Rural regions,Tenant,,,,,,,,,,,,
1989,Urban regions,No answer / don't know,,,,,,,,,,,,
1989,Urban regions,Owner,,,,,,,,,,,,
1989,Urban regions,Tenant,,,,,,,,,,,,
1989,Rural regions,Owner,,,,,,,,,,,,
1989,Rural regions,Tenant,,,,,,,,,,,,
1990,No answer / don't know,Owner,,,,,,,,,,,,
1990,No answer / don't know,Tenant,,,,,,,,,,,,
1990,Urban regions,No answer / don't know,,,,,,,,,,,,
1990,Urban regions,Owner,,,,,,,,,,,,
1990,Urban regions,Tenant,,,,,,,,,,,,
1990,Rural regions,No answer / don't know,,,,,,,,,,,,
1990,Rural regions,Owner,,,,,,,,,,,,
1990,Rural regions,Tenant,,,,,,,,,,,,
1991,No answer / don't know,Owner,,,,,,,,,,,,
1991,No answer / don't know,Tenant,,,,,,,,,,,,
1991,Urban regions,No answer / don't know,,,,,,,,,,,,
1991,Urban regions,Owner,,,,,,,,,,,,
1991,Urban regions,Tenant,,,,,,,,,,,,
1991,Rural regions,Owner,,,,,,,,,,,,
1991,Rural regions,Tenant,,,,,,,,,,,,
1992,No answer / don't know,Owner,,,,,,,,,,,,
1992,No answer / don't know,Tenant,,,,,,,,,,,,
1992,Urban regions,Owner,,,,,,,,,,,,
1992,Urban regions,Tenant,,,,,,,,,,,,
1992,Rural regions,Owner,,,,,,,,,,,,
1992,Rural regions,Tenant,,,,,,,,,,,,
1993,Urban regions,No answer / don't know,,,,,,,,,,,,
1993,Urban regions,Owner,,,,,,,,,,,,
1993,Urban regions,Tenant,,,,,,,,,,,,
1993,Rural regions,Owner,,,,,,,,,,,,
1993,Rural regions,Tenant,,,,,,,,,,,,
1994,Urban regions,No answer / don't know,,,,,,,,,,,,
1994,Urban regions,Owner,,,,,,,,,,,,
1994,Urban regions,Tenant,,,,,,,,,,,,
1994,Rural regions,Owner,,,,,,,,,,,,
1994,Rural regions,Tenant,,,,,,,,,,,,
1995,Urban regions,Owner,,,,,,,,,,,,
1995,Urban regions,Tenant,,,,,,,,,,,,
1995,Rural regions,Owner,,,,,,,,,,,,
1995,Rural regions,Tenant,,,,,,,,,,,,
1996,Urban regions,Owner,,,,,,,,,,,,
1996,Urban regions,Tenant,,,,,,,,,,,,
1996,Rural regions,Owner,,,,,,,,,,,,
1996,Rural regions,Tenant,,,,,,,,,,,,
1997,No answer / don't know,Tenant,,,,,,,,,,,,
1997,Urban regions,Owner,,,,,,,,,,,,
1997,Urban regions,Tenant,,,,,,,,,,,,
1997,Rural regions,Owner,,,,,,,,,,,,
1997,Rural regions,Tenant,,,,,,,,,,,,
1998,Urban regions,Owner,985,455.43981,441.41502,469.46461,307.00000,409.00000,517.53202,102,833.33006,,,
1998,Urban regions,Tenant,1742,342.60482,333.81064,351.39900,205.00000,307.00000,435.00000,41,780.00000,,,
1998,Rural regions,Owner,685,437.73070,420.86964,454.59177,256.00000,409.00000,511.00000,51,893.50000,,,
1998,Rural regions,Tenant,698,326.07423,312.27645,339.87201,205.00000,307.00000,409.00000,41,715.00000,,,
1999,Urban regions,Owner,,,,,,,,,,,,
1999,Urban regions,Tenant,,,,,,,,,,,,
1999,Rural regions,Owner,,,,,,,,,,,,
1999,Rural regions,Tenant,,,,,,,,,,,,
2000,Urban regions,Owner,1962,458.57465,447.74854,469.40076,281.00000,409.00000,562.00000,51,983.50000,,,
2000,Urban regions,Tenant,2736,340.65367,333.34279,347.96455,205.00000,307.00000,409.00000,20,715.00000,,,
2000,Rural regions,Owner,1177,434.28496,420.14847,448.42144,256.00000,409.00000,511.00000,61,893.50000,,,
2000,Rural regions,Tenant,1033,307.72048,297.02263,318.41832,205.00000,256.00000,409.00000,20,715.00000,,,
2001,Urban regions,Owner,1677,464.90063,453.84869,475.95257,307.00000,409.00000,614.00000,51,1074.50000,,,
2001,Urban regions,Tenant,2289,347.16306,338.42241,355.90371,205.00000,307.00000,435.00000,0,780.00000,,,
2001,Rural regions,Owner,1050,444.35861,429.83822,458.87900,256.00000,409.00000,511.00000,26,893.50000,,,
2001,Rural regions,Tenant,793,319.11386,306.54352,331.68421,205.00000,256.00000,409.00000,26,715.00000,,,
2002,Urban regions,Owner,,,,,,,,,,,,
2002,Urban regions,Tenant,,,,,,,,,,,,
2002,Rural regions,Owner,,,,,,,,,,,,
2002,Rural regions,Tenant,,,,,,,,,,,,
2003,Urban regions,Owner,1914,475.70444,464.04987,487.35901,300.00000,400.00000,600.00000,50,1050.00000,,,
2003,Urban regions,Tenant,2209,353.16857,344.51099,361.82615,200.00000,300.00000,450.00000,0,825.00000,,,
2003,Rural regions,Owner,1012,450.33264,435.59703,465.06825,300.00000,400.00000,600.00000,40,1050.00000,,,
2003,Rural regions,Tenant,770,340.00102,326.54055,353.46149,200.00000,300.00000,400.00000,20,700.00000,,,
2004,Urban regions,Owner,,,,,,,,,,,,
2004,Urban regions,Tenant,,,,,,,,,,,,
2004,Rural regions,Owner,,,,,,,,,,,,
2004,Rural regions,Tenant,,,,,,,,,,,,
2005,Urban regions,No answer / don't know,,,,,,,,,,,,
2005,Urban regions,Owner,1810,482.47638,470.64692,494.30583,300.00000,450.00000,600.00000,50,1050.00000,,,
2005,Urban regions,Tenant,2125,358.14139,349.20658,367.07620,200.00000,300.00000,450.00000,25,825.00000,,,
2005,Rural regions,Owner,995,454.50099,440.07910,468.92289,300.00000,400.00000,600.00000,50,1050.00000,,,
2005,Rural regions,Tenant,763,323.67430,310.39093,336.95767,200.00000,289.80582,400.00000,35,700.00000,,,
2006,Urban regions,No answer / don't know,,,,,,,,,,,,
2006,Urban regions,Owner,,,,,,,,,,,,
2006,Urban regions,Tenant,,,,,,,,,,,,
2006,Rural regions,No answer / don't know,,,,,,,,,,,,
2006,Rural regions,Owner,,,,,,,,,,,,
2006,Rural regions,Tenant,,,,,,,,,,,,
2007,Urban regions,Owner,1809,504.81452,491.59389,518.03516,300.00000,450.00000,600.00000,50,1050.00000,,,
2007,Urban regions,Tenant,2146,355.15151,345.73928,364.56374,200.00000,300.00000,450.00000,20,825.00000,,,
2007,Rural regions,Owner,1089,454.80115,440.77019,468.83211,300.00000,400.00000,550.00000,50,925.00000,,,
2007,Rural regions,Tenant,817,321.57753,308.26111,334.89395,200.00000,300.00000,400.00000,30,700.00000,,,
2008,Urban regions,Owner,,,,,,,,,,,,
2008,Urban regions,Tenant,,,,,,,,,,,,
2008,Rural regions,Owner,,,,,,,,,,,,
2008,Rural regions,Tenant,,,,,,,,,,,,
2009,Urban regions,Owner,,,,,,,,,,,,
2009,Urban regions,Tenant,,,,,,,,,,,,
2009,Rural regions,Owner,,,,,,,,,,,,
2009,Rural regions,Tenant,,,,,,,,,,,,
2010,Urban regions,Owner,,,,,,,,,,,,
2010,Urban regions,Tenant,,,,,,,,,,,,
2010,Rural regions,Owner,,,,,,,,,,,,
2010,Rural regions,Tenant,,,,,,,,,,,,
2011,Urban regions,Owner,1937,486.55340,475.04263,498.06416,300.00000,400.00000,600.00000,60,1050.00000,,,
2011,Urban regions,Tenant,2281,332.86773,324.42448,341.31097,200.00000,300.00000,400.00000,0,700.00000,,,
2011,Rural regions,Owner,1241,444.75102,432.21391,457.28814,300.00000,400.00000,550.00000,40,925.00000,,,
2011,Rural regions,Tenant,862,300.00388,288.36782,311.63994,200.00000,250.00000,400.00000,20,700.00000,,,
2012,Urban regions,Owner,,,,,,,,,,,,
2012,Urban regions,Tenant,,,,,,,,,,,,
