year,age_gr,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,under 18 y.,No migration background,,,,,,,,,,,,
1984,under 18 y.,Direct migration background,,,,,,,,,,,,
1984,under 18 y.,Indirect migration background,,,,,,,,,,,,
1984,18-29 y.,No migration background,2150,0.12722175955612103,0.11600864812368851,0.13843487098855356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,18-29 y.,Direct migration background,913,0.15653835085440493,0.14285277078148756,0.1702239309273223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,18-29 y.,Indirect migration background,72,0.02638544418477852,0.006209159345871074,0.046561729023685966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,30-45 y.,No migration background,2479,0.13343895058045313,0.12318182216573322,0.14369607899517303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,30-45 y.,Direct migration background,1380,0.1295669863997393,0.11889605498949996,0.14023791780997863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,30-45 y.,Indirect migration background,,,,,,,,,,,,
1984,46-65 y.,No migration background,2562,0.14457552585318362,0.13358973711004277,0.15556131459632447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,46-65 y.,Direct migration background,941,0.14756657537940646,0.13274963647822477,0.16238351428058814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,46-65 y.,Indirect migration background,,,,,,,,,,,,
1984,66 and older,No migration background,1207,0.18487451891749623,0.1685329584327476,0.20121607940224487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,66 and older,Direct migration background,34,0.16161555220001472,0.10164371840621299,0.22158738599381644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,66 and older,Indirect migration background,,,,,,,,,,,,
1985,under 18 y.,No migration background,,,,,,,,,,,,
1985,under 18 y.,Direct migration background,,,,,,,,,,,,
1985,under 18 y.,Indirect migration background,,,,,,,,,,,,
1985,18-29 y.,No migration background,2012,0.13840189636191066,0.12472353834651664,0.15208025437730469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,18-29 y.,Direct migration background,763,0.11586119490955946,0.1037206037094621,0.12800178610965682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,18-29 y.,Indirect migration background,79,0.171855219557254,0.13153298815598297,0.21217745095852503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,30-45 y.,No migration background,2252,0.15977637544031562,0.14249814614990325,0.17705460473072798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,30-45 y.,Direct migration background,1174,0.1564645772731898,0.1348312560245818,0.1780978985217978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,30-45 y.,Indirect migration background,,,,,,,,,,,,
1985,46-65 y.,No migration background,2401,0.14226483729480097,0.12944162674984544,0.1550880478397565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
