year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,n
1984,,,,,,,,,
1985,,,,,,,,,
1986,,,,,,,,,
1987,,,,,,,,,
1988,,,,,,,,,
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,3.99048,3.97358,4.00738,3.00000,4.00000,4.66667,1.00000,7.00000,20480.00000
2006,,,,,,,,,
2007,,,,,,,,,
2008,,,,,,,,,
2009,3.86492,3.84688,3.88297,3.00000,4.00000,4.66667,1.00000,7.00000,17803.00000
2010,,,,,,,,,
2011,,,,,,,,,
2012,3.92610,3.89679,3.95541,3.00000,4.00000,4.66667,1.00000,7.00000,7107.00000
2013,3.76631,3.74873,3.78390,3.00000,3.66667,4.66667,1.00000,7.00000,18684.00000
2014,,,,,,,,,
2015,,,,,,,,,
2016,,,,,,,,,
2017,3.81817,3.80383,3.83252,3.00000,3.66667,4.66667,1.00000,7.00000,28529.00000
2018,,,,,,,,,
2019,3.60068,3.58518,3.61618,2.66667,3.66667,4.33333,1.00000,6.83333,25535.00000
2020,,,,,,,,,
2021,,,,,,,,,
2022,,,,,,,,,
