"year","quintil_oecd","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2005","1 Einkommensschwächstes Quintil","Ostdeutschland","4.13","3.83","1450","2.67","3.33","5","5.67","6.67","4.07","4.19","1","7","4","4.33333349227905"
"2005","1 Einkommensschwächstes Quintil","Westdeutschland","4.11","3.83","2694","2.33","3.33","5","5.67","7","4.06","4.16","1","7","4","4"
"2005","2","Ostdeutschland","4.14","3.83","1314","2.67","3.33","5","5.67","6.67","4.08","4.2","1","7","4","4.33333349227905"
"2005","2","Westdeutschland","4.01","3.83","3246","2.33","3","5","5.67","7","3.97","4.05","1","7","4","4"
"2005","3","Ostdeutschland","4.09","3.83","1070","2.67","3.33","5","5.67","7","4.02","4.16","1","7","4","4.33333349227905"
"2005","3","Westdeutschland","4","3.83","2782","2.33","3","4.67","5.67","7","3.95","4.05","1","7","4","4"
"2005","4","Ostdeutschland","4.03","3.83","717","2.67","3","4.67","5.67","6.33","3.95","4.11","1","7","4","4.33333349227905"
"2005","4","Westdeutschland","3.88","3.83","3346","2.33","3","4.67","5.33","7","3.84","3.92","1","7","3.66666674613953","4"
"2005","5 Einkommensstärkstes Quintil","Ostdeutschland","3.66","3.5","472","2.33","3","4.33","5.33","6.33","3.56","3.76","1","7","3.66666674613953","4"
"2005","5 Einkommensstärkstes Quintil","Westdeutschland","3.76","3.58","3534","2","3","4.67","5.33","6.67","3.72","3.8","1","7","3.66666674613953","3.66666674613953"
"2006","1 Einkommensschwächstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"2006","1 Einkommensschwächstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"2006","2","Ostdeutschland","","","","","","","","","","","","","",""
"2006","2","Westdeutschland","","","","","","","","","","","","","",""
"2006","3","Ostdeutschland","","","","","","","","","","","","","",""
"2006","3","Westdeutschland","","","","","","","","","","","","","",""
"2006","4","Ostdeutschland","","","","","","","","","","","","","",""
"2006","4","Westdeutschland","","","","","","","","","","","","","",""
"2006","5 Einkommensstärkstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
"2006","5 Einkommensstärkstes Quintil","Westdeutschland","","","","","","","","","","","","","",""
"2007","1 Einkommensschwächstes Quintil","Ostdeutschland","","","","","","","","","","","","","",""
