year,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,,,,,,,,,,,,
1984,Direct migration background,,,,,,,,,,,,
1984,Indirect migration background,,,,,,,,,,,,
1985,No migration background,,,,,,,,,,,,
1985,Direct migration background,,,,,,,,,,,,
1985,Indirect migration background,,,,,,,,,,,,
1986,No migration background,,,,,,,,,,,,
1986,Direct migration background,,,,,,,,,,,,
1986,Indirect migration background,,,,,,,,,,,,
1987,No migration background,,,,,,,,,,,,
1987,Direct migration background,,,,,,,,,,,,
1987,Indirect migration background,,,,,,,,,,,,
1988,No migration background,,,,,,,,,,,,
1988,Direct migration background,,,,,,,,,,,,
1988,Indirect migration background,,,,,,,,,,,,
1989,No migration background,,,,,,,,,,,,
1989,Direct migration background,,,,,,,,,,,,
1989,Indirect migration background,,,,,,,,,,,,
1990,No migration background,,,,,,,,,,,,
1990,Direct migration background,,,,,,,,,,,,
1990,Indirect migration background,,,,,,,,,,,,
1991,No migration background,,,,,,,,,,,,
1991,Direct migration background,,,,,,,,,,,,
1991,Indirect migration background,,,,,,,,,,,,
1992,No migration background,,,,,,,,,,,,
1992,Direct migration background,,,,,,,,,,,,
1992,Indirect migration background,,,,,,,,,,,,
1993,No migration background,,,,,,,,,,,,
1993,Direct migration background,,,,,,,,,,,,
1993,Indirect migration background,,,,,,,,,,,,
1994,No migration background,,,,,,,,,,,,
1994,Direct migration background,,,,,,,,,,,,
1994,Indirect migration background,,,,,,,,,,,,
1995,No migration background,,,,,,,,,,,,
1995,Direct migration background,,,,,,,,,,,,
1995,Indirect migration background,,,,,,,,,,,,
1996,No migration background,,,,,,,,,,,,
1996,Direct migration background,,,,,,,,,,,,
1996,Indirect migration background,,,,,,,,,,,,
1997,No migration background,,,,,,,,,,,,
1997,Direct migration background,,,,,,,,,,,,
1997,Indirect migration background,,,,,,,,,,,,
1998,No migration background,,,,,,,,,,,,
1998,Direct migration background,,,,,,,,,,,,
1998,Indirect migration background,,,,,,,,,,,,
1999,No migration background,,,,,,,,,,,,
1999,Direct migration background,,,,,,,,,,,,
1999,Indirect migration background,,,,,,,,,,,,
2000,No migration background,,,,,,,,,,,,
2000,Direct migration background,,,,,,,,,,,,
2000,Indirect migration background,,,,,,,,,,,,
2001,No migration background,,,,,,,,,,,,
2001,Direct migration background,,,,,,,,,,,,
2001,Indirect migration background,,,,,,,,,,,,
2002,No migration background,19276,25.45040,25.38967,25.51112,22.49135,24.93372,27.77427,14.56697,35.69865,24.93372,24.85837,25.02976
2002,Direct migration background,2781,25.79873,25.63800,25.95947,22.85714,25.39062,28.34467,14.62585,36.57596,25.390625,25.20849,25.71166
2002,Indirect migration background,764,23.51808,23.22909,23.80707,20.75171,23.14725,25.67535,13.36624,33.06081,23.147255,22.65480,23.45107
2003,No migration background,,,,,,,,,,,,
2003,Direct migration background,,,,,,,,,,,,
2003,Indirect migration background,,,,,,,,,,,,
2004,No migration background,18082,25.63221,25.56704,25.69737,22.58271,25.09950,28.08642,14.32714,36.34199,25.0995,25.00000,25.21884
2004,Direct migration background,2508,26.00353,25.83175,26.17531,22.94707,25.71166,28.58770,14.48611,37.04865,25.711662,25.39062,25.92593
2004,Indirect migration background,781,23.92949,23.65686,24.20211,21.13271,23.59282,26.06168,13.73926,33.45513,23.60026,23.02572,23.82834
2005,No migration background,,,,,,,,,,,,
2005,Direct migration background,,,,,,,,,,,,
2005,Indirect migration background,,,,,,,,,,,,
2006,No migration background,18825,25.81289,25.74720,25.87859,22.66873,25.24934,28.32658,14.18195,36.81336,25.249338,25.18078,25.30864
2006,Direct migration background,2373,26.22436,26.04161,26.40712,23.00896,25.71166,28.99964,14.5281105,37.98566,25.711662,25.47666,26.02617
2006,Indirect migration background,845,24.30587,24.02846,24.58327,21.35905,23.86025,26.84564,13.12917,35.07553,23.828125,23.19050,24.38433
2007,No migration background,,,,,,,,,,,,
2007,Direct migration background,,,,,,,,,,,,
2007,Indirect migration background,,,,,,,,,,,,
2008,No migration background,16641,25.98215,25.91110,26.05320,22.76147,25.35154,28.51562,14.356606,37.14686,25.351542,25.24934,25.40282
2008,Direct migration background,1897,26.43008,26.21693,26.64323,23.43750,25.92593,29.03179,15.055495,37.42322,25.925926,25.67343,26.17535
2008,Indirect migration background,816,24.50654,24.20883,24.80426,21.67220,24.21263,26.76693,14.03010,34.40902,24.212294,23.73775,24.53908
2009,No migration background,,,,,,,,,,,,
2009,Direct migration background,,,,,,,,,,,,
2009,Indirect migration background,,,,,,,,,,,,
2010,No migration background,14627,26.20330,26.12369,26.28290,22.89307,25.47666,28.69898,14.18421,37.40784,25.47666,25.33434,25.60583
2010,Direct migration background,1469,26.45378,26.21287,26.69469,23.52941,26.01730,28.76397,15.67757,36.61581,26.014568,25.71166,26.47211
2010,Indirect migration background,725,24.84068,24.48747,25.19390,21.23057,24.22023,27.42230,13.03084,36.70990,24.220226,23.72522,24.96801
2011,No migration background,,,,,,,,,,,,
2011,Direct migration background,,,,,,,,,,,,
2011,Indirect migration background,,,,,,,,,,,,
2012,No migration background,17874,26.24021,26.16877,26.31164,22.91761,25.55885,28.73467,14.19202,37.46027,25.558846,25.50350,25.65437
2012,Direct migration background,1997,26.29661,26.09133,26.50189,23.24456,25.86451,28.98761,14.62998,37.60219,25.864513,25.40282,26.07897
2012,Indirect migration background,866,24.94944,24.60687,25.29201,21.18035,24.00745,27.43698,16.184275,36.82194,23.999458,23.58833,24.69136
2013,No migration background,,,,,,,,,,,,
2013,Direct migration background,,,,,,,,,,,,
2013,Indirect migration background,,,,,,,,,,,,
2014,No migration background,20181,26.32132,26.25237,26.39027,22.86237,25.59374,28.98114,13.68420,38.15931,25.593737,25.50362,25.71166
2014,Direct migration background,5273,26.22737,26.09855,26.35620,22.86237,25.71166,28.76397,14.00996,37.61638,25.711662,25.45668,25.95156
2014,Indirect migration background,1793,25.08124,24.84325,25.31922,21.36392,24.08822,27.74873,13.364964,37.32595,24.088223,23.67021,24.51608
2015,No migration background,,,,,,,,,,,,
2015,Direct migration background,,,,,,,,,,,,
2015,Indirect migration background,,,,,,,,,,,,
2016,No migration background,17820,26.43831,26.36291,26.51372,22.95909,25.68870,29.03674,13.84261,38.15321,25.689562,25.55933,25.77058
2016,Direct migration background,4895,26.43039,26.29778,26.56300,23.23346,25.95156,29.29688,14.13833,38.39200,25.951557,25.71047,26.27728
2016,Indirect migration background,1540,25.44093,25.17418,25.70768,21.75297,24.27460,28.05740,14.532872,37.51404,24.258675,23.83673,24.77369
2017,No migration background,,,,,,,,,,,,
2017,Direct migration background,,,,,,,,,,,,
2017,Indirect migration background,,,,,,,,,,,,
2018,No migration background,19375,26.58581,26.51218,26.65944,23.03004,25.79592,29.27099,13.66862,38.63242,25.795918,25.71023,25.95156
2018,Direct migration background,7653,26.39840,26.29507,26.50174,23.29123,25.91068,28.98179,14.75539,37.51763,25.910685,25.63692,26.14992
2018,Indirect migration background,1678,25.72466,25.44741,26.00191,21.60692,24.61673,28.08900,15.431518,37.81213,24.618103,24.14152,25.06038
2019,No migration background,,,,,,,,,,,,
2019,Direct migration background,,,,,,,,,,,,
2019,Indirect migration background,,,,,,,,,,,,
2020,No migration background,18548,26.69528,26.61811,26.77245,23.12062,25.90431,29.32099,14.609203,38.62153,25.90431,25.76295,26.01478
2020,Direct migration background,5586,26.70816,26.58179,26.83453,23.38869,26.17188,29.32099,14.49024,38.21944,26.171875,25.73645,26.54369
2020,Indirect migration background,1584,26.25936,25.95955,26.55918,22.15102,25.14286,28.63519,12.42477,38.36144,25.142857,24.56927,25.69011
2021,No migration background,,,,,,,,,,,,
2021,Direct migration background,,,,,,,,,,,,
2021,Indirect migration background,,,,,,,,,,,,
2022,No migration background,18032,26.45472,26.37676,26.53268,22.85714,25.53205,29.03674,13.58775,38.30613,25.535446,25.42002,25.68956
2022,Direct migration background,7977,26.21341,26.10954,26.31728,22.89307,25.61728,28.71972,14.15310,37.45970,25.617285,25.25952,25.82645
2022,Indirect migration background,1464,26.49435,26.17737,26.81132,22.64324,25.00000,28.75581,15.149602,37.92466,25.0,24.60837,25.55933
