year,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,,,,,,,,,,,,
1984,Primary Level,,,,,,,,,,,,
1984,Lower Secondary Level,,,,,,,,,,,,
1984,Upper Secondary Level,,,,,,,,,,,,
1984,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,First Stage of Tertiary Education,,,,,,,,,,,,
1984,Second Stage of Tertiary Education,,,,,,,,,,,,
1985,Pre-primary Level,,,,,,,,,,,,
1985,Primary Level,,,,,,,,,,,,
1985,Lower Secondary Level,,,,,,,,,,,,
1985,Upper Secondary Level,,,,,,,,,,,,
1985,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1985,First Stage of Tertiary Education,,,,,,,,,,,,
1985,Second Stage of Tertiary Education,,,,,,,,,,,,
1986,Pre-primary Level,,,,,,,,,,,,
1986,Primary Level,,,,,,,,,,,,
1986,Lower Secondary Level,,,,,,,,,,,,
1986,Upper Secondary Level,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1986,First Stage of Tertiary Education,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,,,,,,,,,,,,
1987,Pre-primary Level,,,,,,,,,,,,
1987,Primary Level,,,,,,,,,,,,
1987,Lower Secondary Level,,,,,,,,,,,,
1987,Upper Secondary Level,,,,,,,,,,,,
1987,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1987,First Stage of Tertiary Education,,,,,,,,,,,,
1987,Second Stage of Tertiary Education,,,,,,,,,,,,
1988,Pre-primary Level,,,,,,,,,,,,
1988,Primary Level,,,,,,,,,,,,
1988,Lower Secondary Level,,,,,,,,,,,,
1988,Upper Secondary Level,,,,,,,,,,,,
1988,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1988,First Stage of Tertiary Education,,,,,,,,,,,,
1988,Second Stage of Tertiary Education,,,,,,,,,,,,
1989,Pre-primary Level,,,,,,,,,,,,
1989,Primary Level,,,,,,,,,,,,
1989,Lower Secondary Level,,,,,,,,,,,,
1989,Upper Secondary Level,,,,,,,,,,,,
1989,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1989,First Stage of Tertiary Education,,,,,,,,,,,,
1989,Second Stage of Tertiary Education,,,,,,,,,,,,
1990,Pre-primary Level,,,,,,,,,,,,
1990,Primary Level,,,,,,,,,,,,
1990,Lower Secondary Level,,,,,,,,,,,,
1990,Upper Secondary Level,,,,,,,,,,,,
1990,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1990,First Stage of Tertiary Education,,,,,,,,,,,,
1990,Second Stage of Tertiary Education,,,,,,,,,,,,
1991,Pre-primary Level,,,,,,,,,,,,
1991,Primary Level,,,,,,,,,,,,
1991,Lower Secondary Level,,,,,,,,,,,,
1991,Upper Secondary Level,,,,,,,,,,,,
1991,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1991,First Stage of Tertiary Education,,,,,,,,,,,,
1991,Second Stage of Tertiary Education,,,,,,,,,,,,
1992,Pre-primary Level,,,,,,,,,,,,
1992,Primary Level,,,,,,,,,,,,
1992,Lower Secondary Level,,,,,,,,,,,,
1992,Upper Secondary Level,,,,,,,,,,,,
1992,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1992,First Stage of Tertiary Education,,,,,,,,,,,,
1992,Second Stage of Tertiary Education,,,,,,,,,,,,
1993,Pre-primary Level,,,,,,,,,,,,
1993,Primary Level,,,,,,,,,,,,
1993,Lower Secondary Level,,,,,,,,,,,,
1993,Upper Secondary Level,,,,,,,,,,,,
1993,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1993,First Stage of Tertiary Education,,,,,,,,,,,,
1993,Second Stage of Tertiary Education,,,,,,,,,,,,
1994,Pre-primary Level,,,,,,,,,,,,
1994,Primary Level,,,,,,,,,,,,
1994,Lower Secondary Level,,,,,,,,,,,,
1994,Upper Secondary Level,,,,,,,,,,,,
1994,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1994,First Stage of Tertiary Education,,,,,,,,,,,,
1994,Second Stage of Tertiary Education,,,,,,,,,,,,
1995,Pre-primary Level,,,,,,,,,,,,
1995,Primary Level,,,,,,,,,,,,
1995,Lower Secondary Level,,,,,,,,,,,,
1995,Upper Secondary Level,,,,,,,,,,,,
1995,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1995,First Stage of Tertiary Education,,,,,,,,,,,,
1995,Second Stage of Tertiary Education,,,,,,,,,,,,
1996,Pre-primary Level,,,,,,,,,,,,
1996,Primary Level,,,,,,,,,,,,
1996,Lower Secondary Level,,,,,,,,,,,,
1996,Upper Secondary Level,,,,,,,,,,,,
1996,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1996,First Stage of Tertiary Education,,,,,,,,,,,,
1996,Second Stage of Tertiary Education,,,,,,,,,,,,
1997,Pre-primary Level,,,,,,,,,,,,
1997,Primary Level,,,,,,,,,,,,
1997,Lower Secondary Level,,,,,,,,,,,,
1997,Upper Secondary Level,,,,,,,,,,,,
1997,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1997,First Stage of Tertiary Education,,,,,,,,,,,,
1997,Second Stage of Tertiary Education,,,,,,,,,,,,
1998,Pre-primary Level,,,,,,,,,,,,
1998,Primary Level,,,,,,,,,,,,
1998,Lower Secondary Level,,,,,,,,,,,,
1998,Upper Secondary Level,,,,,,,,,,,,
1998,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1998,First Stage of Tertiary Education,,,,,,,,,,,,
1998,Second Stage of Tertiary Education,,,,,,,,,,,,
1999,Pre-primary Level,,,,,,,,,,,,
1999,Primary Level,,,,,,,,,,,,
1999,Lower Secondary Level,,,,,,,,,,,,
1999,Upper Secondary Level,,,,,,,,,,,,
1999,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1999,First Stage of Tertiary Education,,,,,,,,,,,,
1999,Second Stage of Tertiary Education,,,,,,,,,,,,
2000,Pre-primary Level,,,,,,,,,,,,
2000,Primary Level,,,,,,,,,,,,
2000,Lower Secondary Level,,,,,,,,,,,,
2000,Upper Secondary Level,,,,,,,,,,,,
2000,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2000,First Stage of Tertiary Education,,,,,,,,,,,,
2000,Second Stage of Tertiary Education,,,,,,,,,,,,
2001,Pre-primary Level,,,,,,,,,,,,
2001,Primary Level,,,,,,,,,,,,
2001,Lower Secondary Level,,,,,,,,,,,,
2001,Upper Secondary Level,,,,,,,,,,,,
2001,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2001,First Stage of Tertiary Education,,,,,,,,,,,,
2001,Second Stage of Tertiary Education,,,,,,,,,,,,
2002,Pre-primary Level,601,21.74537,21.50839,21.98235,19.53125,21.26125,23.39283,13.73888,29.18521,21.26654,20.90239,21.60665
2002,Primary Level,286,26.55879,26.01655,27.10103,23.40012,26.05533,29.38476,16.32653,38.36171,26.026175,25.38709,27.11111
2002,Lower Secondary Level,2849,25.73002,25.55484,25.90521,22.49135,25.39062,28.40550,13.62012,37.27674,25.390625,25.09950,25.63117
2002,Upper Secondary Level,11485,25.63550,25.55682,25.71418,22.67574,25.14286,27.99036,14.70380,35.96230,25.142857,25.00000,25.24934
2002,Post-secondary Non-tertiary Level,1156,24.52057,24.27864,24.76249,21.55123,23.95123,26.57313,16.528925,34.10597,23.951227,23.61949,24.30724
2002,First Stage of Tertiary Education,1727,25.88580,25.69096,26.08064,23.26163,25.51020,28.37370,15.59351,36.04182,25.510204,25.24934,25.71102
2002,Second Stage of Tertiary Education,4534,25.10534,24.99475,25.21592,22.49964,24.69136,27.33564,15.24563,34.58964,24.691359,24.56667,24.83621
2003,Pre-primary Level,,,,,,,,,,,,
2003,Primary Level,,,,,,,,,,,,
2003,Lower Secondary Level,,,,,,,,,,,,
2003,Upper Secondary Level,,,,,,,,,,,,
2003,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2003,First Stage of Tertiary Education,,,,,,,,,,,,
2003,Second Stage of Tertiary Education,,,,,,,,,,,,
2004,Pre-primary Level,632,21.59853,21.35572,21.84133,19.37920,21.10659,23.12145,14.452538,28.73482,21.107267,20.74749,21.55102
2004,Primary Level,251,26.58364,26.01035,27.15693,23.37230,26.32864,29.38752,15.241579,38.41034,26.346495,25.34435,27.34375
2004,Lower Secondary Level,2525,26.03654,25.84035,26.23274,22.59814,25.51020,28.98997,13.01039,38.57773,25.510204,25.35136,25.71166
2004,Upper Secondary Level,10671,25.85725,25.77348,25.94101,22.77965,25.29938,28.34467,14.43212,36.69220,25.299376,25.20708,25.39062
2004,Post-secondary Non-tertiary Level,1139,24.65637,24.42105,24.89170,21.66778,24.41502,26.77551,15.943877,34.43711,24.414062,24.07365,24.69136
2004,First Stage of Tertiary Education,1624,26.16392,25.95105,26.37679,23.38219,25.71166,28.72738,15.755751,36.74516,25.711662,25.40170,25.92593
2004,Second Stage of Tertiary Education,4266,25.23131,25.11303,25.34958,22.49964,24.84098,27.44060,15.495868,34.85204,24.84098,24.69136,25.00000
2005,Pre-primary Level,,,,,,,,,,,,
2005,Primary Level,,,,,,,,,,,,
2005,Lower Secondary Level,,,,,,,,,,,,
2005,Upper Secondary Level,,,,,,,,,,,,
2005,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2005,First Stage of Tertiary Education,,,,,,,,,,,,
2005,Second Stage of Tertiary Education,,,,,,,,,,,,
2006,Pre-primary Level,630,22.02318,21.77017,22.27620,19.72387,21.49960,23.67125,15.523848,29.59233,21.499598,21.13271,21.82995
2006,Primary Level,240,26.79763,26.13698,27.45828,22.85714,26.57095,30.83784,17.099277,42.80888,26.57313,25.24531,27.39818
2006,Lower Secondary Level,2503,26.24367,26.03832,26.44903,22.65625,25.51020,29.06626,13.04123,38.68128,25.510204,25.30841,25.71166
2006,Upper Secondary Level,10958,26.10105,26.01603,26.18607,22.98508,25.49913,28.57796,14.59576,36.96728,25.499132,25.38147,25.61778
2006,Post-secondary Non-tertiary Level,1202,24.79145,24.56020,25.02269,21.82995,24.44732,26.89103,14.23833,34.48265,24.447279,24.16172,24.69219
2006,First Stage of Tertiary Education,1634,26.36532,26.14161,26.58904,23.44981,25.76298,29.01473,15.10243,37.36211,25.762981,25.45065,26.01489
2006,Second Stage of Tertiary Education,4553,25.28479,25.16817,25.40141,22.49964,24.85907,27.44060,15.08819,34.85204,24.859074,24.78407,25.08328
2007,Pre-primary Level,,,,,,,,,,,,
2007,Primary Level,,,,,,,,,,,,
2007,Lower Secondary Level,,,,,,,,,,,,
2007,Upper Secondary Level,,,,,,,,,,,,
2007,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2007,First Stage of Tertiary Education,,,,,,,,,,,,
2007,Second Stage of Tertiary Education,,,,,,,,,,,,
2008,Pre-primary Level,544,22.21012,21.90766,22.51258,19.66187,21.67291,23.98616,13.420305,30.47259,21.671259,21.22445,22.03857
2008,Primary Level,182,27.05319,26.30508,27.80130,23.50991,26.45898,30.41585,14.5281105,40.77476,26.446281,25.38677,27.45865
2008,Lower Secondary Level,2022,26.41514,26.19229,26.63800,22.94812,25.71166,29.13632,13.66582,38.41862,25.711662,25.39062,26.02341
2008,Upper Secondary Level,9626,26.26559,26.17207,26.35911,23.04617,25.61728,28.76397,14.527376,37.34068,25.617285,25.46939,25.71168
2008,Post-secondary Non-tertiary Level,1074,25.16670,24.90268,25.43072,22.06712,24.67245,27.46145,15.780836,35.55295,24.65374,24.21725,25.01393
2008,First Stage of Tertiary Education,1403,26.76532,26.51330,27.01733,23.60943,26.00693,29.38775,16.37208,38.05524,26.004383,25.71066,26.29800
2008,Second Stage of Tertiary Education,4168,25.42951,25.30634,25.55269,22.63652,24.92629,27.63605,15.625,35.13536,24.930748,24.74674,25.19526
2009,Pre-primary Level,,,,,,,,,,,,
2009,Primary Level,,,,,,,,,,,,
2009,Lower Secondary Level,,,,,,,,,,,,
2009,Upper Secondary Level,,,,,,,,,,,,
2009,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2009,First Stage of Tertiary Education,,,,,,,,,,,,
2009,Second Stage of Tertiary Education,,,,,,,,,,,,
2010,Pre-primary Level,558,22.17924,21.87942,22.47907,19.56824,21.60601,24.09210,14.08,30.87790,21.606647,21.13885,22.03189
2010,Primary Level,136,27.83433,26.86744,28.80122,23.43750,27.24787,31.16274,17.306122,42.75060,27.268005,25.70532,28.76397
2010,Lower Secondary Level,1641,26.57384,26.30693,26.84075,23.14815,25.81851,29.38476,13.79323,38.73967,25.81663,25.60452,26.12245
2010,Upper Secondary Level,8207,26.50806,26.40090,26.61522,23.24342,25.72755,29.01745,15.570934,37.67849,25.727554,25.60554,25.88057
2010,Post-secondary Non-tertiary Level,930,25.49962,25.20967,25.78957,22.31927,24.76951,27.70754,16.920033,35.78995,24.772097,24.38237,25.34435
2010,First Stage of Tertiary Education,1242,26.87394,26.60436,27.14352,23.56663,26.23457,29.74570,15.149602,39.01430,26.234568,25.88057,26.76978
2010,Second Stage of Tertiary Education,3814,25.60869,25.47567,25.74171,22.75831,25.14588,27.75749,15.25954,35.25626,25.142857,24.97682,25.39070
2011,Pre-primary Level,,,,,,,,,,,,
2011,Primary Level,,,,,,,,,,,,
2011,Lower Secondary Level,,,,,,,,,,,,
2011,Upper Secondary Level,,,,,,,,,,,,
2011,Post-secondary Non-tertiary Level,,,,,,,,,,,,
2011,First Stage of Tertiary Education,,,,,,,,,,,,
2011,Second Stage of Tertiary Education,,,,,,,,,,,,
2012,Pre-primary Level,705,21.85944,21.61284,22.10603,19.60519,21.23057,23.24173,15.389351,28.69654,21.230572,20.70082,21.52402
2012,Primary Level,226,27.51909,26.72316,28.31502,23.04056,26.11398,31.14482,16.51473,43.30121,26.12245,24.96230,27.44663
2012,Lower Secondary Level,2157,26.73793,26.52194,26.95392,23.11111,26.17188,29.38476,14.693877,38.79522,26.171875,25.88057,26.56250
2012,Upper Secondary Level,10151,26.56257,26.46679,26.65835,23.22543,25.88057,29.21841,14.23597,38.20787,25.880571,25.71166,26.01486
2012,Post-secondary Non-tertiary Level,1185,25.66732,25.38861,25.94603,22.30547,24.86389,27.99036,15.304561,36.51770,24.858366,24.59185,25.25059
2012,First Stage of Tertiary Education,1425,26.82930,26.58086,27.07774,23.66144,26.14928,29.40772,16.528925,38.02714,26.149277,25.82568,26.44693
