year,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,5454,3.75680,3.68241,3.83119,2.00000,3.00000,5.00000,1.0,9.50000,3.0,3.00000,3.00000
1984,Direct migration background,2071,4.48534,4.34241,4.62826,2.00000,4.00000,6.00000,1.0,12.00000,4.0,3.00000,4.00000
1984,Indirect migration background,72,3.47922,2.65052,4.30793,1.00000,2.00000,5.00000,1.0,11.00000,2.0,1.00000,3.00000
1985,No migration background,7978,1.81477,1.77105,1.85849,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
1985,Direct migration background,2905,2.08541,2.00119,2.16962,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,2.00000
1985,Indirect migration background,141,1.50790,1.16600,1.84981,0.00000,1.00000,2.00000,0.0,5.00000,1.0,0.00000,1.00000
1986,No migration background,7605,1.80242,1.75884,1.84600,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
1986,Direct migration background,2825,2.03530,1.95224,2.11836,0.00000,2.00000,3.00000,0.0,7.50000,2.0,1.00000,2.00000
1986,Indirect migration background,153,1.52356,1.24122,1.80589,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,2.00000
1987,No migration background,7466,1.82122,1.77866,1.86379,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
1987,Direct migration background,2813,2.10698,2.02358,2.19038,0.00000,2.00000,3.00000,0.0,7.50000,2.0,1.00000,2.00000
1987,Indirect migration background,173,1.71583,1.38567,2.04599,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1988,No migration background,7047,1.82836,1.78510,1.87162,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,1.00000
1988,Direct migration background,2651,2.05955,1.97835,2.14075,0.00000,2.00000,3.00000,0.0,7.50000,2.0,1.00000,2.00000
1988,Indirect migration background,216,1.60559,1.37800,1.83318,0.00000,1.00000,2.45770,0.0,6.14424,1.0,1.00000,2.00000
1989,No migration background,6774,1.85625,1.81182,1.90069,0.00000,1.00000,3.00000,0.0,7.50000,1.0,1.00000,2.00000
1989,Direct migration background,2573,2.12144,2.03901,2.20387,0.00000,2.00000,3.00000,0.0,7.50000,2.0,2.00000,2.00000
1989,Indirect migration background,254,1.42120,1.21144,1.63095,0.00000,1.00000,2.00000,0.0,5.00000,1.0,1.00000,1.00000
1990,No migration background,10917,1.07256,1.04105,1.10407,0.00000,0.00000,2.00000,0.0,5.00000,0.0,0.00000,0.00000
1990,Direct migration background,2673,1.01555,0.94748,1.08362,0.00000,0.00000,2.00000,0.0,5.00000,0.0,0.00000,0.00000
1990,Indirect migration background,295,0.61919,0.48154,0.75683,0.00000,0.00000,1.00000,0.0,2.50000,0.0,0.00000,0.00000
1991,No migration background,,,,,,,,,,,,
1991,Direct migration background,,,,,,,,,,,,
1991,Indirect migration background,,,,,,,,,,,,
