year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,,,,,,,,,,,,
1985,West,,,,,,,,,,,,
1986,West,,,,,,,,,,,,
1987,West,,,,,,,,,,,,
1988,West,,,,,,,,,,,,
1989,West,,,,,,,,,,,,
1990,West,,,,,,,,,,,,
1990,East,,,,,,,,,,,,
1991,West,,,,,,,,,,,,
1991,East,,,,,,,,,,,,
1992,West,,,,,,,,,,,,
1992,East,,,,,,,,,,,,
1993,West,,,,,,,,,,,,
1993,East,,,,,,,,,,,,
1994,West,,,,,,,,,,,,
1994,East,,,,,,,,,,,,
1995,West,,,,,,,,,,,,
1995,East,,,,,,,,,,,,
1996,West,,,,,,,,,,,,
1996,East,,,,,,,,,,,,
1997,West,,,,,,,,,,,,
1997,East,,,,,,,,,,,,
1998,West,,,,,,,,,,,,
1998,East,,,,,,,,,,,,
1999,West,,,,,,,,,,,,
1999,East,,,,,,,,,,,,
2000,West,,,,,,,,,,,,
2000,East,,,,,,,,,,,,
2001,West,,,,,,,,,,,,
2001,East,,,,,,,,,,,,
2002,West,,,,,,,,,,,,
2002,East,,,,,,,,,,,,
2003,West,,,,,,,,,,,,
2003,East,,,,,,,,,,,,
2004,West,,,,,,,,,,,,
2004,East,,,,,,,,,,,,
2005,West,15381,4.46055,4.44108,4.48002,3.66667,4.33333,5.33333,1.16667,7.0,4.3333335,4.33333,4.66667
2005,East,4985,4.40870,4.37562,4.44178,3.66667,4.33333,5.33333,1.16667,7.0,4.3333335,4.33333,4.33333
2006,West,,,,,,,,,,,,
2006,East,,,,,,,,,,,,
2007,West,,,,,,,,,,,,
2007,East,,,,,,,,,,,,
2008,West,,,,,,,,,,,,
2008,East,,,,,,,,,,,,
2009,West,13235,4.34176,4.32080,4.36271,3.66667,4.33333,5.33333,1.16667,7.0,4.3333335,4.33333,4.33333
2009,East,4479,4.35419,4.31952,4.38886,3.66667,4.33333,5.33333,1.16667,7.0,4.3333335,4.33333,4.33333
2010,West,,,,,,,,,,,,
2010,East,,,,,,,,,,,,
2011,West,,,,,,,,,,,,
2011,East,,,,,,,,,,,,
2012,West,5715,4.65852,4.62820,4.68883,4.00000,4.66667,5.33333,2.00000,7.0,4.6666665,4.66667,4.66667
2012,East,1323,4.59786,4.53361,4.66212,3.66667,4.66667,5.33333,1.16667,7.0,4.6666665,4.66667,4.66667
2013,West,14157,4.55142,4.53144,4.57139,3.66667,4.66667,5.33333,1.16667,7.0,4.6666665,4.66667,4.66667
2013,East,4401,4.54845,4.51448,4.58241,3.66667,4.66667,5.33333,1.16667,7.0,4.6666665,4.66667,4.66667
2014,West,,,,,,,,,,,,
2014,East,,,,,,,,,,,,
2015,West,,,,,,,,,,,,
2015,East,,,,,,,,,,,,
2016,West,,,,,,,,,,,,
2016,East,,,,,,,,,,,,
2017,West,22324,4.64189,4.62621,4.65758,4.00000,4.66667,5.66667,1.50000,7.0,4.6666665,4.66667,4.66667
2017,East,5872,4.62063,4.59091,4.65035,4.00000,4.66667,5.33333,2.00000,7.0,4.6666665,4.66667,4.66667
2018,West,,,,,,,,,,,,
2018,East,,,,,,,,,,,,
2019,West,19809,4.52760,4.51076,4.54444,3.66667,4.66667,5.33333,1.16667,7.0,4.6666665,4.66667,4.66667
2019,East,5467,4.52637,4.49519,4.55755,3.66667,4.66667,5.33333,1.16667,7.0,4.6666665,4.33333,4.66667
2020,West,,,,,,,,,,,,
2020,East,,,,,,,,,,,,
2021,West,,,,,,,,,,,,
2021,East,,,,,,,,,,,,
