year,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,West,,,,,,,,,,,,
1985,West,,,,,,,,,,,,
1986,West,6098,6.292843620831005,6.128649834133593,6.457037407528417,0.0,0.0,8.0,0.0,20.0,0.0,0.0,0.0
1987,West,,,,,,,,,,,,
1988,West,5777,6.5198319125610915,6.349209326724297,6.690454498397886,0.0,0.0,8.0,0.0,20.0,0.0,0.0,0.0
1989,West,5720,7.149020780499017,6.9662932004920455,7.331748360505988,0.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0
1990,West,5618,7.134829771386965,6.957560274046371,7.312099268727558,0.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0
1990,East,3332,6.17740847776317,5.966473543857371,6.388343411668969,0.0,0.0,8.0,0.0,20.0,0.0,0.0,0.0
1991,West,5722,7.851568580745174,7.661587699276403,8.041549462213945,0.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0
1991,East,2765,6.101600514118659,5.841715044882017,6.361485983355301,0.0,0.0,5.0,0.0,12.5,0.0,0.0,0.0
1992,West,5573,7.470255296463714,7.2906361904211865,7.649874402506241,0.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0
1992,East,2374,8.544749713555621,8.224618413640103,8.86488101347114,0.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0
1993,West,5503,6.752068629194305,6.572886732733922,6.931250525654688,0.0,0.0,9.0,0.0,22.5,0.0,0.0,0.0
1993,East,2211,8.512796243137487,8.19504556953267,8.830546916742303,0.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0
1994,West,5255,7.049579459731285,6.863158174590298,7.236000744872271,0.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0
1994,East,2182,9.393567010765612,9.063926714537594,9.72320730699363,0.0,0.0,12.0,0.0,30.0,0.0,0.0,0.0
1995,West,5548,8.005928988828334,7.819767976160241,8.192090001496426,0.0,0.0,10.0,0.0,25.0,0.0,0.0,0.0
