year,age_gr,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,17-29 y.,1st Quintile,,,,,,,,,,,,
1984,17-29 y.,2nd Quintile,,,,,,,,,,,,
1984,17-29 y.,3rd Quintile,,,,,,,,,,,,
1984,17-29 y.,4th Quintile,,,,,,,,,,,,
1984,17-29 y.,5th Quintile,,,,,,,,,,,,
1984,30-45 y.,1st Quintile,335,2.2138102477247505,2.085228129484511,2.34239236596499,0.5830000042915344,1.4170000553131104,2.9170000553131104,0.0,6.418000131845474,1.417,1.1670000553131104,1.9170001149177551
1984,30-45 y.,2nd Quintile,355,2.8415223130193894,2.6936133975899588,2.98943122844882,0.6669999957084656,1.8329999446868896,3.8329999446868896,0.0,8.581999868154526,1.833,1.498999834060669,1.998999834060669
1984,30-45 y.,3rd Quintile,429,3.418267409048903,3.274685430434005,3.5618493876638007,1.0,2.4170000553131104,4.839511397556016,0.0,10.598778493890038,2.417,2.251000165939331,2.751000165939331
1984,30-45 y.,4th Quintile,525,3.9862746516053336,3.8496194725196116,4.122929830691056,1.5829999446868896,3.1670000553131104,5.641838828341415,0.0,11.730097153823202,3.167,2.751000165939331,3.5840001106262207
1984,30-45 y.,5th Quintile,416,4.695243405964583,4.539151252000741,4.851335559928426,2.0829999446868896,4.0,6.75,0.0,13.750500082969666,4.0,3.4169998168945312,4.41700005531311
1984,46-65 y.,1st Quintile,390,8.125977731822625,7.760443401087118,8.491512062558131,1.5829999446868896,6.0,12.833000183105469,0.0,29.708000540733337,6.0,4.75,7.008325004577636
1984,46-65 y.,2nd Quintile,546,9.484152451245855,9.198895989173801,9.769408913317909,3.6670000553131104,8.166999816894531,14.25,0.0,29.0,8.167,7.0839996337890625,9.083999633789062
1984,46-65 y.,3rd Quintile,581,9.868670059701206,9.587091344129165,10.150248775273246,3.9170000553131104,8.666999816894531,14.666999816894531,0.0,30.333,8.667,7.5839996337890625,9.416999816894531
1984,46-65 y.,4th Quintile,669,10.264506291030798,10.011192017225328,10.517820564836269,4.5,9.75,14.69911638626546,0.0,29.997790965663654,9.75,8.916999816894531,11.252075004577637
