year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Staedtischer Raum,5104,1406.5720398988362,1395.0189641650713,1418.1251156326011,1290.9326574543948,1874.270918650839,455.38390483546993,2544.255786382782,-797.9392240929172,1329.0,1329.0,1380.0
1985,Laendlicher Raum,1320,1280.6517676328228,1254.2833918366227,1307.020143429023,1124.1612128721852,1082.222379124606,1490.0256433468412,1125.0,997.0,1202.0,1177.0,1228.625
1986,Staedtischer Raum,4915,1480.31391628577,1466.729502569781,1493.8983300017587,2048.834124905171,857.5171074562743,3168.140354110559,1023.0,2608.0,1380.0,1380.0,1431.0
1986,Laendlicher Raum,1297,1274.6873690905422,1254.0423296461272,1295.3324085349573,1392.4016214526782,537.047884399901,1528.4324462813897,1188.355384209611,1732.478683524457,1227.0,1176.0,1278.0
1987,Staedtischer Raum,4880,1498.027210205505,1484.9776668791064,1511.0767535319037,1519.45214993347,931.5740037332191,1555.560773133806,1465.2892151329663,1099.0,1397.0,1362.0,1414.0
1987,Laendlicher Raum,1322,1301.9017687327103,1279.7259127063542,1324.0776247590663,390.3228139083189,1219.7592286676813,586.4628395608706,102.0,184.0,1227.0,1176.0,1278.0
1988,Staedtischer Raum,4679,1574.8719903925448,1560.3711415840733,1589.3728392010164,856.1450291754738,960.3386954653287,1687.9952731392304,593.0,427.0,1475.0,1443.95,1518.0
1988,Laendlicher Raum,1218,1355.069499372833,1332.0060680514111,1378.1329306942548,1221.7354227418934,2563.173129118455,972.1786609041907,1596.0705654984476,597.8435181476366,1279.0,1212.0,1284.0
1989,Staedtischer Raum,4648,1627.2665830738638,1611.8177894610294,1642.7153766866982,511.6562754350814,1585.0,1920.2003472538095,1245.0,4033.0164549819015,1534.0,1534.0,1585.0
1989,Laendlicher Raum,1177,1446.8112130478094,1422.566745451754,1471.0556806438647,1483.4396473890645,1391.4575773931467,2177.6631773903036,442.1043523872056,1841.0,1380.0,1328.0,1436.375
1990,Staedtischer Raum,5660,1548.5211104569037,1534.2877462969623,1562.754474616845,1624.51637481734,1200.8389846395708,1687.7142240363391,1529.7196009888412,100.0,1439.0,1395.0,1446.0
1990,Laendlicher Raum,3381,1048.694028142623,1035.5013009568818,1061.8867553283642,1189.620801320071,2981.8423612123343,130.20890728365117,2778.738642374701,-1458.9089337709788,746.0,725.0,776.0
1991,Staedtischer Raum,5535,1646.5308752880549,1632.1870043275217,1660.874746248588,1192.7353636029106,1362.022693696055,2076.807261558509,1636.0,399.0,1534.0,1534.0,1539.0
1991,Laendlicher Raum,3036,1206.477309614771,1191.7924328719646,1221.1621863575774,612.9209717926472,294.22813579082134,845.926402648431,1534.0,807.0,965.0,907.975,1010.125
1992,Staedtischer Raum,5259,1807.5040180494502,1792.4355912698663,1822.572444829034,1227.0,657.3624565594205,2609.1224854199418,184.0,4682.306213549855,1687.0,1687.0,1738.0
1992,Laendlicher Raum,2720,1420.5020825108222,1403.4649294214616,1437.5392356001828,1488.2008923453468,1016.2066634340362,1991.5322972542756,1568.0,2746.5294046176687,1242.0,1206.0,1278.1
1993,Staedtischer Raum,5185,1948.7380924932736,1931.4796608045333,1965.996524182014,2203.7994926640004,2029.9791099667138,1876.5004416495772,2694.7480691856354,1385.5518651279424,1790.0,1790.0,1816.0
1993,Laendlicher Raum,2645,1553.5707071439629,1533.6027557213883,1573.5386585665374,712.6611810288824,922.6352410078151,1308.8384391135492,178.0,2203.104326240549,1426.0,1420.0,1497.025
1994,Staedtischer Raum,4951,2003.6687141794625,1985.6041259058704,2021.7333024530546,884.4187950335443,1041.5539715235325,1937.9130189833106,1534.0,3518.15435490796,1841.0,1790.0,1892.0
1994,Laendlicher Raum,2564,1645.8754636812832,1625.5503685315946,1666.2005588309719,1423.7534983811472,1895.5481510978404,2330.7645985774743,63.23684808665644,1074.0,1534.0,1483.0,1565.5
1995,Staedtischer Raum,5103,2059.1734112102695,2038.7574631065097,2079.5893593140295,1483.4357750816657,1900.3086326855935,1856.4297713592018,923.9447806653616,2415.920765775506,1892.0,1841.0,1943.0
1995,Laendlicher Raum,2705,1711.041649611551,1690.6924266915255,1731.3908725315766,716.6585904330867,2504.8921274274194,1474.011938329876,1790.0,2610.04196017506,1585.0,1534.0,1636.0
1996,Staedtischer Raum,4955,2170.601596770919,2147.4977216480124,2193.7054718938257,3431.7994425981165,2990.873012889612,3468.469179825207,3376.794836757481,3523.473785665843,1948.0,1902.0,1953.0
1996,Laendlicher Raum,2627,1801.7722547744036,1780.0366407655288,1823.5078687832784,1856.2301506595315,2721.544315354867,2464.564804107518,943.7281704875521,3377.0667842794974,1636.0,1581.9,1656.0
1997,Staedtischer Raum,4795,2174.549076214964,2155.7002760159057,2193.397876414022,1749.207385357492,2914.770768340114,3965.8515124590604,818.0,7290.817703111413,2023.0,2001.0,2052.0
1997,Laendlicher Raum,2560,1823.3383609839173,1799.725431168484,1846.9512907993505,2051.5038386021424,3027.778495418988,2080.6416265347166,2007.7971567032812,1023.0,1687.0,1636.0,1738.0
1998,Staedtischer Raum,5281,2202.633487871393,2184.2826571523733,2220.9843185904124,2410.6813425430187,2094.5938192290723,7351.013761372538,153.0,2301.0,2045.0,2045.0,2096.0
1998,Laendlicher Raum,2795,1864.490330258041,1842.3783498259818,1886.6023106901002,765.28003522672,2265.2304418843605,3830.087999498697,1125.0,2045.0,1706.0,1622.0,1760.375
1999,Staedtischer Raum,5217,2229.9173317345503,2207.787818208057,2252.0468452610435,2302.6459600167095,1318.9668241480258,2718.160965275541,1679.3734521284623,3341.433473163788,2045.0,2045.0,2096.0
1999,Laendlicher Raum,2796,1851.3055425547561,1829.4994821131402,1873.111602996372,396.4181992328388,1129.3491211390733,1866.7569445219513,159.0,1176.0,1718.0,1652.95,1766.0
2000,Staedtischer Raum,8979,2260.2158413953093,2244.0322763255162,2276.3994064651024,1283.0973710033632,579.7150323577857,2297.1768746281646,1125.0,3818.296130065367,2045.0,2018.85,2045.0
2000,Laendlicher Raum,4727,1892.6210051282956,1874.7459117189237,1910.4960985376674,498.3188838596664,1278.4765607187223,2580.967128692627,2045.0,5389.0,1738.0,1686.0,1748.125
2001,Staedtischer Raum,8255,2281.690228267638,2264.8657980935873,2298.5146584416884,2599.0565760382765,2868.77708581382,1970.5203074113206,3541.8609789787106,1027.7159044708867,2096.0,2045.0,2147.0
2001,Laendlicher Raum,4257,1907.3725819120677,1888.8914992347911,1925.8536645893444,1813.8637357650414,2605.8637604480514,2876.354744534832,1023.0,1063.0,1790.0,1784.0,1842.0
2002,Staedtischer Raum,9013,2386.007543063685,2363.841639227359,2408.1734469000107,1241.9706285874586,2787.782027087873,4482.72666443207,1585.0,9343.860718198986,2100.0,2029.0,2100.0
2002,Laendlicher Raum,4375,1973.2013140328932,1951.961281070469,1994.4413469953172,950.7873061984051,2015.5644202594744,2538.7044053895215,1920.0,2501.0,1800.0,1760.0,1850.0
2003,Staedtischer Raum,8524,2452.0012616744416,2430.536227308447,2473.466296040436,2264.286133597952,1962.8468911824095,2447.6131915977076,1989.2955465983184,2722.6037785973413,2200.0,2179.95,2250.075
2003,Laendlicher Raum,4160,2044.2731441832743,2021.8489153207845,2066.6973730457644,834.8520292887886,1810.0989518523152,3869.9718682655916,1200.0,8422.651626730796,1850.0,1800.0,1900.0
2004,Staedtischer Raum,8286,2471.101197319504,2449.142859628762,2493.0595350102462,743.3565440180412,2449.1422211869494,2017.375967071761,600.0,3928.4051016523404,2200.0,2197.975,2285.075
2004,Laendlicher Raum,4031,2027.271654098668,2003.861869538964,2050.6814386583724,234.8100559821587,2927.313844760921,2810.2190050333716,2501.0,6673.332428610191,1850.0,1800.0,1900.0
