year,quintil_oecd,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,1st Quintile,Urban regions,700,640.05201,604.71771,670.36051,265.78346,614.00000,920.00000,0.00000,1901.32481,614.00000,543.85000,634.00000
1985,1st Quintile,Rural regions,216,599.72723,509.81376,666.20454,230.18149,562.00000,818.00000,0.00000,1699.72776,562.00000,494.95000,664.00000
1985,2nd Quintile,Urban regions,850,777.33244,752.79766,810.60717,450.00000,844.00000,1034.02371,0.00000,1910.05927,844.00000,798.00000,921.00000
1985,2nd Quintile,Rural regions,253,749.85413,690.66569,807.15380,361.35873,816.06867,1056.11317,0.00000,1841.00000,818.00000,767.00000,920.00000
1985,3rd Quintile,Urban regions,1058,839.87065,805.23367,865.60733,510.10946,818.00000,1118.84211,0.00000,2031.94109,818.00000,818.00000,844.17500
1985,3rd Quintile,Rural regions,282,780.30069,714.52800,843.09206,367.00000,766.51860,1023.00000,0.00000,2007.00000,767.00000,716.00000,869.00000
1985,4th Quintile,Urban regions,1252,929.69829,896.61410,958.93472,608.00109,870.89684,1176.00000,0.00000,2027.99837,871.00000,822.00000,873.00000
1985,4th Quintile,Rural regions,273,861.44102,801.73064,920.07197,511.00000,849.00000,1074.00000,44.00000,1918.50000,849.00000,778.00000,931.00000
1985,5th Quintile,Urban regions,1286,1190.57559,1142.83454,1229.98247,752.73232,1023.63850,1534.00000,0.00000,2705.90152,1024.00000,974.00000,1025.00000
1985,5th Quintile,Rural regions,316,1190.63112,1000.15709,1321.79132,690.00000,1023.00000,1534.00000,107.00000,2800.00000,1023.00000,1009.32500,1144.00000
1986,1st Quintile,Urban regions,626,707.92579,669.51004,743.82960,358.00000,744.23422,979.92507,0.00000,1912.81269,746.00000,674.00000,805.05000
1986,1st Quintile,Rural regions,164,624.93507,541.72179,695.91636,230.00000,614.00000,934.41102,0.00000,1991.02756,614.00000,461.00000,742.00000
1986,2nd Quintile,Urban regions,811,798.33876,773.81886,832.02378,460.00000,868.36199,1074.00000,34.00000,1995.00000,868.00000,841.00000,918.00000
1986,2nd Quintile,Rural regions,265,759.09378,709.66365,813.92302,370.97922,767.00000,1074.00000,16.00000,2128.53117,767.00000,716.00000,818.65000
1986,3rd Quintile,Urban regions,1046,894.55044,824.09818,940.56532,511.00000,818.00000,1125.00000,0.00000,2046.00000,818.00000,767.00000,818.37500
1986,3rd Quintile,Rural regions,276,825.58669,755.99121,890.94267,358.00000,767.00000,1147.75320,0.00000,2332.38300,767.00000,665.00000,854.00000
1986,4th Quintile,Urban regions,1229,965.73046,929.64956,1001.63157,639.00000,920.00000,1176.00000,0.00000,1981.50000,920.00000,898.00000,920.00000
1986,4th Quintile,Rural regions,305,862.43421,805.07252,911.82845,511.00000,818.00000,1066.79580,0.00000,1900.48951,818.00000,725.75000,869.00000
1986,5th Quintile,Urban regions,1247,1244.00341,1189.37181,1291.12256,767.00000,1074.00000,1551.20855,0.00000,2727.52138,1074.00000,1023.00000,1125.00000
1986,5th Quintile,Rural regions,302,1080.36023,1000.71100,1145.09679,673.94836,1023.00000,1432.00000,72.00000,2569.07746,1023.00000,972.00000,1126.00000
1987,1st Quintile,Urban regions,572,696.29356,650.15415,740.03834,307.00000,677.50532,1001.33113,36.00000,2042.82784,665.00000,563.00000,716.00000
1987,1st Quintile,Rural regions,175,616.46477,545.71057,676.58812,256.00000,603.98851,920.00000,41.00000,1916.00000,614.00000,512.00000,793.00000
1987,2nd Quintile,Urban regions,825,829.32964,797.06657,866.26167,460.00000,869.00000,1125.00000,36.00000,2122.50000,869.00000,818.00000,925.00000
1987,2nd Quintile,Rural regions,280,752.09643,693.20511,813.06854,358.00000,716.00000,1074.00000,51.00000,2148.00000,716.00000,614.00000,778.52500
1987,3rd Quintile,Urban regions,1028,897.08714,861.34024,932.76979,562.00000,869.00000,1125.00000,0.00000,1969.50000,869.00000,818.00000,894.00000
1987,3rd Quintile,Rural regions,276,834.89994,771.48101,892.84612,388.47550,793.02764,1176.00000,30.00000,2295.00000,793.00000,717.00000,820.62500
1987,4th Quintile,Urban regions,1217,951.89324,917.71896,986.17162,614.00000,920.00000,1178.34811,31.00000,2024.87026,920.00000,894.00000,920.00000
1987,4th Quintile,Rural regions,328,914.66729,847.41929,973.17796,485.51472,869.00000,1149.48429,0.00000,2145.43865,869.00000,818.00000,940.00000
1987,5th Quintile,Urban regions,1277,1276.50839,1227.49597,1320.54415,767.00000,1107.96268,1636.00000,21.00000,2939.50000,1108.00000,1091.00000,1142.15000
1987,5th Quintile,Rural regions,284,1151.25470,1067.07333,1221.93577,741.00000,1023.00000,1534.00000,39.00000,2723.50000,1023.00000,922.00000,1126.00000
1988,1st Quintile,Urban regions,595,680.41273,638.85758,717.10599,307.00000,708.35688,971.00000,0.00000,1790.00000,707.00000,647.00000,800.00000
1988,1st Quintile,Rural regions,159,593.72310,521.63294,654.28238,245.00000,538.27593,971.00000,0.00000,1432.00000,537.00000,440.00000,597.15000
