year,quintil_oecd,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,West,946,675.81625,648.41801,703.21449,295.63116,716.33833,928.93034,0,1878.87911,,,
1984,2nd Quintile,West,1256,751.19840,728.85621,773.54059,409.00000,779.04544,1023.00000,0,1944.00000,,,
1984,3rd Quintile,West,1434,836.22590,812.51347,859.93832,511.00000,818.00000,1074.00000,0,1918.50000,,,
1984,4th Quintile,West,1678,914.73135,890.40967,939.05304,562.00000,869.00000,1161.26147,0,2060.15367,,,
1984,5th Quintile,West,1797,1158.19166,1122.47018,1193.91314,716.00000,1023.00000,1457.11711,0,2568.79279,,,
1985,1st Quintile,West,919,626.90926,598.88082,654.93770,256.00000,614.00000,920.00000,0,1916.00000,,,
1985,2nd Quintile,West,1098,770.26170,746.62438,793.89903,444.89562,827.85350,1047.10242,0,1950.41262,,,
1985,3rd Quintile,West,1343,828.62385,804.10279,853.14491,462.31665,818.00000,1074.00000,0,1991.52503,,,
1985,4th Quintile,West,1520,917.79452,891.92095,943.66809,586.59406,869.00000,1125.00000,0,1932.60892,,,
1985,5th Quintile,West,1606,1178.69235,1136.86123,1220.52348,716.00000,1023.00000,1524.58084,0,2737.45210,,,
1986,1st Quintile,West,792,683.45031,656.30386,710.59676,298.30737,716.00000,971.00000,0,1980.03895,,,
1986,2nd Quintile,West,1084,794.36110,769.53405,819.18815,458.34801,818.00000,1074.00000,16,1997.47799,,,
1986,3rd Quintile,West,1316,875.05547,834.97366,915.13729,460.00000,818.00000,1125.00000,0,2122.50000,,,
1986,4th Quintile,West,1532,954.66596,929.49505,979.83688,614.00000,920.00000,1175.16358,0,2016.90896,,,
1986,5th Quintile,West,1547,1204.30288,1166.86980,1241.73596,741.00000,1048.00000,1534.00000,0,2723.50000,,,
1987,1st Quintile,West,747,672.69424,644.63372,700.75475,300.54559,665.00000,971.00000,36,1976.68161,,,
1987,2nd Quintile,West,1120,813.98729,788.42984,839.54473,428.08313,818.00000,1125.00000,46,2170.37531,,,
1987,3rd Quintile,West,1314,875.18561,847.45166,902.91955,511.00000,869.00000,1125.00000,0,2046.00000,,,
1987,4th Quintile,West,1512,955.28268,928.77506,981.79030,614.00000,920.00000,1185.16475,0,2041.91188,,,
1987,5th Quintile,West,1569,1238.29957,1200.62878,1275.97037,767.00000,1074.00000,1566.74611,18,2766.36528,,,
1988,1st Quintile,West,757,669.45681,641.88677,697.02685,306.00000,665.00000,971.00000,0,1840,,,
1988,2nd Quintile,West,1063,816.92427,790.50383,843.34470,424.29161,867.29773,1125.00000,0,2176.06259,,,
1988,3rd Quintile,West,1254,921.61669,889.51001,953.72338,511.00000,869.00000,1176.00000,0,2173.50000,,,
1988,4th Quintile,West,1419,1006.67839,978.85805,1034.49874,665.00000,971.00000,1227.00000,0,2070.00000,,,
1988,5th Quintile,West,1469,1279.83069,1240.52158,1319.13980,818.00000,1125.00000,1585.00000,0,2735.50000,,,
1989,1st Quintile,West,765,711.64208,683.21986,740.06430,286.73065,762.20987,1023.00000,0,2127.40403,,,
1989,2nd Quintile,West,1082,881.91944,854.91399,908.92488,534.92230,869.00000,1227.00000,0,2265.11655,,,
1989,3rd Quintile,West,1200,943.87955,916.73883,971.02026,607.79374,928.69647,1238.54058,0,2184.66084,,,
1989,4th Quintile,West,1397,1029.71328,1000.59731,1058.82925,665.00000,997.00000,1278.00000,0,2197.50000,,,
1989,5th Quintile,West,1413,1364.37152,1318.87178,1409.87126,844.00000,1176.00000,1741.59767,0,3087.99419,,,
1990,1st Quintile,West,765,765.65337,723.16676,808.13998,345.69847,767.00000,1074.00000,0,2166.45230,,,
1990,2nd Quintile,West,1034,921.60486,889.95638,953.25334,511.00000,920.00000,1278.00000,0,2428.50000,,,
1990,3rd Quintile,West,1195,977.77901,947.46537,1008.09265,562.00000,971.00000,1278.00000,0,2352.00000,,,
1990,4th Quintile,West,1380,1074.74692,1045.66593,1103.82792,718.91272,1032.63362,1282.58935,0,2128.10429,,,
1990,5th Quintile,West,1373,1465.15835,1418.23361,1512.08310,920.00000,1278.00000,1841.00000,0,3222.50000,,,
1991,1st Quintile,West,770,762.03005,730.23155,793.82856,332.00000,742.40598,1125.00000,0,2314.50000,,,
1991,2nd Quintile,West,1068,921.92219,891.45654,952.38784,460.00000,920.00000,1278.00000,0,2505.00000,,,
1991,3rd Quintile,West,1195,1033.86298,1002.92634,1064.79961,614.00000,998.39965,1329.00000,0,2401.50000,,,
1991,4th Quintile,West,1381,1127.66889,1095.72993,1159.60785,716.00000,1125.00000,1425.00000,0,2488.50000,,,
1991,5th Quintile,West,1421,1520.61006,1472.56920,1568.65091,971.00000,1329.00000,1943.00000,0,3401.00000,,,
1992,1st Quintile,West,415,748.51130,701.54452,795.47809,321.99107,665.00000,1098.75575,0,2263.90276,,,
1992,1st Quintile,East,685,612.13901,594.80095,629.47707,486.00000,614.00000,763.31939,70.02091,1179.29848,,,
1992,2nd Quintile,West,826,976.56078,941.76382,1011.35773,553.63693,971.00000,1329.00000,0,2492.04460,,,
1992,2nd Quintile,East,857,732.25559,712.59102,751.92016,577.90479,716.00000,869.00000,141.26198,1305.64281,,,
1992,3rd Quintile,West,1165,1038.66720,1006.93670,1070.39770,574.84820,1023.00000,1380.00000,0,2587.72771,,,
1992,3rd Quintile,East,537,815.88149,789.42425,842.33872,614.00000,818.00000,1023.00000,0.50000,1636.50000,,,
1992,4th Quintile,West,1563,1165.84287,1136.62974,1195.05601,818.00000,1125.00000,1434.89494,51,2360.23735,,,
1992,4th Quintile,East,251,914.06190,867.50895,960.61485,665.00000,869.00000,1125.00000,55,1815.00000,,,
1992,5th Quintile,West,1711,1522.19382,1481.03544,1563.35221,1007.35258,1380.00000,1943.00000,45,3346.47113,,,
1992,5th Quintile,East,105,1214.83660,1085.56203,1344.11116,767.00000,1033.77536,1643.88264,0,2959.20660,,,
1993,1st Quintile,West,507,852.27212,809.66948,894.87477,409.00000,859.55888,1227.00000,0,2454.00000,,,
1993,1st Quintile,East,451,674.81674,649.18723,700.44625,511.00000,686.18140,844.00000,11.50000,1343.50000,,,
1993,2nd Quintile,West,833,990.96278,954.38029,1027.54526,513.01626,1023.00000,1380.00000,51,2680.47560,,,
1993,2nd Quintile,East,720,816.91445,795.41792,838.41098,627.33415,818.00000,1023.00000,33.83538,1616.49877,,,
1993,3rd Quintile,West,1131,1124.34851,1087.96073,1160.73629,650.10716,1074.00000,1505.30162,47,2788.09330,,,
1993,3rd Quintile,East,600,960.02102,916.58679,1003.45525,741.00000,936.90842,1174.55736,90.66396,1824.89340,,,
1993,4th Quintile,West,1456,1222.94138,1190.47330,1255.40945,850.68908,1176.00000,1508.78220,0,2495.92188,,,
1993,4th Quintile,East,369,1078.60878,1034.22852,1122.98904,816.71100,1023.00000,1283.45645,116.59283,1983.57461,,,
1993,5th Quintile,West,1686,1656.35099,1603.84458,1708.85740,1023.00000,1483.00000,2080.67525,0,3667.18813,,,
1993,5th Quintile,East,132,1495.14272,1325.36694,1664.91849,894.29019,1294.54803,1807.95440,182,3178.45071,,,
1994,1st Quintile,West,552,884.77284,843.29653,926.24916,409.00000,890.33006,1278.00000,0,2581.50000,,,
1994,1st Quintile,East,352,698.31567,663.24748,733.38386,445.95443,716.00000,920.00000,0,1631.06836,,,
1994,2nd Quintile,West,794,1060.29644,1020.87443,1099.71845,564.23516,1023.00000,1494.89568,0,2890.88647,,,
1994,2nd Quintile,East,597,878.92940,851.99593,905.86288,665.00000,888.41272,1074.00000,51.50000,1687.50000,,,
1994,3rd Quintile,West,1087,1110.62050,1075.31743,1145.92358,665.00000,1074.00000,1483.00000,0,2710.00000,,,
1994,3rd Quintile,East,625,983.96465,957.42822,1010.50108,767.00000,997.00000,1176.00000,153.50000,1789.50000,,,
1994,4th Quintile,West,1334,1271.58070,1236.72745,1306.43395,869.96326,1214.91760,1534.00000,51,2530.05511,,,
1994,4th Quintile,East,409,1106.46517,1067.21888,1145.71147,869.00000,1104.09781,1337.25188,166.62218,2039.62970,,,
1994,5th Quintile,West,1570,1702.11108,1650.21147,1754.01069,1074.00000,1534.00000,2147.00000,0,3756.50000,,,
1994,5th Quintile,East,235,1470.31496,1348.28496,1592.34495,997.41031,1278.00000,1691.93654,0,2733.72587,,,
1995,1st Quintile,West,648,896.32280,852.33290,940.31269,414.00285,920.00000,1278.00000,0,2573.99573,,,
1995,1st Quintile,East,328,712.71696,675.79345,749.64046,435.00000,717.33618,940.39857,0,1698.49641,,,
1995,2nd Quintile,West,951,1050.17558,1013.14632,1087.20485,511.00000,1023.00000,1483.00000,0,2941.00000,,,
1995,2nd Quintile,East,535,885.63346,854.95461,916.31231,665.00000,920.00000,1074.00000,51.50000,1687.50000,,,
1995,3rd Quintile,West,1152,1138.24048,1102.67170,1173.80926,690.00000,1123.78024,1483.42850,0,2673.57124,,,
1995,3rd Quintile,East,572,1000.97236,971.74639,1030.19833,818.00000,1023.00000,1176.00000,281.00000,1713.00000,,,
1995,4th Quintile,West,1350,1292.65148,1255.69467,1329.60829,869.00000,1227.00000,1636.00000,0,2786.50000,,,
1995,4th Quintile,East,517,1081.38629,1044.23516,1118.53742,818.00000,1032.61693,1329.00000,51.50000,2095.50000,,,
1995,5th Quintile,West,1538,1750.82907,1692.93457,1808.72356,1124.19670,1534.00000,2260.27493,0,3964.39228,,,
1995,5th Quintile,East,261,1599.31307,1402.43611,1796.19004,993.87610,1380.00000,1790.00000,230,2984.18585,,,
1996,1st Quintile,West,690,916.05422,878.78413,953.32430,442.97947,971.00000,1278.00000,20,2530.53080,,,
1996,1st Quintile,East,320,728.10098,691.66263,764.53934,476.56474,764.01241,935.53507,61,1623.99056,,,
1996,2nd Quintile,West,878,1123.63660,1084.59651,1162.67669,613.00000,1125.00000,1534.00000,26,2915.50000,,,
1996,2nd Quintile,East,497,899.25282,869.58555,928.92010,685.00000,920.00000,1122.53524,36,1778.83811,,,
1996,3rd Quintile,West,1085,1199.23936,1157.64113,1240.83758,755.03413,1144.64757,1534.00000,51,2702.44880,,,
1996,3rd Quintile,East,557,1030.56279,998.86626,1062.25932,772.12301,1023.00000,1227.00000,122,1909.31549,,,
1996,4th Quintile,West,1338,1343.49780,1298.19826,1388.79735,920.00000,1250.46998,1585.00000,61,2582.50000,,,
1996,4th Quintile,East,492,1156.10659,1120.05633,1192.15685,946.00000,1125.00000,1382.81427,290.77859,2038.03568,,,
