year,age_gr,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,Not included in this version of the questionnaire,,,,,,,,,,,,
1984,0-16 y.,Pre-primary Level,,,,,,,,,,,,
1984,0-16 y.,Primary Level,,,,,,,,,,,,
1984,0-16 y.,Lower Secondary Level,,,,,,,,,,,,
1984,17-29 y.,Not included in this version of the questionnaire,,,,,,,,,,,,
1984,17-29 y.,No answer / don't know,,,,,,,,,,,,
1984,17-29 y.,Pre-primary Level,,,,,,,,,,,,
1984,17-29 y.,Primary Level,83,40.91611,38.82353,43.00870,40.00000,40.00000,40.00000,40.00000,40.00000,,,
1984,17-29 y.,Lower Secondary Level,568,39.30169,38.54048,40.06290,40.00000,40.00000,40.00000,40.00000,40.00000,,,
1984,17-29 y.,Upper Secondary Level,1009,40.48770,39.87760,41.09780,40.00000,40.00000,43.00000,35.50000,47.50000,,,
1984,17-29 y.,Post-secondary Non-tertiary Level,71,40.16180,38.20162,42.12198,40.00000,40.00000,43.00000,35.50000,47.50000,,,
1984,17-29 y.,First Stage of Tertiary Education,96,40.31204,37.60395,43.02013,40.00000,40.00000,45.00000,32.50000,52.50000,,,
1984,17-29 y.,Second Stage of Tertiary Education,84,40.59937,37.55334,43.64539,40.00000,41.23254,46.00000,31.00000,55.00000,,,
1984,30-45 y.,No answer / don't know,,,,,,,,,,,,
1984,30-45 y.,Primary Level,228,36.56410,34.86475,38.26344,40.00000,40.00000,40.00000,40.00000,40.00000,,,
1984,30-45 y.,Lower Secondary Level,472,35.43264,34.13001,36.73527,25.00000,40.00000,40.00000,2.50000,62.50000,,,
1984,30-45 y.,Upper Secondary Level,1350,40.22235,39.50731,40.93740,40.00000,40.00000,45.00000,32.50000,52.50000,,,
1984,30-45 y.,Post-secondary Non-tertiary Level,78,42.72942,39.66682,45.79203,40.00000,40.00000,50.00000,25.00000,65.00000,,,
1984,30-45 y.,First Stage of Tertiary Education,187,41.49739,39.47046,43.52433,40.00000,42.00000,50.00000,25.00000,65.00000,,,
1984,30-45 y.,Second Stage of Tertiary Education,303,41.44614,39.86475,43.02753,40.00000,42.00000,50.00000,25.00000,65.00000,,,
1984,46-65 y.,No answer / don't know,,,,,,,,,,,,
1984,46-65 y.,Primary Level,222,40.37166,39.17553,41.56778,40.00000,40.00000,41.23636,38.14546,43.09089,,,
1984,46-65 y.,Lower Secondary Level,436,36.28312,35.01939,37.54685,27.92026,40.00000,40.00000,9.80066,58.11960,,,
1984,46-65 y.,Upper Secondary Level,905,40.59291,39.82521,41.36060,40.00000,40.00000,45.00000,32.50000,52.50000,,,
1984,46-65 y.,Post-secondary Non-tertiary Level,45,44.91975,40.80733,49.03217,40.00000,41.88813,51.80413,22.29381,69.51032,,,
1984,46-65 y.,First Stage of Tertiary Education,131,43.36857,40.99760,45.73954,40.00000,42.00000,50.00000,25.00000,65.00000,,,
1984,46-65 y.,Second Stage of Tertiary Education,167,42.62805,40.56242,44.69369,40.00000,42.00000,50.00000,25.00000,65.00000,,,
1984,66 and older,No answer / don't know,,,,,,,,,,,,
1984,66 and older,Primary Level,,,,,,,,,,,,
1984,66 and older,Lower Secondary Level,,,,,,,,,,,,
1984,66 and older,Upper Secondary Level,,,,,,,,,,,,
1984,66 and older,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1984,66 and older,First Stage of Tertiary Education,,,,,,,,,,,,
1984,66 and older,Second Stage of Tertiary Education,,,,,,,,,,,,
1985,0-16 y.,Not included in this version of the questionnaire,,,,,,,,,,,,
1985,0-16 y.,Pre-primary Level,,,,,,,,,,,,
1985,0-16 y.,Lower Secondary Level,,,,,,,,,,,,
1985,0-16 y.,Upper Secondary Level,,,,,,,,,,,,
1985,17-29 y.,No answer / don't know,,,,,,,,,,,,
1985,17-29 y.,Pre-primary Level,,,,,,,,,,,,
1985,17-29 y.,Primary Level,61,41.45915,39.13379,43.78450,40.00000,40.00000,43.01558,35.47663,47.53896,,,
1985,17-29 y.,Lower Secondary Level,516,39.43642,38.55884,40.31400,40.00000,40.00000,42.00000,37.00000,45.00000,,,
1985,17-29 y.,Upper Secondary Level,938,40.29222,39.59012,40.99432,40.00000,40.00000,45.00000,32.50000,52.50000,,,
1985,17-29 y.,Post-secondary Non-tertiary Level,64,37.10650,33.72275,40.49024,40.00000,40.00000,43.00000,35.50000,47.50000,,,
1985,17-29 y.,First Stage of Tertiary Education,83,39.98666,37.27138,42.70193,40.00000,40.00000,45.00000,32.50000,52.50000,,,
1985,17-29 y.,Second Stage of Tertiary Education,80,40.57933,37.86437,43.29429,40.00000,41.05230,46.38084,30.42874,55.95210,,,
1985,30-45 y.,No answer / don't know,,,,,,,,,,,,
1985,30-45 y.,Primary Level,167,40.12900,38.51276,41.74524,39.00000,40.00000,44.00000,31.50000,51.50000,,,
1985,30-45 y.,Lower Secondary Level,400,34.70876,33.40845,36.00906,22.29686,40.00000,40.00000,1.0,66.55471,,,
1985,30-45 y.,Upper Secondary Level,1235,38.74129,37.99493,39.48765,39.00000,40.00000,45.00000,30.00000,54.00000,,,
1985,30-45 y.,Post-secondary Non-tertiary Level,60,38.94651,35.11173,42.78129,35.00000,41.00000,48.00000,15.50000,67.50000,,,
1985,30-45 y.,First Stage of Tertiary Education,180,41.66978,39.69981,43.63975,40.00000,42.00000,50.00000,25.00000,65.00000,,,
1985,30-45 y.,Second Stage of Tertiary Education,307,42.54851,41.13713,43.95990,40.00000,42.00000,50.00000,25.00000,65.00000,,,
1985,46-65 y.,No answer / don't know,,,,,,,,,,,,
1985,46-65 y.,Primary Level,191,38.99248,37.50026,40.48471,40.00000,40.00000,40.00000,40.00000,40.00000,,,
1985,46-65 y.,Lower Secondary Level,403,35.40591,34.05507,36.75676,24.00000,40.00000,42.00000,1.0,69.00000,,,
1985,46-65 y.,Upper Secondary Level,844,40.74811,39.86340,41.63283,40.00000,40.00000,45.00000,32.50000,52.50000,,,
1985,46-65 y.,Post-secondary Non-tertiary Level,41,43.80725,39.60760,48.00689,40.00000,45.00000,50.00000,25.00000,65.00000,,,
1985,46-65 y.,First Stage of Tertiary Education,129,42.67849,40.25578,45.10121,40.00000,42.67539,50.00000,25.00000,65.00000,,,
1985,46-65 y.,Second Stage of Tertiary Education,170,44.26757,42.58110,45.95404,40.00000,45.00000,50.00000,25.00000,65.00000,,,
1985,66 and older,No answer / don't know,,,,,,,,,,,,
1985,66 and older,Primary Level,,,,,,,,,,,,
1985,66 and older,Lower Secondary Level,,,,,,,,,,,,
1985,66 and older,Upper Secondary Level,,,,,,,,,,,,
1985,66 and older,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1985,66 and older,First Stage of Tertiary Education,,,,,,,,,,,,
1985,66 and older,Second Stage of Tertiary Education,,,,,,,,,,,,
1986,0-16 y.,Not included in this version of the questionnaire,,,,,,,,,,,,
1986,0-16 y.,Lower Secondary Level,,,,,,,,,,,,
1986,17-29 y.,Not included in this version of the questionnaire,,,,,,,,,,,,
1986,17-29 y.,No answer / don't know,34,37.39905,33.60384,41.19425,35.52041,40.00000,40.00000,28.80102,46.71939,,,
1986,17-29 y.,Pre-primary Level,,,,,,,,,,,,
1986,17-29 y.,Primary Level,69,39.90719,37.91220,41.90219,40.00000,40.00000,41.77046,37.34430,44.42616,,,
1986,17-29 y.,Lower Secondary Level,548,39.60486,38.81637,40.39334,40.00000,40.00000,42.00000,37.00000,45.00000,,,
1986,17-29 y.,Upper Secondary Level,943,40.56667,39.90082,41.23252,40.00000,40.00000,44.00000,34.00000,50.00000,,,
1986,17-29 y.,Post-secondary Non-tertiary Level,62,37.68177,34.56556,40.79797,38.73281,40.00000,44.00000,30.83202,51.90079,,,
1986,17-29 y.,First Stage of Tertiary Education,76,40.10220,37.42095,42.78345,40.00000,40.00000,45.00000,32.50000,52.50000,,,
1986,17-29 y.,Second Stage of Tertiary Education,69,42.06504,39.61473,44.51536,40.00000,42.09677,48.00000,28.00000,60.00000,,,
1986,30-45 y.,No answer / don't know,,,,,,,,,,,,
1986,30-45 y.,Primary Level,149,39.61323,37.87810,41.34835,39.00000,40.00000,40.00000,37.50000,41.50000,,,
1986,30-45 y.,Lower Secondary Level,363,35.25114,33.88106,36.62123,25.53291,40.00000,40.00000,3.83226,61.70064,,,
1986,30-45 y.,Upper Secondary Level,1152,40.19669,39.44542,40.94796,39.00000,40.00000,45.00000,30.00000,54.00000,,,
1986,30-45 y.,Post-secondary Non-tertiary Level,73,40.63264,38.08375,43.18154,40.00000,41.00000,45.00000,32.50000,52.50000,,,
1986,30-45 y.,First Stage of Tertiary Education,158,42.00250,39.85230,44.15270,40.00000,43.00000,50.00000,25.00000,65.00000,,,
1986,30-45 y.,Second Stage of Tertiary Education,309,42.95725,41.54676,44.36774,40.00000,43.00000,50.00000,25.00000,65.00000,,,
1986,46-65 y.,No answer / don't know,,,,,,,,,,,,
1986,46-65 y.,Primary Level,169,39.90893,38.65252,41.16534,39.00000,40.00000,42.62833,33.55750,48.07083,,,
1986,46-65 y.,Lower Secondary Level,399,36.77731,35.39318,38.16144,28.00000,40.00000,42.00000,7.00000,63.00000,,,
1986,46-65 y.,Upper Secondary Level,837,40.17340,39.30861,41.03819,39.00000,40.00000,45.00000,30.00000,54.00000,,,
1986,46-65 y.,Post-secondary Non-tertiary Level,32,34.14607,27.40647,40.88567,20.00000,40.00000,50.00000,1.0,70.0,,,
1986,46-65 y.,First Stage of Tertiary Education,125,43.67706,41.60111,45.75301,40.00000,42.76400,50.00000,25.00000,65.00000,,,
1986,46-65 y.,Second Stage of Tertiary Education,159,45.03356,43.29990,46.76722,40.00000,45.00000,50.00000,25.00000,65.00000,,,
1986,66 and older,Primary Level,,,,,,,,,,,,
1986,66 and older,Lower Secondary Level,,,,,,,,,,,,
1986,66 and older,Upper Secondary Level,,,,,,,,,,,,
1986,66 and older,Post-secondary Non-tertiary Level,,,,,,,,,,,,
1986,66 and older,First Stage of Tertiary Education,,,,,,,,,,,,
1986,66 and older,Second Stage of Tertiary Education,,,,,,,,,,,,
1987,0-16 y.,Not included in this version of the questionnaire,,,,,,,,,,,,
1987,0-16 y.,No answer / don't know,,,,,,,,,,,,
1987,0-16 y.,Pre-primary Level,,,,,,,,,,,,
1987,0-16 y.,Lower Secondary Level,,,,,,,,,,,,
1987,17-29 y.,Not included in this version of the questionnaire,,,,,,,,,,,,
1987,17-29 y.,No answer / don't know,47,36.19579,32.42763,39.96396,36.81560,40.00000,40.00000,32.03900,44.77660,,,
1987,17-29 y.,Pre-primary Level,,,,,,,,,,,,
1987,17-29 y.,Primary Level,60,39.95234,38.15942,41.74527,39.00000,40.00000,40.00000,37.50000,41.50000,,,
1987,17-29 y.,Lower Secondary Level,536,39.63140,38.90834,40.35447,40.00000,40.00000,42.00000,37.00000,45.00000,,,
1987,17-29 y.,Upper Secondary Level,983,39.81116,39.17456,40.44776,39.00000,40.00000,43.00000,33.00000,49.00000,,,
1987,17-29 y.,Post-secondary Non-tertiary Level,66,36.17848,32.92500,39.43195,38.00000,40.00000,42.00000,32.00000,48.00000,,,
1987,17-29 y.,First Stage of Tertiary Education,64,37.74597,35.18524,40.30671,38.99856,40.00000,42.00000,34.49640,46.50216,,,
1987,17-29 y.,Second Stage of Tertiary Education,62,38.46173,35.62089,41.30257,39.00000,40.00000,45.00000,30.00000,54.00000,,,
