year,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,-1,39.90343927224099,39.753846215998934,40.05303232848304,40.0,40.0,45.0,32.5,52.5,40.0,40.0,40.0,6446.0
1985,Staedtischer Raum,39.45585096569528,39.28007514035475,39.631626791035806,40.0,40.0,45.0,32.5,52.5,40.0,40.0,40.0,4689.0
1985,Laendlicher Raum,40.16377061854512,39.79051209202058,40.53702914506967,40.0,40.0,45.0,32.5,52.5,40.0,40.0,40.0,1222.0
1986,Staedtischer Raum,39.7853370781964,39.61512299963097,39.95555115676183,39.0,40.0,45.0,30.0,54.0,40.0,40.0,40.0,4539.0
1986,Laendlicher Raum,40.87129944452089,40.498033066234754,41.24456582280703,39.685919672184795,40.0,45.0,31.714799180461988,52.97112049172281,40.0,40.0,40.0,1188.0
1987,Staedtischer Raum,39.53434530604421,39.368822438734085,39.69986817335433,39.0,40.0,45.0,30.0,54.0,40.0,40.0,40.0,4609.0
1987,Laendlicher Raum,39.45455535486601,39.08982111507419,39.81928959465783,38.0,40.0,45.0,27.5,55.5,40.0,40.0,40.0,1211.0
1988,Staedtischer Raum,38.99839562357353,38.822581578334386,39.17420966881267,38.0,40.0,45.0,27.5,55.5,40.0,40.0,40.0,4417.0
1988,Laendlicher Raum,39.153757438281154,38.75144931197289,39.55606556458942,38.0,40.0,45.0,27.5,55.5,40.0,40.0,40.0,1110.0
1989,Staedtischer Raum,39.63735321824534,39.473658631430666,39.80104780506001,38.0,40.0,45.0,27.5,55.5,40.0,40.0,40.0,4394.0
1989,Laendlicher Raum,40.692052423247624,40.32818927952994,41.05591556696531,38.0,40.0,45.0,27.5,55.5,40.0,40.0,40.0,1074.0
1990,-1,46.1108218493616,45.15202877587198,47.069614922851216,40.0,46.0,50.992992908508825,30.0,67.48248227127206,46.0,44.0,49.0,65.0
1990,Staedtischer Raum,39.920614081325375,39.771599784104446,40.069628378546305,38.0,40.0,45.0,27.5,55.5,40.0,40.0,40.0,5319.0
1990,Laendlicher Raum,41.85665907201734,41.6524809069997,42.060837237034974,38.5,42.0,50.0,21.25,67.25,42.0,41.5,43.0,3136.0
1991,-1,45.09861096135468,43.78662269870878,46.41059922400058,40.0,42.0,48.0,28.0,60.0,42.0,40.49250001907348,44.0,57.0
1991,Staedtischer Raum,39.22567625517936,39.072637069079384,39.37871544127933,37.5,40.0,45.0,26.25,56.25,40.0,40.0,40.0,5162.0
1991,Laendlicher Raum,39.587947123583106,39.36820911394343,39.80768513322278,38.0,40.0,45.0,27.5,55.5,40.0,40.0,40.0,2736.0
1992,-1,44.151286449598906,43.339765453422174,44.96280744577564,40.0,42.0,45.0,35.0,52.5,42.0,41.0,44.0,73.0
1992,Staedtischer Raum,39.21703827596845,39.062032264731414,39.37204428720548,37.5,40.0,45.0,26.25,56.25,40.0,40.0,40.0,4939.0
1992,Laendlicher Raum,40.570249299809724,40.352892960379094,40.787605639240354,38.0,40.0,45.0,27.5,55.5,40.0,40.0,40.0,2553.0
1993,Staedtischer Raum,39.05818085830605,38.90153798882933,39.21482372778277,37.5,40.0,44.0,27.75,53.75,40.0,40.0,40.0,4871.0
1993,Laendlicher Raum,40.27002132338005,40.03610596798279,40.50393667877731,38.0,40.0,45.0,27.5,55.5,40.0,40.0,40.0,2454.0
1994,Staedtischer Raum,38.88822506929763,38.72648552846843,39.049964610126835,37.5,40.0,44.0,27.75,53.75,40.0,40.0,40.0,4670.0
