year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,Urban regions,male,2937,43.07955,42.68983,43.46928,40.00000,41.00000,48.00000,28.00000,60.00000,41.0,40.00000,42.00000
1985,Urban regions,female,1788,33.84574,33.22997,34.46151,23.00000,40.00000,40.00000,1.0,65.50000,40.0,40.00000,40.00000
1985,Rural regions,male,762,44.35154,43.50205,45.20103,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,41.00000,43.00000
1985,Rural regions,female,479,33.56524,32.34517,34.78531,21.72177,40.00000,40.00000,2.0,67.41734,40.0,40.00000,40.00000
1986,Urban regions,male,2838,43.12082,42.74080,43.50084,40.00000,40.00000,46.00000,31.00000,55.00000,40.0,40.00000,41.00000
1986,Urban regions,female,1742,34.58746,33.98976,35.18516,25.00000,40.00000,40.00000,2.50000,62.50000,40.0,40.00000,40.00000
1986,Rural regions,male,730,45.24350,44.41991,46.06709,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,41.00000,43.00000
1986,Rural regions,female,472,34.48762,33.23315,35.74208,25.00000,40.00000,41.00000,2.0,65.00000,40.0,39.00000,40.00000
1987,Urban regions,male,2861,42.93121,42.55716,43.30526,40.00000,40.00000,45.00000,32.50000,52.50000,40.0,40.00000,40.00000
1987,Urban regions,female,1783,34.35212,33.78501,34.91923,25.00000,40.00000,40.00000,2.50000,62.50000,40.0,39.00000,40.00000
1987,Rural regions,male,742,44.25232,43.46704,45.03759,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,40.00000,42.00000
1987,Rural regions,female,489,32.24779,31.05304,33.44253,21.00000,39.00000,40.00000,1.0,68.50000,39.0,36.00000,40.00000
1988,Urban regions,male,2731,42.58904,42.21019,42.96789,40.00000,40.00000,45.00000,32.50000,52.50000,40.0,40.00000,40.00000
1988,Urban regions,female,1733,33.58254,32.95870,34.20638,24.00000,40.00000,40.00000,1.0,64.00000,40.0,39.00000,40.00000
1988,Rural regions,male,676,43.70785,42.79258,44.62311,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,40.00000,42.00000
1988,Rural regions,female,450,32.08871,30.79091,33.38652,20.00000,38.00000,40.00000,2.0,70.00000,38.0,34.92500,39.00000
1989,Urban regions,male,2687,43.12119,42.76881,43.47357,40.00000,40.00000,46.00000,31.00000,55.00000,40.0,40.00000,40.00000
1989,Urban regions,female,1727,34.34052,33.75835,34.92269,25.00000,39.00000,40.00000,2.50000,62.50000,39.0,39.00000,39.00000
1989,Rural regions,male,662,44.95002,44.20058,45.69947,40.00000,42.00000,50.00000,25.00000,65.00000,42.0,40.00000,42.00000
1989,Rural regions,female,421,33.82570,32.55276,35.09864,24.00000,39.00000,41.00000,1.0,66.50000,39.0,38.00000,40.00000
1990,Urban regions,male,3133,43.22403,42.89480,43.55326,39.00000,41.00000,48.00000,25.50000,61.50000,41.0,40.00000,42.00000
1990,Urban regions,female,2215,35.20447,34.68984,35.71909,27.00000,39.00000,41.00000,6.00000,62.00000,39.0,38.50000,39.00000
1990,Rural regions,male,1755,45.41261,44.93821,45.88701,40.00000,45.00000,50.00000,25.00000,65.00000,45.0,44.00000,45.00000
1990,Rural regions,female,1408,37.00567,36.34469,37.66665,30.00000,40.00000,45.00000,7.50000,67.50000,40.0,39.00000,40.00000
1991,Urban regions,male,3017,42.89318,42.55439,43.23198,38.50000,40.00000,46.00000,27.25000,57.25000,40.0,40.00000,40.00000
1991,Urban regions,female,2175,34.16018,33.64516,34.67520,25.00000,38.50000,40.00000,2.50000,62.50000,38.5,38.50000,38.50000
1991,Rural regions,male,1572,43.17421,42.64762,43.70081,39.00000,40.00000,47.00000,27.00000,59.00000,40.0,40.00000,41.00750
1991,Rural regions,female,1188,34.49090,33.80010,35.18171,25.00000,38.50000,40.00000,2.50000,62.50000,38.5,38.50000,39.50000
1992,Urban regions,male,2882,42.88479,42.54814,43.22144,38.50000,40.00000,46.00000,27.25000,57.25000,40.0,40.00000,41.00000
1992,Urban regions,female,2092,34.11411,33.58870,34.63952,25.00000,38.50000,40.00000,2.50000,62.50000,38.5,38.00000,38.50000
1992,Rural regions,male,1480,44.13902,43.61222,44.66582,40.00000,41.00000,50.00000,25.00000,65.00000,41.0,40.00000,42.00000
1992,Rural regions,female,1091,35.18702,34.52130,35.85275,30.00000,39.50000,40.00000,15.00000,55.00000,39.5,38.50000,40.00000
1993,Urban regions,male,2818,42.93810,42.60601,43.27020,38.50000,40.00000,45.00000,28.75000,54.75000,40.0,40.00000,40.00000
1993,Urban regions,female,2084,33.72455,33.19369,34.25540,25.00000,38.50000,40.00000,2.50000,62.50000,38.5,38.00000,38.50000
1993,Rural regions,male,1413,43.95076,43.38482,44.51671,40.00000,41.71540,48.00000,28.00000,60.00000,41.5,40.00000,42.00000
1993,Rural regions,female,1062,34.97723,34.25148,35.70299,27.00000,39.00000,40.00000,7.50000,59.50000,39.0,38.50000,40.00000
1994,Urban regions,male,2707,42.69004,42.33258,43.04751,38.50000,40.00000,45.00000,28.75000,54.75000,40.0,40.00000,40.00000
1994,Urban regions,female,1984,33.52975,32.99142,34.06808,25.00000,38.50000,40.00000,2.50000,62.50000,38.5,38.00000,38.50000
1994,Rural regions,male,1355,43.94341,43.39983,44.48698,40.00000,42.00000,48.00000,28.00000,60.00000,42.0,41.00000,42.00000
