year,age_gr,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,male,,,,,,,,,,,,
1984,0-16 y.,female,,,,,,,,,,,,
1984,17-29 y.,male,1095,40.52275,40.19315,40.81782,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1984,17-29 y.,female,851,37.86733,37.32364,38.49995,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1984,30-45 y.,male,1571,40.59549,40.31831,40.87505,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1984,30-45 y.,female,927,30.43446,29.60595,31.42551,20.00000,32.00000,40.00000,2.0,70.00000,32.0,28.00000,34.00000
1984,46-65 y.,male,1196,40.93765,40.62885,41.24060,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1984,46-65 y.,female,579,31.69333,30.72105,32.66755,21.00000,38.00000,40.00000,3.0,65.0,38.0,36.00000,43.00000
1984,66 and older,male,,,,,,,,,,,,
1984,66 and older,female,,,,,,,,,,,,
1985,0-16 y.,male,,,,,,,,,,,,
1985,0-16 y.,female,,,,,,,,,,,,
1985,17-29 y.,male,939,39.65972,39.39626,39.99973,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,17-29 y.,female,759,37.82407,37.25332,38.44269,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,30-45 y.,male,1342,39.71696,39.45270,40.02754,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,30-45 y.,female,826,31.10514,30.28451,31.98706,20.00000,39.00000,40.00000,3.0,70.00000,39.0,38.00000,43.00000
1985,46-65 y.,male,1071,39.99269,39.77508,40.26533,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,46-65 y.,female,536,31.03493,30.00039,32.07118,20.00000,36.00000,40.00000,3.0,50.0,36.0,32.00000,40.02500
1985,66 and older,male,,,,,,,,,,,,
1985,66 and older,female,,,,,,,,,,,,
1986,0-16 y.,male,,,,,,,,,,,,
