year,quintil_oecd,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1985,1st Quintile,Urban regions,601,36.31185,35.53821,37.08549,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1985,1st Quintile,Rural regions,182,36.33397,35.07488,37.59307,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,2nd Quintile,Urban regions,755,37.00306,36.41968,37.58645,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,2nd Quintile,Rural regions,209,36.87689,35.58444,38.16935,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,3rd Quintile,Urban regions,938,37.76539,37.31179,38.21899,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,3rd Quintile,Rural regions,221,36.72139,35.63218,37.81060,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,4th Quintile,Urban regions,1098,37.52802,37.08578,37.97026,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,4th Quintile,Rural regions,224,38.16257,37.36676,38.95838,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,5th Quintile,Urban regions,1036,37.25560,36.80547,37.70572,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1985,5th Quintile,Rural regions,220,37.15155,36.13006,38.17304,40.00000,40.00000,40.00000,40.00000,40.00000,40.0,40.00000,40.00000
1986,1st Quintile,Urban regions,533,36.44084,35.71633,37.16535,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1986,1st Quintile,Rural regions,130,36.75874,35.22728,38.29020,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1986,2nd Quintile,Urban regions,721,37.47403,36.92943,38.01863,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1986,2nd Quintile,Rural regions,215,37.52349,36.48148,38.56550,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1986,3rd Quintile,Urban regions,944,36.99688,36.51847,37.47529,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1986,3rd Quintile,Rural regions,231,36.66503,35.60715,37.72291,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1986,4th Quintile,Urban regions,1099,37.41058,37.00828,37.81287,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1986,4th Quintile,Rural regions,255,37.56460,36.67677,38.45242,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1986,5th Quintile,Urban regions,967,37.34862,36.93141,37.76582,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1986,5th Quintile,Rural regions,211,37.83669,36.93988,38.73350,39.00000,40.00000,40.00000,37.50000,41.50000,40.0,40.00000,40.00000
1987,1st Quintile,Urban regions,499,36.16584,35.37721,36.95446,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1987,1st Quintile,Rural regions,138,35.14026,33.38036,36.90017,36.68571,40.00000,40.00000,31.71428,44.97143,40.0,40.00000,40.00000
1987,2nd Quintile,Urban regions,723,37.22096,36.69371,37.74821,38.00000,40.00000,40.00000,35.00000,43.00000,40.0,40.00000,40.00000
1987,2nd Quintile,Rural regions,240,36.93217,35.81086,38.05348,38.10021,40.00000,40.00000,35.25053,42.84968,40.0,40.00000,40.00000
1987,3rd Quintile,Urban regions,912,37.35363,36.85126,37.85600,38.50000,40.00000,40.00000,36.25000,42.25000,40.0,40.00000,40.00000
