year,quintil_oecd,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,1st Quintile,male,602,39.77234868882955,39.502950017641666,40.04174736001744,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1984,1st Quintile,female,246,32.42952667676355,31.71692555469114,33.142127798835965,23.18968756835781,40.0,40.0,3.0,55.0,40.0,40.0,40.074999999999996
1984,2nd Quintile,male,757,40.85012342528987,40.65970870627362,41.040538144306126,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1984,2nd Quintile,female,381,32.1753729045846,31.59080840034378,32.759937408825415,23.527794380989985,40.0,40.0,3.0,64.70830842851502,40.0,40.0,44.0
1984,3rd Quintile,male,827,40.2051105633088,40.0730670193286,40.337154107289,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1984,3rd Quintile,female,495,32.82948851570006,32.38111172243323,33.277865308966895,24.0,40.0,40.0,3.0,64.0,40.0,40.0,40.0
1984,4th Quintile,male,870,40.962883137476986,40.81442110494081,41.11134517001316,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1984,4th Quintile,female,639,33.64058632843136,33.26376020898075,34.01741244788197,25.0,40.0,40.0,2.5,62.5,40.0,40.0,40.0
1984,5th Quintile,male,811,40.939758438973925,40.767883100522894,41.111633777424956,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1984,5th Quintile,female,606,34.494684407151105,34.09867542481004,34.89069338949217,25.0,40.0,40.0,2.5,62.5,40.0,40.0,40.0
1985,1st Quintile,male,525,38.78453457150451,38.501276881217734,39.06779226179128,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985,1st Quintile,female,258,32.4752273349992,31.807655284802816,33.14279938519557,22.0,40.0,40.0,2.0,64.0,40.0,40.0,40.0
1985,2nd Quintile,male,642,40.0213094857747,39.887703373299075,40.15491559825033,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985,2nd Quintile,female,322,31.661844752738656,31.04941127029905,32.27427823517826,21.0,40.0,40.0,3.0,68.5,40.0,40.0,42.0
1985,3rd Quintile,male,706,39.951692205814574,39.82144232909816,40.081942082530986,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985,3rd Quintile,female,453,33.744705879591365,33.310113460056094,34.179298299126636,25.0,40.0,40.0,5.0,56.0,40.0,40.0,40.0
1985,4th Quintile,male,795,39.82176778312306,39.689181203529735,39.95435436271638,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985,4th Quintile,female,527,34.346321106549155,33.95386379490113,34.73877841819718,26.0,40.0,40.0,5.0,61.0,40.0,40.0,40.0
1985,5th Quintile,male,687,39.88004140835939,39.75437310902855,40.00570970769023,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1985,5th Quintile,female,569,34.0566606572245,33.681133141508845,34.43218817294015,26.0,40.0,40.0,5.0,60.0,40.0,40.0,40.0
1986,1st Quintile,male,444,39.25352539718786,39.03669394334579,39.470356851029926,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1986,1st Quintile,female,219,32.0072373682989,31.29031110385315,32.724163632744656,24.0,40.0,40.0,2.0,56.0,40.0,40.0,42.025
1986,2nd Quintile,male,632,39.808015956094316,39.66462034937404,39.95141156281459,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1986,2nd Quintile,female,304,32.78864448854615,32.21828936570159,33.35899961139071,25.0,39.0,40.0,3.0,50.0,39.0,38.0,40.0
1986,3rd Quintile,male,714,39.71503458993132,39.59950644734262,39.83056273252002,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1986,3rd Quintile,female,461,32.84610008138712,32.40240155732851,33.28979860544573,25.0,39.0,40.0,4.0,60.0,39.0,38.0,40.0
1986,4th Quintile,male,804,39.6328318924741,39.523040241189776,39.74262354375843,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1986,4th Quintile,female,550,34.19602568831918,33.824608302626366,34.567443074012,30.0,40.0,40.0,15.0,55.0,40.0,40.0,41.0
1986,5th Quintile,male,642,39.59703768816312,39.48789174577479,39.70618363055145,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
1986,5th Quintile,female,536,34.81342140688191,34.46020508650802,35.1666377272558,30.0,40.0,40.0,15.0,54.0,40.0,40.0,40.0
1987,1st Quintile,male,425,39.067417129827724,38.80510284675675,39.329731412898695,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1987,1st Quintile,female,212,30.944635586130936,30.18386024676239,31.705410925499482,20.0,38.0,40.0,5.0,55.0,38.0,36.974999999999994,41.0
1987,2nd Quintile,male,627,39.48790605777037,39.325748727511495,39.65006338802924,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1987,2nd Quintile,female,336,32.948276110565686,32.41362895304559,33.482923268085784,24.661270046904097,38.5,40.0,4.0,63.00809492964385,38.5,37.0,39.0
1987,3rd Quintile,male,707,39.8003190835967,39.654992597565105,39.94564556962829,39.0,40.0,40.0,37.5,41.5,40.0,40.0,40.0
1987,3rd Quintile,female,424,33.07527666876523,32.60538151192365,33.5451718256068,25.0,39.0,40.0,2.5,62.5,39.0,38.0,39.5
1987,4th Quintile,male,771,39.51157467236582,39.40194646498864,39.621202879742995,39.0,40.0,40.0,37.5,41.5,40.0,40.0,40.0
1987,4th Quintile,female,554,33.368438175861776,32.987165413108585,33.74971093861497,25.0,38.5,40.0,2.5,62.5,38.5,38.0,39.0
1987,5th Quintile,male,692,39.42800411261186,39.285648639789606,39.57035958543411,39.0,40.0,40.0,37.5,41.5,40.0,40.0,40.0
1987,5th Quintile,female,549,34.5549361946763,34.19496276144432,34.91490962790828,30.0,40.0,40.0,15.0,48.0,40.0,40.0,41.0
1988,1st Quintile,male,414,38.91109125573015,38.63846763031297,39.18371488114733,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1988,1st Quintile,female,216,32.08700994096687,31.3411433912109,32.832876490722846,24.0,38.0,40.0,2.0,64.0,38.0,37.5,41.0
1988,2nd Quintile,male,586,39.07384446076947,38.92500554950319,39.22268337203575,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1988,2nd Quintile,female,333,31.696760869837263,31.139692211084174,32.25382952859035,24.0,38.0,40.0,2.0,50.0,38.0,37.0,40.025
1988,3rd Quintile,male,676,39.44962332281296,39.31941157422324,39.579835071402684,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1988,3rd Quintile,female,424,32.05420605150486,31.564134597920365,32.54427750508936,22.0,38.5,40.0,3.0,50.0,38.5,38.0,39.0
1988,4th Quintile,male,744,39.51201316134223,39.404336957439604,39.61968936524486,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1988,4th Quintile,female,493,33.039938544548,32.621871173067454,33.45800591602855,24.931700860301543,38.5,40.0,4.0,52.0,38.5,37.0,39.0
1988,5th Quintile,male,637,39.054371674265816,38.90575736260554,39.20298598592609,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1988,5th Quintile,female,507,34.51936778531564,34.150368283788616,34.88836728684266,30.0,39.0,40.0,15.0,49.5,39.0,38.0,39.5
1989,1st Quintile,male,424,38.14419205196575,37.90441352022764,38.383970583703864,38.0,40.0,40.0,35.0,43.0,40.0,40.0,41.0
1989,1st Quintile,female,221,30.591350256753127,29.862592505289808,31.320108008216447,20.0,38.0,40.0,2.0,50.0,38.0,37.0,42.0
1989,2nd Quintile,male,600,39.04126669063847,38.85487456291526,39.22765881836168,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1989,2nd Quintile,female,353,31.58173707893252,30.954866023060276,32.20860813480476,20.0,38.0,40.0,2.0,70.0,38.0,38.0,40.025
1989,3rd Quintile,male,656,39.19733676438154,39.04403841573099,39.35063511303209,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1989,3rd Quintile,female,406,32.0836617932021,31.592555321946225,32.574768264457965,22.0,38.0,40.0,4.0,67.0,38.0,37.5,38.5
1989,4th Quintile,male,736,39.10330330930853,38.97411684130188,39.23248977731518,38.0,40.0,40.0,35.0,43.0,40.0,40.0,41.0
1989,4th Quintile,female,516,33.919665082472484,33.54688201119156,34.292448153753405,26.93025959420522,38.5,40.0,7.325648985513052,59.60461060869217,38.5,38.0,39.0
1989,5th Quintile,male,602,39.065039990176615,38.917235895174954,39.212844085178276,38.0,40.0,40.0,35.0,43.0,40.0,40.0,40.0
1989,5th Quintile,female,477,34.320341090821486,33.9498333631688,34.69084881847417,30.0,38.89323417238275,40.0,15.0,49.0,39.0,39.0,40.0
1990,1st Quintile,male,408,37.91461632045634,37.6393149352702,38.18991770564248,37.5,38.5,40.0,33.75,43.75,38.5,38.0,38.5
1990,1st Quintile,female,227,31.264127993099155,30.56209141745962,31.96616456873869,20.0,38.0,39.0,1.4,45.0,38.0,37.5,39.0
1990,2nd Quintile,male,573,38.9042770636905,38.74800604619503,39.06054808118597,37.5,38.5,40.0,33.75,43.75,38.5,38.0,38.5
1990,2nd Quintile,female,343,30.167616970134322,29.619157912626008,30.716076027642636,20.0,37.0,39.0,4.0,67.5,37.0,36.0,44.0
1990,3rd Quintile,male,646,38.694615939500515,38.55433841178505,38.834893467215984,37.5,38.5,40.0,33.75,43.75,38.5,38.0,38.5
1990,3rd Quintile,female,431,32.23976167056196,31.75197029494458,32.72755304617934,24.0,38.0,39.0,2.0,61.5,38.0,37.5,38.5
1990,4th Quintile,male,692,38.399736785946374,38.26723922949565,38.532234342397096,37.5,38.5,40.0,33.75,43.75,38.5,38.5,38.5
1990,4th Quintile,female,505,33.56767637794958,33.190791044854755,33.94456171104441,30.0,38.5,39.0,16.5,49.0,38.5,38.5,39.20000076293945
1990,5th Quintile,male,576,38.40460499294351,38.23234820649589,38.57686177939113,37.70000076293945,38.5,40.0,34.25000190734863,43.44999885559082,38.5,38.0,38.5
1990,5th Quintile,female,469,33.24117994295315,32.834932079508825,33.64742780639748,25.0,38.0,39.0,4.0,60.0,38.0,37.5,38.5
1991,1st Quintile,male,399,38.07839898316602,37.80360510031633,38.3531928660157,37.5,38.5,40.0,33.75,43.75,38.5,38.0,38.5
1991,1st Quintile,female,243,31.866537963414803,31.226767812799096,32.50630811403051,23.681096804109405,37.5,39.15986162541413,3.0,50.0,37.5,37.0,40.0
1991,2nd Quintile,male,549,38.09689675658995,37.90058314534766,38.29321036783224,37.5,38.5,40.0,33.75,43.75,38.5,38.5,38.5
1991,2nd Quintile,female,378,29.725079463623484,29.185327196724664,30.264831730522303,20.0,37.5,38.5,0.2,49.0,37.5,37.5,43.0
1991,3rd Quintile,male,660,38.202318623741036,38.04270806719219,38.361929180289884,37.5,38.5,39.0,35.25,41.25,38.5,38.5,38.5
1991,3rd Quintile,female,424,31.533603158265194,31.083400056427276,31.983806260103112,23.82239708938302,37.5,38.5,1.8059927234575532,50.0,37.5,37.5,38.0
1991,4th Quintile,male,683,38.59862842177843,38.448871649336475,38.74838519422038,37.5,38.5,39.5,34.5,42.5,38.5,38.5,38.5
1991,4th Quintile,female,496,31.56980890677466,31.133477034090017,32.00614077945931,23.780317400285163,37.5,38.5,1.7007935007129085,55.0,37.5,37.0,37.5
1991,5th Quintile,male,594,38.32103394032697,38.150247084713854,38.491820795940086,37.5,38.5,39.0,35.25,41.25,38.5,38.5,38.5
1991,5th Quintile,female,502,33.04517509140335,32.664498347743304,33.4258518350634,25.414384950328635,38.0,38.5,5.785962375821587,50.0,38.0,37.5,38.5
1992,1st Quintile,male,548,39.0753079725181,38.86196069523388,39.28865524980231,38.5,40.0,40.0,36.25,42.25,40.0,40.0,40.0
1992,1st Quintile,female,426,33.08490681966385,32.62328526310552,33.54652837622218,28.0,38.5,40.0,10.0,49.0,38.5,37.0,39.5
1992,2nd Quintile,male,854,39.03597082747791,38.9099811826352,39.16196047232062,38.0,40.0,40.0,35.0,43.0,40.0,40.0,41.0
1992,2nd Quintile,female,641,33.97368251912188,33.61399080296014,34.33337423528362,30.0,38.5,40.0,15.0,55.0,38.5,38.4875,38.5
1992,3rd Quintile,male,863,38.3887267529665,38.235402289830034,38.54205121610296,37.5,38.5,40.0,33.75,43.75,38.5,38.0,38.5
1992,3rd Quintile,female,643,32.503289568145405,32.11396813873395,32.89261099755686,25.0,38.35645623537123,40.0,2.5,60.5,38.5,38.5,39.5
1992,4th Quintile,male,903,38.76866394604436,38.6472884505203,38.890039441568426,37.5,38.5,40.0,33.75,43.75,38.5,38.5,38.5
1992,4th Quintile,female,679,32.45883023503606,32.10993836399233,32.807722106079794,25.0,37.5,38.5,6.0,50.5,37.5,37.0,37.5
