year,age_gr,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,0-16 y.,,,,,,,,,,,,
1984,17-29 y.,,,,,,,,,,,,
1984,30-45 y.,,,,,,,,,,,,
1984,46-65 y.,,,,,,,,,,,,
1984,66 and older,,,,,,,,,,,,
1985,0-16 y.,,,,,,,,,,,,
1985,17-29 y.,1665,11.635636851859925,10.950761301529415,12.320512402190435,3.0,7.0,15.0,0.0,33.0,7.0,6.0,7.0
1985,30-45 y.,2111,12.64971272689858,11.873612509444811,13.425812944352348,3.0,8.0,15.0,0.0,33.0,8.0,8.0,9.0
1985,46-65 y.,1525,11.48775268409567,10.606513827451236,12.368991540740103,3.0,7.0,15.0,0.0,33.0,7.0,6.0,8.0
1985,66 and older,,,,,,,,,,,,
1986,0-16 y.,,,,,,,,,,,,
1986,17-29 y.,,,,,,,,,,,,
1986,30-45 y.,,,,,,,,,,,,
1986,46-65 y.,,,,,,,,,,,,
1986,66 and older,,,,,,,,,,,,
1987,0-16 y.,,,,,,,,,,,,
1987,17-29 y.,,,,,,,,,,,,
1987,30-45 y.,,,,,,,,,,,,
1987,46-65 y.,,,,,,,,,,,,
1987,66 and older,,,,,,,,,,,,
1988,0-16 y.,,,,,,,,,,,,
1988,17-29 y.,,,,,,,,,,,,
1988,30-45 y.,,,,,,,,,,,,
1988,46-65 y.,,,,,,,,,,,,
1988,66 and older,,,,,,,,,,,,
1989,0-16 y.,,,,,,,,,,,,
1989,17-29 y.,,,,,,,,,,,,
1989,30-45 y.,,,,,,,,,,,,
1989,46-65 y.,,,,,,,,,,,,
1989,66 and older,,,,,,,,,,,,
1990,0-16 y.,,,,,,,,,,,,
1990,17-29 y.,1538,14.84685010628695,13.703559091130662,15.990141121443239,4.0,9.0,18.0,1.0,39.0,9.0,8.0,10.0
1990,30-45 y.,1827,13.640444520883673,12.806043157400643,14.474845884366703,4.0,9.0,17.0,0.0,36.5,9.0,8.0,10.0
1990,46-65 y.,1387,12.093149335697072,11.261805874108086,12.924492797286058,3.0,7.0,15.0,0.0,33.0,7.0,6.0,8.0
1990,66 and older,,,,,,,,,,,,
1991,0-16 y.,,,,,,,,,,,,
1991,17-29 y.,298,48.37368059631609,36.55311236401686,60.19424882861532,7.0,13.0,30.0,0.0,64.5,13.0,10.0,16.0
1991,30-45 y.,366,46.15933251264682,33.930473892022846,58.388191133270794,7.0,11.0,20.0,1.0,39.5,11.0,9.0,12.0
1991,46-65 y.,191,25.01625387883071,12.240361199730318,37.792146557931105,6.0,10.0,15.0,1.0,28.5,10.0,10.0,10.0
1991,66 and older,,,,,,,,,,,,
1992,0-16 y.,,,,,,,,,,,,
1992,17-29 y.,235,55.01658143416231,39.23769746133364,70.79546540699099,8.0,15.0,30.0,2.0,63.0,15.0,12.0,17.0
1992,30-45 y.,365,38.315134772711346,27.95522534408712,48.675044201335574,7.0,13.0,22.0,1.0,44.5,13.0,11.0,14.0
1992,46-65 y.,176,21.950996862416524,14.757268015947101,29.144725708885947,6.0,10.0,18.0,1.0,36.0,10.0,8.0,10.0
1992,66 and older,,,,,,,,,,,,
1993,0-16 y.,,,,,,,,,,,,
1993,17-29 y.,1965,12.397310939204855,11.79641124507129,12.99821063333842,3.0,8.0,17.0,0.0,38.0,8.0,7.0,9.0
1993,30-45 y.,2979,11.75047717917682,11.253398811096684,12.247555547256955,2.0,7.0,16.0,0.0,37.0,7.0,7.0,8.0
1993,46-65 y.,2003,10.377294210463674,9.71459002917429,11.039998391753057,2.0,5.806257617448798,13.0,0.0,29.5,6.0,6.0,7.0
1993,66 and older,,,,,,,,,,,,
1994,0-16 y.,,,,,,,,,,,,
1994,17-29 y.,,,,,,,,,,,,
1994,30-45 y.,,,,,,,,,,,,
1994,46-65 y.,,,,,,,,,,,,
1994,66 and older,,,,,,,,,,,,
1995,0-16 y.,,,,,,,,,,,,
1995,17-29 y.,1903,14.987570228887746,13.584104621368265,16.391035836407227,3.0,8.0,18.0,0.0,40.5,8.0,6.0,9.0
1995,30-45 y.,3174,14.06808489075298,13.31616977947483,14.82000000203113,3.0,8.0,18.0,0.0,40.5,8.0,7.0,9.0
1995,46-65 y.,2048,12.06901520660322,11.176968473692115,12.961061939514325,2.0,6.0,15.0,0.0,34.5,6.0,5.0,6.0
1995,66 and older,,,,,,,,,,,,
1996,0-16 y.,,,,,,,,,,,,
1996,17-29 y.,,,,,,,,,,,,
1996,30-45 y.,,,,,,,,,,,,
1996,46-65 y.,,,,,,,,,,,,
1996,66 and older,,,,,,,,,,,,
1997,0-16 y.,,,,,,,,,,,,
1997,17-29 y.,855,33.89559911733608,29.763249276870155,38.02794895780201,11.837949037232775,20.0,30.0,2.0,57.24307644415084,20.0,20.0,23.0
1997,30-45 y.,1520,28.70737158709491,26.391549319131,31.023193855058825,11.0,18.907665056388808,30.0,1.0,58.5,19.0,18.0,21.0
1997,46-65 y.,830,29.740888021817938,25.80734104250807,33.674435001127804,10.0,16.0,30.0,1.0,60.0,16.0,14.0,17.0
1997,66 and older,,,,,,,,,,,,
1998,0-16 y.,,,,,,,,,,,,
1998,17-29 y.,1999,15.240433340575494,14.402469480765614,16.078397200385375,4.0,10.0,20.0,0.0,44.0,10.0,10.0,12.0
1998,30-45 y.,3176,16.096586542720853,15.44459142543857,16.748581660003136,4.0,10.0,20.0,0.0,44.0,10.0,10.0,10.0
1998,46-65 y.,1953,12.941040712876191,12.252661471287228,13.629419954465154,3.0,8.0,17.0,0.0,38.0,8.0,7.0,9.0
1998,66 and older,,,,,,,,,,,,
1999,0-16 y.,,,,,,,,,,,,
1999,17-29 y.,915,33.241474204032635,27.90615102030519,38.576797387760074,10.0,17.0,30.0,2.0,60.0,17.0,14.0,19.0
1999,30-45 y.,1817,30.051258453776327,27.556775778576405,32.545741128976246,11.0,20.0,30.301826118243966,2.0,59.254565295609915,20.0,20.0,22.0
1999,46-65 y.,981,25.363995016055693,22.55514309478867,28.172846937322717,10.0,15.0,25.0,2.0,47.5,15.0,13.974999999999994,15.0
1999,66 and older,,,,,,,,,,,,
2000,0-16 y.,,,,,,,,,,,,
