year,bula_h,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Schleswig-Holstein,male,,,,,,,,,,,,
1984,Schleswig-Holstein,female,,,,,,,,,,,,
1984,Hamburg,male,,,,,,,,,,,,
1984,Hamburg,female,,,,,,,,,,,,
1984,Lower Saxony,male,,,,,,,,,,,,
1984,Lower Saxony,female,,,,,,,,,,,,
1984,Bremen,male,,,,,,,,,,,,
1984,Bremen,female,,,,,,,,,,,,
1984,North Rhine-Westphalia,male,,,,,,,,,,,,
1984,North Rhine-Westphalia,female,,,,,,,,,,,,
1984,Hesse,male,,,,,,,,,,,,
1984,Hesse,female,,,,,,,,,,,,
1984,"Rhineland-Palatinate, Saarland",male,,,,,,,,,,,,
1984,"Rhineland-Palatinate, Saarland",female,,,,,,,,,,,,
1984,Baden-Wuerttemberg,male,,,,,,,,,,,,
1984,Baden-Wuerttemberg,female,,,,,,,,,,,,
1984,Bavaria,male,,,,,,,,,,,,
1984,Bavaria,female,,,,,,,,,,,,
1984,Berlin,male,,,,,,,,,,,,
1984,Berlin,female,,,,,,,,,,,,
1985,Schleswig-Holstein,male,100,16.96694712643297,15.582571382677429,18.35132287018851,6.0,12.0,24.544029093555952,1.0,52.36007273388988,12.0,9.0,14.0
1985,Schleswig-Holstein,female,71,11.50242713407071,9.748949775279561,13.255904492861857,2.0,8.0,13.0,1.0,29.5,8.0,6.0,12.0
1985,Hamburg,male,77,13.443799405246112,12.526972785764722,14.360626024727503,7.0,11.0,19.19617801809224,1.0,37.4904450452306,11.0,7.0,14.0
1985,Hamburg,female,62,12.777859056984111,11.488724881263161,14.06699323270506,6.0,10.0,19.096668529258753,1.0,38.74167132314689,10.0,5.0,12.0
1985,Lower Saxony,male,281,15.59686884482949,14.390551731229964,16.80318595842902,4.0,9.0,19.6146747416912,1.0,43.036686854227995,9.0,7.0,10.0
1985,Lower Saxony,female,198,8.870272803657967,8.11511758071532,9.625428026600613,2.0,5.0,12.0,1.0,27.0,5.0,4.0,6.0
1985,Bremen,male,,,,,,,,,,,,
1985,Bremen,female,,,,,,,,,,,,
1985,North Rhine-Westphalia,male,891,13.953205456611725,13.247254049732193,14.659156863491257,3.657807355157872,8.0,16.0,1.0,34.51328896726319,8.0,8.0,9.0
1985,North Rhine-Westphalia,female,488,8.296264892053753,7.8956357607308645,8.696894023376641,2.0,5.0,11.0,0.0,24.5,5.0,4.0,6.0
1985,Hesse,male,352,15.239310410767366,14.079732552388238,16.398888269146497,4.0,10.0,19.0,0.0,41.5,10.0,8.0,13.0
1985,Hesse,female,202,8.358611808094896,7.679213761780882,9.03800985440891,2.0,4.0,12.0,0.0,27.0,4.0,3.0,5.0
1985,"Rhineland-Palatinate, Saarland",male,216,13.698271586284083,12.7846119870117,14.611931185556465,5.0,10.0,17.0,1.0,35.0,10.0,8.974999999999994,12.0
1985,"Rhineland-Palatinate, Saarland",female,125,9.82054496309437,8.723579721852955,10.917510204335786,3.0,5.0,10.0,1.0,20.5,5.0,4.0,6.0
1985,Baden-Wuerttemberg,male,647,11.72670178608731,11.095907250856907,12.357496321317711,2.7957546839345158,7.0,15.0,0.0,33.30636797409823,7.0,6.0,8.0
1985,Baden-Wuerttemberg,female,421,8.885092572461396,8.418105981700496,9.352079163222296,2.0,5.0,12.0,0.0,27.0,5.0,4.0,6.0
1985,Bavaria,male,523,13.45858529562299,12.664523310844478,14.252647280401503,4.0,8.0,16.0,1.0,34.0,8.0,6.0,9.0
1985,Bavaria,female,390,10.083191006424379,9.514833368019001,10.651548644829756,3.0,6.0,13.0,0.0,28.0,6.0,4.0,7.0
1985,Berlin,male,97,11.103860193665973,10.447619508858038,11.760100878473908,6.0,10.0,16.0,1.0,28.0,10.0,8.0,11.024999999999999
1985,Berlin,female,87,11.168271270309086,9.31904488333166,13.017497657286512,4.964262461395898,8.847359277076654,12.0,1.0,22.55360630790615,9.0,8.0,12.0
1986,Schleswig-Holstein,male,,,,,,,,,,,,
1986,Schleswig-Holstein,female,,,,,,,,,,,,
1986,Hamburg,male,,,,,,,,,,,,
1986,Hamburg,female,,,,,,,,,,,,
1986,Lower Saxony,male,,,,,,,,,,,,
1986,Lower Saxony,female,,,,,,,,,,,,
1986,Bremen,male,,,,,,,,,,,,
1986,Bremen,female,,,,,,,,,,,,
1986,North Rhine-Westphalia,male,,,,,,,,,,,,
1986,North Rhine-Westphalia,female,,,,,,,,,,,,
1986,Hesse,male,,,,,,,,,,,,
1986,Hesse,female,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",male,,,,,,,,,,,,
1986,"Rhineland-Palatinate, Saarland",female,,,,,,,,,,,,
1986,Baden-Wuerttemberg,male,,,,,,,,,,,,
1986,Baden-Wuerttemberg,female,,,,,,,,,,,,
1986,Bavaria,male,,,,,,,,,,,,
1986,Bavaria,female,,,,,,,,,,,,
1986,Berlin,male,,,,,,,,,,,,
1986,Berlin,female,,,,,,,,,,,,
1987,Schleswig-Holstein,male,,,,,,,,,,,,
1987,Schleswig-Holstein,female,,,,,,,,,,,,
1987,Hamburg,male,,,,,,,,,,,,
1987,Hamburg,female,,,,,,,,,,,,
1987,Lower Saxony,male,,,,,,,,,,,,
1987,Lower Saxony,female,,,,,,,,,,,,
1987,Bremen,male,,,,,,,,,,,,
1987,Bremen,female,,,,,,,,,,,,
1987,North Rhine-Westphalia,male,,,,,,,,,,,,
1987,North Rhine-Westphalia,female,,,,,,,,,,,,
1987,Hesse,male,,,,,,,,,,,,
1987,Hesse,female,,,,,,,,,,,,
1987,"Rhineland-Palatinate, Saarland",male,,,,,,,,,,,,
1987,"Rhineland-Palatinate, Saarland",female,,,,,,,,,,,,
1987,Baden-Wuerttemberg,male,,,,,,,,,,,,
1987,Baden-Wuerttemberg,female,,,,,,,,,,,,
1987,Bavaria,male,,,,,,,,,,,,
1987,Bavaria,female,,,,,,,,,,,,
1987,Berlin,male,,,,,,,,,,,,
1987,Berlin,female,,,,,,,,,,,,
1988,Schleswig-Holstein,male,,,,,,,,,,,,
