year,regtyp,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,-1,,,,,,,,,,,,
1985,Staedtischer Raum,11.71636746427473,11.488897508581053,11.943837419968409,3.0,8.0,15.0,0.0,33.0,8.0,8.0,9.0,4255.0
1985,Laendlicher Raum,12.899910157853807,12.28554910185384,13.514271213853773,2.0,6.0,15.0,0.0,34.5,6.0,5.0,7.0,1010.0
1986,Staedtischer Raum,,,,,,,,,,,,
1986,Laendlicher Raum,,,,,,,,,,,,
1987,Staedtischer Raum,,,,,,,,,,,,
1987,Laendlicher Raum,,,,,,,,,,,,
1988,Staedtischer Raum,,,,,,,,,,,,
1988,Laendlicher Raum,,,,,,,,,,,,
1989,Staedtischer Raum,,,,,,,,,,,,
1989,Laendlicher Raum,,,,,,,,,,,,
1990,-1,,,,,,,,,,,,
1990,Staedtischer Raum,12.837041161602533,12.570444568279397,13.10363775492567,4.0,8.0,15.0,0.0,31.5,8.0,8.0,8.0,3806.0
1990,Laendlicher Raum,15.988568501315564,15.22983416159804,16.747302841033086,3.0,10.0,20.0,0.0,45.5,10.0,9.974999999999994,12.0,923.0
1991,-1,,,,,,,,,,,,
1991,Staedtischer Raum,47.918110628649885,39.04399540849256,56.792225848807206,6.0,10.0,20.0,0.0,41.0,10.0,7.974999999999994,10.0,188.0
1991,Laendlicher Raum,39.85271960522659,36.09341642945818,43.612022780995,7.0,11.16378494260714,20.0,1.0,39.5,11.0,10.0,12.0,643.0
1992,-1,,,,,,,,,,,,
1992,Staedtischer Raum,29.541251098587512,23.665701215698917,35.41680098147611,8.0,12.0,19.446920787789654,1.0,36.61730196947414,12.0,9.0,14.0,173.0
1992,Laendlicher Raum,41.28730058362526,37.241560745268714,45.333040421981806,7.0,12.0,25.0,1.0,52.0,12.0,9.0,12.0,576.0
1993,Staedtischer Raum,11.479736067570753,11.295967185229483,11.663504949912024,3.0,7.0,15.0,0.0,33.0,7.0,6.0,7.0,4663.0
1993,Laendlicher Raum,11.349520170582377,11.02053225063506,11.678508090529693,2.0,5.0,15.0,0.0,34.5,5.0,4.0,5.0,2255.0
1994,Staedtischer Raum,,,,,,,,,,,,
1994,Laendlicher Raum,,,,,,,,,,,,
1995,Staedtischer Raum,13.175397199041882,12.90825611713722,13.442538280946543,3.0,8.0,16.0,0.0,35.5,8.0,8.0,9.0,4667.0
1995,Laendlicher Raum,14.550416931697372,13.939231259796903,15.16160260359784,2.0,7.0,18.0,0.0,42.0,7.0,7.0,8.0,2445.0
1996,Staedtischer Raum,,,,,,,,,,,,
1996,Laendlicher Raum,,,,,,,,,,,,
1997,-1,,,,,,,,,,,,
1997,Staedtischer Raum,29.392282611872528,28.24756027426252,30.537004949482537,10.0,18.0,30.0,1.0,60.0,18.0,16.0,19.0,1920.0
1997,Laendlicher Raum,31.728420154604848,30.26706160954927,33.18977869966042,11.0,18.0,30.643930880275793,1.0,60.10982720068948,18.0,16.0,19.025,1273.0
1998,Staedtischer Raum,14.527733907693488,14.29824342611293,14.757224389274047,4.0,10.0,20.0,0.0,44.0,10.0,10.0,11.0,4644.0
1998,Laendlicher Raum,15.97421050635589,15.562844188855037,16.38557682385674,3.0,10.0,20.0,0.0,45.5,10.0,10.0,12.0,2400.0
1999,Staedtischer Raum,28.2586738822325,27.145912710170613,29.371435054294388,10.0,18.0,30.0,2.0,60.0,18.0,16.0,19.0,2232.0
1999,Laendlicher Raum,30.70864350311596,29.134035287013177,32.28325171921875,10.0,16.0,30.0,2.0,60.0,16.0,14.0,17.0,1469.0
2000,Staedtischer Raum,26.705472498885413,26.030741818088114,27.380203179682713,10.0,18.0,30.0,1.0,60.0,18.0,18.0,19.0,3870.0
2000,Laendlicher Raum,29.80091008404053,28.730420401530544,30.871399766550518,10.0,17.0,29.0,1.0,57.5,17.0,16.0,18.0,2514.0
2001,Staedtischer Raum,16.600757107423956,16.178634779466375,17.022879435381537,4.0,10.0,20.0,1.0,44.0,10.0,10.0,11.0,7249.0
2001,Laendlicher Raum,20.740199911107386,19.94039834014349,21.540001482071283,3.0,10.0,20.0,1.0,45.5,10.0,10.0,12.0,3598.0
